fes;time;f
1;122;2147487930
5;220;2147487926
6;241;2147487925
8;291;2147487924
9;309;2147487922
11;344;2147487921
24574;383119;2147487920
24578;383182;2147487919
24579;383197;2147487918
24580;383213;2147487913
24584;383276;2147487911
24586;383307;2147487910
24590;383369;2147487909
24594;383432;2147487907
24595;383447;2147487906
24598;383494;2147487905
24600;383526;2147487902
24601;383541;2147487900
24605;383604;2147487899
24651;384307;2147487897
24653;384338;2147487895
24658;384416;2147487894
24691;384931;2147487893
24692;384947;2147487891
24719;385369;2147487890
24726;385478;2147487887
24731;385556;2147487885
24779;386306;2147487884
24794;386525;2147487880
24795;386540;2147487879
24822;386962;2147487877
24863;387587;2147487876
24865;387618;2147487875
24873;387743;2147487872
24887;387946;2147487871
24896;388103;2147487870
24922;388509;2147487869
24929;388602;2147487868
24933;388665;2147487867
24936;388712;2147487865
24943;388821;2147487862
24948;388899;2147487860
24949;388915;2147487859
24959;389071;2147487858
24961;389102;2147487857
24965;389180;2147487854
24988;389524;2147487853
24990;389555;2147487850
24993;389602;2147487849
24998;389680;2147487848
25004;389774;2147487847
25019;390008;2147487845
25021;390040;2147487844
25022;390055;2147487843
25023;390071;2147487840
25028;390149;2147487838
25032;390212;2147487836
25089;391086;2147487835
25091;391118;2147487834
25092;391133;2147487833
25093;391149;2147487832
25098;391227;2147487831
25100;391258;2147487829
25102;391289;2147487828
25108;391387;2147487826
25153;392075;2147487825
25166;392278;2147487823
25173;392387;2147487821
25195;392731;2147487820
25198;392762;2147487816
25228;393215;2147487815
25229;393231;2147487814
25231;393262;2147487813
25234;393309;2147487812
25239;393387;2147487810
25242;393434;2147487808
25243;393449;2147487806
25303;394371;2147487804
25321;394652;2147487800
25322;394668;2147487798
25324;394699;2147487797
25330;394793;2147487796
25333;394840;2147487795
25336;394886;2147487793
25338;394918;2147487792
25796;401994;2147487791
25800;402057;2147487789
25843;402713;2147487787
25844;402728;2147487785
25847;402775;2147487784
25856;402916;2147487782
25861;402994;2147487781
25911;403775;2147487779
25916;403837;2147487774
25918;403869;2147487773
25928;404025;2147487772
25933;404103;2147487771
25937;404166;2147487769
25938;404181;2147487768
25940;404212;2147487766
25946;404300;2147487762
25947;404316;2147487761
25948;404331;2147487760
25949;404347;2147487759
26003;405190;2147487757
26010;405300;2147487755
26017;405394;2147487753
26018;405409;2147487750
26020;405440;2147487748
26029;405581;2147487746
26030;405597;2147487745
26034;405675;2147487744
26159;407596;2147487743
26161;407627;2147487742
26162;407643;2147487741
