fes;time;f
1;80;2147484278
6;100;2147484276
12;118;2147484271
13;120;2147484269
245;398;2147484267
257;411;2147484266
258;412;2147484261
264;418;2147484260
267;422;2147484258
278;432;2147484256
296;451;2147484255
328;483;2147484254
337;492;2147484250
6813;6254;2147484249
6819;6260;2147484248
6830;6269;2147484247
6838;6276;2147484246
6844;6282;2147484243
6846;6283;2147484241
6856;6293;2147484239
6858;6295;2147484237
6944;6371;2147484236
6946;6372;2147484233
6947;6373;2147484232
7094;6501;2147484229
7097;6504;2147484228
7099;6506;2147484224
7100;6507;2147484223
7101;6508;2147484222
7106;6512;2147484221
7107;6513;2147484220
7133;6536;2147484215
7136;6538;2147484214
8140;7450;2147484213
8172;7479;2147484211
8178;7485;2147484209
8180;7486;2147484207
8186;7492;2147484205
8191;7496;2147484204
8299;7590;2147484203
8310;7600;2147484200
8345;7634;2147484199
8359;7647;2147484198
8364;7651;2147484197
8369;7656;2147484195
8382;7668;2147484193
8384;7671;2147484192
8387;7674;2147484190
8395;7681;2147484188
8801;8036;2147484186
13378;12026;2147484184
13381;12029;2147484182
13413;12057;2147484181
13418;12061;2147484180
13427;12069;2147484179
13430;12072;2147484178
13668;12283;2147484177
13670;12285;2147484175
13674;12289;2147484172
13682;12296;2147484171
13694;12306;2147484170
13700;12312;2147484167
13701;12313;2147484164
18962;17024;2147484163
18972;17033;2147484162
18985;17045;2147484161
18989;17048;2147484160
18996;17054;2147484159
19002;17059;2147484158
19006;17063;2147484156
19032;17084;2147484155
19037;17089;2147484152
19041;17092;2147484151
19043;17094;2147484150
19045;17096;2147484149
19047;17098;2147484148
19416;17416;2147484147
19425;17424;2147484145
19445;17441;2147484144
19453;17448;2147484141
19457;17452;2147484140
19541;17522;2147484139
19545;17526;2147484138
19547;17527;2147484137
19549;17529;2147484136
19639;17606;2147484135
19642;17609;2147484134
19665;17631;2147484133
19668;17634;2147484132
19671;17636;2147484130
19675;17640;2147484129
19679;17644;2147484128
19685;17651;2147484127
19688;17653;2147484126
19689;17654;2147484125
19690;17655;2147484124
19692;17657;2147484123
19701;17665;2147484122
19703;17667;2147484120
19737;17696;2147484118
21655;19348;2147484117
21665;19356;2147484116
21692;19379;2147484114
21728;19409;2147484113
21730;19410;2147484111
73164;62275;2147484109
73165;62275;2147484108
73167;62275;2147484107
73310;62385;2147484106
73311;62385;2147484104
73315;62400;2147484103
73324;62400;2147484102
73371;62447;2147484101
73373;62447;2147484100
73374;62447;2147484099
73375;62447;2147484098
73376;62447;2147484097
73384;62447;2147484096
73840;62822;2147484095
73980;62931;2147484094
73981;62931;2147484093
73982;62931;2147484092
73996;62947;2147484091
74000;62947;2147484089
118726;100079;2147484087
118891;100220;2147484085
119029;100329;2147484084
119040;100329;2147484083
119043;100329;2147484082
119045;100345;2147484081
119103;100391;2147484080
119112;100391;2147484079
119118;100391;2147484078
119123;100407;2147484077
119167;100438;2147484075
119173;100454;2147484073
119203;100470;2147484072
119229;100501;2147484071
119237;100501;2147484070
119243;100501;2147484069
120249;101344;2147484068
120251;101344;2147484067
120428;101485;2147484065
120449;101501;2147484064
120494;101532;2147484063
120552;101579;2147484062
120571;101594;2147484061
120584;101610;2147484060
120993;101954;2147484059
120995;101954;2147484058
121015;101969;2147484057
121018;101969;2147484056
121053;102000;2147484055
121067;102016;2147484053
121087;102032;2147484052
121110;102047;2147484051
121233;102141;2147484050
121245;102157;2147484049
121256;102172;2147484047
121272;102172;2147484046
121284;102188;2147484045
121287;102188;2147484044
121326;102219;2147484043
121334;102235;2147484042
