fes;time;f
1;130;2147484712
11;163;2147484709
25;190;2147484707
27;194;2147484706
29;197;2147484705
34;208;2147484704
59;246;2147484702
61;249;2147484701
64;254;2147484695
65;256;2147484694
67;259;2147484690
70;263;2147484689
154;396;2147484688
156;398;2147484683
157;399;2147484680
167;412;2147484678
168;413;2147484677
169;415;2147484676
3150;4057;2147484675
3155;4063;2147484672
3156;4064;2147484670
3160;4070;2147484669
3370;4320;2147484667
3373;4323;2147484666
3392;4347;2147484665
3398;4354;2147484664
3405;4362;2147484661
3407;4367;2147484660
3444;4412;2147484659
3446;4415;2147484655
3447;4416;2147484654
3500;4478;2147484651
3507;4487;2147484650
3509;4489;2147484649
3510;4490;2147484648
3522;4505;2147484647
3523;4506;2147484646
3538;4523;2147484645
3540;4526;2147484644
3543;4529;2147484642
3642;4647;2147484641
3646;4652;2147484640
3650;4656;2147484639
3661;4671;2147484638
3673;4684;2147484637
3677;4689;2147484633
3708;4722;2147484630
3717;4732;2147484629
3723;4739;2147484627
3724;4740;2147484626
3727;4744;2147484625
3729;4746;2147484623
3731;4748;2147484621
3773;4802;2147484617
3789;4821;2147484616
3791;4823;2147484614
3792;4824;2147484613
3806;4840;2147484612
3809;4843;2147484611
3810;4845;2147484610
3828;4865;2147484609
3839;4877;2147484607
3852;4892;2147484603
3876;4920;2147484601
13557;16693;2147484596
13560;16697;2147484595
13585;16725;2147484594
13588;16729;2147484593
13591;16732;2147484592
13592;16734;2147484591
13632;16778;2147484590
13635;16781;2147484589
13636;16783;2147484585
14709;18077;2147484584
14713;18082;2147484583
14751;18127;2147484582
14756;18132;2147484578
14757;18134;2147484575
14941;18358;2147484574
14951;18372;2147484573
14952;18374;2147484572
14956;18378;2147484571
14960;18383;2147484569
14972;18396;2147484568
14974;18399;2147484567
14976;18401;2147484566
14978;18403;2147484564
14980;18406;2147484562
14981;18407;2147484561
38571;45426;2147484560
38573;45426;2147484559
38580;45441;2147484558
38589;45457;2147484557
38590;45457;2147484556
38594;45457;2147484554
38606;45492;2147484553
38610;45497;2147484552
38615;45504;2147484551
38619;45509;2147484550
38629;45513;2147484549
38632;45513;2147484548
38638;45528;2147484546
38642;45528;2147484544
38664;45559;2147484543
38674;45559;2147484542
38690;45575;2147484541
38694;45591;2147484539
38701;45591;2147484538
38704;45591;2147484536
38705;45591;2147484534
38706;45606;2147484533
38712;45606;2147484530
38715;45606;2147484529
38716;45606;2147484527
38717;45606;2147484526
38718;45606;2147484523
38722;45622;2147484522
38724;45622;2147484521
38725;45622;2147484520
38727;45622;2147484519
38730;45622;2147484518
38737;45638;2147484517
38738;45638;2147484516
38744;45638;2147484515
38745;45638;2147484514
39321;46231;2147484513
39470;46403;2147484512
39472;46403;2147484511
39499;46434;2147484510
39505;46434;2147484509
39508;46434;2147484508
39520;46450;2147484504
39557;46481;2147484503
39564;46497;2147484502
39565;46497;2147484501
39566;46497;2147484498
39570;46497;2147484497
39645;46575;2147484494
39650;46590;2147484493
39720;46653;2147484492
39726;46669;2147484491
39749;46684;2147484489
39766;46700;2147484488
39772;46715;2147484487
39779;46715;2147484486
39781;46715;2147484485
39782;46715;2147484483
39838;46778;2147484482
39841;46778;2147484481
39845;46794;2147484478
39857;46794;2147484476
39895;46840;2147484474
39902;46840;2147484473
39907;46856;2147484472
39914;46856;2147484471
39920;46856;2147484467
39922;46872;2147484466
39924;46872;2147484465
39927;46872;2147484463
45869;53057;2147484462
45922;53104;2147484461
45928;53119;2147484460
45945;53135;2147484459
45948;53135;2147484458
45951;53135;2147484457
45955;53135;2147484456
45963;53151;2147484455
45967;53151;2147484453
45985;53166;2147484452
45993;53182;2147484451
45995;53182;2147484450
46075;53260;2147484447
46088;53275;2147484446
46091;53291;2147484445
46093;53291;2147484444
46113;53307;2147484443
46115;53307;2147484440
46792;54010;2147484439
46795;54010;2147484438
46814;54041;2147484437
46817;54041;2147484436
46818;54041;2147484435
46863;54088;2147484434
46873;54088;2147484433
46876;54103;2147484432
46880;54103;2147484431
46886;54103;2147484430
46899;54119;2147484429
46906;54135;2147484428
46909;54135;2147484427
46920;54135;2147484426
168577;181709;2147484424
168580;181709;2147484422
168608;181740;2147484421
168609;181740;2147484420
168612;181740;2147484419
168640;181771;2147484418
