fes;time;f
1;46;2147483982
3240;952;2147483981
3242;952;2147483980
3244;952;2147483978
3253;952;2147483975
3265;968;2147483973
3266;968;2147483972
3270;968;2147483971
4596;1312;2147483970
4597;1312;2147483969
4599;1312;2147483968
4602;1312;2147483965
4616;1312;2147483964
4617;1312;2147483963
4627;1312;2147483962
4642;1327;2147483961
4644;1327;2147483959
4659;1327;2147483955
4660;1327;2147483953
4673;1327;2147483952
4675;1327;2147483951
4679;1327;2147483950
4688;1327;2147483949
4689;1327;2147483948
4690;1327;2147483947
4693;1327;2147483945
4977;1405;2147483944
4979;1405;2147483942
4988;1405;2147483941
4995;1405;2147483940
5000;1405;2147483939
5007;1405;2147483938
5010;1405;2147483937
5014;1405;2147483936
5016;1405;2147483935
5017;1405;2147483934
5208;1452;2147483931
5214;1468;2147483930
5246;1468;2147483928
5247;1468;2147483927
5249;1468;2147483925
5265;1468;2147483924
5270;1468;2147483923
5271;1468;2147483922
5273;1468;2147483921
5275;1468;2147483920
5277;1468;2147483918
5279;1484;2147483917
5282;1484;2147483916
5283;1484;2147483915
5289;1484;2147483914
5291;1484;2147483913
5292;1484;2147483909
5296;1484;2147483908
5298;1484;2147483907
5301;1484;2147483905
5302;1484;2147483904
6995;1905;2147483902
6999;1905;2147483901
7003;1905;2147483900
7483;2015;2147483898
7491;2015;2147483897
7494;2015;2147483896
7496;2015;2147483895
7506;2030;2147483894
7509;2030;2147483893
23827;5951;2147483892
23828;5951;2147483890
23830;5951;2147483889
23886;5967;2147483887
23888;5967;2147483886
23930;5967;2147483884
23960;5983;2147483881
23963;5983;2147483880
24230;6045;2147483879
24232;6045;2147483877
24277;6045;2147483876
24280;6045;2147483875
24282;6061;2147483874
24284;6061;2147483873
24500;6108;2147483872
24511;6108;2147483871
24516;6108;2147483870
24585;6123;2147483869
24587;6123;2147483868
24604;6123;2147483867
24609;6123;2147483866
24610;6123;2147483864
27523;6826;2147483863
27565;6826;2147483862
27566;6826;2147483861
