fes;time;f
1;63;2147484861
23;125;2147484860
24;125;2147484858
25;125;2147484857
40;157;2147484855
43;157;2147484850
51;172;2147484849
54;172;2147484847
55;172;2147484843
57;188;2147484838
60;188;2147484837
128;266;2147484836
129;266;2147484835
131;266;2147484834
141;282;2147484832
206;344;2147484831
209;344;2147484829
210;344;2147484824
213;360;2147484822
215;360;2147484820
412;516;2147484815
414;516;2147484813
416;516;2147484811
418;516;2147484810
421;531;2147484809
430;531;2147484807
433;531;2147484801
435;531;2147484799
436;531;2147484797
445;547;2147484796
448;547;2147484795
451;547;2147484794
452;547;2147484793
457;547;2147484791
459;547;2147484788
462;547;2147484786
463;563;2147484785
467;563;2147484781
472;563;2147484777
473;563;2147484776
474;563;2147484774
490;578;2147484773
493;578;2147484772
494;578;2147484771
495;578;2147484770
498;578;2147484767
500;578;2147484766
503;594;2147484759
505;594;2147484758
560;625;2147484755
561;641;2147484752
562;641;2147484751
567;641;2147484750
578;641;2147484748
579;641;2147484747
580;656;2147484745
581;656;2147484740
583;656;2147484739
832;844;2147484737
834;844;2147484736
843;860;2147484735
844;860;2147484734
846;860;2147484733
848;860;2147484732
854;860;2147484728
8663;6851;2147484725
8664;6851;2147484724
8665;6851;2147484723
8686;6867;2147484719
8705;6883;2147484718
8710;6883;2147484717
8711;6883;2147484716
8716;6898;2147484715
8743;6914;2147484710
8746;6914;2147484709
8748;6914;2147484708
9423;7429;2147484707
9425;7429;2147484706
9426;7429;2147484704
9429;7445;2147484703
9432;7445;2147484699
9433;7445;2147484698
9454;7461;2147484697
9457;7461;2147484696
9467;7461;2147484695
9470;7476;2147484694
9474;7476;2147484692
9479;7476;2147484691
9481;7476;2147484687
9482;7476;2147484685
9484;7476;2147484682
9499;7492;2147484680
9509;7492;2147484677
9521;7508;2147484675
9532;7523;2147484674
9534;7523;2147484672
9537;7523;2147484671
9540;7523;2147484669
9541;7523;2147484668
9544;7523;2147484667
9550;7539;2147484666
9554;7539;2147484665
10357;8148;2147484663
10361;8148;2147484662
10362;8148;2147484661
10363;8148;2147484660
10403;8179;2147484659
10404;8179;2147484656
10407;8195;2147484653
10408;8195;2147484651
10409;8195;2147484649
10410;8195;2147484648
10413;8195;2147484646
