fes;time;f
1;78;2147486009
11;156;2147486006
15;172;2147486004
18;203;2147486003
20;203;2147486002
26;234;2147486001
28;250;2147486000
31;265;2147485996
32;265;2147485995
37;281;2147485990
87;500;2147485989
88;500;2147485987
92;531;2147485986
137;734;2147485984
138;734;2147485983
139;734;2147485981
140;734;2147485980
149;781;2147485979
150;781;2147485978
151;796;2147485976
161;843;2147485974
162;843;2147485973
311;1499;2147485971
318;1515;2147485970
319;1531;2147485968
320;1531;2147485963
354;1687;2147485962
357;1687;2147485960
359;1702;2147485957
361;1718;2147485955
383;1812;2147485953
397;1874;2147485952
399;1890;2147485951
400;1890;2147485949
401;1890;2147485948
447;2093;2147485945
450;2109;2147485941
454;2124;2147485940
457;2140;2147485939
462;2155;2147485938
463;2171;2147485937
466;2171;2147485934
467;2187;2147485933
562;2593;2147485932
564;2593;2147485931
565;2608;2147485929
613;2812;2147485928
614;2812;2147485926
629;2890;2147485925
634;2905;2147485922
636;2921;2147485920
638;2921;2147485917
643;2952;2147485916
691;3155;2147485915
694;3171;2147485913
695;3171;2147485912
698;3186;2147485911
699;3186;2147485910
720;3280;2147485909
757;3436;2147485907
19202;79231;2147485906
19204;79231;2147485902
19208;79247;2147485898
19222;79309;2147485896
19223;79309;2147485895
19224;79325;2147485894
19380;79950;2147485891
19384;79966;2147485890
19387;79981;2147485889
19389;79981;2147485885
19392;79997;2147485883
19398;80012;2147485882
19401;80028;2147485881
19535;80575;2147485880
19538;80590;2147485879
19552;80637;2147485877
19558;80669;2147485876
19560;80669;2147485862
19724;81340;2147485860
19727;81356;2147485857
19728;81356;2147485856
19749;81450;2147485855
19750;81450;2147485852
19773;81543;2147485851
19778;81559;2147485848
19825;81746;2147485845
19836;81793;2147485844
19846;81825;2147485842
19848;81840;2147485841
19849;81840;2147485840
19851;81856;2147485831
19871;81934;2147485830
19872;81934;2147485827
19873;81934;2147485826
20203;83277;2147485825
20210;83309;2147485822
20211;83309;2147485819
20224;83355;2147485818
20230;83387;2147485816
20231;83387;2147485815
20296;83652;2147485812
20297;83652;2147485811
20299;83652;2147485810
20328;83777;2147485789
20339;83824;2147485788
20342;83840;2147485787
20581;84808;2147485782
20684;85214;2147485780
20687;85230;2147485779
20688;85230;2147485777
20689;85246;2147485776
20700;85292;2147485775
20706;85308;2147485774
20708;85324;2147485770
20710;85324;2147485769
20734;85433;2147485768
55086;223620;2147485765
55095;223651;2147485762
55096;223651;2147485758
55128;223792;2147485756
55132;223807;2147485755
55134;223807;2147485753
55135;223807;2147485752
55151;223885;2147485751
55154;223901;2147485748
55278;224385;2147485747
55284;224416;2147485745
55286;224416;2147485742
55289;224432;2147485741
55295;224463;2147485738
55296;224463;2147485737
55297;224463;2147485736
55629;225791;2147485735
55631;225807;2147485733
55632;225807;2147485726
55660;225916;2147485725
55673;225963;2147485724
55674;225979;2147485718
56044;227447;2147485716
56052;227478;2147485714
56054;227478;2147485713
56055;227494;2147485712
56061;227510;2147485710
56190;228025;2147485709
56205;228087;2147485707
56209;228103;2147485706
56216;228134;2147485705
56221;228166;2147485703
56223;228166;2147485700
56226;228181;2147485698
56247;228259;2147485697
56251;228275;2147485695
56252;228291;2147485694
56254;228291;2147485693
56272;228369;2147485692
56355;228697;2147485691
56358;228712;2147485689
56364;228744;2147485686
56366;228744;2147485683
56368;228759;2147485682
56374;228775;2147485680
56577;229587;2147485676
56602;229681;2147485675
56630;229806;2147485674
56635;229821;2147485673
56638;229837;2147485671
56641;229853;2147485669
56644;229853;2147485668
56684;230025;2147485667
56688;230040;2147485664
56691;230056;2147485662
56692;230056;2147485661
56693;230056;2147485659
56698;230071;2147485657
56708;230118;2147485656
56787;230431;2147485654
56788;230431;2147485653
56793;230446;2147485651
61378;248692;2147485650
61383;248723;2147485649
61386;248739;2147485645
61392;248755;2147485644
61420;248880;2147485643
61447;248973;2147485642
61448;248989;2147485641
61854;250582;2147485640
61868;250645;2147485639
61878;250692;2147485638
61888;250723;2147485637
61889;250723;2147485636
61893;250739;2147485634
61903;250785;2147485633
61907;250801;2147485632
61912;250817;2147485631
62006;251207;2147485630
62070;251473;2147485629
62077;251504;2147485627
62078;251504;2147485624
62155;251816;2147485621
62157;251816;2147485620
62182;251926;2147485619
62183;251926;2147485617
62403;252800;2147485615
62407;252816;2147485614
62415;252847;2147485613
62423;252879;2147485612
62427;252894;2147485609
62447;252972;2147485607
62452;252988;2147485606
62457;253004;2147485605
62458;253019;2147485603
64894;262783;2147485602
64900;262798;2147485600
64913;262861;2147485598
64914;262861;2147485597
64917;262876;2147485594
64985;263142;2147485591
64998;263189;2147485590
65003;263204;2147485589
65005;263220;2147485588
234122;943974;2147485587
234133;944021;2147485586
234134;944021;2147485584
234143;944052;2147485583
234388;945052;2147485581
234390;945052;2147485580
234574;945786;2147485578
234579;945801;2147485577
234580;945801;2147485576
234583;945817;2147485575
234584;945817;2147485574
234619;945958;2147485573
234627;945989;2147485571
234630;946004;2147485568
234689;946239;2147485567
234699;946286;2147485565
234701;946286;2147485564
234702;946286;2147485563
234731;946411;2147485562
234735;946426;2147485560
234740;946442;2147485559
234743;946457;2147485558
235473;949363;2147485554
235476;949379;2147485552
235484;949410;2147485548
235486;949425;2147485547
235487;949425;2147485546
235650;950066;2147485544
235666;950128;2147485541
235667;950144;2147485540
235668;950144;2147485539
235709;950316;2147485537
235711;950316;2147485536
235728;950394;2147485534
235729;950394;2147485524
237597;957830;2147485523
237604;957861;2147485521
237607;957877;2147485518
237612;957892;2147485517
237613;957892;2147485516
237617;957908;2147485515
237619;957924;2147485513
237633;957970;2147485512
237636;957986;2147485510
237641;958002;2147485505
237665;958095;2147485504
237683;958174;2147485503
237685;958189;2147485499
238490;961376;2147485498
238492;961376;2147485497
238493;961392;2147485496
238496;961407;2147485494
238507;961454;2147485491
238509;961454;2147485488
238513;961470;2147485487
238536;961579;2147485486
238542;961595;2147485485
238545;961610;2147485484
238546;961610;2147485483
238549;961626;2147485482
238728;962344;2147485481
238729;962344;2147485480
238730;962344;2147485479
239286;964578;2147485477
239294;964609;2147485476
239298;964625;2147485474
239299;964625;2147485473
239301;964625;2147485472
239342;964797;2147485471
239361;964875;2147485468
239362;964875;2147485466
239364;964891;2147485465
239366;964891;2147485462
239367;964891;2147485461
239368;964906;2147485460
239374;964922;2147485459
239384;964969;2147485458
239385;964969;2147485457
239387;964969;2147485456
239388;964984;2147485455
239390;964984;2147485454
239422;965109;2147485452
239429;965141;2147485450
239443;965203;2147485449
239444;965203;2147485448
260345;1048704;2147485447
260346;1048704;2147485446
276181;1112190;2147485445
276182;1112190;2147485442
276186;1112205;2147485441
276194;1112236;2147485440
276197;1112252;2147485439
276202;1112268;2147485437
276205;1112283;2147485435
276208;1112299;2147485434
276350;1112861;2147485432
276778;1114548;2147485431
276780;1114548;2147485425
276781;1114548;2147485424
276797;1114611;2147485423
276973;1115330;2147485422
276975;1115330;2147485421
277010;1115470;2147485420
277011;1115470;2147485418
277027;1115533;2147485417
277028;1115533;2147485416
277058;1115658;2147485415
277062;1115673;2147485414
277064;1115689;2147485413
277072;1115720;2147485410
277116;1115892;2147485408
277129;1115954;2147485406
277131;1115970;2147485405
277133;1115970;2147485403
277135;1115986;2147485402
277137;1115986;2147485401
277140;1116001;2147485398
277142;1116017;2147485397
277143;1116017;2147485394
277569;1117735;2147485393
277581;1117782;2147485392
277585;1117798;2147485391
277589;1117813;2147485390
277591;1117829;2147485389
277593;1117829;2147485388
277594;1117829;2147485385
277601;1117860;2147485384
281575;1133798;2147485383
281578;1133813;2147485382
281586;1133844;2147485379
281592;1133876;2147485378
281593;1133876;2147485376
285095;1147919;2147485375
285098;1147935;2147485374
285100;1147950;2147485372
285108;1147982;2147485368
285113;1147997;2147485367
285120;1148029;2147485363
286080;1151887;2147485361
286127;1152075;2147485360
286129;1152075;2147485359
286148;1152153;2147485358
286155;1152184;2147485357
286156;1152184;2147485356
286168;1152231;2147485354
286176;1152262;2147485352
286185;1152309;2147485351
286190;1152324;2147485350
327264;1317380;2147485348
327268;1317396;2147485347
327269;1317396;2147485346
327270;1317411;2147485344
327271;1317411;2147485342
327368;1317786;2147485341
327374;1317817;2147485339
327382;1317849;2147485338
327386;1317864;2147485337
327390;1317880;2147485335
327403;1317927;2147485334
327414;1317974;2147485333
328541;1322441;2147485332
328542;1322441;2147485331
328544;1322441;2147485329
328546;1322457;2147485327
328857;1323705;2147485326
328863;1323736;2147485325
328869;1323752;2147485324
328870;1323767;2147485323
328875;1323783;2147485321
328876;1323783;2147485320
329153;1324892;2147485317
329158;1324908;2147485316
329228;1325189;2147485315
329239;1325236;2147485314
329241;1325236;2147485313
329244;1325251;2147485310
329245;1325251;2147485309
330111;1328704;2147485308
330115;1328719;2147485307
330120;1328751;2147485305
330242;1329219;2147485304
330243;1329219;2147485302
330244;1329235;2147485301
330264;1329313;2147485300
330288;1329407;2147485299
330308;1329485;2147485297
330314;1329500;2147485295
330324;1329547;2147485293
330325;1329547;2147485292
330844;1331594;2147485291
330848;1331609;2147485290
330855;1331641;2147485289
330863;1331672;2147485286
330894;1331797;2147485284
330916;1331875;2147485282
330917;1331875;2147485281
