fes;time;f
1;94;2147485963
3;141;2147485962
8;188;2147485961
11;203;2147485958
721;3453;2147485956
724;3468;2147485953
732;3499;2147485952
733;3515;2147485950
736;3515;2147485948
738;3531;2147485947
743;3546;2147485946
752;3593;2147485945
763;3656;2147485944
769;3671;2147485941
775;3702;2147485938
776;3718;2147485937
793;3781;2147485931
820;3906;2147485930
1167;5483;2147485927
1168;5483;2147485924
1180;5546;2147485922
1181;5546;2147485921
1182;5546;2147485917
1187;5577;2147485916
1193;5608;2147485915
1198;5624;2147485912
1199;5624;2147485911
1200;5639;2147485910
1202;5639;2147485909
1264;5921;2147485906
1265;5921;2147485904
1268;5936;2147485903
1271;5952;2147485901
1272;5952;2147485899
1342;6280;2147485864
1344;6280;2147485863
1503;6998;2147485862
1510;7030;2147485860
1515;7045;2147485856
1518;7061;2147485853
1519;7061;2147485852
1522;7077;2147485850
1524;7092;2147485849
29205;132268;2147485847
29224;132346;2147485846
29383;133065;2147485842
29389;133081;2147485841
29401;133143;2147485839
29403;133143;2147485838
29421;133237;2147485836
29425;133252;2147485833
29434;133284;2147485831
29437;133299;2147485829
29438;133299;2147485827
29440;133315;2147485825
29446;133346;2147485824
29451;133362;2147485822
29457;133393;2147485819
35816;162190;2147485807
35817;162205;2147485805
35820;162205;2147485804
35881;162487;2147485802
35936;162737;2147485800
35945;162783;2147485798
35946;162783;2147485796
35947;162783;2147485794
35974;162908;2147485793
35977;162924;2147485792
35980;162940;2147485790
36043;163221;2147485788
36046;163236;2147485786
36056;163283;2147485785
36058;163283;2147485784
36062;163299;2147485782
36064;163315;2147485779
36066;163315;2147485778
36142;163662;2147485777
36143;163677;2147485775
36151;163709;2147485772
36152;163709;2147485769
37746;170879;2147485756
37893;171551;2147485755
37898;171582;2147485754
37913;171644;2147485753
37919;171676;2147485750
37920;171676;2147485749
37925;171691;2147485748
38714;175288;2147485746
38716;175303;2147485742
38731;175366;2147485737
38734;175381;2147485736
38808;175710;2147485734
38816;175741;2147485732
38817;175756;2147485730
38818;175756;2147485727
38884;176053;2147485726
38900;176131;2147485725
38912;176194;2147485722
38916;176209;2147485721
38922;176241;2147485720
38935;176303;2147485717
38950;176366;2147485716
38953;176381;2147485712
38955;176397;2147485709
39072;176928;2147485708
39074;176928;2147485706
39076;176944;2147485705
39077;176944;2147485703
39079;176959;2147485702
39123;177162;2147485695
39142;177240;2147485693
39155;177303;2147485690
39163;177334;2147485688
39165;177350;2147485686
39168;177365;2147485683
39170;177365;2147485680
39173;177381;2147485678
39174;177381;2147485677
40742;184468;2147485660
40743;184468;2147485659
41554;188123;2147485657
41558;188139;2147485656
41563;188155;2147485655
42666;193158;2147485654
42667;193174;2147485653
42668;193174;2147485651
42669;193174;2147485650
42679;193220;2147485649
42680;193236;2147485647
42681;193236;2147485646
42688;193267;2147485645
42691;193283;2147485643
42694;193299;2147485641
42696;193299;2147485637
42714;193392;2147485634
42721;193424;2147485632
42778;193673;2147485631
42779;193689;2147485629
42784;193705;2147485628
42785;193705;2147485626
42786;193720;2147485625
42797;193767;2147485623
42825;193892;2147485621
42830;193908;2147485620
42856;194033;2147485616
42858;194033;2147485615
42864;194064;2147485613
42876;194126;2147485612
42888;194173;2147485610
42890;194189;2147485609
42907;194267;2147485605
42910;194283;2147485602
42915;194298;2147485600
42927;194361;2147485599
42928;194361;2147485595
42930;194361;2147485594
43087;195079;2147485593
43090;195095;2147485592
43091;195095;2147485591
43114;195204;2147485590
43123;195251;2147485588
43124;195251;2147485586
43145;195345;2147485585
43152;195376;2147485584
43154;195376;2147485583
43188;195532;2147485582
43195;195564;2147485581
43203;195611;2147485580
43204;195611;2147485577
