fes;time;f
1;62;2147484467
3;62;2147484464
23;78;2147484463
25;78;2147484460
27;78;2147484454
28;78;2147484446
30;78;2147484445
35;93;2147484444
36;93;2147484442
37;93;2147484439
38;93;2147484435
51;93;2147484430
787;359;2147484429
788;359;2147484427
789;359;2147484424
793;359;2147484419
794;359;2147484415
795;359;2147484413
798;359;2147484410
812;375;2147484408
817;375;2147484406
821;375;2147484404
957;406;2147484403
958;406;2147484402
959;406;2147484399
973;421;2147484398
975;421;2147484397
976;421;2147484395
980;421;2147484394
984;421;2147484393
986;421;2147484389
992;421;2147484387
995;421;2147484386
1002;421;2147484379
10480;3061;2147484378
10502;3077;2147484374
10505;3077;2147484373
10543;3093;2147484372
10544;3093;2147484371
10546;3093;2147484367
10553;3093;2147484365
10554;3093;2147484358
10712;3140;2147484357
10715;3140;2147484356
10721;3140;2147484355
10726;3140;2147484352
10731;3140;2147484351
11155;3249;2147484344
11165;3265;2147484342
11167;3265;2147484340
11172;3265;2147484339
11173;3265;2147484338
11182;3265;2147484337
11210;3265;2147484333
11213;3265;2147484331
11219;3280;2147484326
11221;3280;2147484325
11223;3280;2147484323
11225;3280;2147484321
11226;3280;2147484320
11228;3280;2147484318
11229;3280;2147484317
11237;3280;2147484315
11242;3280;2147484313
11243;3280;2147484312
11244;3280;2147484311
14329;4139;2147484310
14331;4139;2147484308
14333;4139;2147484307
14334;4139;2147484306
14349;4139;2147484305
14353;4139;2147484303
14356;4139;2147484301
14373;4139;2147484298
14378;4139;2147484293
14382;4139;2147484291
14589;4202;2147484288
14592;4202;2147484286
14593;4202;2147484285
14596;4202;2147484283
15252;4389;2147484282
15253;4389;2147484279
15264;4389;2147484278
15267;4389;2147484277
15382;4420;2147484276
15383;4420;2147484272
15385;4420;2147484270
15386;4420;2147484269
15387;4420;2147484268
15427;4436;2147484267
15488;4452;2147484265
15489;4452;2147484263
15587;4483;2147484261
15592;4483;2147484259
15593;4483;2147484256
15705;4514;2147484255
15706;4514;2147484253
15721;4514;2147484252
15798;4530;2147484251
15802;4530;2147484249
15803;4530;2147484248
15833;4545;2147484242
15835;4545;2147484241
15837;4545;2147484240
15839;4545;2147484238
15850;4545;2147484237
15855;4545;2147484235
15860;4561;2147484234
15861;4561;2147484232
15862;4561;2147484231
15881;4561;2147484230
15885;4561;2147484228
15887;4561;2147484227
15995;4592;2147484225
15996;4592;2147484219
39373;11123;2147484218
39386;11138;2147484217
39388;11138;2147484215
39413;11138;2147484214
39415;11138;2147484212
39416;11138;2147484208
39494;11154;2147484206
39497;11154;2147484204
39499;11170;2147484199
39622;11201;2147484198
39624;11201;2147484196
39742;11232;2147484191
94602;26388;2147484190
94605;26388;2147484189
94606;26388;2147484188
94607;26388;2147484187
94747;26434;2147484186
