fes;time;f
1;47;2147484193
3;62;2147484192
4;62;2147484190
7;62;2147484189
8;62;2147484188
569;390;2147484187
572;390;2147484186
575;406;2147484183
576;406;2147484182
577;406;2147484179
581;406;2147484177
582;406;2147484176
585;406;2147484173
591;406;2147484169
601;406;2147484167
631;422;2147484165
651;437;2147484163
670;453;2147484161
671;453;2147484159
684;453;2147484156
685;453;2147484155
2472;1375;2147484153
2479;1375;2147484149
2509;1390;2147484147
2521;1406;2147484145
2524;1406;2147484144
2542;1421;2147484142
2544;1421;2147484139
2546;1421;2147484137
12515;6456;2147484136
12516;6456;2147484135
12523;6472;2147484133
12575;6488;2147484132
12582;6503;2147484130
12583;6503;2147484128
12592;6503;2147484127
12593;6503;2147484124
12595;6503;2147484123
12598;6503;2147484122
13237;6831;2147484121
13242;6831;2147484120
13268;6847;2147484119
13271;6847;2147484118
13276;6847;2147484116
13281;6847;2147484114
13282;6847;2147484113
13337;6878;2147484112
13339;6878;2147484108
13342;6878;2147484105
13346;6878;2147484104
13350;6878;2147484103
13475;6941;2147484102
13482;6941;2147484100
13491;6956;2147484099
13518;6972;2147484097
13523;6972;2147484096
13524;6972;2147484094
13532;6972;2147484093
13536;6972;2147484091
13541;6972;2147484090
13543;6972;2147484089
13544;6972;2147484086
13548;6988;2147484085
13585;7003;2147484084
13586;7003;2147484083
13588;7003;2147484082
13597;7003;2147484081
13607;7003;2147484080
13611;7003;2147484079
13619;7019;2147484078
13632;7019;2147484077
16228;8284;2147484076
16233;8284;2147484074
16234;8284;2147484073
16254;8300;2147484072
16260;8300;2147484071
16261;8300;2147484070
16262;8300;2147484068
16272;8300;2147484067
16273;8300;2147484066
16319;8331;2147484065
16320;8331;2147484064
16339;8331;2147484063
16353;8347;2147484062
16364;8347;2147484059
16366;8347;2147484058
16367;8347;2147484057
20771;10518;2147484056
20780;10518;2147484055
20782;10518;2147484054
20794;10534;2147484052
20813;10534;2147484051
20821;10549;2147484050
20822;10549;2147484049
20823;10549;2147484048
20840;10549;2147484047
20850;10549;2147484046
20951;10596;2147484045
20952;10612;2147484043
20953;10612;2147484042
21008;10627;2147484040
21017;10627;2147484039
21789;11002;2147484038
21797;11002;2147484037
21798;11002;2147484036
21801;11002;2147484035
21803;11018;2147484034
21805;11018;2147484032
21813;11018;2147484031
21817;11018;2147484030
21888;11049;2147484029
21889;11049;2147484028
22497;11330;2147484027
22524;11346;2147484026
22532;11346;2147484023
22657;11408;2147484022
22662;11408;2147484019
23080;11611;2147484018
23081;11611;2147484016
23084;11611;2147484014
23085;11611;2147484013
23087;11611;2147484012
23231;11690;2147484011
23232;11690;2147484010
23234;11690;2147484008
23270;11705;2147484007
23273;11705;2147484006
23280;11705;2147484005
23281;11705;2147484004
23361;11736;2147484002
23365;11752;2147484001
23411;11768;2147484000
23418;11768;2147483999
23419;11768;2147483997
23454;11783;2147483996
23473;11799;2147483994
23505;11815;2147483993
23510;11815;2147483992
31113;15423;2147483991
31121;15423;2147483990
31127;15423;2147483989
31145;15439;2147483988
31149;15439;2147483987
31163;15439;2147483985
31376;15548;2147483984
31381;15548;2147483981
31391;15548;2147483980
31392;15548;2147483979
31397;15548;2147483978
31405;15548;2147483977
31408;15564;2147483976
31415;15564;2147483975
31424;15564;2147483974
31429;15564;2147483972
31431;15564;2147483971
31436;15579;2147483970
31891;15782;2147483968
31900;15782;2147483967
31928;15798;2147483966
31931;15798;2147483965
31932;15798;2147483964
63460;30837;2147483963
63511;30853;2147483962
63523;30853;2147483961
63524;30853;2147483960
63609;30900;2147483958
63621;30900;2147483954
63623;30900;2147483953
63625;30900;2147483952
63694;30931;2147483951
63698;30947;2147483950
63706;30947;2147483949
72669;35133;2147483948
