fes;time;f
1;47;2147484009
28;94;2147484008
39;94;2147484003
44;94;2147484002
1261;469;2147484001
1264;469;2147484000
1265;469;2147483996
1274;469;2147483995
1278;469;2147483992
1282;469;2147483991
1288;469;2147483990
1291;469;2147483988
1304;485;2147483986
1591;547;2147483985
1599;547;2147483984
1895;625;2147483982
1896;625;2147483981
1957;625;2147483980
1964;641;2147483978
2023;656;2147483977
2025;656;2147483976
2058;672;2147483972
2063;672;2147483970
2065;672;2147483968
2070;672;2147483967
2071;672;2147483966
2072;672;2147483964
2237;719;2147483963
2242;719;2147483961
2245;719;2147483960
2246;719;2147483959
2252;719;2147483956
2260;719;2147483955
2262;719;2147483953
2266;719;2147483952
2456;781;2147483951
2457;781;2147483950
2479;781;2147483949
2484;781;2147483948
2494;781;2147483947
2502;781;2147483946
2514;797;2147483945
2520;797;2147483944
2526;797;2147483942
2540;797;2147483941
2549;797;2147483940
2551;797;2147483939
2559;797;2147483938
2844;875;2147483937
2847;875;2147483936
2877;875;2147483935
2880;875;2147483934
2886;875;2147483933
2890;891;2147483932
2895;891;2147483931
2965;906;2147483930
2973;906;2147483929
2976;906;2147483928
2978;906;2147483927
2993;906;2147483926
3003;906;2147483925
3005;906;2147483924
3013;906;2147483923
3015;906;2147483921
3029;922;2147483919
51280;12077;2147483918
51301;12092;2147483914
51303;12092;2147483913
51918;12233;2147483912
51946;12233;2147483909
51959;12248;2147483908
51961;12248;2147483907
52023;12264;2147483905
52043;12264;2147483903
52062;12264;2147483902
52097;12280;2147483901
52098;12280;2147483900
52109;12280;2147483899
52112;12280;2147483898
52161;12295;2147483895
52195;12295;2147483894
52201;12295;2147483892
54761;12873;2147483891
54762;12873;2147483889
54779;12889;2147483888
54804;12889;2147483887
54812;12889;2147483886
54822;12889;2147483885
54827;12889;2147483884
55047;12951;2147483883
55050;12951;2147483881
55068;12951;2147483880
55281;12998;2147483879
55322;13014;2147483878
55327;13014;2147483877
55355;13014;2147483875
56816;13342;2147483870
56960;13377;2147483868
56961;13377;2147483867
56969;13377;2147483866
56971;13377;2147483865
56980;13377;2147483864
56988;13377;2147483863
57061;13393;2147483862
57066;13393;2147483861
157804;36834;2147483859
157807;36849;2147483857
158515;37021;2147483856
158539;37037;2147483855
158543;37037;2147483854
158545;37037;2147483853
158591;37052;2147483852
158593;37052;2147483849
158598;37052;2147483848
158608;37052;2147483847
158615;37052;2147483846
