fes;time;f
1;47;2147484663
6;94;2147484662
8;94;2147484660
9;109;2147484658
10;109;2147484656
3249;7092;2147484655
3258;7108;2147484654
3263;7123;2147484652
3279;7155;2147484651
3283;7155;2147484649
3298;7186;2147484646
3303;7201;2147484645
3334;7264;2147484642
3335;7264;2147484641
3341;7280;2147484640
3346;7295;2147484637
3365;7342;2147484635
3366;7342;2147484634
3390;7389;2147484630
3412;7436;2147484629
3427;7467;2147484627
3437;7498;2147484626
3439;7498;2147484624
3443;7514;2147484623
3446;7514;2147484622
3448;7514;2147484621
3451;7529;2147484620
3578;7795;2147484619
3583;7811;2147484618
3592;7826;2147484615
3600;7842;2147484614
3607;7858;2147484613
3608;7858;2147484612
3615;7873;2147484610
3616;7873;2147484609
3617;7889;2147484608
3630;7904;2147484607
3818;8311;2147484606
3819;8311;2147484605
3824;8311;2147484604
3828;8326;2147484602
3829;8326;2147484601
3830;8326;2147484599
3848;8373;2147484597
3851;8373;2147484594
3852;8373;2147484593
6460;13934;2147484591
6470;13950;2147484590
6477;13966;2147484588
6482;13981;2147484587
6483;13981;2147484586
6588;14216;2147484585
6591;14216;2147484584
6594;14231;2147484583
6596;14231;2147484580
6623;14278;2147484579
6624;14294;2147484578
6626;14294;2147484577
6704;14466;2147484574
6709;14466;2147484571
6713;14481;2147484569
6715;14481;2147484567
6718;14497;2147484566
6720;14497;2147484565
6857;14778;2147484562
6920;14919;2147484559
6951;14981;2147484558
6967;15028;2147484556
6968;15028;2147484555
6994;15075;2147484554
6996;15090;2147484553
7014;15122;2147484552
7015;15122;2147484550
7016;15122;2147484549
7018;15137;2147484547
7019;15137;2147484545
7073;15247;2147484544
7080;15262;2147484542
7081;15262;2147484540
7082;15262;2147484539
7084;15278;2147484536
7085;15278;2147484535
7086;15278;2147484533
7091;15293;2147484532
7115;15340;2147484530
7118;15340;2147484528
7124;15356;2147484527
7127;15356;2147484525
19250;41272;2147484524
19255;41287;2147484523
19267;41319;2147484522
19272;41319;2147484521
19274;41334;2147484520
19277;41334;2147484518
19278;41334;2147484517
19286;41350;2147484514
19291;41366;2147484513
19294;41366;2147484512
19303;41397;2147484511
19308;41397;2147484510
19319;41428;2147484508
19324;41444;2147484505
19330;41444;2147484504
19331;41459;2147484502
19349;41491;2147484500
19350;41491;2147484499
19352;41491;2147484498
19353;41506;2147484497
19357;41506;2147484494
19361;41522;2147484493
19362;41522;2147484491
19364;41522;2147484490
19372;41537;2147484488
25466;54466;2147484487
25483;54497;2147484486
25504;54544;2147484483
25506;54544;2147484481
26005;55590;2147484480
26007;55606;2147484478
26036;55669;2147484477
26044;55684;2147484476
26092;55778;2147484474
26099;55794;2147484473
26111;55825;2147484472
26113;55825;2147484471
26116;55840;2147484470
26119;55840;2147484469
26123;55856;2147484467
26141;55887;2147484465
26142;55887;2147484463
26159;55934;2147484462
61540;131317;2147484461
61860;132020;2147484460
61866;132036;2147484459
61868;132051;2147484457
61874;132051;2147484455
61918;132145;2147484453
61930;132176;2147484451
61938;132192;2147484449
61941;132207;2147484448
61945;132207;2147484447
62176;132692;2147484446
62178;132707;2147484445
