fes;time;f
1;78;2147485147
7;140;2147485145
210;1218;2147485143
213;1234;2147485142
217;1249;2147485141
271;1499;2147485139
278;1546;2147485137
279;1546;2147485136
284;1562;2147485135
287;1577;2147485133
309;1687;2147485130
311;1687;2147485128
313;1702;2147485125
336;1812;2147485124
338;1812;2147485123
447;2327;2147485121
452;2343;2147485119
458;2374;2147485118
464;2405;2147485117
491;2530;2147485115
494;2530;2147485114
501;2577;2147485113
505;2593;2147485108
509;2608;2147485107
521;2671;2147485104
527;2686;2147485101
745;3686;2147485096
753;3717;2147485093
862;4233;2147485092
868;4264;2147485089
882;4327;2147485086
884;4342;2147485083
935;4577;2147485082
941;4608;2147485080
942;4608;2147485079
945;4623;2147485075
1031;5030;2147485071
1038;5061;2147485070
1050;5108;2147485069
1055;5139;2147485068
1810;8623;2147485067
1811;8638;2147485066
1812;8638;2147485065
1836;8748;2147485064
1839;8763;2147485062
1843;8779;2147485061
1847;8794;2147485058
1870;8904;2147485056
1872;8919;2147485055
1875;8935;2147485053
1876;8935;2147485051
1880;8951;2147485050
1883;8966;2147485048
2775;13043;2147485038
2785;13090;2147485037
2979;13981;2147485033
3261;15309;2147485032
3262;15324;2147485030
3266;15340;2147485029
3269;15355;2147485026
3281;15402;2147485024
3285;15418;2147485023
3299;15496;2147485018
3313;15558;2147485017
3319;15574;2147485016
3323;15605;2147485015
3330;15637;2147485014
3360;15762;2147485011
3396;15933;2147485010
3400;15949;2147485008
3409;15996;2147485006
3413;16011;2147485004
4305;20151;2147485002
4316;20198;2147485001
4318;20198;2147485000
4320;20214;2147484999
4330;20260;2147484998
4345;20323;2147484996
4354;20370;2147484994
4360;20401;2147484992
4364;20417;2147484991
4407;20620;2147484990
4408;20620;2147484989
4411;20635;2147484988
4413;20635;2147484987
4414;20651;2147484981
4415;20651;2147484980
4420;20667;2147484978
4426;20698;2147484977
4429;20714;2147484976
4435;20745;2147484975
4443;20776;2147484973
5869;27290;2147484972
5870;27290;2147484971
5876;27321;2147484970
5882;27353;2147484969
5890;27384;2147484968
5913;27493;2147484967
5918;27509;2147484966
5924;27540;2147484965
5935;27587;2147484964
5936;27587;2147484961
5972;27759;2147484960
5979;27790;2147484959
5982;27806;2147484957
5983;27806;2147484956
5986;27821;2147484955
5990;27837;2147484953
6000;27884;2147484952
6003;27899;2147484951
6004;27899;2147484950
7068;32836;2147484949
7086;32914;2147484946
7089;32929;2147484944
7121;33086;2147484943
7122;33086;2147484941
46102;212703;2147484940
46106;212719;2147484938
46107;212719;2147484937
