fes;time;f
1;52;2147484306
3;66;2147484304
5;72;2147484303
9;87;2147484302
10;88;2147484301
11;90;2147484300
20;101;2147484298
21;103;2147484296
22;104;2147484295
1289;736;2147484293
1291;738;2147484292
1298;742;2147484291
1304;745;2147484290
1305;746;2147484287
1307;748;2147484286
1316;752;2147484284
1333;763;2147484283
1347;772;2147484282
1348;772;2147484280
1351;774;2147484277
2187;1172;2147484272
2193;1176;2147484271
2194;1177;2147484270
2199;1179;2147484269
2201;1181;2147484267
2205;1183;2147484265
2207;1184;2147484264
2214;1188;2147484263
2225;1194;2147484261
2226;1195;2147484256
2238;1202;2147484255
2242;1204;2147484254
2243;1205;2147484252
2254;1211;2147484244
2291;1229;2147484243
2294;1231;2147484242
2297;1233;2147484241
2300;1234;2147484240
2301;1235;2147484239
2303;1236;2147484236
2357;1265;2147484235
2361;1268;2147484234
2365;1270;2147484231
2369;1272;2147484230
2370;1273;2147484228
2371;1274;2147484227
2384;1280;2147484225
2389;1283;2147484221
2392;1285;2147484220
2395;1287;2147484218
2399;1289;2147484217
2402;1291;2147484214
2405;1293;2147484213
2409;1296;2147484212
2422;1302;2147484209
2423;1303;2147484208
2430;1308;2147484206
2442;1316;2147484205
2447;1319;2147484200
2448;1320;2147484199
2465;1329;2147484198
2561;1381;2147484197
2563;1383;2147484196
2566;1385;2147484194
2568;1386;2147484193
2580;1392;2147484192
2583;1394;2147484191
2585;1395;2147484189
2586;1396;2147484186
2587;1397;2147484185
2589;1398;2147484184
2650;1431;2147484183
2653;1433;2147484181
2655;1434;2147484179
2660;1437;2147484174
2718;1469;2147484173
2722;1472;2147484172
6173;3062;2147484168
6220;3085;2147484167
6229;3090;2147484164
6244;3098;2147484163
6261;3106;2147484162
6268;3109;2147484160
6272;3112;2147484159
6284;3118;2147484154
6286;3119;2147484153
6389;3169;2147484152
6390;3170;2147484150
6391;3171;2147484149
6392;3172;2147484146
6393;3173;2147484143
23656;11036;2147484142
23659;11039;2147484138
23661;11041;2147484137
23663;11042;2147484135
23669;11046;2147484134
23670;11047;2147484133
23676;11050;2147484132
23677;11050;2147484131
23691;11059;2147484130
23693;11060;2147484128
23706;11066;2147484127
23707;11067;2147484126
23709;11068;2147484125
23714;11071;2147484122
23717;11072;2147484121
23718;11073;2147484119
23724;11077;2147484117
26421;12329;2147484116
26422;12330;2147484113
26450;12347;2147484111
26479;12361;2147484109
26484;12364;2147484108
26486;12365;2147484107
26489;12367;2147484106
26493;12369;2147484105
26494;12370;2147484104
26495;12370;2147484103
27072;12642;2147484102
27077;12645;2147484098
27079;12646;2147484096
27098;12655;2147484095
82620;38625;2147484093
82640;38625;2147484092
82668;38640;2147484091
82673;38640;2147484090
82694;38656;2147484089
82696;38656;2147484088
82697;38656;2147484087
82737;38687;2147484086
82744;38687;2147484085
82760;38687;2147484083
82761;38687;2147484081
82921;38765;2147484079
82928;38765;2147484078
82935;38765;2147484077
82938;38765;2147484076
82939;38781;2147484075
82945;38781;2147484074
82951;38781;2147484073
82954;38781;2147484071
82955;38781;2147484070
82956;38781;2147484067
82958;38781;2147484066
83154;38859;2147484064
85031;39656;2147484063
85038;39671;2147484062
85048;39671;2147484061
85058;39671;2147484060
85060;39671;2147484058
85371;39812;2147484057
85372;39812;2147484056
85386;39828;2147484054
85392;39828;2147484053
85395;39828;2147484052
85397;39828;2147484051
85599;39921;2147484050
85662;39953;2147484048
85682;39953;2147484047
85689;39968;2147484046
85691;39968;2147484044
85694;39968;2147484043
85697;39968;2147484041
85822;40031;2147484040
85836;40031;2147484039
85841;40031;2147484038
85845;40031;2147484037
85987;40093;2147484035
85993;40109;2147484033
85995;40109;2147484032
85997;40109;2147484031
86006;40109;2147484030
86010;40109;2147484029
86015;40109;2147484027
86158;40171;2147484025
86190;40187;2147484024
86191;40187;2147484022
86205;40203;2147484020
86206;40203;2147484017
86207;40203;2147484016
86290;40234;2147484015
86294;40249;2147484012
96625;44624;2147484010
96633;44639;2147484009
96638;44639;2147484008
96689;44655;2147484007
96700;44671;2147484006
96710;44671;2147484003
96711;44671;2147484002
128947;58290;2147484001
129175;58400;2147484000
129196;58400;2147483999
129201;58415;2147483998
129205;58415;2147483997
129207;58415;2147483996
129308;58462;2147483995
129315;58462;2147483993
129316;58462;2147483992
129324;58462;2147483991
129361;58494;2147483990
129364;58494;2147483989
129372;58494;2147483988
129373;58494;2147483987
129910;58744;2147483986
129911;58759;2147483984
130955;59197;2147483982
130960;59197;2147483981
130962;59197;2147483980
131172;59290;2147483979
131189;59306;2147483978
131192;59306;2147483977
131198;59306;2147483974
131229;59322;2147483973
131233;59322;2147483970
131250;59337;2147483969
131256;59337;2147483968
131257;59337;2147483967
131602;59493;2147483966
371859;164769;2147483965
371869;164769;2147483964
371877;164769;2147483963
371887;164784;2147483962
371897;164784;2147483961
372038;164847;2147483960
372041;164847;2147483959
372055;164862;2147483958
372062;164862;2147483957
372166;164909;2147483956
372175;164909;2147483955
372184;164909;2147483954
372185;164925;2147483953
372286;164956;2147483952
372288;164972;2147483950
372455;165034;2147483948
372460;165050;2147483947
372462;165050;2147483946
372472;165050;2147483945
372476;165050;2147483944
372524;165081;2147483943
372527;165081;2147483942
372535;165081;2147483940
387177;171205;2147483939
387179;171220;2147483938
387180;171220;2147483937
387465;171345;2147483936
387467;171345;2147483935
387474;171345;2147483933
387478;171345;2147483932
407528;179640;2147483931
407536;179656;2147483930
407538;179656;2147483929
407651;179703;2147483928
407655;179703;2147483927
407682;179719;2147483926
407795;179765;2147483925
407806;179781;2147483923
407856;179797;2147483922
407863;179812;2147483921
408309;180028;2147483919
408310;180028;2147483918
408349;180044;2147483916
408528;180122;2147483915
408544;180122;2147483914
408545;180122;2147483913
408547;180122;2147483911
408637;180169;2147483910
408641;180169;2147483909
408642;180169;2147483908
411634;181387;2147483907
411635;181387;2147483905
412278;181653;2147483904
412326;181684;2147483903
412336;181684;2147483902
412344;181700;2147483901
412346;181700;2147483899
412347;181700;2147483898
900944;396074;2147483897
900954;396074;2147483896
900964;396074;2147483895
900965;396074;2147483892
904697;397636;2147483891
904700;397636;2147483890
904763;397667;2147483888
905270;397870;2147483887
905298;397886;2147483886
905299;397886;2147483885
906112;398229;2147483884
906126;398245;2147483883
906169;398261;2147483882
906172;398261;2147483880
906191;398261;2147483879
906197;398276;2147483878
906202;398276;2147483877
906211;398276;2147483876
906215;398276;2147483875
1947790;854233;2147483874
1947795;854233;2147483873
1948359;854452;2147483872
1948363;854452;2147483871
1948386;854468;2147483870
1948694;854593;2147483869
1948758;854624;2147483868
1948770;854624;2147483867
1948784;854640;2147483866
1948864;854671;2147483865
1948866;854671;2147483863
1948883;854687;2147483862
1948986;854733;2147483861
1948993;854733;2147483857
1966927;861912;2147483856
1966933;861928;2147483855
1966954;861928;2147483854
1966964;861928;2147483853
1966969;861928;2147483852
1967326;862084;2147483850
1967327;862084;2147483849
1967328;862084;2147483848
1967414;862115;2147483847
1967517;862162;2147483846
1967523;862162;2147483845
1967524;862162;2147483844
1972026;863943;2147483843
1972028;863943;2147483842
2664434;1164382;2147483841
2664898;1164570;2147483839
2664903;1164570;2147483837
2664992;1164617;2147483836
2665170;1164679;2147483835
2665191;1164695;2147483833
2665202;1164695;2147483832
2665237;1164710;2147483831
2666878;1165367;2147483830
2666886;1165367;2147483829
2666897;1165367;2147483828
2666906;1165382;2147483827
2666909;1165382;2147483826
2667176;1165492;2147483825
3270161;1428792;2147483824
3270185;1428807;2147483823
3270215;1428807;2147483822
3270239;1428823;2147483821
3270268;1428839;2147483820
3270280;1428839;2147483819
3270286;1428839;2147483818
3270300;1428854;2147483817
3270309;1428854;2147483816
3374528;1472326;2147483815
3374706;1472404;2147483814
3374729;1472404;2147483813
3374743;1472420;2147483812
3374858;1472467;2147483811
3374873;1472467;2147483810
3376540;1473123;2147483809
3376599;1473139;2147483808
3376602;1473139;2147483807
5082419;2216886;2147483806
5082486;2216917;2147483805
5082493;2216917;2147483804
5082708;2217011;2147483803
5082726;2217011;2147483802
5082740;2217011;2147483801
5082862;2217073;2147483800
5083077;2217151;2147483799
5083089;2217167;2147483798
5089471;2219710;2147483795
5089712;2219819;2147483794
5089814;2219882;2147483793
5089818;2219882;2147483792
5090637;2220210;2147483791
5090656;2220210;2147483790
5090792;2220272;2147483789
5090795;2220272;2147483788
5090867;2220304;2147483787
5090869;2220304;2147483786
5090953;2220335;2147483785
5091057;2220382;2147483784
5091084;2220397;2147483783
5095191;2222006;2147483782
5095206;2222022;2147483781
5095217;2222022;2147483780
5095319;2222069;2147483779
5936970;2589029;2147483778
5937012;2589045;2147483777
5937465;2589232;2147483776
5937770;2589357;2147483775
5937774;2589357;2147483774
5937891;2589404;2147483773
5937949;2589435;2147483772
5937983;2589451;2147483771
9902501;4334608;2147483770
9902546;4334639;2147483769
9902567;4334639;2147483768
9902751;4334718;2147483767
9902983;4334811;2147483766
9902987;4334827;2147483765
9903072;4334858;2147483764
9903126;4334889;2147483763
9903182;4334905;2147483762
9903195;4334921;2147483761
9909501;4337483;2147483760
9909536;4337498;2147483759
9909546;4337498;2147483758
9909712;4337576;2147483755
9910385;4337842;2147483754
9910391;4337842;2147483753
18219879;8022372;2147483752
18219880;8022372;2147483751
18219980;8022403;2147483750
18220371;8022575;2147483749
18222063;8023231;2147483748
18222068;8023247;2147483747
18222193;8023294;2147483745
18222260;8023325;2147483744
18222266;8023325;2147483743
18222594;8023466;2147483742
18224225;8024106;2147483741
18224230;8024106;2147483740
18224237;8024106;2147483739
18239114;8030027;2147483738
18239476;8030167;2147483737
18239653;8030245;2147483736
18239661;8030251;2147483735
18239768;8030298;2147483734
18239792;8030298;2147483733
18241386;8030939;2147483732
22976749;10147950;2147483731
22976772;10147965;2147483730
22976932;10148028;2147483729
22976949;10148028;2147483728
22976955;10148043;2147483727
29062933;12861453;2147483726
29063228;12861578;2147483725
29063291;12861593;2147483724
29063302;12861609;2147483723
29063612;12861734;2147483722
29063646;12861750;2147483721
29064555;12862109;2147483720
29064748;12862187;2147483719
29064803;12862203;2147483718
29065071;12862312;2147483717
38648840;17237618;2147483716
38649141;17237743;2147483715
38649222;17237774;2147483714
38652132;17238914;2147483713
38652238;17238961;2147483712
38652340;17239008;2147483711
38652392;17239039;2147483710
38652404;17239039;2147483709
38652472;17239071;2147483708
55747380;25029636;2147483707
55747434;25029667;2147483706
55747510;25029698;2147483705
55748892;25030230;2147483704
55748937;25030261;2147483703
55754245;25032385;2147483702
55754355;25032432;2147483701
55754751;25032588;2147483700
55754801;25032620;2147483699
55755151;25032760;2147483698
55758509;25034072;2147483697
55760014;25034682;2147483696
55760395;25034838;2147483695
55760598;25034916;2147483694
55760713;25034963;2147483693
55761938;25035463;2147483692
85190755;38497855;2147483691
85191262;38498058;2147483690
#
# name: FRLS
# algorithm_class: solver.FRLS
# instance: nbi-spr18
# seed: -8967487097844322806
# bestF: 2147483690
# DTF: 42
# cost: 97025
# startTime: 1768564978671
# totalTime: 43200012
# totalFEs: 95608583
# maxFEs: 9223372036854775807
# maxMilliSeconds: 43200000
# maxSeconds: 43200
#
