fes;time;f
1;47;2147484294
26;78;2147484293
27;78;2147484292
29;78;2147484285
75;125;2147484280
82;125;2147484279
89;125;2147484278
92;125;2147484273
99;125;2147484270
100;140;2147484266
104;140;2147484265
108;140;2147484264
109;140;2147484261
110;140;2147484260
118;140;2147484257
119;140;2147484256
393;281;2147484255
396;281;2147484254
400;281;2147484253
404;281;2147484252
405;281;2147484250
406;281;2147484249
407;281;2147484243
408;281;2147484242
411;281;2147484241
415;281;2147484239
424;281;2147484238
429;297;2147484237
430;297;2147484236
482;312;2147484229
485;312;2147484228
489;312;2147484227
492;312;2147484225
544;344;2147484220
546;344;2147484219
559;344;2147484218
560;344;2147484212
561;344;2147484211
577;359;2147484209
587;359;2147484207
590;359;2147484206
592;359;2147484205
594;359;2147484204
891;500;2147484203
897;500;2147484202
898;500;2147484200
911;500;2147484199
1583;797;2147484197
1586;797;2147484196
1595;797;2147484195
1597;797;2147484193
1605;797;2147484191
1618;812;2147484190
1735;859;2147484185
1744;859;2147484183
1756;859;2147484182
1758;859;2147484181
1760;875;2147484179
1783;875;2147484178
1880;922;2147484177
1884;922;2147484172
1886;922;2147484170
1890;922;2147484169
1991;968;2147484168
1999;968;2147484167
2000;968;2147484166
2002;968;2147484165
2009;968;2147484164
2014;984;2147484161
2016;984;2147484158
2018;984;2147484156
2022;984;2147484155
2029;984;2147484154
2031;984;2147484152
3293;1531;2147484150
3295;1531;2147484148
3345;1546;2147484147
3346;1546;2147484146
3374;1562;2147484145
3377;1562;2147484144
3386;1562;2147484143
3391;1562;2147484140
3443;1593;2147484139
3446;1593;2147484138
3449;1593;2147484137
3450;1593;2147484136
3458;1593;2147484135
3470;1593;2147484134
3471;1593;2147484133
3932;1796;2147484132
3933;1796;2147484129
3970;1812;2147484128
3971;1812;2147484126
4045;1843;2147484125
4047;1843;2147484123
4053;1843;2147484119
4075;1859;2147484118
4179;1890;2147484117
4185;1906;2147484115
4191;1906;2147484114
4231;1921;2147484113
4235;1921;2147484112
4242;1921;2147484109
4288;1937;2147484108
4298;1937;2147484107
4299;1937;2147484106
4316;1953;2147484105
4320;1953;2147484104
4321;1953;2147484103
4322;1953;2147484101
4323;1953;2147484100
4326;1953;2147484099
4332;1953;2147484098
4339;1968;2147484097
4342;1968;2147484095
4365;1968;2147484094
4369;1968;2147484090
4492;2031;2147484089
4501;2031;2147484086
78020;33612;2147484084
78028;33612;2147484083
78033;33612;2147484082
78122;33659;2147484081
78130;33659;2147484080
78131;33659;2147484079
78144;33659;2147484078
78145;33659;2147484075
78224;33691;2147484074
78229;33691;2147484073
78234;33706;2147484072
78236;33706;2147484070
78239;33706;2147484069
78241;33706;2147484068
78245;33706;2147484065
78298;33722;2147484064
78299;33722;2147484063
78342;33753;2147484062
78349;33753;2147484061
78350;33753;2147484060
78363;33753;2147484059
78366;33753;2147484058
78375;33753;2147484057
78429;33784;2147484055
78451;33784;2147484052
78492;33800;2147484051
78497;33816;2147484050
78502;33816;2147484049
78520;33816;2147484048
78525;33816;2147484047
80491;34628;2147484046
80495;34628;2147484045
80500;34628;2147484044
80502;34628;2147484042
80544;34643;2147484041
80562;34659;2147484040
80565;34659;2147484039
80587;34659;2147484038
80594;34675;2147484037
80601;34675;2147484036
80603;34675;2147484034
80620;34675;2147484033
80629;34690;2147484032
80645;34690;2147484031
80650;34690;2147484030
80653;34690;2147484029
80945;34815;2147484028
80953;34815;2147484027
80955;34815;2147484026
80968;34831;2147484023
80970;34831;2147484022
80973;34831;2147484021
81776;35159;2147484020
81784;35159;2147484019
81790;35159;2147484018
81791;35159;2147484017
81795;35159;2147484016
81871;35190;2147484015
81874;35206;2147484014
81889;35206;2147484013
81893;35206;2147484012
81895;35206;2147484011
81900;35206;2147484010
81920;35221;2147484009
81925;35221;2147484008
82359;35409;2147484005
82376;35409;2147484004
82378;35409;2147484003
82399;35425;2147484000
82538;35487;2147483999
82541;35487;2147483998
82548;35487;2147483996
82550;35487;2147483995
82552;35487;2147483994
82553;35487;2147483990
107583;45823;2147483989
107950;45980;2147483988
107956;45980;2147483986
107957;45980;2147483985
107972;45980;2147483984
107973;45980;2147483981
108140;46058;2147483980
108173;46073;2147483979
108176;46073;2147483978
108194;46073;2147483977
108211;46089;2147483976
108213;46089;2147483974
108219;46089;2147483973
108481;46189;2147483972
108483;46189;2147483970
108583;46236;2147483969
108584;46236;2147483968
108590;46236;2147483966
108591;46236;2147483965
108598;46236;2147483963
108733;46298;2147483962
108745;46298;2147483961
108751;46298;2147483960
108753;46298;2147483959
108763;46298;2147483957
108775;46314;2147483956
108777;46314;2147483955
108784;46314;2147483954
108790;46314;2147483953
111073;47236;2147483952
111075;47236;2147483951
111082;47236;2147483950
111086;47236;2147483949
111092;47251;2147483948
111097;47251;2147483947
111102;47251;2147483946
208931;88809;2147483945
208932;88809;2147483944
208994;88840;2147483943
209002;88840;2147483941
209005;88840;2147483939
209719;89137;2147483938
209783;89168;2147483937
209787;89168;2147483936
209822;89184;2147483935
209825;89184;2147483934
209844;89184;2147483933
209889;89199;2147483932
209890;89199;2147483931
209933;89215;2147483929
209968;89231;2147483928
209982;89246;2147483927
209985;89246;2147483925
210019;89262;2147483924
210062;89277;2147483923
212120;90105;2147483922
212136;90105;2147483921
212140;90105;2147483920
212146;90105;2147483919
212200;90137;2147483918
212205;90137;2147483917
212249;90152;2147483914
212270;90152;2147483913
212276;90168;2147483912
212284;90168;2147483911
212285;90168;2147483910
212549;90277;2147483908
212551;90277;2147483907
212617;90309;2147483904
212652;90309;2147483903
603939;259230;2147483902
604042;259277;2147483900
604054;259277;2147483899
604067;259277;2147483898
604205;259339;2147483897
604213;259339;2147483896
604220;259339;2147483894
604342;259386;2147483893
604346;259402;2147483892
604367;259402;2147483891
604379;259402;2147483890
604384;259418;2147483889
604387;259418;2147483888
604477;259449;2147483887
604478;259449;2147483886
604483;259449;2147483885
656102;281100;2147483884
656125;281116;2147483883
656143;281116;2147483882
659046;282272;2147483881
659052;282272;2147483880
659058;282272;2147483879
659364;282397;2147483878
659383;282413;2147483875
659531;282460;2147483874
659535;282460;2147483873
659539;282475;2147483872
659655;282506;2147483871
659681;282522;2147483870
659683;282522;2147483868
659689;282522;2147483867
659720;282538;2147483866
660003;282647;2147483865
660006;282647;2147483864
660025;282663;2147483863
660314;282772;2147483862
660337;282788;2147483861
660382;282803;2147483860
660385;282803;2147483859
660402;282803;2147483858
660403;282803;2147483857
660413;282803;2147483855
660416;282819;2147483854
660418;282819;2147483853
660421;282819;2147483852
660636;282897;2147483851
660835;282975;2147483850
660843;282991;2147483848
660890;283006;2147483847
660906;283006;2147483846
660920;283022;2147483845
681608;291284;2147483844
681613;291299;2147483843
681662;291315;2147483842
681730;291331;2147483841
1417239;610222;2147483840
1417243;610222;2147483839
1417303;610253;2147483838
1417305;610253;2147483837
1417408;610284;2147483836
1417418;610300;2147483835
1417426;610300;2147483834
1417435;610300;2147483833
1417443;610300;2147483832
1417446;610300;2147483831
1418701;610800;2147483830
1418762;610832;2147483829
1418791;610848;2147483828
1418815;610848;2147483826
2722142;1178360;2147483825
2722150;1178360;2147483824
2722162;1178360;2147483823
2722379;1178454;2147483822
2722423;1178469;2147483821
2722428;1178469;2147483820
2722487;1178500;2147483819
2722488;1178500;2147483817
2722527;1178516;2147483815
2722707;1178579;2147483814
2722709;1178594;2147483813
2734074;1183498;2147483811
2734098;1183514;2147483810
2734111;1183514;2147483809
2734390;1183639;2147483808
2734452;1183654;2147483807
2734471;1183670;2147483806
2734473;1183670;2147483805
2734590;1183717;2147483804
2734632;1183748;2147483803
2734649;1183748;2147483802
2734819;1183826;2147483801
2734824;1183826;2147483800
3557447;1545426;2147483799
3557451;1545426;2147483798
3557454;1545426;2147483797
3557458;1545441;2147483796
3558060;1545676;2147483795
3558065;1545676;2147483794
3558190;1545723;2147483793
3558217;1545738;2147483792
3558336;1545785;2147483791
3558480;1545848;2147483790
3558500;1545863;2147483789
3558569;1545879;2147483788
5263831;2295858;2147483786
5264168;2295999;2147483785
5264222;2296015;2147483784
5264238;2296030;2147483782
