fes;time;f
1;63;2147484329
2;63;2147484327
4;78;2147484324
14;125;2147484322
24;156;2147484319
31;188;2147484318
33;203;2147484317
36;219;2147484316
37;219;2147484315
39;219;2147484313
43;234;2147484312
44;234;2147484309
45;234;2147484307
46;234;2147484306
47;234;2147484302
56;250;2147484301
58;250;2147484299
61;250;2147484298
82;266;2147484295
113;297;2147484294
114;297;2147484293
115;313;2147484292
129;313;2147484291
132;328;2147484290
136;328;2147484288
139;328;2147484287
151;344;2147484284
153;344;2147484282
155;344;2147484280
160;344;2147484279
163;344;2147484278
164;344;2147484276
170;359;2147484275
172;359;2147484273
660;703;2147484271
669;703;2147484270
683;719;2147484269
685;719;2147484267
691;719;2147484266
694;719;2147484265
696;734;2147484264
698;734;2147484263
702;734;2147484259
703;734;2147484258
704;734;2147484255
17322;11268;2147484253
17333;11284;2147484252
17335;11284;2147484250
17336;11284;2147484249
17498;11378;2147484248
17504;11378;2147484247
17510;11393;2147484245
17511;11393;2147484244
17515;11393;2147484243
17558;11425;2147484242
17569;11425;2147484236
17600;11440;2147484234
17610;11456;2147484232
17611;11456;2147484231
17660;11487;2147484229
17663;11487;2147484228
17665;11487;2147484226
17666;11487;2147484225
17671;11487;2147484224
20554;13284;2147484223
20560;13284;2147484222
20561;13284;2147484220
20581;13299;2147484219
20583;13299;2147484218
20587;13299;2147484217
20602;13299;2147484215
20626;13315;2147484214
20628;13315;2147484213
20631;13330;2147484211
20641;13330;2147484210
20643;13330;2147484209
20728;13393;2147484208
20729;13393;2147484207
21734;14018;2147484205
21738;14021;2147484204
21739;14021;2147484203
21740;14021;2147484201
21743;14021;2147484200
21761;14021;2147484199
21774;14037;2147484195
21813;14068;2147484194
21823;14068;2147484192
21830;14068;2147484191
21839;14084;2147484189
21857;14084;2147484188
21865;14100;2147484187
21866;14100;2147484186
21876;14100;2147484185
21883;14100;2147484184
21889;14115;2147484183
21896;14115;2147484181
21899;14115;2147484180
21901;14115;2147484179
22470;14474;2147484178
22481;14474;2147484176
22509;14490;2147484174
22510;14490;2147484173
22513;14490;2147484172
22530;14506;2147484171
22534;14506;2147484170
22542;14521;2147484168
22544;14521;2147484165
22548;14521;2147484164
22549;14521;2147484163
22948;14756;2147484162
22949;14756;2147484161
22993;14787;2147484160
23000;14787;2147484159
23001;14787;2147484157
23065;14834;2147484156
23070;14834;2147484155
23073;14834;2147484154
23075;14834;2147484153
28763;18373;2147484152
28769;18373;2147484151
28771;18373;2147484149
28779;18373;2147484148
28782;18389;2147484146
31135;19842;2147484144
31146;19842;2147484143
31148;19842;2147484142
31150;19857;2147484141
31152;19857;2147484140
31408;20013;2147484139
31414;20029;2147484138
31529;20123;2147484137
31530;20123;2147484136
31542;20123;2147484135
31547;20123;2147484134
31550;20138;2147484133
31552;20138;2147484132
31559;20138;2147484131
31564;20138;2147484129
31565;20138;2147484128
31570;20154;2147484127
31571;20154;2147484125
31573;20154;2147484124
31653;20201;2147484123
31655;20201;2147484122
31659;20217;2147484121
31668;20217;2147484120
31671;20217;2147484119
31676;20217;2147484118
31685;20232;2147484117
32242;20576;2147484116
32245;20576;2147484115
32273;20591;2147484114
32275;20591;2147484113
32276;20591;2147484112
32281;20607;2147484109
32282;20607;2147484107
32285;20607;2147484106
32286;20607;2147484105
32359;20654;2147484104
32374;20654;2147484103
32375;20654;2147484102
32382;20670;2147484100
32421;20685;2147484099
32424;20701;2147484097
160337;101417;2147484096
160339;101417;2147484095
160376;101448;2147484094
160391;101448;2147484093
160394;101464;2147484092
160396;101464;2147484091
160443;101480;2147484090
160449;101495;2147484089
160453;101495;2147484087
160854;101745;2147484086
160867;101745;2147484085
160876;101745;2147484084
160879;101761;2147484082
161042;101855;2147484081
161044;101855;2147484080
161048;101855;2147484079
161068;101870;2147484078
161069;101870;2147484077
161098;101886;2147484076
177704;112240;2147484075
177705;112240;2147484074
177710;112240;2147484072
177711;112240;2147484071
177821;112319;2147484070
177841;112334;2147484069
177846;112334;2147484068
177850;112334;2147484067
177856;112334;2147484066
177858;112350;2147484065
177860;112350;2147484064
177864;112350;2147484063
178152;112522;2147484062
178235;112584;2147484061
178280;112615;2147484059
178323;112631;2147484056
178407;112693;2147484054
178408;112693;2147484053
178409;112693;2147484052
187857;118577;2147484051
187898;118608;2147484050
187900;118608;2147484049
187915;118623;2147484047
187929;118623;2147484046
187934;118623;2147484045
187942;118639;2147484044
187945;118639;2147484043
187950;118639;2147484042
187954;118639;2147484041
187962;118655;2147484040
187965;118655;2147484039
187967;118655;2147484038
187970;118655;2147484036
187971;118655;2147484035
188593;119045;2147484034
188596;119045;2147484033
188606;119045;2147484032
188608;119045;2147484031
188609;119045;2147484030
188611;119045;2147484029
188614;119061;2147484028
189040;119311;2147484027
189044;119326;2147484026
189045;119326;2147484025
189097;119358;2147484024
189100;119358;2147484023
189102;119358;2147484022
189117;119358;2147484021
189123;119373;2147484020
189183;119404;2147484019
191003;120529;2147484018
191009;120529;2147484017
191031;120545;2147484016
191140;120623;2147484014
191142;120623;2147484013
191146;120623;2147484012
191153;120623;2147484011
341940;215914;2147484009
341945;215914;2147484008
341986;215930;2147484007
341995;215945;2147484006
342003;215945;2147484005
342006;215945;2147484004
342007;215945;2147484003
342008;215945;2147484001
342064;215977;2147484000
342495;216242;2147483999
342503;216242;2147483998
342505;216258;2147483997
342512;216258;2147483996
342513;216258;2147483995
342702;216367;2147483994
342703;216367;2147483993
342707;216383;2147483992
342709;216383;2147483990
342762;216414;2147483989
342765;216414;2147483988
342766;216414;2147483987
342770;216414;2147483984
342784;216414;2147483983
342786;216430;2147483982
342809;216430;2147483980
342819;216445;2147483979
342821;216445;2147483978
345662;218195;2147483976
589057;372279;2147483974
589075;372279;2147483973
589496;372545;2147483972
589503;372545;2147483970
589504;372545;2147483969
589506;372545;2147483968
589507;372545;2147483967
589716;372686;2147483966
589728;372686;2147483964
589729;372686;2147483963
589925;372811;2147483962
589929;372811;2147483960
589939;372811;2147483959
589944;372811;2147483958
589954;372826;2147483957
709820;447823;2147483956
709829;447838;2147483955
709832;447838;2147483954
709847;447838;2147483953
711529;448885;2147483952
712017;449182;2147483951
712034;449197;2147483950
712059;449213;2147483949
712061;449213;2147483948
712179;449291;2147483946
712186;449291;2147483945
712280;449354;2147483944
712340;449385;2147483943
712353;449400;2147483941
712380;449416;2147483940
712384;449416;2147483939
717084;452287;2147483938
717089;452303;2147483937
717093;452303;2147483936
717350;452459;2147483935
717351;452459;2147483933
717513;452553;2147483931
717514;452553;2147483930
717515;452553;2147483929
717600;452600;2147483928
717606;452615;2147483927
717610;452615;2147483926
717612;452615;2147483925
717782;452709;2147483924
717796;452725;2147483923
717809;452740;2147483922
717811;452740;2147483921
1114904;703526;2147483920
1114905;703526;2147483918
1114925;703542;2147483917
1527971;965498;2147483916
1527978;965498;2147483914
1528034;965529;2147483913
1528174;965623;2147483912
1528191;965638;2147483911
1528210;965638;2147483910
1528227;965654;2147483909
1528231;965654;2147483908
1528596;965873;2147483907
1528598;965873;2147483905
1528699;965935;2147483904
1528702;965951;2147483903
1528719;965951;2147483902
1528726;965966;2147483901
1533080;968638;2147483900
1533106;968653;2147483899
1533137;968669;2147483898
1533145;968669;2147483897
1533169;968684;2147483896
1533368;968809;2147483895
1533382;968825;2147483894
1533447;968856;2147483893
1533454;968872;2147483892
1557595;983648;2147483891
1557601;983663;2147483890
1557605;983663;2147483889
1557641;983679;2147483888
1557974;983882;2147483887
1557981;983898;2147483886
1557991;983898;2147483885
