fes;time;f
1;47;2147483922
7;62;2147483921
46;109;2147483920
47;109;2147483919
148;187;2147483918
162;203;2147483915
173;219;2147483914
181;219;2147483913
184;219;2147483912
193;234;2147483910
196;234;2147483909
199;234;2147483907
348;343;2147483906
375;359;2147483904
386;375;2147483903
399;390;2147483901
409;390;2147483900
425;406;2147483899
430;406;2147483898
446;422;2147483897
454;422;2147483896
460;437;2147483895
462;437;2147483894
487;453;2147483887
498;453;2147483886
6824;4296;2147483884
6850;4311;2147483883
6855;4311;2147483881
6856;4311;2147483880
6991;4389;2147483879
6999;4405;2147483878
7004;4405;2147483877
7005;4410;2147483876
7027;4421;2147483875
7029;4421;2147483874
7032;4421;2147483872
7033;4421;2147483871
7042;4421;2147483869
7044;4421;2147483868
7420;4655;2147483867
7433;4671;2147483866
7440;4671;2147483864
7459;4687;2147483863
7464;4687;2147483862
7471;4687;2147483861
7687;4812;2147483860
7692;4827;2147483859
7697;4827;2147483857
7699;4827;2147483856
7715;4827;2147483855
7727;4843;2147483854
7734;4843;2147483853
7735;4843;2147483852
7737;4843;2147483851
7740;4843;2147483850
7748;4859;2147483849
7789;4874;2147483848
7792;4874;2147483847
7800;4890;2147483846
7801;4890;2147483845
7803;4890;2147483844
7805;4890;2147483843
7810;4890;2147483842
7813;4890;2147483841
7815;4890;2147483839
32879;20095;2147483838
32890;20111;2147483837
32893;20111;2147483835
32896;20111;2147483834
32900;20111;2147483830
33068;20220;2147483828
33069;20220;2147483826
33074;20220;2147483824
33087;20236;2147483823
33674;20611;2147483822
33679;20611;2147483821
33680;20611;2147483820
33683;20611;2147483819
33766;20658;2147483818
33789;20673;2147483817
33794;20689;2147483816
33814;20689;2147483815
33824;20705;2147483813
33861;20720;2147483811
33870;20736;2147483810
34034;20829;2147483809
34050;20845;2147483808
34051;20845;2147483807
34095;20876;2147483806
34100;20876;2147483805
34110;20876;2147483803
34124;20892;2147483802
34251;20970;2147483801
34257;20970;2147483800
41838;25774;2147483799
41843;25790;2147483798
41850;25790;2147483797
41854;25790;2147483794
42073;25946;2147483793
42099;25962;2147483792
42105;25977;2147483791
42132;25993;2147483790
95520;59289;2147483789
95536;59289;2147483788
95546;59305;2147483787
95554;59305;2147483786
95561;59305;2147483785
96223;59739;2147483784
96237;59739;2147483783
96241;59739;2147483782
96387;59833;2147483781
96392;59833;2147483780
