fes;time;f
1;63;2147483988
2;63;2147483986
6;63;2147483985
10;79;2147483984
11;79;2147483983
14;79;2147483979
17;79;2147483978
19;79;2147483976
20;79;2147483974
21;79;2147483972
27;94;2147483971
30;94;2147483969
31;94;2147483968
32;94;2147483963
35;94;2147483962
39;94;2147483961
45;94;2147483960
51;94;2147483959
54;94;2147483957
60;110;2147483955
66;110;2147483954
69;110;2147483952
78;110;2147483951
79;110;2147483950
81;110;2147483949
82;110;2147483948
91;110;2147483945
94;110;2147483944
100;125;2147483942
101;125;2147483941
106;125;2147483939
108;125;2147483937
121;125;2147483933
122;125;2147483930
126;125;2147483929
127;125;2147483925
128;125;2147483924
137;125;2147483923
146;141;2147483922
148;141;2147483921
161;141;2147483920
163;141;2147483918
165;141;2147483917
171;141;2147483915
172;141;2147483914
179;141;2147483912
190;157;2147483911
221;157;2147483910
224;157;2147483909
225;157;2147483907
226;157;2147483906
227;157;2147483905
230;157;2147483902
233;157;2147483900
235;157;2147483899
240;172;2147483897
244;172;2147483895
245;172;2147483894
246;172;2147483893
248;172;2147483892
255;172;2147483891
258;172;2147483890
268;172;2147483887
281;172;2147483886
285;172;2147483885
287;172;2147483882
295;188;2147483879
303;188;2147483878
304;188;2147483877
314;188;2147483875
332;188;2147483874
336;188;2147483873
339;204;2147483871
340;204;2147483869
343;204;2147483868
352;204;2147483866
354;204;2147483865
361;204;2147483864
368;204;2147483863
374;204;2147483861
375;204;2147483860
385;204;2147483858
386;204;2147483857
398;219;2147483856
407;219;2147483854
420;219;2147483850
436;219;2147483848
441;219;2147483846
442;219;2147483845
449;235;2147483844
456;235;2147483843
470;235;2147483842
475;235;2147483841
488;235;2147483840
497;235;2147483839
500;235;2147483838
507;250;2147483837
509;250;2147483836
515;250;2147483835
527;250;2147483833
537;250;2147483832
550;250;2147483831
553;250;2147483830
576;266;2147483829
580;266;2147483828
591;266;2147483827
600;266;2147483826
602;266;2147483825
606;266;2147483824
623;282;2147483822
642;282;2147483820
670;297;2147483819
