fes;time;f
1;79;2147486268
2;88;2147486267
11;157;2147486264
12;163;2147486260
26;239;2147486259
38;301;2147486258
44;333;2147486254
50;364;2147486252
51;370;2147486251
56;396;2147486248
57;401;2147486246
64;440;2147486243
70;472;2147486240
71;478;2147486239
73;489;2147486238
84;549;2147486235
88;571;2147486232
92;597;2147486229
93;602;2147486227
94;608;2147486226
96;618;2147486225
100;641;2147486224
101;647;2147486221
110;697;2147486220
115;722;2147486217
121;754;2147486213
123;764;2147486210
128;791;2147486209
133;818;2147486205
144;877;2147486204
148;898;2147486201
155;935;2147486199
156;940;2147486197
159;957;2147486195
167;999;2147486192
168;1004;2147486191
176;1046;2147486189
177;1052;2147486188
183;1083;2147486187
187;1103;2147486185
190;1119;2147486183
205;1201;2147486182
206;1206;2147486181
207;1212;2147486180
211;1234;2147486176
220;1283;2147486174
226;1315;2147486172
230;1336;2147486171
237;1373;2147486170
240;1390;2147486168
248;1434;2147486167
250;1444;2147486166
258;1486;2147486165
264;1518;2147486164
266;1529;2147486155
270;1549;2147486152
272;1560;2147486151
277;1589;2147486149
278;1595;2147486147
298;1702;2147486146
301;1717;2147486143
306;1743;2147486140
316;1795;2147486139
318;1805;2147486136
321;1821;2147486135
326;1847;2147486133
344;1943;2147486130
345;1948;2147486127
348;1963;2147486126
350;1974;2147486124
352;1984;2147486123
353;1989;2147486122
357;2009;2147486119
358;2015;2147486116
360;2025;2147486115
372;2086;2147486114
377;2111;2147486111
379;2121;2147486110
393;2192;2147486109
397;2212;2147486108
407;2266;2147486107
421;2342;2147486106
423;2352;2147486103
439;2438;2147486101
446;2478;2147486099
461;2557;2147486085
476;2642;2147486083
478;2653;2147486081
481;2669;2147486079
503;2789;2147486075
506;2806;2147486072
512;2839;2147486070
515;2855;2147486069
525;2908;2147486068
526;2913;2147486067
538;2976;2147486066
542;2997;2147486065
545;3013;2147486064
546;3019;2147486063
547;3024;2147486062
550;3040;2147486060
552;3050;2147486057
563;3110;2147486056
570;3147;2147486055
575;3173;2147486054
577;3184;2147486053
580;3200;2147486052
584;3221;2147486048
585;3226;2147486046
590;3252;2147486044
602;3318;2147486043
610;3359;2147486041
614;3380;2147486040
618;3401;2147486039
623;3427;2147486036
642;3528;2147486033
646;3549;2147486031
651;3575;2147486030
658;3615;2147486028
662;3637;2147486027
665;3653;2147486025
670;3681;2147486024
672;3692;2147486023
678;3722;2147486021
683;3748;2147486020
685;3759;2147486019
688;3775;2147486018
690;3785;2147486015
693;3802;2147486014
708;3885;2147486013
712;3906;2147486012
727;3985;2147486011
734;4021;2147486009
739;4049;2147486008
742;4065;2147486006
744;4076;2147486004
755;4133;2147486002
769;4207;2147486000
776;4243;2147485995
777;4249;2147485991
780;4265;2147485990
783;4281;2147485989
796;4351;2147485981
802;4384;2147485979
808;4415;2147485978
813;4441;2147485975
815;4452;2147485974
819;4472;2147485973
823;4493;2147485972
846;4618;2147485965
847;4623;2147485959
849;4633;2147485955
863;4704;2147485953
865;4714;2147485952
876;4770;2147485951
878;4780;2147485950
880;4790;2147485949
883;4805;2147485948
889;4836;2147485946
900;4897;2147485944
902;4907;2147485942
903;4912;2147485940
905;4923;2147485938
907;4933;2147485937
914;4968;2147485936
922;5009;2147485935
931;5055;2147485934
934;5070;2147485933
938;5091;2147485931
941;5107;2147485929
946;5134;2147485926
955;5182;2147485924
970;5260;2147485923
973;5276;2147485922
980;5312;2147485921
986;5343;2147485920
988;5354;2147485919
990;5365;2147485916
991;5370;2147485915
992;5377;2147485914
999;5417;2147485913
1000;5423;2147485912
1006;5456;2147485911
1007;5462;2147485910
1008;5468;2147485909
1031;5599;2147485908
1041;5656;2147485907
1054;5726;2147485906
1059;5752;2147485904
1060;5757;2147485903
1061;5763;2147485900
1066;5789;2147485899
1068;5800;2147485898
1069;5805;2147485896
1071;5817;2147485895
1073;5827;2147485894
1080;5866;2147485893
1086;5897;2147485892
1090;5918;2147485890
1107;6007;2147485874
1110;6023;2147485872
1113;6040;2147485871
1117;6061;2147485870
1118;6066;2147485869
1136;6159;2147485867
1154;6256;2147485866
1158;6278;2147485865
1159;6283;2147485862
1164;6310;2147485861
1175;6365;2147485858
1176;6370;2147485857
1179;6385;2147485856
1184;6410;2147485855
1190;6441;2147485853
1192;6452;2147485849
1204;6514;2147485847
1212;6554;2147485846
1233;6669;2147485845
1236;6685;2147485844
1242;6715;2147485843
1248;6747;2147485841
1251;6763;2147485835
1254;6779;2147485834
1256;6789;2147485832
1258;6800;2147485831
1261;6815;2147485827
1263;6826;2147485819
1266;6843;2147485818
1300;7025;2147485815
1304;7045;2147485814
1315;7099;2147485809
1325;7150;2147485808
1333;7190;2147485807
1335;7201;2147485806
1349;7275;2147485805
1360;7332;2147485804
1380;7436;2147485803
1383;7451;2147485800
1393;7503;2147485796
1394;7508;2147485795
1410;7601;2147485792
1416;7633;2147485791
1418;7644;2147485790
1421;7660;2147485784
1422;7665;2147485783
1424;7675;2147485782
1429;7702;2147485781
1434;7728;2147485780
1437;7743;2147485779
1460;7866;2147485776
1464;7887;2147485775
1470;7920;2147485772
1494;8048;2147485769
1504;8099;2147485766
1508;8119;2147485765
1568;8435;2147485764
1586;8536;2147485762
1588;8549;2147485760
1605;8645;2147485759
1623;8738;2147485758
1626;8754;2147485757
1632;8786;2147485755
1634;8797;2147485753
1635;8802;2147485752
1640;8829;2147485749
1653;8907;2147485748
1659;8939;2147485747
1682;9065;2147485741
1687;9095;2147485738
1704;9195;2147485735
1708;9217;2147485733
1709;9223;2147485732
1710;9228;2147485729
1711;9234;2147485728
1730;9339;2147485727
1733;9355;2147485726
1743;9408;2147485723
1756;9478;2147485722
1759;9493;2147485718
1774;9574;2147485717
1776;9585;2147485715
1791;9669;2147485714
1800;9715;2147485713
1818;9810;2147485712
1819;9815;2147485710
1829;9868;2147485709
1836;9904;2147485708
1837;9909;2147485707
1849;9969;2147485703
1867;10060;2147485702
1877;10109;2147485699
1885;10149;2147485698
1887;10160;2147485696
1893;10191;2147485692
1899;10222;2147485691
1901;10232;2147485688
1912;10290;2147485685
1920;10332;2147485684
1925;10358;2147485683
1958;10535;2147485682
1960;10547;2147485681
1976;10634;2147485679
1993;10725;2147485678
1995;10735;2147485677
2001;10767;2147485665
2010;10814;2147485664
2018;10855;2147485662
2022;10876;2147485659
2024;10887;2147485657
2035;10947;2147485655
2041;10978;2147485654
2047;11010;2147485653
2054;11046;2147485652
2058;11067;2147485651
2063;11093;2147485650
2066;11109;2147485649
2068;11119;2147485648
2089;11230;2147485647
2094;11257;2147485645
2103;11302;2147485644
2109;11333;2147485643
2121;11393;2147485641
2126;11421;2147485640
2131;11447;2147485639
2135;11468;2147485638
2138;11484;2147485637
2170;11658;2147485636
2180;11711;2147485635
2198;11806;2147485634
2203;11833;2147485633
2219;11917;2147485632
2220;11922;2147485631
2232;11985;2147485630
2261;12136;2147485628
2263;12147;2147485627
2267;12168;2147485626
2272;12194;2147485624
2281;12241;2147485623
2285;12262;2147485621
2286;12267;2147485620
2287;12273;2147485619
2298;12330;2147485618
2302;12351;2147485617
2309;12388;2147485616
2319;12441;2147485615
2339;12547;2147485612
2344;12573;2147485610
2345;12580;2147485609
2354;12631;2147485608
2391;12828;2147485607
2397;12861;2147485605
2405;12904;2147485604
2424;13003;2147485602
2430;13035;2147485601
2455;13167;2147485599
2464;13215;2147485598
2501;13412;2147485597
2503;13422;2147485596
2504;13428;2147485595
2517;13500;2147485592
2518;13506;2147485591
2525;13546;2147485590
2534;13600;2147485589
2539;13629;2147485586
2546;13670;2147485585
2554;13717;2147485584
2556;13728;2147485583
2558;13740;2147485582
2568;13801;2147485581
2571;13818;2147485579
2577;13851;2147485578
2594;13948;2147485575
2607;14024;2147485574
2616;14074;2147485573
2621;14101;2147485571
2631;14153;2147485569
2637;14185;2147485568
2660;14308;2147485567
2665;14334;2147485566
2670;14360;2147485565
2675;14386;2147485563
2683;14432;2147485562
2691;14474;2147485561
2697;14507;2147485560
2721;14637;2147485559
2724;14652;2147485558
2727;14668;2147485557
2735;14708;2147485556
2761;14839;2147485555
2777;14924;2147485553
2780;14939;2147485552
2792;15002;2147485551
2805;15068;2147485550
2814;15113;2147485548
2831;15202;2147485547
2841;15254;2147485539
