fes;time;f
1;62;2147484443
3;62;2147484441
5;78;2147484439
6;78;2147484436
10;78;2147484435
11;78;2147484431
12;78;2147484416
15;78;2147484415
23;94;2147484414
27;94;2147484413
28;94;2147484411
29;94;2147484410
30;94;2147484409
35;109;2147484406
37;109;2147484402
39;109;2147484399
40;109;2147484394
43;109;2147484391
49;109;2147484390
50;109;2147484388
51;109;2147484387
55;109;2147484386
57;109;2147484382
61;125;2147484381
68;125;2147484380
70;125;2147484378
73;125;2147484373
76;125;2147484372
77;125;2147484370
79;125;2147484369
81;125;2147484368
85;125;2147484367
89;140;2147484363
91;140;2147484361
93;140;2147484360
98;140;2147484357
102;140;2147484356
108;140;2147484355
121;156;2147484354
127;158;2147484352
128;158;2147484350
131;158;2147484349
139;158;2147484348
144;158;2147484346
148;158;2147484341
150;158;2147484339
151;174;2147484338
154;174;2147484328
155;174;2147484327
159;174;2147484326
160;174;2147484322
162;174;2147484321
164;174;2147484318
165;174;2147484317
172;174;2147484316
185;189;2147484315
187;189;2147484314
188;189;2147484313
189;189;2147484308
190;189;2147484307
192;189;2147484305
195;189;2147484302
202;189;2147484301
204;189;2147484300
211;205;2147484299
213;205;2147484294
217;205;2147484292
218;205;2147484291
223;205;2147484290
229;205;2147484287
230;205;2147484286
231;205;2147484281
241;205;2147484278
242;205;2147484277
246;220;2147484276
249;220;2147484274
250;220;2147484270
257;220;2147484269
263;220;2147484268
266;220;2147484267
269;220;2147484262
273;220;2147484261
278;236;2147484259
282;236;2147484258
286;236;2147484256
297;236;2147484255
303;236;2147484253
307;236;2147484251
309;236;2147484248
310;236;2147484244
320;252;2147484243
327;252;2147484242
328;252;2147484240
329;252;2147484239
332;252;2147484238
337;252;2147484237
345;252;2147484234
351;267;2147484231
355;267;2147484230
360;267;2147484228
386;283;2147484227
398;283;2147484226
399;283;2147484225
400;283;2147484224
402;283;2147484223
403;283;2147484219
410;283;2147484217
417;283;2147484213
419;299;2147484211
426;299;2147484210
434;299;2147484208
435;299;2147484207
440;299;2147484206
447;299;2147484205
455;314;2147484204
459;314;2147484203
475;314;2147484200
486;314;2147484199
487;314;2147484198
491;330;2147484192
496;330;2147484190
499;330;2147484188
508;330;2147484187
518;345;2147484185
522;345;2147484184
524;345;2147484182
530;345;2147484180
532;345;2147484179
533;345;2147484178
542;361;2147484177
547;361;2147484176
561;361;2147484172
589;377;2147484169
593;392;2147484168
595;392;2147484167
596;392;2147484166
604;392;2147484165
607;392;2147484164
608;392;2147484161
615;392;2147484160
619;408;2147484158
631;408;2147484157
632;408;2147484156
649;424;2147484155
654;424;2147484154
656;424;2147484153
659;424;2147484152
663;424;2147484151
664;424;2147484146
669;424;2147484145
672;439;2147484144
675;439;2147484143
680;439;2147484138
689;439;2147484136
696;455;2147484135
700;455;2147484134
709;455;2147484132
724;470;2147484131
731;470;2147484130
732;470;2147484128
736;470;2147484127
741;470;2147484126
750;470;2147484125
758;486;2147484124
769;486;2147484123
770;486;2147484122
775;486;2147484121
780;486;2147484120
814;502;2147484115
833;517;2147484113
855;517;2147484112
865;533;2147484111
868;533;2147484109
874;533;2147484108
884;533;2147484105
891;533;2147484104
904;549;2147484101
906;549;2147484100
915;549;2147484098
927;549;2147484097
929;549;2147484096
931;549;2147484095
955;564;2147484093
960;564;2147484091
964;564;2147484090
969;564;2147484089
987;580;2147484088
998;580;2147484086
1012;595;2147484084
1013;595;2147484075
1015;595;2147484074
1017;595;2147484069
1025;595;2147484068
1033;595;2147484067
1050;611;2147484065
1061;611;2147484064
1085;627;2147484063
1086;627;2147484061
1109;627;2147484059
1118;627;2147484058
1137;642;2147484057
1138;642;2147484056
1147;642;2147484055
1169;658;2147484054
1173;658;2147484053
1190;658;2147484052
1194;658;2147484050
1200;673;2147484049
1208;673;2147484048
1211;673;2147484047
1216;673;2147484045
1231;673;2147484044
1244;689;2147484042
1275;705;2147484041
1287;705;2147484039
1296;705;2147484038
1298;705;2147484037
1303;705;2147484036
1312;720;2147484034
1349;736;2147484033
1355;736;2147484032
1365;736;2147484031
1372;736;2147484030
1393;752;2147484029
1394;752;2147484028
1397;752;2147484025
1418;767;2147484024
1425;767;2147484023
1433;767;2147484022
1437;767;2147484021
1458;783;2147484020
1478;783;2147484019
1493;783;2147484017
1516;798;2147484016
1530;798;2147484014
1533;798;2147484013
1543;814;2147484011
1560;814;2147484010
1573;814;2147484009
1576;814;2147484008
1588;830;2147484007
1592;830;2147484006
1599;830;2147484004
1614;830;2147484003
1618;830;2147484001
1633;845;2147484000
1644;845;2147483999
1659;845;2147483998
1677;861;2147483997
1708;861;2147483995
1715;877;2147483993
1718;877;2147483991
1724;877;2147483990
1726;877;2147483989
1733;877;2147483988
1760;892;2147483987
1771;892;2147483985
1791;892;2147483984
1808;908;2147483983
1809;908;2147483982
1819;908;2147483980
1824;908;2147483978
1828;908;2147483977
1838;908;2147483973
1842;923;2147483972
1850;923;2147483971
1858;923;2147483970
1900;939;2147483968
1944;955;2147483967
1955;955;2147483966
1964;955;2147483958
1980;970;2147483957
1986;970;2147483955
1989;970;2147483954
1998;970;2147483953
2003;970;2147483952
2020;986;2147483951
2021;986;2147483950
2042;986;2147483949
2044;986;2147483948
2054;1002;2147483947
2056;1002;2147483946
2057;1002;2147483945
2059;1002;2147483944
2125;1017;2147483943
2127;1017;2147483942
2136;1017;2147483941
2157;1033;2147483940
2179;1033;2147483939
2184;1048;2147483938
2209;1048;2147483937
2246;1064;2147483935
2266;1064;2147483934
2274;1080;2147483933
2305;1080;2147483932
2340;1095;2147483931
2370;1111;2147483930
2373;1111;2147483929
2403;1127;2147483928
2422;1127;2147483927
2471;1142;2147483926
2483;1142;2147483925
2514;1158;2147483924
2541;1173;2147483923
2579;1189;2147483922
2597;1189;2147483921
2626;1205;2147483919
2653;1205;2147483918
2657;1205;2147483917
2675;1220;2147483916
2682;1220;2147483915
2706;1220;2147483914
2708;1236;2147483913
2710;1236;2147483912
2778;1251;2147483911
2794;1267;2147483910
2802;1267;2147483909
2804;1267;2147483908
2817;1267;2147483907
2841;1283;2147483906
2850;1283;2147483905
2904;1298;2147483904
2972;1330;2147483903
3026;1345;2147483902
3062;1361;2147483901
3068;1361;2147483900
3074;1361;2147483899
3077;1361;2147483898
3091;1376;2147483897
3116;1376;2147483896
3135;1392;2147483895
3204;1408;2147483894
3221;1423;2147483893
3232;1423;2147483892
3246;1423;2147483891
3270;1439;2147483890
3286;1439;2147483889
3288;1439;2147483888
3295;1439;2147483887
3296;1455;2147483886
3297;1455;2147483885
3349;1470;2147483884
3401;1486;2147483883
3414;1486;2147483882
3419;1486;2147483881
3506;1517;2147483880
3550;1533;2147483878
3557;1548;2147483877
3568;1548;2147483876
3596;1564;2147483875
3622;1564;2147483874
3632;1564;2147483873
3654;1580;2147483872
3679;1580;2147483871
3688;1595;2147483870
3729;1611;2147483868
3765;1626;2147483867
3794;1626;2147483866
3818;1642;2147483865
3838;1642;2147483864
3840;1642;2147483862
3845;1642;2147483861
3882;1658;2147483859
3885;1658;2147483858
3940;1689;2147483857
3983;1705;2147483855
4348;1829;2147483854
4354;1845;2147483853
4396;1861;2147483852
4410;1861;2147483851
