fes;time;f
1;47;2147484443
8;62;2147484442
16;62;2147484439
19;62;2147484438
25;78;2147484437
28;78;2147484433
31;78;2147484432
35;78;2147484431
38;78;2147484430
39;78;2147484427
44;78;2147484424
48;94;2147484422
49;94;2147484421
50;94;2147484416
54;94;2147484414
64;94;2147484411
65;94;2147484410
68;94;2147484407
70;94;2147484406
72;94;2147484405
74;94;2147484402
79;94;2147484400
85;109;2147484397
89;109;2147484396
102;109;2147484393
103;109;2147484392
109;109;2147484390
113;109;2147484389
116;109;2147484384
142;125;2147484381
146;125;2147484379
153;125;2147484376
161;125;2147484374
165;141;2147484372
166;141;2147484369
169;141;2147484368
172;141;2147484360
176;141;2147484359
177;141;2147484356
183;141;2147484354
184;141;2147484353
190;141;2147484352
191;141;2147484351
198;141;2147484350
200;141;2147484348
204;141;2147484347
211;156;2147484346
219;156;2147484341
221;156;2147484339
223;156;2147484338
231;156;2147484337
232;156;2147484336
248;156;2147484332
252;156;2147484331
256;156;2147484330
262;172;2147484329
265;172;2147484326
269;172;2147484325
273;172;2147484322
278;172;2147484321
279;172;2147484320
283;172;2147484318
284;172;2147484316
298;172;2147484315
303;172;2147484314
307;172;2147484313
316;187;2147484308
317;187;2147484307
321;187;2147484303
329;187;2147484298
330;187;2147484297
331;187;2147484294
338;187;2147484293
349;187;2147484286
350;187;2147484285
355;187;2147484284
376;203;2147484282
381;203;2147484279
392;203;2147484278
393;203;2147484276
396;203;2147484274
398;203;2147484273
400;203;2147484266
402;203;2147484265
404;203;2147484264
406;203;2147484262
407;203;2147484261
409;203;2147484260
411;203;2147484259
412;203;2147484258
413;203;2147484256
421;219;2147484255
423;219;2147484246
425;219;2147484245
428;219;2147484243
433;219;2147484242
436;219;2147484241
437;219;2147484238
440;219;2147484236
467;234;2147484232
471;234;2147484229
475;234;2147484228
477;234;2147484225
480;234;2147484224
482;234;2147484222
485;234;2147484221
493;234;2147484220
499;234;2147484219
503;234;2147484217
506;234;2147484214
515;234;2147484213
518;250;2147484212
519;250;2147484211
525;250;2147484210
528;250;2147484209
549;250;2147484206
550;250;2147484205
557;250;2147484204
558;250;2147484200
561;250;2147484199
564;250;2147484198
569;250;2147484195
572;250;2147484194
577;266;2147484193
578;266;2147484192
585;266;2147484191
590;266;2147484190
597;266;2147484189
602;266;2147484188
612;266;2147484186
621;266;2147484185
622;266;2147484184
631;281;2147484182
632;281;2147484176
633;281;2147484174
641;281;2147484173
642;281;2147484172
647;281;2147484171
655;281;2147484169
656;281;2147484167
670;281;2147484165
674;281;2147484164
678;297;2147484162
683;297;2147484160
686;297;2147484159
699;297;2147484157
700;297;2147484156
701;297;2147484155
710;297;2147484154
715;297;2147484151
716;297;2147484149
745;312;2147484148
749;312;2147484145
752;312;2147484144
756;312;2147484141
757;312;2147484139
761;312;2147484136
762;312;2147484134
765;312;2147484133
778;328;2147484132
779;328;2147484131
781;328;2147484130
785;328;2147484128
790;328;2147484127
823;344;2147484126
826;344;2147484122
827;344;2147484116
842;344;2147484115
878;359;2147484113
885;359;2147484111
900;359;2147484110
902;359;2147484109
904;359;2147484107
912;359;2147484106
913;359;2147484104
922;375;2147484103
931;375;2147484102
933;375;2147484100
934;375;2147484099
936;375;2147484098
941;375;2147484097
942;375;2147484096
943;375;2147484095
945;375;2147484094
955;375;2147484093
958;375;2147484091
966;375;2147484090
978;390;2147484089
981;390;2147484085
987;390;2147484084
989;390;2147484083
998;390;2147484081
1007;390;2147484080
1047;406;2147484079
1071;406;2147484078
1078;406;2147484077
1082;422;2147484076
1093;422;2147484075
1118;422;2147484074
1123;422;2147484073
1130;422;2147484071
1138;437;2147484070
1143;437;2147484068
1147;437;2147484067
1156;437;2147484064
1162;437;2147484063
1171;437;2147484062
1172;437;2147484061
1182;437;2147484060
1191;453;2147484057
1199;453;2147484056
1203;453;2147484055
1204;453;2147484054
1205;453;2147484053
1229;453;2147484052
1234;453;2147484048
1247;469;2147484047
1253;469;2147484046
1254;469;2147484038
1255;469;2147484037
1257;469;2147484036
1293;484;2147484035
1301;484;2147484034
1322;484;2147484033
1326;484;2147484031
1340;484;2147484030
1346;500;2147484028
1375;500;2147484027
1377;500;2147484026
1378;500;2147484025
1392;500;2147484024
1398;515;2147484023
1403;515;2147484022
1404;515;2147484020
1408;515;2147484019
1419;515;2147484018
1430;515;2147484016
1444;515;2147484015
1449;531;2147484014
1457;531;2147484013
1462;531;2147484012
1468;531;2147484010
1484;531;2147484009
1485;531;2147484008
1491;531;2147484007
1494;531;2147484005
1498;531;2147484004
1529;547;2147484003
1537;547;2147484002
1582;562;2147484000
1602;562;2147483998
1604;562;2147483997
1612;578;2147483996
1617;578;2147483995
1638;578;2147483993
1639;578;2147483987
1653;578;2147483986
1670;594;2147483985
1698;594;2147483984
1729;609;2147483983
1743;609;2147483982
1744;609;2147483981
1750;609;2147483980
1751;609;2147483979
1767;609;2147483978
1779;625;2147483976
1786;625;2147483975
1809;625;2147483974
1823;625;2147483972
1824;625;2147483971
1852;640;2147483969
1853;640;2147483967
1855;640;2147483966
1858;640;2147483965
1875;640;2147483964
1906;656;2147483963
1909;656;2147483962
1939;656;2147483961
1962;675;2147483960
1970;675;2147483959
1998;675;2147483957
2189;737;2147483956
2192;737;2147483955
2202;737;2147483954
2206;737;2147483953
2217;737;2147483952
2221;737;2147483950
2225;737;2147483949
2250;753;2147483948
2256;753;2147483947
2271;753;2147483946
2287;768;2147483945
2288;768;2147483944
2314;768;2147483943
2317;768;2147483941
2318;768;2147483940
2376;784;2147483939
2382;784;2147483937
2385;784;2147483934
2388;784;2147483933
2391;784;2147483931
2396;784;2147483928
2413;800;2147483924
2417;800;2147483923
2422;800;2147483922
2456;800;2147483921
2514;815;2147483920
2523;831;2147483919
2526;831;2147483913
2533;831;2147483912
2546;831;2147483911
2661;862;2147483910
2686;862;2147483909
2712;878;2147483908
2750;893;2147483907
2784;893;2147483906
2795;893;2147483905
2807;909;2147483904
2838;909;2147483903
2866;925;2147483902
2907;925;2147483901
2938;940;2147483900
2951;940;2147483899
2979;956;2147483897
2987;956;2147483896
3009;956;2147483895
3016;956;2147483894
3026;972;2147483893
3046;972;2147483892
3047;972;2147483891
3060;972;2147483890
3091;987;2147483889
3108;987;2147483888
3114;987;2147483887
3116;987;2147483884
3121;987;2147483883
3131;987;2147483882
3137;1003;2147483881
3150;1003;2147483880
3184;1003;2147483879
3247;1034;2147483878
3281;1034;2147483877
3330;1050;2147483876
3411;1065;2147483875
3418;1081;2147483873
3431;1081;2147483872
3432;1081;2147483871
3449;1081;2147483870
3485;1096;2147483869
3511;1096;2147483868
3595;1128;2147483867
3620;1128;2147483866
3688;1143;2147483865
3699;1159;2147483864
3701;1159;2147483862
3785;1175;2147483861
3860;1190;2147483860
3865;1190;2147483858
3883;1206;2147483857
3906;1206;2147483856
3958;1221;2147483855
4147;1268;2147483852
4215;1300;2147483851
4227;1300;2147483850
4236;1300;2147483849
4238;1300;2147483848
4289;1315;2147483847
4337;1331;2147483846
4393;1346;2147483845
4401;1346;2147483844
4407;1346;2147483843
4419;1346;2147483842
4469;1362;2147483841
4487;1378;2147483840
4528;1378;2147483839
4534;1378;2147483838
4583;1393;2147483836
4709;1425;2147483835
4714;1440;2147483834
4720;1440;2147483833
4749;1440;2147483832
4755;1440;2147483826
4832;1471;2147483825
4897;1487;2147483824
4903;1487;2147483823
4978;1503;2147483822
5016;1518;2147483821
5056;1534;2147483820
5145;1550;2147483819
5260;1581;2147483818
5277;1596;2147483817
5286;1596;2147483816
5340;1612;2147483815
5350;1612;2147483814
5357;1612;2147483813
5387;1612;2147483812
5393;1628;2147483811
5501;1659;2147483810
5517;1659;2147483809
5608;1675;2147483808
5610;1675;2147483807
5632;1690;2147483806
5757;1721;2147483805
5791;1737;2147483804
5802;1737;2147483803
5831;1737;2147483802
5894;1768;2147483801
5924;1768;2147483799
6849;2018;2147483798
6864;2034;2147483797
6896;2034;2147483796
6907;2049;2147483795
6969;2065;2147483794
7079;2081;2147483793
7086;2096;2147483792
7299;2159;2147483791
7416;2190;2147483790
7418;2190;2147483789
7428;2190;2147483788
7546;2221;2147483787
7605;2237;2147483786
7735;2268;2147483785
7898;2315;2147483784
8131;2377;2147483783
8141;2393;2147483782
8166;2393;2147483781
8176;2393;2147483780
8210;2409;2147483779
8213;2409;2147483778
8240;2409;2147483777
8255;2424;2147483776
8342;2440;2147483775
8546;2502;2147483774
8615;2518;2147483773
8708;2549;2147483772
8709;2549;2147483771
8748;2565;2147483769
8830;2581;2147483768
8856;2596;2147483767
8918;2612;2147483766
9257;2705;2147483765
9292;2705;2147483764
9404;2737;2147483763
9526;2768;2147483762
9529;2784;2147483760
9576;2784;2147483759
9696;2815;2147483758
9719;2830;2147483757
9732;2830;2147483756
9905;2877;2147483755
9956;2893;2147483754
10258;2987;2147483753
10417;3018;2147483752
10428;3034;2147483751
10537;3049;2147483750
10566;3065;2147483749
11039;3190;2147483748
11065;3205;2147483747
11116;3221;2147483746
11205;3237;2147483745
11218;3237;2147483744
11293;3268;2147483743
11598;3346;2147483742
11802;3408;2147483741
12685;3643;2147483740
12890;3705;2147483738
14488;4158;2147483737
14726;4221;2147483736
15206;4361;2147483735
15657;4486;2147483734
15877;4533;2147483733
16866;4816;2147483732
16969;4847;2147483731
17316;4941;2147483730
17373;4956;2147483729
17463;4988;2147483728
17750;5066;2147483726
18932;5409;2147483724
19099;5456;2147483723
19387;5534;2147483722
19667;5612;2147483721
19828;5659;2147483718
20674;5896;2147483717
20836;5943;2147483716
20963;5974;2147483715
21494;6115;2147483714
21772;6209;2147483713
21925;6240;2147483712
23514;6693;2147483711
23708;6740;2147483710
23816;6771;2147483709
25241;7177;2147483708
26246;7458;2147483704
26310;7474;2147483703
26344;7489;2147483702
26554;7536;2147483701
26594;7552;2147483700
26666;7568;2147483699
