fes;time;f
1;47;2147486333
4;63;2147486332
9;78;2147486329
20;94;2147486327
30;94;2147486326
31;94;2147486325
35;110;2147486324
42;110;2147486323
46;110;2147486321
47;125;2147486317
50;125;2147486316
52;125;2147486315
58;125;2147486313
63;141;2147486312
69;141;2147486310
74;141;2147486309
78;157;2147486308
82;157;2147486306
83;157;2147486305
87;157;2147486304
88;157;2147486303
93;157;2147486301
97;172;2147486300
109;172;2147486299
113;188;2147486298
115;188;2147486292
118;188;2147486291
125;188;2147486289
141;203;2147486287
143;203;2147486285
147;203;2147486284
148;203;2147486282
149;203;2147486281
152;219;2147486279
154;219;2147486276
161;219;2147486275
166;219;2147486274
167;235;2147486273
170;235;2147486271
171;235;2147486270
174;235;2147486269
176;235;2147486268
177;235;2147486267
181;235;2147486266
190;250;2147486264
191;250;2147486263
192;250;2147486144
196;250;2147486142
198;250;2147486141
203;250;2147486140
204;250;2147486138
210;266;2147486136
215;266;2147486135
221;266;2147486134
225;282;2147486133
228;282;2147486132
242;297;2147486130
245;297;2147486129
247;297;2147486127
248;297;2147486126
252;297;2147486124
256;297;2147486123
262;313;2147486122
280;328;2147486121
287;328;2147486120
293;328;2147486119
303;344;2147486118
308;344;2147486117
318;360;2147486116
319;360;2147486114
324;360;2147486112
331;360;2147486110
333;360;2147486109
336;360;2147486107
337;375;2147486106
339;375;2147486105
344;375;2147486104
352;375;2147486103
367;391;2147486102
373;407;2147486099
376;407;2147486098
380;407;2147486096
381;407;2147486095
382;407;2147486094
383;407;2147486093
394;422;2147486092
413;438;2147486090
416;438;2147486089
418;438;2147486087
420;438;2147486086
422;438;2147486083
431;453;2147486082
432;453;2147486079
435;453;2147486075
437;453;2147486050
440;453;2147486048
446;469;2147486047
447;469;2147486046
452;469;2147486045
454;469;2147486044
459;469;2147486043
464;469;2147486042
465;469;2147486040
467;485;2147486039
475;485;2147486037
489;500;2147486035
491;500;2147486034
497;500;2147486033
504;500;2147486031
505;500;2147486028
506;516;2147486027
507;516;2147486026
517;516;2147486025
519;516;2147486023
521;516;2147486022
522;516;2147486021
523;516;2147486020
536;531;2147486019
540;547;2147486018
542;547;2147486016
547;547;2147486015
551;547;2147486014
560;563;2147486012
564;563;2147486011
572;563;2147486010
580;578;2147486009
592;578;2147486008
598;594;2147486007
600;594;2147486004
623;610;2147486003
635;610;2147486002
637;625;2147486000
655;625;2147485999
664;641;2147485997
687;656;2147485996
689;656;2147485995
692;656;2147485994
694;656;2147485992
695;656;2147485990
699;672;2147485989
708;672;2147485986
713;672;2147485984
722;688;2147485983
726;688;2147485982
730;688;2147485869
734;703;2147485868
739;703;2147485867
741;703;2147485865
761;719;2147485864
762;719;2147485863
781;735;2147485862
784;735;2147485767
797;750;2147485766
801;750;2147485765
814;766;2147485764
816;766;2147485762
822;766;2147485761
827;766;2147485759
830;766;2147485758
845;781;2147485757
846;781;2147485756
850;781;2147485755
858;797;2147485754
866;797;2147485752
872;797;2147485749
889;813;2147485748
897;813;2147485746
898;828;2147485745
900;828;2147485744
908;828;2147485743
909;828;2147485742
911;828;2147485741
916;828;2147485740
924;844;2147485738
937;860;2147485737
940;860;2147485736
944;860;2147485735
951;860;2147485734
962;875;2147485733
966;875;2147485732
970;875;2147485731
984;891;2147485729
997;906;2147485728
998;906;2147485727
1039;938;2147485726
1041;938;2147485725
1052;938;2147485724
1059;953;2147485723
1060;953;2147485721
1070;953;2147485720
1093;969;2147485718
1097;969;2147485717
1103;985;2147485716
1105;985;2147485714
1112;985;2147485713
1126;1000;2147485712
1137;1000;2147485711
1160;1016;2147485709
1163;1016;2147485708
1166;1031;2147485706
1175;1031;2147485705
1180;1031;2147485704
1198;1047;2147485703
1210;1063;2147485702
1216;1063;2147485573
1217;1063;2147485572
1218;1063;2147485571
1224;1063;2147485570
1226;1063;2147485569
1248;1078;2147485568
1249;1094;2147485567
1253;1094;2147485566
1254;1094;2147485565
1255;1094;2147485564
1257;1094;2147485563
1282;1109;2147485562
1293;1125;2147485561
1314;1141;2147485559
1336;1156;2147485558
1338;1156;2147485557
1339;1156;2147485556
1354;1172;2147485555
1385;1188;2147485554
1402;1203;2147485553
1422;1219;2147485552
1423;1219;2147485443
1439;1234;2147485442
1485;1281;2147485441
1521;1297;2147485439
1522;1297;2147485438
1580;1344;2147485436
1596;1359;2147485435
1597;1359;2147485434
1602;1359;2147485433
1623;1391;2147485432
1626;1391;2147485431
1627;1391;2147485430
1630;1391;2147485429
1632;1391;2147485428
1675;1422;2147485427
1684;1438;2147485426
1692;1438;2147485425
1712;1453;2147485423
1713;1453;2147485422
1716;1469;2147485421
1720;1469;2147485420
1742;1484;2147485418
1746;1484;2147485417
1754;1484;2147485416
1772;1500;2147485415
1790;1516;2147485414
1821;1547;2147485413
1876;1594;2147485412
1896;1609;2147485411
1910;1609;2147485377
1914;1625;2147485376
1925;1625;2147485375
1935;1641;2147485374
1948;1641;2147485373
1982;1672;2147485372
