fes;time;f
1;47;2147484089
4;63;2147484088
13;78;2147484087
16;78;2147484084
17;78;2147484083
18;78;2147484082
20;78;2147484081
21;78;2147484080
25;78;2147484078
28;94;2147484076
30;94;2147484074
32;94;2147484073
34;94;2147484072
37;94;2147484071
48;94;2147484067
49;110;2147484055
52;110;2147484052
63;110;2147484051
77;110;2147484050
81;125;2147484048
87;125;2147484047
88;125;2147484046
97;125;2147484045
100;125;2147484044
107;125;2147484042
121;141;2147484041
129;141;2147484040
130;141;2147484037
137;141;2147484036
147;141;2147484035
153;157;2147484023
155;157;2147484022
167;157;2147484021
169;157;2147484020
174;157;2147484019
176;157;2147484018
177;157;2147484017
187;172;2147484016
189;172;2147484015
191;172;2147484014
196;172;2147484013
207;172;2147484011
208;188;2147484010
221;188;2147484009
222;188;2147484008
224;188;2147484007
229;188;2147484006
237;203;2147484003
238;203;2147484002
241;203;2147484000
253;203;2147483999
260;203;2147483997
268;203;2147483996
273;219;2147483995
283;219;2147483994
285;219;2147483992
289;219;2147483991
292;219;2147483990
298;219;2147483989
300;219;2147483987
302;219;2147483983
309;235;2147483982
312;235;2147483981
326;235;2147483980
332;235;2147483979
338;235;2147483978
346;235;2147483976
349;250;2147483975
352;250;2147483972
356;250;2147483971
365;250;2147483970
367;250;2147483969
370;250;2147483968
379;250;2147483967
380;250;2147483964
384;250;2147483961
409;266;2147483960
425;266;2147483959
430;266;2147483958
436;282;2147483956
437;282;2147483955
439;282;2147483953
457;282;2147483952
465;282;2147483950
467;282;2147483949
470;282;2147483947
473;282;2147483945
476;282;2147483944
478;282;2147483943
484;297;2147483941
486;297;2147483940
512;297;2147483939
522;297;2147483938
524;297;2147483935
529;297;2147483934
532;313;2147483933
533;313;2147483932
561;313;2147483931
562;313;2147483918
564;313;2147483917
566;313;2147483916
568;313;2147483915
569;313;2147483913
595;328;2147483910
600;328;2147483908
612;328;2147483907
615;328;2147483906
617;328;2147483903
633;344;2147483901
646;344;2147483900
649;344;2147483899
653;344;2147483898
656;344;2147483897
663;344;2147483896
676;360;2147483894
682;360;2147483892
686;360;2147483886
688;360;2147483885
692;360;2147483883
708;360;2147483882
717;375;2147483881
729;375;2147483879
739;375;2147483877
759;391;2147483876
785;391;2147483875
787;391;2147483874
791;391;2147483862
796;391;2147483861
817;391;2147483860
827;407;2147483859
830;407;2147483858
852;407;2147483857
855;407;2147483856
856;407;2147483854
907;422;2147483853
936;422;2147483852
938;422;2147483849
940;422;2147483848
955;438;2147483846
980;438;2147483845
998;438;2147483844
1090;469;2147483843
1097;469;2147483842
1098;469;2147483841
1104;469;2147483840
1107;469;2147483839
1133;469;2147483838
1135;469;2147483837
1141;469;2147483836
1148;485;2147483824
1172;485;2147483823
1221;500;2147483822
1225;500;2147483821
1278;516;2147483820
1287;516;2147483819
1290;516;2147483818
1329;516;2147483817
1349;532;2147483816
1360;532;2147483815
1362;532;2147483814
1427;547;2147483813
1441;547;2147483812
1447;547;2147483811
1454;547;2147483810
1456;547;2147483809
1484;563;2147483808
1495;563;2147483807
1519;563;2147483806
1531;578;2147483805
1532;578;2147483794
1567;578;2147483793
1581;594;2147483792
1662;610;2147483791
1722;625;2147483790
1797;641;2147483788
1798;641;2147483787
1823;641;2147483786
1831;656;2147483785
1881;656;2147483784
1949;672;2147483783
1985;688;2147483782
2049;703;2147483781
2081;703;2147483780
2096;703;2147483779
2128;719;2147483777
2152;719;2147483776
2163;719;2147483775
2172;735;2147483774
2211;735;2147483773
2246;750;2147483772
2256;750;2147483771
2376;781;2147483770
2386;781;2147483769
2391;781;2147483768
2476;797;2147483767
2607;828;2147483766
2613;828;2147483765
2622;828;2147483764
2721;860;2147483763
2732;860;2147483762
2769;860;2147483761
2891;891;2147483760
2918;906;2147483759
2965;906;2147483758
2982;906;2147483757
2983;906;2147483756
3147;953;2147483755
3182;953;2147483754
3255;969;2147483753
3290;985;2147483752
3430;1016;2147483751
3434;1016;2147483750
3462;1031;2147483749
3582;1047;2147483748
3613;1063;2147483747
3633;1063;2147483746
3634;1063;2147483745
