fes;time;f
1;62;2147484145
22;109;2147484144
23;109;2147484143
32;125;2147484140
33;125;2147484139
34;125;2147484137
39;125;2147484135
43;125;2147484134
44;125;2147484133
49;140;2147484132
51;140;2147484131
56;140;2147484129
57;140;2147484125
61;140;2147484123
62;140;2147484121
70;156;2147484117
71;156;2147484116
73;156;2147484115
76;156;2147484112
78;156;2147484109
86;172;2147484108
92;172;2147484107
94;172;2147484105
103;172;2147484104
105;172;2147484101
106;172;2147484100
113;187;2147484099
118;187;2147484097
122;187;2147484095
128;203;2147484092
138;203;2147484090
140;203;2147484086
142;203;2147484085
149;218;2147484084
150;218;2147484083
163;234;2147484082
164;234;2147484080
170;234;2147484079
175;250;2147484078
177;250;2147484076
181;250;2147484075
184;250;2147484074
185;250;2147484073
187;250;2147484072
193;250;2147484071
200;265;2147484070
201;265;2147484069
202;265;2147484068
207;265;2147484067
208;265;2147484066
218;265;2147484063
226;281;2147484062
230;281;2147484061
232;281;2147484060
239;281;2147484059
242;281;2147484058
247;281;2147484057
249;297;2147484055
261;297;2147484053
269;297;2147484052
270;297;2147484051
273;312;2147484050
284;312;2147484049
289;312;2147484048
291;312;2147484046
305;328;2147484045
308;328;2147484044
312;328;2147484041
314;328;2147484040
322;343;2147484039
324;343;2147484037
332;343;2147484036
333;343;2147484034
334;343;2147484032
339;343;2147484030
347;359;2147484028
360;359;2147484027
362;359;2147484026
365;359;2147484024
367;359;2147484023
376;375;2147484021
400;390;2147484020
403;390;2147484019
407;390;2147484018
420;390;2147484017
429;406;2147484015
430;406;2147484014
432;406;2147484013
434;406;2147484012
435;406;2147484011
436;406;2147484010
441;406;2147484009
442;406;2147484006
454;422;2147484005
460;422;2147484004
470;422;2147484003
493;437;2147484002
499;437;2147484000
504;453;2147483999
509;453;2147483998
519;453;2147483997
524;453;2147483996
537;468;2147483995
543;468;2147483994
554;468;2147483993
561;484;2147483992
579;484;2147483991
581;500;2147483990
603;500;2147483989
608;515;2147483988
612;515;2147483985
617;515;2147483984
626;515;2147483982
641;531;2147483981
657;531;2147483980
661;547;2147483979
667;547;2147483978
685;547;2147483977
687;562;2147483976
709;562;2147483975
720;578;2147483974
725;578;2147483973
747;593;2147483971
753;593;2147483969
762;609;2147483968
767;609;2147483967
782;609;2147483966
796;625;2147483965
797;625;2147483964
802;625;2147483963
803;625;2147483962
804;625;2147483961
805;625;2147483960
809;625;2147483958
817;640;2147483957
818;640;2147483955
822;640;2147483953
827;640;2147483952
841;656;2147483950
847;656;2147483949
890;671;2147483948
895;687;2147483947
919;703;2147483946
928;703;2147483945
947;718;2147483943
958;718;2147483941
975;734;2147483940
976;734;2147483939
979;734;2147483938
988;734;2147483937
990;734;2147483936
1029;765;2147483935
1038;765;2147483934
1040;765;2147483932
1050;781;2147483931
1088;796;2147483930
1120;812;2147483929
1159;843;2147483928
1185;859;2147483926
1191;859;2147483924
1207;875;2147483923
1209;875;2147483921
1226;890;2147483920
1249;906;2147483919
1250;906;2147483918
1259;906;2147483917
1262;906;2147483916
1269;906;2147483915
1301;937;2147483914
1328;953;2147483913
1330;953;2147483912
1333;953;2147483911
1362;968;2147483910
1425;1015;2147483907
1434;1015;2147483906
1477;1046;2147483904
1482;1046;2147483903
1488;1046;2147483900
1561;1093;2147483898
1562;1093;2147483897
1564;1093;2147483896
1571;1093;2147483895
1575;1093;2147483894
1593;1109;2147483892
1620;1125;2147483891
1632;1125;2147483890
1643;1140;2147483889
1664;1140;2147483888
1670;1156;2147483887
1675;1156;2147483886
1681;1156;2147483885
1695;1171;2147483884
1700;1171;2147483883
1727;1187;2147483882
1728;1187;2147483881
1738;1187;2147483880
1755;1203;2147483879
1773;1218;2147483877
1798;1234;2147483876
1807;1234;2147483875
1834;1249;2147483874
1841;1249;2147483873
1843;1249;2147483872
1845;1249;2147483870
1864;1265;2147483869
1891;1281;2147483868
1896;1281;2147483867
1917;1296;2147483866
1962;1328;2147483865
1963;1328;2147483864
1967;1328;2147483863
1993;1343;2147483862
2047;1374;2147483861
2072;1390;2147483860
2075;1390;2147483859
2081;1390;2147483858
2133;1421;2147483857
2137;1421;2147483856
2164;1437;2147483855
