fes;time;f
1;47;2147484654
2;78;2147484653
3;78;2147484651
11;94;2147484649
12;110;2147484646
14;110;2147484645
15;110;2147484644
17;125;2147484642
19;125;2147484641
24;125;2147484640
25;141;2147484639
33;157;2147484637
35;157;2147484636
36;157;2147484635
37;157;2147484634
39;157;2147484632
52;188;2147484630
54;188;2147484629
55;188;2147484628
58;188;2147484625
59;203;2147484623
62;203;2147484620
74;219;2147484619
76;219;2147484618
85;235;2147484617
87;250;2147484613
90;250;2147484609
94;250;2147484608
95;250;2147484607
98;266;2147484606
100;266;2147484604
103;266;2147484603
107;282;2147484602
108;282;2147484599
109;282;2147484598
111;282;2147484596
124;313;2147484595
125;313;2147484591
136;328;2147484590
147;344;2147484589
151;360;2147484587
157;360;2147484583
160;360;2147484581
162;375;2147484578
180;391;2147484577
185;407;2147484576
189;407;2147484575
192;422;2147484574
197;422;2147484573
201;438;2147484572
204;438;2147484570
205;438;2147484569
208;438;2147484568
210;453;2147484566
216;453;2147484557
234;485;2147484555
236;485;2147484554
237;485;2147484552
245;500;2147484551
249;516;2147484550
253;516;2147484549
263;531;2147484545
273;547;2147484544
274;547;2147484543
282;563;2147484542
294;578;2147484540
300;594;2147484539
308;610;2147484538
316;610;2147484536
323;625;2147484533
324;625;2147484531
336;641;2147484527
342;656;2147484524
346;656;2147484523
348;672;2147484522
350;672;2147484520
356;672;2147484519
363;688;2147484517
368;688;2147484508
375;703;2147484506
376;703;2147484504
377;703;2147484503
378;703;2147484501
380;719;2147484499
381;719;2147484497
386;719;2147484494
387;719;2147484491
388;719;2147484490
395;735;2147484488
404;750;2147484487
424;781;2147484486
429;781;2147484485
432;797;2147484484
436;797;2147484483
439;797;2147484482
440;797;2147484481
470;844;2147484480
471;844;2147484478
473;860;2147484476
483;875;2147484475
488;875;2147484474
498;891;2147484473
507;906;2147484472
508;906;2147484471
513;922;2147484470
515;922;2147484469
517;922;2147484466
520;922;2147484464
525;938;2147484463
534;953;2147484462
542;953;2147484461
545;969;2147484460
551;969;2147484459
560;984;2147484458
567;1000;2147484456
571;1000;2147484454
580;1016;2147484453
598;1047;2147484451
604;1047;2147484450
611;1063;2147484449
624;1078;2147484448
634;1094;2147484444
638;1109;2147484443
640;1109;2147484442
647;1125;2147484441
654;1125;2147484440
663;1141;2147484439
672;1156;2147484438
673;1156;2147484436
674;1156;2147484435
677;1156;2147484433
681;1172;2147484432
688;1188;2147484431
696;1188;2147484429
700;1203;2147484428
725;1234;2147484426
726;1234;2147484425
729;1250;2147484423
730;1250;2147484421
731;1250;2147484419
737;1250;2147484418
738;1250;2147484416
739;1266;2147484413
748;1266;2147484412
756;1281;2147484411
759;1281;2147484410
767;1297;2147484408
769;1297;2147484407
782;1328;2147484396
786;1328;2147484395
793;1344;2147484394
796;1344;2147484393
802;1344;2147484391
804;1359;2147484389
806;1359;2147484387
811;1359;2147484386
814;1375;2147484385
827;1391;2147484384
830;1391;2147484383
840;1406;2147484382
847;1422;2147484381
849;1422;2147484380
851;1422;2147484379
855;1422;2147484378
856;1438;2147484377
859;1438;2147484376
868;1453;2147484375
880;1469;2147484374
901;1500;2147484373
903;1500;2147484372
908;1500;2147484371
914;1516;2147484370
922;1531;2147484369
923;1531;2147484367
928;1531;2147484364
929;1531;2147484362
948;1563;2147484357
953;1578;2147484356
956;1578;2147484355
961;1578;2147484354
965;1594;2147484353
968;1594;2147484351
970;1594;2147484349
977;1609;2147484348
981;1609;2147484346
983;1625;2147484336
986;1625;2147484335
997;1641;2147484334
1010;1656;2147484333
1015;1672;2147484332
1024;1672;2147484330
1029;1687;2147484329
1048;1719;2147484328
1058;1734;2147484326
1068;1750;2147484325
1087;1781;2147484324
1112;1812;2147484323
1118;1812;2147484322
1137;1844;2147484320
1148;1859;2147484319
1149;1875;2147484318
1159;1891;2147484317
1165;1891;2147484316
1173;1906;2147484315
1178;1906;2147484313
1186;1922;2147484310
1200;1937;2147484309
1203;1953;2147484307
1214;1969;2147484304
1221;1969;2147484303
1264;2047;2147484302
1268;2047;2147484301
1295;2094;2147484299
1313;2109;2147484298
1314;2109;2147484297
1316;2125;2147484296
1328;2141;2147484295
1330;2141;2147484294
1335;2141;2147484293
1337;2156;2147484292
1338;2156;2147484291
1348;2172;2147484290
1358;2187;2147484289
1360;2187;2147484288
1362;2187;2147484287
1388;2219;2147484286
1389;2219;2147484285
1392;2234;2147484284
1413;2265;2147484283
1425;2281;2147484282
1442;2297;2147484281
1489;2375;2147484279
1490;2375;2147484278
1514;2406;2147484277
1521;2422;2147484276
1537;2453;2147484275
1541;2453;2147484274
1544;2453;2147484273
1549;2469;2147484272
1554;2469;2147484271
1569;2500;2147484269
1571;2500;2147484268
1574;2500;2147484267
1575;2500;2147484266
1583;2515;2147484265
1587;2515;2147484262
1596;2531;2147484260
1599;2547;2147484258
1602;2547;2147484257
1604;2547;2147484256
1639;2609;2147484255
1649;2625;2147484254
1659;2640;2147484253
1660;2640;2147484252
1664;2640;2147484251
1684;2672;2147484250
1694;2687;2147484249
1697;2687;2147484248
1700;2687;2147484247
1706;2703;2147484246
1708;2703;2147484245
