fes;time;f
1;62;2147484631
4;93;2147484630
5;93;2147484629
8;109;2147484626
23;140;2147484624
24;140;2147484623
30;156;2147484621
39;172;2147484619
40;172;2147484610
46;187;2147484608
52;203;2147484607
56;203;2147484606
57;218;2147484605
70;234;2147484604
72;234;2147484603
73;250;2147484602
77;250;2147484601
78;250;2147484600
82;265;2147484599
84;265;2147484598
89;265;2147484595
90;265;2147484594
101;296;2147484593
110;312;2147484591
116;328;2147484590
117;328;2147484586
120;328;2147484585
121;328;2147484584
133;359;2147484583
134;359;2147484581
146;375;2147484580
150;390;2147484578
152;390;2147484577
164;406;2147484576
167;421;2147484575
170;421;2147484574
171;421;2147484572
184;453;2147484570
194;468;2147484569
195;468;2147484568
202;484;2147484566
207;484;2147484565
209;500;2147484564
213;500;2147484563
215;500;2147484562
217;500;2147484561
220;515;2147484557
224;515;2147484556
225;515;2147484554
232;531;2147484553
234;531;2147484552
238;546;2147484551
242;546;2147484550
243;546;2147484548
244;546;2147484547
249;562;2147484544
254;578;2147484543
257;578;2147484539
263;593;2147484536
268;593;2147484535
270;609;2147484534
272;609;2147484533
274;609;2147484532
286;640;2147484529
287;640;2147484527
292;640;2147484526
299;656;2147484525
303;671;2147484524
306;671;2147484520
316;687;2147484518
322;703;2147484517
328;703;2147484516
330;718;2147484515
335;718;2147484513
336;730;2147484512
357;755;2147484510
360;770;2147484509
366;770;2147484508
369;786;2147484506
371;786;2147484499
376;786;2147484498
386;802;2147484497
387;817;2147484496
391;817;2147484495
395;817;2147484493
397;833;2147484491
398;833;2147484489
404;833;2147484480
409;848;2147484478
415;864;2147484477
417;864;2147484476
433;895;2147484474
436;895;2147484473
438;895;2147484471
440;895;2147484469
441;911;2147484465
448;911;2147484462
449;911;2147484461
455;927;2147484460
459;942;2147484459
461;942;2147484458
463;942;2147484456
465;942;2147484455
478;973;2147484454
480;973;2147484452
499;1005;2147484451
502;1005;2147484450
513;1036;2147484449
525;1051;2147484447
526;1051;2147484446
532;1067;2147484445
541;1083;2147484444
552;1098;2147484443
560;1114;2147484442
562;1114;2147484441
588;1161;2147484440
594;1176;2147484437
596;1176;2147484436
597;1176;2147484432
608;1192;2147484430
623;1223;2147484428
630;1239;2147484426
633;1239;2147484421
634;1239;2147484419
641;1255;2147484418
643;1255;2147484417
644;1255;2147484415
646;1255;2147484413
648;1270;2147484411
653;1270;2147484410
655;1270;2147484407
662;1286;2147484406
663;1286;2147484405
673;1301;2147484404
675;1317;2147484403
676;1317;2147484402
682;1317;2147484401
697;1348;2147484399
699;1348;2147484397
709;1380;2147484396
712;1380;2147484394
721;1395;2147484392
727;1411;2147484390
742;1442;2147484386
745;1442;2147484385
748;1458;2147484382
750;1458;2147484380
754;1458;2147484379
761;1473;2147484378
775;1505;2147484377
777;1505;2147484376
782;1520;2147484375
795;1536;2147484374
803;1551;2147484373
806;1551;2147484372
811;1567;2147484371
820;1583;2147484367
821;1583;2147484365
826;1583;2147484364
833;1598;2147484363
844;1614;2147484362
852;1629;2147484359
863;1645;2147484357
866;1661;2147484355
868;1661;2147484354
887;1692;2147484352
910;1739;2147484351
924;1754;2147484350
930;1770;2147484349
931;1770;2147484348
933;1770;2147484347
941;1786;2147484344
950;1801;2147484342
951;1817;2147484341
973;1848;2147484340
978;1864;2147484339
982;1864;2147484338
983;1864;2147484337
986;1879;2147484336
994;1879;2147484335
1002;1895;2147484333
1008;1911;2147484332
1035;1958;2147484322
1047;1989;2147484321
1058;2004;2147484319
1059;2004;2147484317
1062;2004;2147484316
1063;2020;2147484315
1064;2020;2147484313
1067;2020;2147484310
1069;2020;2147484309
1074;2036;2147484308
1075;2036;2147484307
1106;2083;2147484305
1116;2098;2147484304
1118;2114;2147484303
1131;2129;2147484302
1134;2145;2147484301
1142;2161;2147484300
1145;2161;2147484298
1148;2161;2147484297
1149;2161;2147484296
1151;2176;2147484294
1155;2176;2147484293
1170;2207;2147484292
1174;2207;2147484290
1178;2223;2147484288
1180;2223;2147484287
1182;2223;2147484286
1186;2223;2147484283
1198;2254;2147484282
1211;2270;2147484281
1227;2301;2147484280
1229;2301;2147484279
1246;2332;2147484278
1251;2348;2147484277
1253;2348;2147484276
1264;2364;2147484275
1273;2379;2147484274
1275;2379;2147484273
1284;2395;2147484271
1285;2395;2147484264
1296;2426;2147484263
1299;2426;2147484262
1311;2442;2147484261
1314;2457;2147484260
1320;2457;2147484259
1321;2457;2147484258
1326;2473;2147484257
1329;2473;2147484255
1334;2489;2147484254
1338;2489;2147484253
1355;2520;2147484252
1364;2536;2147484251
1370;2551;2147484250
1404;2598;2147484249
1408;2614;2147484248
1413;2614;2147484247
1415;2629;2147484246
1432;2645;2147484245
1434;2660;2147484244
1443;2676;2147484243
1447;2676;2147484242
1452;2692;2147484241
1465;2707;2147484240
1468;2707;2147484238
1474;2723;2147484236
1482;2739;2147484235
1485;2739;2147484234
1517;2801;2147484233
1524;2817;2147484232
1526;2817;2147484231
1533;2832;2147484228
1536;2832;2147484226
1538;2832;2147484224
1541;2832;2147484223
1543;2848;2147484222
1549;2848;2147484221
1577;2895;2147484220
1579;2910;2147484218
1585;2910;2147484217
1590;2926;2147484216
1596;2926;2147484215
1599;2942;2147484213
1603;2942;2147484212
1622;2973;2147484211
1623;2973;2147484209
1626;2989;2147484208
1639;3004;2147484206
1653;3020;2147484204
1661;3035;2147484201
1669;3051;2147484200
1678;3067;2147484199
1683;3082;2147484198
1684;3082;2147484197
1692;3098;2147484196
1705;3114;2147484194
1708;3129;2147484192
1736;3176;2147484191
1749;3192;2147484189
1752;3192;2147484188
1768;3223;2147484187
1806;3285;2147484186
1809;3301;2147484185
1815;3301;2147484184
1825;3317;2147484183
1834;3332;2147484182
1852;3379;2147484181
1853;3379;2147484180
1869;3398;2147484179
1879;3414;2147484178
1883;3430;2147484177
1886;3430;2147484176
1904;3461;2147484175
1928;3492;2147484174
1974;3570;2147484173
1992;3601;2147484171
1997;3601;2147484170
2008;3617;2147484169
2018;3633;2147484167
2021;3633;2147484166
2031;3664;2147484165
2036;3664;2147484163
2044;3679;2147484161
2046;3679;2147484160
2051;3695;2147484159
2062;3711;2147484157
2067;3711;2147484156
2082;3742;2147484154
2083;3742;2147484152
2086;3742;2147484151
2091;3758;2147484150
2093;3758;2147484149
2118;3804;2147484148
2143;3836;2147484147
2157;3851;2147484146
2169;3867;2147484145
2171;3883;2147484144
2179;3883;2147484143
2187;3898;2147484142
2193;3914;2147484141
2245;3992;2147484140
2250;3992;2147484139
2254;4008;2147484138
2256;4008;2147484136
2259;4008;2147484135
2269;4023;2147484134
2272;4039;2147484132
2276;4039;2147484131
2285;4054;2147484130
2301;4086;2147484129
2305;4086;2147484127
2319;4101;2147484126
2332;4132;2147484125
2344;4148;2147484124
2353;4164;2147484122
2375;4195;2147484121
2384;4211;2147484120
2390;4211;2147484119
2393;4226;2147484118
2396;4226;2147484117
2403;4242;2147484116
2424;4273;2147484115
2431;4289;2147484114
2458;4320;2147484113
2476;4351;2147484112
2508;4398;2147484111
2512;4398;2147484110
2522;4414;2147484109
2531;4429;2147484108
2548;4461;2147484107
2556;4476;2147484106
2591;4523;2147484105
2603;4539;2147484104
2613;4554;2147484102
2620;4570;2147484101
2630;4586;2147484100
2649;4617;2147484098
2681;4664;2147484097
2695;4679;2147484096
2734;4742;2147484095
2793;4825;2147484094
2800;4841;2147484093
2818;4872;2147484092
2829;4888;2147484091
2846;4919;2147484090
2865;4935;2147484089
2869;4950;2147484088
2902;4997;2147484087
2912;5013;2147484086
2918;5029;2147484085
2928;5044;2147484084
2933;5044;2147484083
2943;5060;2147484081
2948;5075;2147484080
2957;5091;2147484079
2965;5091;2147484078
2969;5107;2147484077
2970;5107;2147484076
3017;5185;2147484075
3026;5185;2147484074
3061;5247;2147484073
3076;5263;2147484072
3091;5294;2147484071
3092;5294;2147484070
3098;5294;2147484069
3116;5325;2147484068
3117;5325;2147484067
3121;5341;2147484065
3155;5388;2147484063
3160;5388;2147484062
3166;5403;2147484061
3180;5419;2147484060
3190;5435;2147484058
3204;5466;2147484057
3209;5466;2147484056
3219;5482;2147484055
3236;5513;2147484054
3244;5528;2147484053
3250;5544;2147484052
3304;5622;2147484051
3320;5653;2147484050
3329;5669;2147484049
3330;5669;2147484048
3348;5685;2147484047
3405;5778;2147484046
3419;5794;2147484045
3429;5810;2147484044
3479;5888;2147484043
3519;5950;2147484042
3564;6013;2147484041
3577;6044;2147484040
3590;6060;2147484039
3614;6091;2147484038
3615;6091;2147484037
3646;6138;2147484035
3656;6153;2147484034
3675;6185;2147484033
3678;6200;2147484032
3706;6231;2147484031
3734;6278;2147484030
3747;6310;2147484029
3766;6325;2147484028
3775;6341;2147484027
3807;6388;2147484026
3821;6419;2147484025
3886;6513;2147484024
3889;6513;2147484023
3898;6528;2147484022
3899;6528;2147484021
3925;6575;2147484020
3932;6591;2147484019
3935;6591;2147484018
3938;6591;2147484017
3964;6638;2147484016
3965;6638;2147484015
4021;6731;2147484014
4028;6731;2147484013
4080;6809;2147484012
4116;6872;2147484011
4127;6887;2147484009
4156;6934;2147484008
4173;6950;2147484007
4174;6950;2147484006
4182;6966;2147484005
4187;6981;2147484004
4214;7028;2147484003
4235;7059;2147484002
4262;7091;2147484001
4342;7216;2147484000
4360;7247;2147483999
4365;7247;2147483998
4440;7356;2147483997
4443;7372;2147483996
4447;7372;2147483995
4480;7419;2147483993
4536;7512;2147483992
4569;7559;2147483991
4575;7575;2147483990
4594;7606;2147483989
4597;7606;2147483988
4700;7762;2147483987
4733;7809;2147483986
4761;7856;2147483985
4773;7872;2147483984
4794;7903;2147483983
4821;7934;2147483982
4840;7965;2147483981
4841;7965;2147483980
4877;8028;2147483979
4893;8044;2147483978
4929;8106;2147483977
4932;8106;2147483976
4937;8122;2147483975
4963;8153;2147483974
5130;8406;2147483973
5137;8406;2147483972
5179;8468;2147483971
5188;8484;2147483970
5203;8515;2147483968
