fes;time;f
1;47;2147484254
2;47;2147484253
3;47;2147484252
6;63;2147484251
8;63;2147484250
13;63;2147484248
22;78;2147484247
36;78;2147484244
38;94;2147484242
39;94;2147484241
47;94;2147484239
58;110;2147484237
63;110;2147484235
70;110;2147484234
73;110;2147484233
75;110;2147484232
86;125;2147484230
88;125;2147484228
94;125;2147484224
96;125;2147484223
100;125;2147484222
103;125;2147484215
104;141;2147484214
106;141;2147484211
109;141;2147484209
116;141;2147484208
120;141;2147484206
123;141;2147484205
125;141;2147484203
133;156;2147484202
134;156;2147484201
137;156;2147484200
140;156;2147484199
149;156;2147484196
164;172;2147484194
165;172;2147484192
180;172;2147484191
183;172;2147484190
187;188;2147484187
200;188;2147484184
206;188;2147484182
215;203;2147484181
220;203;2147484180
223;203;2147484179
224;203;2147484177
227;203;2147484175
230;203;2147484174
237;203;2147484173
240;203;2147484172
247;219;2147484170
264;219;2147484169
273;235;2147484168
274;235;2147484167
281;235;2147484166
288;235;2147484165
291;235;2147484164
292;235;2147484160
293;235;2147484156
300;235;2147484154
301;235;2147484152
304;235;2147484150
305;235;2147484146
313;250;2147484145
314;250;2147484144
317;250;2147484142
324;250;2147484141
325;250;2147484140
328;250;2147484139
331;250;2147484137
337;250;2147484136
340;250;2147484134
343;250;2147484133
368;266;2147484131
373;266;2147484129
375;266;2147484128
376;266;2147484126
378;266;2147484124
380;281;2147484123
383;281;2147484121
400;281;2147484119
404;281;2147484118
420;297;2147484116
421;297;2147484114
432;297;2147484112
439;297;2147484111
441;297;2147484109
448;297;2147484107
449;297;2147484106
458;313;2147484103
461;313;2147484102
472;313;2147484100
476;313;2147484097
478;313;2147484096
489;313;2147484095
493;328;2147484094
497;328;2147484093
502;328;2147484092
514;328;2147484090
529;344;2147484088
539;344;2147484087
541;344;2147484081
542;344;2147484078
545;344;2147484075
546;344;2147484074
551;344;2147484072
552;344;2147484071
565;344;2147484069
584;359;2147484068
585;359;2147484067
602;375;2147484066
607;375;2147484065
616;375;2147484063
617;375;2147484062
618;375;2147484061
630;375;2147484058
636;391;2147484056
640;391;2147484055
641;391;2147484054
642;391;2147484053
644;391;2147484052
646;391;2147484051
653;391;2147484050
654;391;2147484049
658;391;2147484048
663;391;2147484047
665;391;2147484046
672;406;2147484044
673;406;2147484043
677;406;2147484042
682;406;2147484041
686;406;2147484040
687;406;2147484039
695;406;2147484037
711;422;2147484036
715;422;2147484035
717;422;2147484033
725;422;2147484032
727;422;2147484031
738;422;2147484030
753;438;2147484029
763;438;2147484028
764;438;2147484027
769;438;2147484026
792;453;2147484025
795;453;2147484024
802;453;2147484022
809;453;2147484020
827;469;2147484019
832;469;2147484018
845;469;2147484017
854;484;2147484016
857;484;2147484013
863;484;2147484012
868;484;2147484010
888;500;2147484008
891;500;2147484007
898;500;2147484006
902;500;2147484005
924;516;2147484003
925;516;2147484002
932;516;2147484001
937;516;2147484000
961;531;2147483999
964;531;2147483998
968;531;2147483997
970;531;2147483996
980;531;2147483995
988;531;2147483993
994;531;2147483992
998;547;2147483990
