fes;time;f
1;63;2147484380
16;94;2147484378
18;110;2147484376
23;110;2147484375
26;110;2147484374
29;125;2147484370
40;141;2147484369
41;141;2147484368
47;141;2147484367
48;141;2147484366
50;141;2147484364
54;157;2147484362
56;157;2147484359
72;172;2147484357
79;172;2147484354
81;188;2147484351
90;188;2147484350
98;203;2147484347
99;203;2147484346
101;203;2147484345
102;203;2147484344
104;203;2147484343
110;203;2147484342
123;219;2147484341
124;219;2147484339
125;219;2147484337
128;219;2147484336
129;235;2147484335
131;235;2147484334
138;235;2147484333
139;235;2147484332
141;235;2147484331
146;235;2147484328
147;250;2147484327
151;250;2147484325
154;250;2147484323
168;266;2147484322
176;266;2147484321
177;266;2147484319
180;266;2147484318
182;266;2147484316
198;282;2147484315
209;297;2147484314
210;297;2147484310
211;297;2147484309
213;297;2147484307
214;297;2147484306
219;297;2147484305
232;313;2147484304
241;328;2147484303
246;328;2147484302
248;328;2147484301
250;328;2147484299
258;344;2147484298
259;344;2147484297
268;344;2147484296
280;360;2147484295
289;375;2147484294
295;375;2147484293
300;375;2147484292
301;375;2147484291
315;391;2147484290
327;407;2147484288
336;407;2147484287
337;407;2147484284
341;407;2147484283
363;422;2147484282
367;422;2147484281
369;438;2147484280
370;438;2147484277
379;438;2147484276
382;438;2147484275
385;438;2147484272
394;453;2147484270
417;469;2147484268
418;469;2147484267
420;469;2147484266
423;469;2147484265
428;469;2147484264
432;485;2147484261
435;485;2147484260
439;485;2147484258
460;500;2147484255
463;500;2147484254
468;500;2147484250
469;500;2147484249
476;516;2147484248
484;516;2147484247
490;516;2147484246
497;532;2147484245
502;532;2147484243
503;532;2147484241
504;532;2147484239
505;532;2147484236
511;547;2147484234
513;547;2147484232
516;547;2147484231
523;547;2147484230
526;547;2147484229
544;563;2147484228
546;563;2147484227
547;563;2147484225
548;563;2147484224
550;563;2147484223
553;578;2147484220
565;578;2147484217
566;578;2147484216
575;594;2147484214
578;594;2147484213
587;594;2147484211
589;594;2147484209
595;594;2147484207
600;610;2147484206
604;610;2147484205
608;610;2147484204
613;610;2147484200
642;641;2147484199
645;641;2147484198
647;641;2147484197
652;641;2147484196
656;641;2147484193
658;641;2147484192
667;656;2147484188
669;656;2147484187
670;656;2147484186
674;656;2147484185
675;656;2147484184
683;672;2147484183
702;672;2147484182
747;703;2147484181
751;719;2147484180
756;719;2147484178
761;719;2147484177
764;719;2147484176
769;719;2147484175
773;719;2147484173
775;735;2147484172
789;735;2147484170
792;735;2147484169
794;735;2147484168
795;735;2147484167
806;750;2147484165
809;750;2147484164
821;766;2147484163
829;766;2147484162
834;766;2147484161
835;766;2147484160
841;781;2147484159
847;781;2147484158
856;781;2147484157
861;781;2147484156
909;828;2147484155
910;828;2147484154
911;828;2147484153
917;828;2147484150
921;828;2147484149
927;828;2147484148
940;844;2147484147
965;860;2147484146
966;860;2147484145
967;860;2147484143
969;860;2147484141
978;875;2147484140
988;875;2147484138
993;875;2147484137
1000;891;2147484136
1023;906;2147484135
1028;906;2147484132
1032;906;2147484131
1033;906;2147484130
1058;922;2147484129
1062;922;2147484128
1088;938;2147484127
1091;953;2147484126
1114;969;2147484124
1133;969;2147484123
1140;985;2147484122
1142;985;2147484120
1143;985;2147484119
1152;985;2147484118
1158;1000;2147484116
1177;1000;2147484115
1188;1016;2147484114
1212;1031;2147484113
1218;1031;2147484112
1219;1031;2147484111
1229;1047;2147484110
1242;1047;2147484108
1249;1063;2147484107
1263;1063;2147484106
1264;1063;2147484105
1278;1078;2147484104
1279;1078;2147484103
1302;1094;2147484102
1310;1094;2147484100
1335;1109;2147484099
1337;1109;2147484096
1354;1125;2147484095
1358;1125;2147484093
1360;1125;2147484091
1363;1125;2147484090
1370;1141;2147484088
1379;1141;2147484087
1417;1172;2147484086
1421;1172;2147484085
1422;1172;2147484084
1430;1172;2147484083
1437;1172;2147484082
1439;1172;2147484081
1450;1188;2147484080
1477;1203;2147484078
1517;1234;2147484077
1518;1234;2147484074
1534;1250;2147484071
1543;1250;2147484070
1547;1250;2147484069
1552;1250;2147484068
1557;1266;2147484067
1559;1266;2147484066
1562;1266;2147484065
1568;1266;2147484064
1585;1281;2147484063
1588;1281;2147484062
1590;1281;2147484060
1597;1281;2147484059
1616;1297;2147484058
1619;1297;2147484057
1621;1313;2147484056
1638;1313;2147484055
1639;1313;2147484054
1641;1313;2147484052
1642;1328;2147484051
