fes;time;f
1;81;2147486133
4;110;2147486132
6;128;2147486131
17;206;2147486130
19;216;2147486128
21;226;2147486126
22;232;2147486123
23;239;2147486120
29;274;2147486119
41;336;2147486116
44;354;2147486115
49;382;2147486113
58;436;2147486112
62;460;2147486109
69;503;2147486107
73;529;2147486104
75;542;2147486102
79;568;2147486100
89;630;2147486099
90;636;2147486095
95;666;2147486093
98;686;2147486091
111;765;2147486089
128;869;2147486088
131;888;2147486085
136;918;2147486083
145;971;2147486080
163;1078;2147486078
167;1103;2147486076
172;1131;2147486075
173;1137;2147486074
174;1143;2147486070
184;1208;2147486069
185;1215;2147486068
194;1270;2147486067
197;1288;2147486066
202;1320;2147486065
221;1438;2147486064
222;1445;2147486063
233;1510;2147486062
234;1517;2147486061
235;1525;2147486058
245;1583;2147486057
257;1656;2147486056
261;1680;2147486055
264;1700;2147486050
272;1748;2147486049
274;1760;2147486048
279;1792;2147486047
284;1821;2147486046
298;1907;2147486043
316;2010;2147486041
320;2033;2147486040
322;2044;2147486037
327;2072;2147486035
334;2115;2147486032
345;2183;2147486031
346;2190;2147486025
350;2215;2147486023
361;2280;2147486021
363;2292;2147486019
367;2315;2147486016
378;2384;2147486015
381;2404;2147486011
394;2482;2147486010
395;2488;2147486009
401;2526;2147486006
406;2555;2147486001
423;2655;2147485999
429;2690;2147485998
430;2697;2147485997
435;2727;2147485996
439;2753;2147485994
450;2818;2147485992
459;2872;2147485991
462;2891;2147485985
481;3008;2147485984
486;3040;2147485982
487;3046;2147485981
490;3064;2147485977
510;3184;2147485973
518;3232;2147485972
526;3282;2147485971
530;3306;2147485970
536;3340;2147485965
549;3415;2147485962
550;3421;2147485961
562;3493;2147485960
563;3500;2147485959
565;3514;2147485957
573;3561;2147485956
575;3574;2147485954
576;3581;2147485953
595;3690;2147485951
604;3743;2147485948
612;3791;2147485946
615;3810;2147485945
617;3823;2147485943
629;3894;2147485941
639;3954;2147485940
643;3980;2147485939
647;4004;2147485938
648;4011;2147485936
649;4017;2147485935
651;4030;2147485933
659;4078;2147485932
665;4116;2147485931
672;4164;2147485927
674;4176;2147485925
678;4202;2147485923
682;4228;2147485922
685;4248;2147485921
696;4314;2147485919
710;4400;2147485917
714;4425;2147485916
723;4479;2147485915
730;4524;2147485913
733;4541;2147485909
746;4617;2147485907
757;4680;2147485905
758;4686;2147485904
761;4706;2147485903
766;4736;2147485902
778;4814;2147485901
779;4821;2147485900
780;4827;2147485899
789;4881;2147485897
791;4893;2147485896
797;4933;2147485894
798;4940;2147485892
799;4946;2147485891
807;4996;2147485888
808;5005;2147485887
810;5017;2147485885
818;5066;2147485884
823;5096;2147485883
828;5130;2147485882
831;5150;2147485881
839;5202;2147485880
855;5298;2147485877
861;5336;2147485875
864;5354;2147485874
866;5368;2147485871
888;18544;2147485865
901;18616;2147485863
902;18621;2147485861
910;18665;2147485857
911;18671;2147485856
914;18687;2147485855
931;18782;2147485853
934;18799;2147485848
936;18810;2147485846
943;18851;2147485844
944;18857;2147485841
948;18879;2147485839
959;18944;2147485838
981;19070;2147485837
984;19089;2147485835
992;19137;2147485833
1008;19231;2147485832
1018;19286;2147485831
1022;19308;2147485830
1024;19319;2147485829
1053;19481;2147485827
1061;19524;2147485825
1065;19545;2147485823
1066;19551;2147485820
1073;19592;2147485819
1075;19607;2147485818
1093;19709;2147485816
1095;19721;2147485814
1096;19727;2147485812
1103;19769;2147485811
1110;19807;2147485806
1113;19824;2147485805
1117;19847;2147485803
1120;19864;2147485802
1144;19998;2147485800
1145;20004;2147485799
1152;20045;2147485798
1161;20100;2147485797
1172;20171;2147485796
1184;20244;2147485795
1187;20263;2147485793
1216;20435;2147485792
1220;20460;2147485791
1223;20482;2147485786
1234;20549;2147485783
1236;20563;2147485780
1237;20569;2147485778
1260;20699;2147485775
1262;20710;2147485774
1267;20739;2147485772
1268;20745;2147485766
1272;20767;2147485761
1275;20784;2147485760
1276;20790;2147485758
1278;20804;2147485757
1281;20822;2147485755
1293;20893;2147485753
1295;20907;2147485751
