fes;time;f
1;63;2147484654
5;110;2147484653
6;110;2147484650
9;110;2147484649
11;125;2147484648
13;125;2147484647
16;141;2147484646
32;172;2147484641
39;188;2147484637
43;203;2147484633
53;219;2147484632
54;219;2147484631
56;219;2147484628
62;235;2147484627
72;250;2147484626
75;250;2147484625
79;266;2147484624
81;266;2147484623
83;266;2147484620
86;282;2147484619
90;282;2147484618
95;297;2147484616
96;297;2147484615
99;297;2147484611
103;313;2147484608
116;328;2147484604
124;344;2147484603
125;344;2147484602
132;360;2147484599
136;375;2147484588
141;375;2147484586
142;375;2147484585
143;375;2147484583
146;391;2147484582
156;407;2147484580
160;407;2147484578
161;407;2147484577
163;422;2147484576
164;422;2147484575
172;422;2147484574
175;441;2147484573
180;441;2147484571
184;457;2147484569
189;457;2147484568
194;473;2147484567
198;473;2147484565
199;473;2147484564
200;473;2147484563
202;488;2147484562
204;488;2147484560
205;488;2147484557
207;488;2147484554
208;488;2147484552
209;488;2147484551
210;504;2147484548
226;519;2147484547
241;551;2147484546
242;551;2147484544
248;551;2147484543
249;566;2147484541
253;566;2147484540
254;566;2147484539
255;566;2147484538
261;582;2147484536
264;582;2147484535
272;597;2147484534
288;629;2147484533
294;644;2147484532
300;644;2147484530
312;676;2147484529
319;691;2147484527
322;707;2147484526
327;707;2147484522
334;722;2147484521
339;738;2147484520
340;738;2147484519
342;738;2147484518
343;738;2147484516
345;738;2147484515
347;754;2147484514
348;754;2147484512
351;754;2147484508
356;769;2147484507
358;769;2147484506
365;785;2147484505
372;785;2147484504
379;801;2147484503
381;801;2147484502
382;816;2147484501
383;816;2147484499
384;816;2147484494
387;816;2147484493
393;832;2147484491
394;832;2147484487
396;832;2147484485
402;847;2147484484
412;863;2147484483
421;879;2147484479
423;879;2147484475
424;879;2147484474
435;894;2147484472
441;910;2147484471
443;910;2147484470
455;926;2147484469
456;926;2147484468
457;926;2147484467
486;972;2147484465
501;1004;2147484464
503;1004;2147484463
508;1019;2147484461
515;1035;2147484458
523;1050;2147484457
527;1050;2147484454
