fes;time;f
1;125;2147487793
8;297;2147487792
9;313;2147487791
12;359;2147487790
15;422;2147487789
22;547;2147487788
24;578;2147487786
32;703;2147487785
33;734;2147487784
35;766;2147487783
44;922;2147487782
49;1016;2147487781
53;1078;2147487780
54;1094;2147487779
55;1094;2147487778
59;1156;2147487777
63;1203;2147487775
64;1219;2147487773
66;1250;2147487772
67;1266;2147487771
69;1297;2147487755
70;1297;2147487754
71;1312;2147487752
73;1344;2147487751
75;1375;2147487750
83;1484;2147487749
93;1625;2147487747
94;1640;2147487745
100;1719;2147487743
102;1750;2147487741
111;1875;2147487740
112;1890;2147487739
123;2031;2147487738
128;2109;2147487737
129;2125;2147487736
132;2156;2147487735
134;2187;2147487732
135;2203;2147487730
140;2265;2147487728
141;2281;2147487727
143;2312;2147487726
144;2328;2147487723
145;2328;2147487722
146;2343;2147487720
156;2484;2147487719
157;2500;2147487718
158;2515;2147487717
164;2593;2147487716
168;2656;2147487715
179;2796;2147487714
183;2859;2147487713
184;2875;2147487712
188;2921;2147487711
191;2953;2147487710
200;3078;2147487706
209;3203;2147487705
210;3218;2147487703
211;3234;2147487702
214;3265;2147487701
225;3421;2147487699
228;3468;2147487697
231;3499;2147487696
235;3546;2147487695
240;3624;2147487694
246;3718;2147487693
247;3718;2147487692
248;3734;2147487691
250;3765;2147487690
252;3796;2147487688
256;3843;2147487687
259;3890;2147487685
268;4015;2147487684
269;4031;2147487683
275;4109;2147487680
284;4234;2147487679
287;4280;2147487677
294;4374;2147487673
295;4390;2147487672
296;4405;2147487671
297;4421;2147487669
300;4452;2147487666
312;4624;2147487665
313;4640;2147487664
316;4671;2147487662
320;4734;2147487658
323;4780;2147487657
335;4937;2147487656
339;4983;2147487655
341;5015;2147487651
352;5171;2147487650
356;5233;2147487648
361;5292;2147487647
367;5385;2147487645
368;5385;2147487642
369;5401;2147487638
374;5464;2147487637
375;5495;2147487636
381;5573;2147487635
383;5604;2147487634
384;5620;2147487633
391;5698;2147487632
397;5792;2147487631
405;5901;2147487630
407;5932;2147487629
419;6088;2147487628
421;6120;2147487627
428;6213;2147487626
434;6291;2147487624
452;6526;2147487623
454;6557;2147487622
456;6588;2147487621
460;6635;2147487620
461;6651;2147487619
464;6682;2147487618
465;6698;2147487617
467;6729;2147487616
472;6807;2147487615
475;6838;2147487614
476;6854;2147487613
478;6885;2147487611
486;6994;2147487610
494;7104;2147487609
496;7135;2147487608
507;7291;2147487603
509;7322;2147487602
510;7322;2147487601
516;7416;2147487598
517;7432;2147487596
522;7494;2147487595
523;7510;2147487594
525;7526;2147487593
526;7541;2147487592
542;7760;2147487591
545;7807;2147487590
548;7854;2147487589
551;7885;2147487588
558;7994;2147487587
562;8057;2147487585
566;8119;2147487580
574;8228;2147487579
577;8275;2147487578
583;8353;2147487574
589;8432;2147487573
593;8494;2147487572
594;8494;2147487567
595;8510;2147487565
599;8572;2147487564
602;8603;2147487563
605;8650;2147487560
610;8713;2147487559
612;8744;2147487558
615;8775;2147487557
616;8791;2147487554
618;8822;2147487553
619;8838;2147487544
620;8853;2147487542
632;9010;2147487541
635;9056;2147487539
638;9103;2147487538
640;9119;2147487537
649;9244;2147487536
654;9322;2147487535
656;9338;2147487533
659;9384;2147487532
666;9478;2147487531
667;9494;2147487530
668;9509;2147487529
672;9556;2147487528
677;9634;2147487527
682;9697;2147487526
689;9791;2147487524
690;9806;2147487522
695;9869;2147487518
699;9931;2147487517
711;10087;2147487516
714;10119;2147487515
719;10197;2147487514
723;10244;2147487513
731;10353;2147487512
737;10447;2147487511
738;10447;2147487509
747;10572;2147487506
754;10681;2147487505
759;10744;2147487503
761;10775;2147487502
762;10790;2147487499
