fes;time;f
1;124;2147488102
3;173;2147488101
12;370;2147488100
20;489;2147488098
21;504;2147488097
24;547;2147488096
28;604;2147488095
33;673;2147488090
37;728;2147488089
38;742;2147488087
57;1023;2147488085
58;1037;2147488082
61;1082;2147488079
68;1205;2147488078
70;1236;2147488076
75;1309;2147488075
82;1408;2147488073
83;1423;2147488072
85;1453;2147488069
89;1511;2147488067
96;1612;2147488065
98;1640;2147488064
99;1654;2147488063
100;1669;2147488059
114;1888;2147488058
124;2028;2147488056
129;2102;2147488055
136;2205;2147488052
164;2607;2147488051
167;2651;2147488050
170;2692;2147488049
174;2748;2147488048
181;2846;2147488047
188;2942;2147488046
190;2970;2147488044
192;2998;2147488042
196;3054;2147488040
197;3068;2147488039
472;6891;2147488038
474;6907;2147488037
475;6922;2147488036
480;7000;2147488033
492;7172;2147488032
495;7204;2147488031
496;7219;2147488030
501;7313;2147487831
506;7375;2147487828
511;7438;2147487827
512;7453;2147487825
517;7532;2147487824
518;7532;2147487823
524;7625;2147487822
526;7641;2147487821
529;7688;2147487820
537;7797;2147487819
541;7844;2147487818
543;7875;2147487817
552;8000;2147487816
555;8047;2147487815
567;8203;2147487813
571;8266;2147487812
572;8266;2147487811
573;8281;2147487810
577;8344;2147487809
585;8453;2147487808
587;8484;2147487806
591;8531;2147487804
595;8594;2147487803
597;8609;2147487802
2358;32857;2147487801
2359;32872;2147487798
2361;32888;2147487797
2369;33029;2147487795
2373;33075;2147487793
2374;33091;2147487790
2379;33169;2147487789
2393;33372;2147487788
2395;33388;2147487785
2396;33404;2147487784
3186;44140;2147487781
3188;44171;2147487780
3191;44218;2147487779
3198;44312;2147487778
6105;84282;2147487774
6106;84297;2147487772
6109;84344;2147487771
6111;84360;2147487770
6117;84453;2147487769
6120;84485;2147487767
6126;84563;2147487766
6127;84578;2147487763
6128;84594;2147487762
6133;84672;2147487761
6136;84703;2147487760
6143;84813;2147487758
6144;84828;2147487757
6151;84922;2147487756
6156;84985;2147487750
6158;85016;2147487749
6160;85047;2147487748
6163;85078;2147487744
6164;85094;2147487742
6165;85110;2147487741
6167;85141;2147487740
6169;85172;2147487739
6170;85188;2147487738
6171;85203;2147487737
6172;85219;2147487735
6175;85250;2147487733
6176;85266;2147487731
6186;85406;2147487729
6190;85453;2147487728
6193;85500;2147487727
6197;85547;2147487726
6199;85578;2147487725
6210;85734;2147487724
6211;85750;2147487723
6214;85781;2147487722
6217;85828;2147487721
6218;85844;2147487720
6221;85875;2147487715
6224;85922;2147487711
6227;85969;2147487709
6236;86094;2147487707
6241;86174;2147487706
6243;86205;2147487705
6244;86221;2147487704
