fes;time;f
1;129;2147487825
17;477;2147487824
19;517;2147487822
28;693;2147487821
32;760;2147487817
37;845;2147487816
40;894;2147487814
49;1047;2147487813
53;1116;2147487812
55;1152;2147487811
58;1205;2147487810
61;1261;2147487809
63;1297;2147487808
82;1610;2147487806
88;1712;2147487805
96;1840;2147487804
98;1873;2147487803
100;1913;2147487800
115;2171;2147487799
120;2254;2147487798
121;2272;2147487796
125;2337;2147487795
129;2402;2147487794
140;2585;2147487792
149;2735;2147487791
150;2752;2147487790
155;2833;2147487788
160;2915;2147487784
162;2949;2147487783
169;3071;2147487781
171;3103;2147487780
172;3120;2147487779
178;3218;2147487778
179;3236;2147487777
183;3304;2147487775
187;3368;2147487773
189;3401;2147487772
191;3433;2147487771
194;3482;2147487770
199;3570;2147487768
202;3620;2147487766
207;3702;2147487764
211;3767;2147487761
214;3816;2147487760
217;3866;2147487759
223;3966;2147487757
229;4063;2147487756
235;4164;2147487755
242;4280;2147487750
246;4348;2147487748
262;4611;2147487747
265;4662;2147487746
271;4763;2147487744
273;4796;2147487742
274;4811;2147487741
276;4843;2147487736
278;4876;2147487732
279;4892;2147487730
280;4909;2147487729
282;4941;2147487728
283;4958;2147487726
288;5042;2147487725
294;5144;2147487724
299;5225;2147487722
301;5258;2147487719
308;5375;2147487718
313;5456;2147487717
315;5489;2147487716
323;5625;2147487715
326;5677;2147487714
327;5694;2147487711
328;5710;2147487710
330;5743;2147487709
344;5976;2147487706
346;6008;2147487704
347;6025;2147487702
353;6125;2147487700
363;6294;2147487699
366;6341;2147487698
369;6390;2147487697
371;6424;2147487695
380;6572;2147487694
381;6588;2147487693
388;6702;2147487690
390;6737;2147487689
391;6753;2147487688
392;6769;2147487687
396;6835;2147487683
399;6884;2147487681
400;6901;2147487680
401;6917;2147487676
405;6986;2147487675
409;7051;2147487674
417;7180;2147487673
421;7246;2147487669
423;7282;2147487667
424;7299;2147487666
426;7331;2147487664
427;7348;2147487663
430;7397;2147487662
432;7429;2147487661
434;7462;2147487660
435;7478;2147487659
442;7592;2147487657
449;7707;2147487654
454;7791;2147487652
461;7901;2147487651
467;7997;2147487649
471;8066;2147487648
473;8102;2147487647
479;8206;2147487646
481;8239;2147487642
489;8375;2147487641
491;8408;2147487640
494;8458;2147487639
497;8506;2147487637
500;8557;2147487636
501;8574;2147487635
503;8607;2147487633
509;8704;2147487632
516;8819;2147487630
518;8853;2147487629
521;8902;2147487628
526;8983;2147487627
531;9067;2147487626
533;9100;2147487624
536;9149;2147487623
547;9332;2147487619
551;9402;2147487617
556;9483;2147487616
557;9500;2147487615
558;9516;2147487614
559;9533;2147487613
564;9617;2147487612
570;9715;2147487610
592;10090;2147487609
598;10192;2147487605
617;10499;2147487604
620;10548;2147487603
622;10580;2147487602
626;10646;2147487598
630;10711;2147487597
632;10749;2147487596
635;10798;2147487595
637;10829;2147487594
640;10877;2147487593
641;10893;2147487591
647;10994;2147487589
657;11156;2147487588
662;11237;2147487587
669;11349;2147487586
676;11461;2147487584
680;11529;2147487583
681;11546;2147487582
699;11837;2147487580
701;11869;2147487579
708;11981;2147487578
710;12014;2147487577
711;12030;2147487576
713;12062;2147487574
716;12131;2147487572
720;12187;2147487571
724;12249;2147487568
728;12312;2147487566
731;12359;2147487564
732;12374;2147487563
739;12483;2147487562
742;12530;2147487561
743;12546;2147487560
747;12624;2147487559
752;12702;2147487557
757;12765;2147487555
761;12827;2147487554
762;12843;2147487552
763;12858;2147487551
775;13046;2147487550
784;13186;2147487549
786;13218;2147487548
789;13265;2147487547
791;13296;2147487546
796;13358;2147487545
800;13421;2147487544
804;13483;2147487543
808;13546;2147487542
811;13593;2147487541
813;13624;2147487540
823;13780;2147487539
824;13796;2147487538
826;13827;2147487536
839;14030;2147487535
840;14046;2147487533
843;14093;2147487532
845;14124;2147487530
847;14155;2147487529
855;14280;2147487527
859;14342;2147487525
868;14483;2147487524
869;14499;2147487523
870;14514;2147487521
881;14671;2147487520
884;14717;2147487519
886;14749;2147487518
887;14764;2147487516
890;14811;2147487515
894;14874;2147487514
896;14905;2147487511
898;14936;2147487509
908;15092;2147487508
920;15264;2147487505
922;15295;2147487504
936;15514;2147487503
938;15545;2147487501
948;15702;2147487500
950;15733;2147487499
958;15858;2147487497
969;16030;2147487495
973;16092;2147487494
975;16123;2147487493
977;16155;2147487491
978;16170;2147487490
979;16186;2147487489
984;16264;2147487487
992;16389;2147487484
998;16483;2147487482
1003;16561;2147487481
1010;16670;2147487479
1016;16764;2147487475
1024;16889;2147487472
1027;16936;2147487470
1030;16982;2147487469
1045;17217;2147487467
1048;17264;2147487464
1050;17295;2147487463
1054;17357;2147487459
1067;17545;2147487458
1069;17576;2147487457
1076;17685;2147487455
1078;17717;2147487454
1088;17857;2147487452
1090;17889;2147487451
1094;17951;2147487449
1096;17982;2147487448
1102;18076;2147487447
1105;18123;2147487445
1111;18217;2147487444
1114;18263;2147487443
1116;18295;2147487442
1117;18310;2147487441
1120;18357;2147487439
1121;18373;2147487438
1124;18420;2147487437
1130;18513;2147487436
1140;18670;2147487435
1151;18826;2147487433
1153;18857;2147487432
1155;18888;2147487431
1157;18920;2147487430
1170;19123;2147487429
1172;19154;2147487428
1178;19232;2147487425
1179;19248;2147487421
1183;19310;2147487419
1187;19373;2147487418
1194;19482;2147487417
1203;19622;2147487416
1210;19732;2147487413
1218;19872;2147487411
1222;19935;2147487410
1228;20029;2147487408
1230;20044;2147487406
1233;20091;2147487405
1237;20169;2147487403
1238;20185;2147487401
1241;20232;2147487399
1247;20325;2147487398
1248;20341;2147487397
1255;20435;2147487394
1256;20450;2147487390
1261;20529;2147487389
1279;20810;2147487388
1280;20825;2147487387
1286;20919;2147487385
1288;20950;2147487384
1291;20997;2147487383
1297;21091;2147487382
1308;21263;2147487381
1309;21279;2147487380
1310;21295;2147487379
1313;21342;2147487377
1316;21388;2147487374
1327;21560;2147487373
1330;21607;2147487372
1336;21701;2147487371
1369;22201;2147487370
1370;22216;2147487369
1376;22310;2147487368
1379;22357;2147487367
1380;22373;2147487366
1381;22388;2147487364
1382;22404;2147487362
1384;22435;2147487360
1396;22607;2147487359
1397;22623;2147487358
1404;22732;2147487356
1406;22763;2147487354
1414;22888;2147487353
1431;23154;2147487352
1444;23357;2147487351
1450;23450;2147487350
1453;23482;2147487349
1457;23560;2147487348
1461;23622;2147487346
1470;23763;2147487345
1478;23888;2147487344
1481;23919;2147487343
1493;24122;2147487341
1497;24169;2147487339
1502;24263;2147487337
1503;24278;2147487336
1505;24310;2147487335
1513;24435;2147487334
1519;24528;2147487333
1522;24560;2147487332
1525;24606;2147487331
1526;24622;2147487328
1530;24685;2147487326
1533;24731;2147487324
1539;24825;2147487323
1541;24856;2147487321
1547;24950;2147487320
1555;25075;2147487318
1567;25247;2147487316
1568;25278;2147487315
1569;25294;2147487310
1575;25372;2147487307
1584;25512;2147487305
1590;25606;2147487304
1593;25653;2147487303
1600;25762;2147487302
1623;26122;2147487301
1632;26262;2147487300
1634;26294;2147487297
1639;26372;2147487295
1641;26403;2147487293
1643;26434;2147487292
1646;26481;2147487291
1647;26497;2147487290
1652;26575;2147487289
1702;27340;2147487287
1705;27387;2147487286
1720;27621;2147487285
1721;27637;2147487283
1725;27699;2147487282
1727;27731;2147487281
1729;27762;2147487280
1730;27778;2147487279
1739;27903;2147487278
1740;27918;2147487277
1744;27981;2147487275
1749;28059;2147487274
1754;28137;2147487273
1759;28215;2147487272
1761;28246;2147487270
1764;28293;2147487266
1766;28324;2147487265
1767;28340;2147487264
1775;28465;2147487263
1776;28481;2147487262
1787;28637;2147487261
1799;28824;2147487260
1837;29402;2147487256
1839;29433;2147487255
1843;29496;2147487254
1846;29543;2147487253
1847;29558;2147487252
1850;29605;2147487248
1852;29637;2147487247
1858;29730;2147487245
1860;29761;2147487242
1864;29824;2147487241
1869;29902;2147487240
1870;29918;2147487239
1882;30090;2147487236
1889;30199;2147487235
1893;30261;2147487234
