fes;time;f
1;109;4365
4;188;4364
7;250;4362
8;266;4361
10;297;4360
11;313;4358
21;469;4356
24;500;4355
26;531;4354
27;547;4353
30;594;4351
33;625;4349
40;719;4348
43;766;4347
46;813;4346
50;860;4345
51;875;4344
58;969;4343
70;1141;4341
71;1156;4340
74;1203;4339
82;1313;4338
94;1469;4337
100;1562;4336
102;1578;4334
106;1641;4333
112;1719;4330
117;1797;4329
118;1797;4328
129;1953;4326
130;1969;4324
135;2031;4322
137;2062;4318
138;2078;4317
150;2234;4316
151;2250;4314
154;2297;4312
162;2406;4310
169;2515;4307
171;2531;4303
180;2656;4302
188;2781;4301
191;2812;4299
192;2828;4296
193;2846;4295
194;2862;4294
200;2940;4293
207;3034;4290
211;3096;4287
216;3159;4286
220;3221;4283
223;3252;4281
226;3299;4280
227;3315;4278
229;3330;4277
235;3424;4276
236;3424;4275
244;3534;4273
245;3549;4272
247;3580;4269
255;3674;4268
265;3830;4267
271;3908;4266
275;3955;4264
278;4002;4263
279;4018;4262
284;4080;4260
285;4096;4259
286;4112;4258
289;4143;4255
296;4237;4254
297;4252;4252
298;4268;4250
299;4283;4249
300;4299;4248
302;4315;4245
306;4377;4242
307;4393;4241
308;4408;4240
311;4440;4239
312;4455;4238
313;4471;4237
324;4627;4236
326;4643;4235
329;4690;4234
330;4705;4233
336;4783;4232
348;4955;4231
357;5064;4230
362;5143;4229
367;5205;4228
368;5221;4226
369;5236;4225
370;5252;4222
375;5314;4221
378;5346;4218
383;5424;4214
384;5439;4213
387;5471;4211
388;5486;4210
389;5502;4207
404;5705;4206
405;5705;4203
407;5736;4202
408;5752;4201
411;5799;4198
424;5970;4197
433;6095;4196
444;6252;4191
446;6283;4189
448;6299;4186
449;6314;4184
455;6408;4180
460;6470;4179
461;6486;4177
463;6502;4176
465;6533;4175
471;6611;4173
472;6627;4170
475;6673;4169
477;6705;4167
480;6736;4166
481;6752;4165
492;6908;4164
499;7002;4163
500;7017;4160
501;7033;4154
502;7048;4152
503;7048;4150
505;7080;4149
507;7111;4148
511;7173;4147
514;7205;4146
518;7267;4145
521;7298;4144
524;7345;4143
530;7423;4140
531;7439;4137
537;7517;4136
541;7579;4134
542;7595;4133
548;7673;4132
549;7689;4129
551;7704;4128
552;7720;4127
554;7751;4126
566;7926;4123
569;7957;4118
574;8035;4117
583;8160;4116
592;8270;4114
595;8316;4113
608;8488;4112
611;8535;4111
618;8629;4110
622;8676;4108
627;8754;4107
633;8832;4106
640;8941;4103
642;8957;4102
644;8988;4099
645;9004;4098
646;9019;4097
648;9035;4096
649;9051;4094
656;9144;4093
660;9207;4092
667;9301;4091
669;9316;4090
680;9472;4089
683;9519;4088
684;9535;4087
688;9582;4085
691;9629;4083
699;9738;4081
702;9785;4078
703;9785;4077
710;9879;4076
713;9925;4075
714;9941;4074
715;9957;4072
716;9972;4070
720;10019;4069
727;10129;4068
739;10285;4067
746;10378;4066
755;10503;4064
758;10535;4063
759;10550;4060
766;10660;4058
770;10707;4056
772;10738;4055
779;10831;4053
793;11019;4050
800;11128;4048
805;11191;4047
811;11284;4046
813;11300;4039
816;11347;4038
822;11425;4037
825;11472;4036
832;11566;4034
835;11597;4032
843;11706;4030
844;11722;4029
847;11769;4028
848;11784;4027
853;11847;4025
854;11862;4023
858;11925;4021
869;12071;4020
873;12133;4016
874;12149;4015
878;12196;4014
879;12211;4011
880;12227;4010
889;12352;4007
