fes;time;f
1;114;2147484296
5;129;2147484294
12;143;2147484291
14;146;2147484289
18;152;2147484283
29;168;2147484281
32;171;2147484280
33;172;2147484278
40;180;2147484277
41;181;2147484276
42;183;2147484275
43;184;2147484274
65;208;2147484273
73;217;2147484271
78;223;2147484270
79;224;2147484267
84;229;2147484266
92;238;2147484265
95;241;2147484262
131;277;2147484261
137;283;2147484258
148;295;2147484256
149;296;2147484255
151;298;2147484254
159;306;2147484252
161;308;2147484250
164;311;2147484246
165;312;2147484244
167;314;2147484243
171;318;2147484241
181;329;2147484238
186;334;2147484237
193;340;2147484234
194;341;2147484233
195;342;2147484231
201;348;2147484230
208;355;2147484226
213;360;2147484225
238;382;2147484224
240;383;2147484222
244;387;2147484221
250;392;2147484220
258;400;2147484218
266;406;2147484216
271;411;2147484214
276;415;2147484213
316;449;2147484210
326;458;2147484208
327;459;2147484207
328;460;2147484206
359;487;2147484204
372;498;2147484203
377;502;2147484202
382;507;2147484201
393;516;2147484199
404;525;2147484196
406;526;2147484194
412;532;2147484191
414;533;2147484190
417;536;2147484188
420;538;2147484186
424;541;2147484185
427;544;2147484184
436;552;2147484183
448;562;2147484182
454;567;2147484180
462;573;2147484179
467;577;2147484178
470;580;2147484174
501;605;2147484173
516;617;2147484172
537;635;2147484171
550;646;2147484170
554;649;2147484167
567;660;2147484165
583;673;2147484164
585;674;2147484162
592;680;2147484161
627;711;2147484160
645;727;2147484159
651;732;2147484158
681;760;2147484156
684;762;2147484155
696;773;2147484154
701;777;2147484152
702;778;2147484151
737;807;2147484150
739;809;2147484149
760;826;2147484148
765;830;2147484147
768;833;2147484146
791;852;2147484145
794;854;2147484144
813;871;2147484143
826;882;2147484142
838;892;2147484141
842;896;2147484139
862;913;2147484132
864;914;2147484131
871;920;2147484130
875;924;2147484128
877;926;2147484125
905;953;2147484124
909;956;2147484121
923;969;2147484120
927;972;2147484119
928;973;2147484118
929;974;2147484115
930;975;2147484114
947;989;2147484113
954;995;2147484112
960;1000;2147484111
964;1003;2147484110
966;1005;2147484108
968;1006;2147484106
1002;1035;2147484105
1008;1039;2147484102
1013;1044;2147484101
1018;1048;2147484100
1026;1054;2147484099
1027;1055;2147484098
1053;1077;2147484097
1072;1093;2147484096
1082;1101;2147484095
1115;1128;2147484094
1153;1162;2147484093
1160;1168;2147484092
1168;1175;2147484089
1192;1195;2147484087
1203;1204;2147484085
1213;1212;2147484084
1222;1220;2147484083
1226;1223;2147484081
1265;1255;2147484080
1295;1281;2147484079
1312;1295;2147484078
1336;1316;2147484077
1364;1339;2147484076
1398;1367;2147484075
1412;1378;2147484074
1432;1394;2147484073
1456;1413;2147484072
1494;1444;2147484071
1515;1461;2147484070
1519;1464;2147484069
1531;1474;2147484068
1559;1498;2147484067
1566;1504;2147484066
1641;1566;2147484064
1654;1577;2147484063
1667;1587;2147484062
1703;1617;2147484061
1720;1630;2147484060
1735;1642;2147484059
1747;1652;2147484057
1759;1662;2147484056
1762;1664;2147484054
1790;1687;2147484053
1792;1688;2147484052
1816;1708;2147484051
1833;1722;2147484049
1888;1767;2147484048
1913;1789;2147484047
1915;1790;2147484046
1921;1795;2147484045
1946;1817;2147484044
1958;1827;2147484041
1962;1830;2147484040
1985;1849;2147484038
2057;1906;2147484037
2058;1907;2147484035
2079;1925;2147484034
2082;1927;2147484033
2096;1939;2147484032
2108;1948;2147484031
2118;1957;2147484030
2130;1966;2147484029
2139;1974;2147484028
2154;1986;2147484027
2162;1993;2147484026
2197;2023;2147484025
2220;2042;2147484024
2267;2080;2147484023
2279;2090;2147484022
2290;2099;2147484021
2300;2107;2147484020
2301;2108;2147484019
2319;2122;2147484018
2327;2129;2147484017
2351;2148;2147484016
2352;2149;2147484015
2385;2178;2147484014
2390;2182;2147484012
2421;2207;2147484010
2444;2226;2147484009
2519;2286;2147484008
2528;2293;2147484007
2560;2320;2147484006
2590;2345;2147484005
2652;2397;2147484004
2653;2398;2147484003
2659;2403;2147484001
2697;2435;2147484000
2757;2484;2147483999
2765;2491;2147483998
2770;2495;2147483997
2772;2497;2147483995
2784;2506;2147483994
2809;2527;2147483993
2840;2553;2147483992
2841;2554;2147483991
2851;2562;2147483990
2859;2569;2147483989
2869;2577;2147483987
2896;2599;2147483985
2899;2602;2147483984
2930;2627;2147483983
2945;2639;2147483982
2951;2644;2147483981
2991;2675;2147483979
3027;2703;2147483978
3045;2718;2147483976
3060;2730;2147483975
3069;2737;2147483973
3083;2748;2147483972
3099;2761;2147483971
3114;2773;2147483970
3180;2827;2147483969
3186;2833;2147483968
3190;2836;2147483967
3192;2838;2147483966
3227;2868;2147483965
3250;2886;2147483964
3278;2909;2147483963
3304;2930;2147483962
3359;2974;2147483960
3441;3039;2147483959
3442;3040;2147483958
3538;3117;2147483957
3547;3124;2147483956
3574;3146;2147483955
3598;3166;2147483954
3635;3200;2147483953
3670;3229;2147483952
3699;3252;2147483951
3767;3307;2147483950
3783;3320;2147483949
3834;3362;2147483948
3845;3371;2147483947
3854;3378;2147483945
3874;3396;2147483944
3876;3397;2147483943
3877;3398;2147483942
3937;3445;2147483941
3952;3457;2147483940
3968;3469;2147483939
3970;3471;2147483938
4024;3512;2147483936
4038;3523;2147483934
4040;3525;2147483933
4044;3528;2147483932
4048;3531;2147483931
4052;3534;2147483930
4107;3577;2147483929
4139;3604;2147483928
4143;3607;2147483927
4186;3640;2147483926
4187;3641;2147483925
4188;3642;2147483924
4219;3666;2147483923
4222;3668;2147483922
4271;3705;2147483921
4278;3710;2147483920
4294;3723;2147483919
4308;3734;2147483918
4385;3792;2147483917
4387;3794;2147483916
4413;3813;2147483915
4416;3816;2147483914
4418;3817;2147483913
4485;3869;2147483912
4517;3895;2147483911
4573;3942;2147483910
4588;3954;2147483909
4619;3978;2147483908
4628;3985;2147483907
4688;4031;2147483906
4730;4064;2147483905
4758;4085;2147483903
4780;4102;2147483902
4808;4124;2147483901
4876;4178;2147483900
4880;4181;2147483899
4929;4224;2147483898
4950;4242;2147483897
4972;4259;2147483896
5317;4540;2147483895
5443;4645;2147483894
5493;4687;2147483892
5582;4759;2147483890
5677;4835;2147483889
5739;4886;2147483887
5802;4936;2147483886
5816;4947;2147483884
5837;4964;2147483883
5844;4970;2147483882
5897;5015;2147483881
6008;5105;2147483880
6015;5111;2147483879
6079;5163;2147483877
6127;5203;2147483876
6152;5224;2147483875
6179;5248;2147483874
6224;5283;2147483872
6247;5302;2147483871
6255;5308;2147483870
6312;5354;2147483869
6414;5437;2147483868
6494;5503;2147483867
6557;5556;2147483866
6558;5557;2147483865
6617;5606;2147483864
6734;5699;2147483863
6923;5851;2147483862
6939;5864;2147483861
7097;5991;2147483860
7104;5997;2147483859
7146;6032;2147483857
7148;6033;2147483856
7150;6034;2147483855
7153;6037;2147483854
7471;6299;2147483853
7479;6305;2147483851
7484;6309;2147483850
7537;6349;2147483849
7692;6468;2147483848
7716;6486;2147483847
7743;6508;2147483846
7806;6559;2147483845
7809;6561;2147483844
7921;6655;2147483843
7987;6708;2147483840
8003;6721;2147483839
8051;6759;2147483838
8101;6799;2147483837
8104;6802;2147483835
8120;6815;2147483834
8127;6821;2147483833
8149;6839;2147483831
8173;6858;2147483829
8228;6902;2147483828
8244;6915;2147483827
8331;6985;2147483826
8374;7019;2147483825
8386;7029;2147483824
8441;7072;2147483823
8498;7119;2147483822
8622;7213;2147483821
8650;7235;2147483820
8769;7328;2147483818
8864;7407;2147483817
9183;7663;2147483816
9352;7801;2147483815
9855;8205;2147483814
9930;8262;2147483813
9954;8280;2147483812
9960;8284;2147483811
9977;8297;2147483810
30379;24368;2147483809
30636;24571;2147483808
30681;24608;2147483807
31568;25308;2147483806
31610;25343;2147483805
31854;25540;2147483804
31888;25566;2147483803
31912;25585;2147483802
32000;25655;2147483801
32058;25701;2147483800
32125;25753;2147483799
32383;25959;2147483798
32389;25963;2147483797
32495;26047;2147483796
32511;26060;2147483795
32775;26271;2147483794
33179;26591;2147483793
33234;26634;2147483792
33276;26667;2147483791
33630;26951;2147483790
33634;26954;2147483789
33874;27143;2147483788
34141;27356;2147483786
34184;27391;2147483785
34347;27520;2147483784
34366;27535;2147483783
34695;27796;2147483782
34698;27798;2147483781
34827;27905;2147483780
35129;28149;2147483779
35174;28183;2147483778
35325;28305;2147483777
35398;28364;2147483776
35590;28517;2147483775
35721;28620;2147483774
36073;28903;2147483773
36095;28920;2147483772
36109;28930;2147483771
36128;28945;2147483770
36468;29212;2147483769
36816;29489;2147483766
36935;29584;2147483765
37117;29727;2147483764
37130;29737;2147483763
37473;30006;2147483762
37780;30244;2147483761
38398;30735;2147483760
38593;30881;2147483759
38738;30996;2147483758
38747;31003;2147483757
39109;31286;2147483756
39389;31509;2147483755
39529;31623;2147483754
78797;61510;2147483753
78807;61526;2147483752
79128;61760;2147483751
79422;61979;2147483750
79620;62119;2147483748
79784;62244;2147483747
102360;78897;2147483746
103082;79443;2147483745
103619;79834;2147483744
103914;80053;2147483743
104797;80709;2147483742
105537;81287;2147483741
105553;81302;2147483740
105629;81365;2147483739
105639;81380;2147483738
105727;81443;2147483737
105775;81490;2147483736
105811;81505;2147483735
105880;81568;2147483734
105934;81615;2147483733
106350;81927;2147483732
106569;82099;2147483731
106981;82396;2147483730
108473;83505;2147483729
108970;83864;2147483728
109070;83942;2147483727
109367;84161;2147483726
109921;84567;2147483725
110640;85114;2147483724
111820;85973;2147483723
112073;86161;2147483722
112512;86489;2147483721
113165;86989;2147483720
