fes;time;f
1;71;724
12;115;723
13;118;722
14;122;721
21;135;720
26;143;718
28;146;716
32;150;714
38;157;713
46;166;711
47;167;709
51;171;705
61;182;704
80;203;703
84;207;702
90;214;701
99;223;698
111;235;696
114;238;695
119;243;689
121;245;684
131;254;680
134;257;678
136;259;677
145;268;676
146;269;673
151;274;672
152;275;671
167;289;669
172;293;668
173;294;667
182;302;661
193;311;660
196;314;659
197;315;656
206;323;655
209;325;654
217;333;653
225;340;648
231;345;646
236;349;645
240;352;639
243;354;638
248;358;636
250;360;633
252;362;631
255;364;628
263;372;627
278;385;626
283;389;625
287;392;622
294;398;621
297;400;619
317;416;617
322;420;616
326;423;615
328;425;614
332;428;613
346;440;612
352;445;611
355;447;608
362;452;607
363;453;604
368;457;603
380;467;600
383;469;598
389;474;597
397;480;595
406;487;592
419;497;591
421;499;588
428;504;586
436;511;585
449;522;582
459;531;581
483;551;580
488;555;578
495;561;577
502;566;576
512;574;575
532;590;572
536;593;570
538;595;569
562;614;566
568;620;563
580;631;562
609;656;560
617;662;558
628;671;557
630;673;556
646;686;555
654;693;553
688;722;552
689;723;549
693;726;547
698;730;544
700;732;542
701;733;539
704;735;537
729;755;536
733;758;535
750;772;534
753;774;533
754;775;532
773;790;531
792;805;530
804;814;529
824;829;528
825;830;527
827;831;526
848;849;525
851;851;524
882;877;523
885;879;522
895;887;520
896;888;519
904;894;517
913;901;516
918;905;514
920;906;513
929;914;512
943;924;511
952;932;510
954;933;509
955;934;507
959;937;505
961;939;504
970;946;503
978;952;502
979;953;501
983;956;499
984;957;495
991;962;493
992;963;492
1002;971;490
1003;972;489
1015;981;488
1017;983;487
1024;988;485
1054;1012;484
1055;1012;483
1081;1036;482
1083;1037;481
1124;1069;480
1140;1081;479
1144;1084;478
1148;1088;475
1159;1096;473
1185;1116;471
1187;1118;469
1224;1148;468
1229;1152;467
1233;1156;466
1242;1163;463
1249;1169;462
1280;1194;461
1299;1208;460
1315;1221;459
1317;1222;457
1336;1237;456
1345;1244;455
1348;1246;453
1362;1257;452
1367;1262;451
1376;1269;450
1378;1270;449
1389;1278;448
1403;1289;446
1432;1311;445
1447;1323;443
1451;1326;441
1462;1334;439
1481;1349;438
1493;1358;437
1513;1374;436
1525;1383;435
1530;1387;433
1532;1389;432
1550;1403;431
1580;1426;430
1590;1434;429
1600;1442;428
1601;1443;427
1611;1451;426
1647;1478;425
1668;1495;424
1681;1505;422
1683;1506;421
1694;1515;420
1701;1520;419
1729;1541;418
1735;1546;417
1736;1547;414
1760;1565;413
1772;1574;412
1780;1580;411
1803;1598;409
1807;1601;408
1854;1639;407
1857;1641;406
1860;1643;404
1873;1654;401
1947;1714;400
1952;1718;398
1992;1750;396
2008;1762;395
2022;1773;394
2036;1784;393
2039;1787;392
2056;1800;391
2075;1814;390
2080;1818;389
2085;1822;388
2099;1832;387
2101;1834;386
2110;1841;384
2124;1852;383
2126;1853;382
2201;1915;381
2204;1917;379
2260;1959;378
2320;2008;377
2347;2029;375
2403;2072;374
2413;2079;371
2420;2085;370
2424;2088;369
2432;2094;368
2436;2097;367
2439;2100;364
2473;2126;362
2499;2146;361
2502;2148;360
2506;2151;358
2511;2155;357
2529;2169;356
2542;2179;354
2561;2193;352
2583;2211;351
2588;2215;349
2616;2239;348
2619;2242;347
2628;2249;346
2638;2257;345
2655;2270;344
2661;2275;343
2673;2284;342
2705;2309;341
2710;2312;340
2715;2316;339
2752;2344;334
2753;2345;332
2819;2396;331
2820;2396;330
2829;2403;328
2870;2435;326
2887;2449;324
2922;2477;323
2928;2481;322
2977;2519;321
2991;2529;320
2996;2533;319
3003;2538;318
3008;2542;315
3022;2553;313
3028;2557;312
3099;2611;311
3110;2619;310
3123;2629;309
3135;2638;308
3147;2647;307
3159;2656;306
3170;2665;305
3179;2671;304
3184;2675;303
3217;2699;302
3297;2763;301
3341;2797;300
3383;2829;298
3402;2844;297
3430;2865;296
3431;2866;295
3432;2867;294
3496;2916;293
3516;2931;292
3559;2967;291
3590;2991;290
3637;3026;288
3681;3059;287
3740;3104;285
3786;3139;283
3790;3142;282
3849;3187;281
3925;3246;280
3936;3255;279
3937;3255;278
3970;3282;277
4048;3342;276
4075;3363;275
4082;3369;274
4156;3426;273
4173;3439;272
4176;3441;271
4220;3474;270
4221;3475;269
4228;3480;268
4238;3488;267
4249;3497;265
4260;3506;264
4266;3510;263
4305;3542;262
4353;3578;261
4477;3672;260
4500;3689;259
4545;3724;257
4587;3757;256
4655;3811;255
4677;3828;254
4770;3898;253
4779;3905;252
4785;3910;251
4803;3927;249
4818;3939;248
4934;4028;247
4980;4063;246
5030;4101;245
5032;4102;244
5165;4202;243
5188;4219;242
5230;4251;240
5271;4283;239
5330;4328;238
5383;4370;237
5443;4416;236
5573;4515;235
5600;4536;234
5612;4545;233
5619;4550;232
5635;4562;231
5641;4566;230
5646;4570;229
5655;4576;228
5657;4578;227
5687;4600;226
5764;4661;225
5880;4749;224
5883;4751;223
5897;4762;222
5953;4804;220
5998;4839;219
6027;4861;218
6042;4874;217
6046;4877;216
6056;4888;214
6057;4889;213
6110;4928;212
6124;4937;211
6146;4953;210
6217;5006;209
6265;5043;208
6404;5151;207
6418;5163;206
6505;5229;205
6517;5238;204
6543;5258;203
6615;5312;201
6809;5461;200
6978;5590;199
7012;5617;197
7131;5708;196
7435;5944;195
7449;5955;194
7539;6021;193
8039;6393;191
8073;6418;189
8148;6478;188
8406;6676;187
8781;6964;186
8786;6969;185
8791;6973;184
8863;7029;183
9006;7136;182
9014;7142;181
9063;7179;179
9321;7370;178
9384;7416;177
9650;7612;176
9656;7616;175
9770;7703;174
9830;7750;173
9998;7882;171
10041;7915;170
10061;7930;169
10169;8010;168
10248;8074;167
10305;8117;166
10331;8137;165
10462;8236;164
10475;8246;163
10704;8422;162
10787;8485;161
10870;8550;160
11026;8670;159
11303;8875;158
11321;8888;157
11614;9114;156
11701;9180;155
11814;9265;154
11904;9336;153
11905;9337;152
11957;9377;151
11987;9399;150
12072;9461;149
12518;9800;148
12576;9843;146
12774;9996;145
13005;10174;144
13240;10351;143
13345;10431;142
13479;10532;141
13610;10629;140
13651;10659;139
13781;10758;138
14000;10924;137
14014;10934;136
14434;11253;135
14507;11309;134
14539;11332;133
15079;11740;132
15142;11790;131
15275;11891;130
15347;11945;129
15579;12119;128
15678;12192;127
15857;12329;126
16257;12631;125
16569;12869;124
16623;12909;123
16735;12993;122
16957;13160;121
16993;13187;120
17240;13374;119
17506;13572;118
17669;13695;117
17792;13790;116
17834;13821;115
17918;13888;114
17979;13936;113
18032;13975;112
18151;14065;111
18563;14375;110
18729;14505;109
19267;14911;108
19343;14970;107
20434;15794;106
20713;16005;105
21379;16510;104
21415;16541;103
21942;16937;102
22307;17216;101
22774;17570;99
23183;17886;98
23531;18151;97
23930;18453;96
24049;18543;95
24202;18661;94
25815;19881;93
26511;20422;92
26521;20430;91
27038;20815;90
27862;21423;89
29697;22762;88
29769;22809;87
29779;22825;86
31124;23777;85
31560;24074;84
31590;24106;83
32154;24512;82
32360;24668;81
32659;24871;80
32694;24902;78
32854;25027;77
33603;25574;76
33838;25730;75
34046;25871;74
34704;26355;73
36024;27292;72
36179;27417;71
36487;27636;70
36895;27926;69
37600;28426;68
37962;28691;67
38199;28863;66
38971;29425;65
39143;29550;64
39723;29956;63
43623;32748;62
44764;33560;61
45490;34076;60
45675;34216;59
47275;35357;58
47437;35482;57
48076;35935;56
48379;36153;55
50062;37341;54
50742;37825;53
51578;38419;52
52957;39418;51
53038;39481;50
53543;39840;49
54077;40215;48
54829;40762;47
55478;41215;46
55620;41324;45
55996;41590;44
58866;43636;43
62692;46382;42
67495;49842;41
68662;50686;40
69174;51061;39
75122;55359;38
78690;57921;36
84724;62217;35
88799;65141;34
89668;65766;33
93243;68312;32
102146;74733;31
104338;76310;30
109021;79649;29
129080;94113;28
131929;96159;27
136134;99190;26
145786;106140;25
158540;115275;24
166137;120758;23
169220;122952;22
172104;125029;21
192147;139355;20
198297;143804;19
233916;169398;18
245523;177821;17
250618;181525;16
277203;200725;15
286141;207203;14
316258;228860;13
355769;257349;12
419436;303447;11
420837;304463;10
465430;336614;8
485975;351514;7
536416;387952;6
639119;461717;5
716985;517657;4
718223;518547;3
918700;662748;2
3065070;2157502;1
11471464;8058382;-2147465821
11471469;8058398;-2147465829
11471473;8058398;-2147465841
11471533;8058460;-2147465873
11471560;8058476;-2147465883
11471593;8058507;-2147465903
11471650;8058554;-2147465930
11471693;8058585;-2147465969
11471762;8058632;-2147465981
11471796;8058663;-2147465997
11471818;8058679;-2147466001
11471867;8058710;-2147466002
11471927;8058757;-2147466006
11472021;8058835;-2147466018
11472061;8058866;-2147466021
11472129;8058913;-2147466060
11472147;8058929;-2147466080
11472152;8058945;-2147466180
11472223;8058991;-2147466290
11472322;8059069;-2147466310
11472350;8059085;-2147466322
11472372;8059101;-2147466334
11472514;8059210;-2147466366
11472553;8059241;-2147466370
11472589;8059273;-2147466390
11472635;8059304;-2147466402
11472821;8059444;-2147466406
11472835;8059460;-2147466426
11472931;8059538;-2147466438
11472965;8059569;-2147466450
11473020;8059601;-2147466451
11473032;8059616;-2147466466
11473065;8059632;-2147466486
11473133;8059694;-2147466526
11473182;8059726;-2147466546
11473236;8059772;-2147466558
11473374;8059866;-2147466590
11473469;8059944;-2147466622
11473502;8059960;-2147466625
11473512;8059976;-2147466725
11473667;8060085;-2147466729
11473740;8060147;-2147466749
11473744;8060147;-2147466761
11473876;8060241;-2147466767
11473896;8060257;-2147466768
11473940;8060288;-2147466780
11474057;8060382;-2147466789
11474064;8060397;-2147466811
11474111;8060429;-2147466843
11474113;8060429;-2147466855
11474115;8060429;-2147466875
11474125;8060444;-2147466879
11474161;8060460;-2147466883
11474245;8060522;-2147466895
11474252;8060538;-2147466927
11474391;8060647;-2147466931
11474401;8060647;-2147466963
11474489;8060710;-2147466983
11474522;8060741;-2147466995
11474589;8060788;-2147466998
11474696;8060882;-2147467004
11474778;8060944;-2147467014
11474871;8061007;-2147467022
11474972;8061085;-2147467034
11475166;8061241;-2147467054
11475315;8061350;-2147467058
11475415;8061428;-2147467070
11475541;8061522;-2147467102
11475545;8061522;-2147467103
11475569;8061538;-2147467106
11475571;8061538;-2147467107
11475660;8061616;-2147467127
11475669;8061616;-2147467139
11475694;8061631;-2147467143
11475714;8061647;-2147467144
11475927;8061819;-2147467156
11475942;8061819;-2147467157
11476033;8061897;-2147467169
11476038;8061897;-2147467201
11476070;8061928;-2147467221
11476347;8062131;-2147467225
11476352;8062131;-2147467346
11476359;8062131;-2147467358
11476395;8062163;-2147467370
11476417;8062178;-2147467390
11476493;8062241;-2147467405
11476764;8062444;-2147467409
