fes;time;f
1;72;2147484306
7;95;2147484305
17;115;2147484304
21;121;2147484301
26;128;2147484299
42;147;2147484298
44;150;2147484295
45;151;2147484289
51;160;2147484288
63;178;2147484285
64;179;2147484284
67;183;2147484280
75;193;2147484279
93;216;2147484275
95;219;2147484273
100;224;2147484269
101;225;2147484268
106;231;2147484265
108;233;2147484263
117;243;2147484259
124;251;2147484258
134;262;2147484256
149;278;2147484255
159;289;2147484254
172;303;2147484252
174;305;2147484251
179;310;2147484249
185;316;2147484245
188;319;2147484244
204;337;2147484243
206;339;2147484241
222;354;2147484240
226;357;2147484239
231;362;2147484235
232;363;2147484234
233;364;2147484233
234;365;2147484232
239;369;2147484229
244;374;2147484228
252;381;2147484226
253;383;2147484225
258;388;2147484224
274;403;2147484223
277;406;2147484222
287;414;2147484220
294;421;2147484219
299;425;2147484218
301;427;2147484215
308;433;2147484213
310;435;2147484212
337;463;2147484211
348;473;2147484210
364;487;2147484209
380;501;2147484208
393;512;2147484207
401;519;2147484204
402;520;2147484202
409;526;2147484201
417;533;2147484199
432;546;2147484198
442;555;2147484197
445;558;2147484195
454;565;2147484194
461;572;2147484193
466;576;2147484190
475;583;2147484187
483;590;2147484186
487;594;2147484185
493;599;2147484183
494;600;2147484182
495;600;2147484181
511;614;2147484179
515;618;2147484178
517;620;2147484176
519;621;2147484175
533;633;2147484174
542;641;2147484173
564;660;2147484171
565;661;2147484170
569;665;2147484169
595;688;2147484168
600;693;2147484167
601;694;2147484164
605;698;2147484159
607;699;2147484157
608;700;2147484156
618;709;2147484155
625;716;2147484154
636;726;2147484151
641;731;2147484150
643;732;2147484148
653;742;2147484146
666;755;2147484143
667;756;2147484142
669;758;2147484139
679;768;2147484138
686;774;2147484137
697;784;2147484134
701;788;2147484132
706;792;2147484130
719;804;2147484127
731;815;2147484126
748;830;2147484125
758;839;2147484123
765;845;2147484122
790;866;2147484121
801;875;2147484120
821;893;2147484119
828;899;2147484117
831;902;2147484116
832;903;2147484113
855;924;2147484112
862;930;2147484110
873;940;2147484109
886;952;2147484108
895;960;2147484106
899;964;2147484105
909;973;2147484104
939;1001;2147484102
946;1007;2147484099
951;1012;2147484098
973;1031;2147484097
1000;1057;2147484095
1034;1088;2147484088
1036;1090;2147484087
1064;1115;2147484084
1067;1118;2147484083
1083;1132;2147484082
1088;1136;2147484081
1121;1166;2147484080
1125;1169;2147484078
1129;1173;2147484076
1131;1175;2147484074
1143;1186;2147484073
1179;1221;2147484071
1186;1227;2147484070
1191;1231;2147484068
1198;1238;2147484067
1206;1245;2147484064
1213;1251;2147484063
1221;1259;2147484061
1230;1267;2147484059
1238;1275;2147484058
1241;1277;2147484055
1269;1302;2147484054
1290;1322;2147484053
1295;1326;2147484051
1302;1332;2147484050
1309;1337;2147484048
1315;1343;2147484047
1318;1345;2147484045
1340;1365;2147484044
1370;1392;2147484043
1375;1396;2147484042
1407;1424;2147484041
1413;1430;2147484038
1419;1435;2147484037
1420;1436;2147484036
1429;1444;2147484035
1452;1464;2147484033
1453;1465;2147484032
1488;1497;2147484031
1494;1503;2147484030
1498;1507;2147484029
1504;1512;2147484028
1520;1527;2147484027
1522;1529;2147484025
1539;1544;2147484024
1548;1552;2147484023
1553;1556;2147484022
1557;1560;2147484021
1602;1600;2147484020
1619;1615;2147484018
1657;1651;2147484017
1677;1668;2147484016
1694;1683;2147484013
