fes;time;f
1;83;2147484317
3;91;2147484315
14;113;2147484314
15;114;2147484313
16;116;2147484311
32;134;2147484310
33;135;2147484308
34;136;2147484306
38;141;2147484305
46;149;2147484303
48;151;2147484302
52;155;2147484301
63;166;2147484300
64;167;2147484299
68;171;2147484298
71;174;2147484297
76;179;2147484293
86;187;2147484292
91;192;2147484290
201;301;2147484278
203;303;2147484277
207;307;2147484275
213;312;2147484273
219;317;2147484271
229;325;2147484268
237;332;2147484266
248;341;2147484265
251;343;2147484264
255;347;2147484261
261;353;2147484260
276;367;2147484259
277;368;2147484258
279;370;2147484256
284;374;2147484255
286;375;2147484253
288;377;2147484252
293;381;2147484249
300;387;2147484248
303;389;2147484244
304;390;2147484243
317;400;2147484241
320;403;2147484238
333;413;2147484236
334;414;2147484235
335;415;2147484234
346;424;2147484233
363;439;2147484232
384;456;2147484231
385;456;2147484230
387;458;2147484229
393;463;2147484228
394;464;2147484227
1080;1052;2147484226
1083;1055;2147484225
1089;1060;2147484224
1095;1066;2147484223
1113;1082;2147484222
1114;1083;2147484221
1122;1090;2147484220
1123;1090;2147484218
1129;1096;2147484216
1137;1103;2147484215
1147;1111;2147484214
1152;1115;2147484213
1161;1123;2147484212
1182;1140;2147484211
1183;1140;2147484209
2772;2460;2147484208
2780;2467;2147484207
2782;2469;2147484205
2789;2475;2147484201
2790;2475;2147484199
2811;2494;2147484198
2825;2505;2147484195
2830;2509;2147484194
2837;2515;2147484193
2855;2531;2147484190
2860;2536;2147484189
2866;2541;2147484188
2870;2544;2147484187
2874;2548;2147484186
2888;2560;2147484185
2892;2564;2147484182
2896;2567;2147484181
2906;2576;2147484180
2913;2582;2147484179
2941;2604;2147484178
2943;2606;2147484177
2952;2613;2147484176
2958;2618;2147484175
2979;2635;2147484174
2986;2640;2147484172
2990;2643;2147484170
3011;2663;2147484166
3034;2685;2147484165
3039;2689;2147484164
3057;2705;2147484162
3074;2720;2147484161
3078;2724;2147484159
3079;2724;2147484158
3082;2728;2147484157
3087;2732;2147484156
3104;2746;2147484153
3105;2747;2147484151
3125;2764;2147484148
3144;2781;2147484147
3153;2789;2147484145
3158;2793;2147484144
