fes;time;f
1;92;2147484319
3;99;2147484315
5;106;2147484309
16;127;2147484308
17;128;2147484303
21;133;2147484302
22;138;2147484301
25;149;2147484300
28;156;2147484299
30;159;2147484298
33;163;2147484294
42;176;2147484293
48;185;2147484292
53;191;2147484288
58;197;2147484286
60;203;2147484283
69;212;2147484282
82;226;2147484280
92;236;2147484279
94;238;2147484278
98;242;2147484277
109;253;2147484274
113;257;2147484273
115;259;2147484272
116;260;2147484271
118;262;2147484267
126;270;2147484266
127;271;2147484265
135;279;2147484264
137;282;2147484261
144;288;2147484259
156;300;2147484257
163;308;2147484256
182;328;2147484253
185;331;2147484251
188;335;2147484250
195;342;2147484247
196;343;2147484245
197;344;2147484244
199;346;2147484242
203;350;2147484240
205;352;2147484237
211;358;2147484235
221;368;2147484230
222;369;2147484229
240;391;2147484225
242;393;2147484222
263;414;2147484220
271;420;2147484219
273;422;2147484218
278;426;2147484217
297;442;2147484216
301;445;2147484214
305;449;2147484212
306;450;2147484208
308;451;2147484207
329;469;2147484205
337;475;2147484203
362;495;2147484201
363;496;2147484200
368;500;2147484199
373;504;2147484198
404;530;2147484196
408;533;2147484195
409;534;2147484194
417;541;2147484192
418;542;2147484191
431;552;2147484190
433;554;2147484189
457;574;2147484188
459;575;2147484187
468;582;2147484186
478;591;2147484185
490;601;2147484183
493;603;2147484182
494;604;2147484181
510;617;2147484178
519;625;2147484177
522;628;2147484172
528;633;2147484171
546;648;2147484169
566;664;2147484168
569;667;2147484167
573;670;2147484166
586;681;2147484165
604;696;2147484164
605;697;2147484161
607;698;2147484160
635;721;2147484157
655;738;2147484156
657;739;2147484155
674;754;2147484153
677;756;2147484152
686;763;2147484151
690;767;2147484150
697;773;2147484149
699;774;2147484148
701;776;2147484144
702;777;2147484142
726;796;2147484140
730;800;2147484137
735;804;2147484132
741;809;2147484131
772;834;2147484130
802;858;2147484127
812;866;2147484126
823;875;2147484125
837;887;2147484123
839;889;2147484122
844;893;2147484121
860;906;2147484120
861;907;2147484119
885;927;2147484118
897;937;2147484117
938;970;2147484116
940;972;2147484115
977;1002;2147484114
981;1006;2147484113
984;1008;2147484110
988;1012;2147484109
999;1022;2147484108
1001;1023;2147484106
1009;1030;2147484104
1014;1035;2147484103
1028;1047;2147484102
1040;1056;2147484101
1052;1067;2147484099
1063;1075;2147484098
1065;1077;2147484097
1071;1081;2147484096
1084;1092;2147484094
1096;1102;2147484090
1134;1132;2147484089
1137;1134;2147484088
1146;1141;2147484087
1157;1150;2147484086
1158;1151;2147484084
1191;1177;2147484083
1193;1178;2147484081
1202;1186;2147484080
1206;1189;2147484079
1217;1197;2147484078
1231;1209;2147484077
1234;1211;2147484076
1241;1217;2147484075
1250;1224;2147484074
1271;1240;2147484073
1286;1253;2147484072
1294;1260;2147484068
1334;1295;2147484067
1343;1303;2147484066
1377;1331;2147484062
1385;1338;2147484061
1396;1347;2147484059
1418;1365;2147484058
1430;1375;2147484056
1443;1385;2147484055
1448;1389;2147484052
1479;1415;2147484050
1506;1438;2147484049
1525;1454;2147484048
1559;1481;2147484047
1568;1488;2147484046
1569;1489;2147484045
1571;1491;2147484044
1574;1493;2147484043
1582;1499;2147484042
1617;1527;2147484041
1618;1528;2147484040
1628;1536;2147484037
1643;1549;2147484036
1644;1549;2147484035
1646;1551;2147484034
1656;1560;2147484033
1657;1560;2147484032
1658;1561;2147484031
1660;1563;2147484030
1664;1567;2147484029
1700;1597;2147484028
1730;1620;2147484027
1742;1630;2147484026
1747;1634;2147484025
1753;1639;2147484024
1769;1651;2147484023
1791;1669;2147484022
1797;1674;2147484021
1831;1701;2147484020
1838;1706;2147484019
1885;1744;2147484017
1894;1751;2147484016
1906;1761;2147484014
1921;1773;2147484013
1932;1782;2147484012
1937;1786;2147484011
1942;1790;2147484010
1946;1794;2147484009
1961;1806;2147484008
1976;1819;2147484007
1983;1824;2147484006
1986;1827;2147484005
2017;1852;2147484004
2036;1869;2147484003
2037;1870;2147484002
2096;1921;2147484001
2100;1924;2147484000
2123;1943;2147483999
2129;1948;2147483998
2133;1951;2147483997
2146;1961;2147483996
2148;1963;2147483995
2161;1973;2147483993
2179;1987;2147483992
2194;1999;2147483991
2217;2018;2147483989
2237;2034;2147483988
2248;2043;2147483987
2255;2049;2147483986
2257;2051;2147483985
2263;2056;2147483981
2286;2074;2147483980
2290;2078;2147483978
2295;2082;2147483977
2303;2089;2147483976
2330;2112;2147483975
2337;2117;2147483974
2349;2127;2147483973
2359;2135;2147483972
2404;2173;2147483971
2433;2196;2147483970
2446;2207;2147483969
2567;2311;2147483968
2599;2337;2147483967
2650;2377;2147483966
2692;2411;2147483965
2711;2427;2147483964
2769;2474;2147483963
2852;2542;2147483962
2867;2554;2147483961
2916;2594;2147483960
2949;2624;2147483959
2954;2629;2147483958
2969;2642;2147483957
2980;2651;2147483956
2987;2657;2147483954
3000;2667;2147483953
3030;2692;2147483952
3048;2706;2147483951
3053;2711;2147483950
3158;2796;2147483948
3159;2797;2147483947
3166;2803;2147483946
3200;2830;2147483944
3204;2834;2147483943
3301;2912;2147483942
3340;2946;2147483941
3358;2961;2147483940
3363;2966;2147483939
3380;2980;2147483938
3398;2994;2147483936
3400;2995;2147483935
3455;3040;2147483934
3463;3046;2147483933
3498;3074;2147483932
3499;3075;2147483931
3520;3092;2147483930
3564;3127;2147483929
3574;3135;2147483927
3583;3143;2147483926
3591;3150;2147483925
3595;3153;2147483924
3643;3194;2147483922
3694;3235;2147483921
3790;3313;2147483919
3840;3354;2147483918
3851;3366;2147483917
3864;3377;2147483916
3908;3414;2147483915
3938;3438;2147483914
3982;3474;2147483912
3988;3479;2147483911
4015;3500;2147483910
