fes;time;f
1;63;1621
2;78;1620
9;125;1619
13;141;1617
15;141;1615
20;157;1614
36;219;1613
39;235;1611
41;250;1610
49;266;1608
53;282;1607
56;297;1606
59;297;1605
63;313;1604
75;344;1603
93;407;1602
95;422;1601
100;438;1598
102;438;1595
104;438;1593
118;485;1592
130;532;1590
133;532;1588
145;563;1584
151;594;1583
166;641;1582
172;656;1581
178;672;1579
179;672;1577
184;688;1576
187;703;1574
190;703;1573
193;719;1572
201;735;1571
203;750;1570
204;750;1568
207;766;1566
208;766;1565
209;766;1564
218;797;1562
219;797;1561
227;813;1560
242;860;1558
246;875;1555
248;875;1552
252;891;1551
263;922;1549
271;953;1548
286;985;1547
288;1000;1546
289;1000;1545
291;1000;1544
302;1031;1543
311;1063;1541
313;1078;1540
314;1078;1539
326;1110;1537
336;1141;1536
338;1141;1533
342;1156;1532
349;1172;1531
352;1188;1529
357;1203;1528
359;1203;1526
360;1219;1525
369;1234;1523
371;1250;1522
381;1266;1521
386;1281;1519
389;1297;1518
392;1313;1517
394;1313;1515
395;1313;1514
413;1375;1511
416;1375;1509
435;1438;1507
439;1438;1506
462;1516;1505
468;1531;1503
470;1531;1502
473;1547;1499
485;1578;1496
497;1625;1494
503;1641;1493
505;1641;1492
507;1641;1491
509;1656;1490
516;1672;1488
520;1688;1487
522;1703;1486
525;1703;1485
528;1719;1484
529;1719;1481
536;1734;1480
540;1750;1479
542;1750;1478
544;1766;1477
548;1781;1476
553;1797;1475
558;1797;1470
561;1812;1469
563;1812;1467
564;1828;1466
568;1828;1465
575;1859;1463
577;1859;1462
580;1875;1461
581;1875;1460
583;1875;1458
584;1891;1457
587;1891;1454
608;1953;1452
611;1969;1451
621;2000;1450
628;2016;1449
632;2031;1448
634;2031;1446
643;2062;1445
645;2062;1444
647;2078;1443
649;2078;1441
657;2094;1440
661;2109;1437
673;2141;1436
682;2172;1435
687;2187;1434
690;2203;1432
693;2203;1428
699;2219;1427
703;2234;1424
708;2250;1423
716;2281;1422
732;2328;1421
735;2344;1420
739;2344;1419
740;2359;1418
745;2375;1417
746;2375;1415
747;2375;1414
748;2375;1413
753;2390;1412
754;2390;1411
755;2406;1410
761;2425;1409
768;2442;1408
776;2457;1407
778;2473;1404
779;2473;1403
780;2473;1402
782;2473;1399
786;2489;1398
788;2489;1397
795;2520;1396
798;2520;1395
819;2582;1393
821;2598;1392
825;2598;1391
826;2598;1390
840;2645;1388
845;2660;1387
850;2676;1386
852;2676;1385
853;2692;1384
867;2723;1383
886;2785;1381
897;2817;1380
914;2864;1378
917;2879;1376
922;2895;1375
929;2910;1374
934;2926;1373
943;2957;1371
945;2957;1370
948;2973;1369
954;2989;1368
965;3020;1367
984;3082;1366
994;3114;1365
995;3114;1364
996;3114;1363
1011;3160;1362
1013;3160;1360
1015;3160;1359
1016;3176;1358
1020;3176;1356
1028;3207;1355
1033;3223;1354
1034;3223;1353
1057;3301;1352
1061;3301;1351
1064;3317;1350
1088;3379;1349
1089;3379;1348
1097;3410;1347
1103;3426;1346
1124;3488;1345
1129;3504;1344
1137;3520;1343
1138;3535;1340
1139;3535;1339
1147;3551;1336
1173;3629;1334
1183;3660;1333
1192;3691;1332
1197;3707;1331
1200;3723;1327
1203;3723;1326
1206;3738;1325
1220;3785;1323
1224;3785;1322
1242;3848;1320
1249;3863;1319
1255;3879;1318
1265;3910;1316
1268;3926;1315
1270;3926;1314
1271;3941;1313
1272;3941;1312
1282;3973;1310
1307;4051;1309
1312;4066;1306
1320;4082;1305
1322;4098;1304
1326;4098;1302
1330;4113;1301
1339;4145;1300
1344;4160;1299
1355;4191;1298
1359;4207;1297
1365;4223;1296
1392;4301;1295
1396;4316;1293
1407;4348;1292
1424;4394;1291
1437;4426;1290
1461;4504;1289
1462;4504;1288
1464;4519;1287
1485;4566;1286
1491;4598;1285
1494;4598;1284
1508;4644;1283
1515;4660;1282
1529;4707;1281
1530;4707;1280
1547;4754;1277
1548;4754;1276
1563;4801;1275
1568;4816;1274
1569;4816;1273
1571;4816;1272
1583;4863;1271
1595;4894;1270
1612;4941;1269
1613;4941;1267
1616;4957;1266
1632;5004;1265
1637;5019;1263
1642;5035;1262
1660;5082;1261
1679;5144;1260
1681;5160;1259
1692;5191;1257
1705;5222;1256
1711;5238;1254
1712;5254;1253
1736;5316;1252
1744;5347;1251
1748;5347;1249
1788;5472;1248
1790;5472;1247
1794;5488;1246
1815;5550;1245
1824;5582;1244
1826;5582;1243
1832;5597;1240
1836;5613;1239
1842;5629;1238
1844;5644;1236
1864;5691;1235
1883;5754;1234
1895;5785;1233
1917;5863;1231
1936;5910;1230
1938;5925;1229
1944;5941;1226
1954;5972;1225
1961;5988;1224
1966;6003;1223
1976;6035;1221
1984;6066;1220
1993;6082;1219
2007;6128;1218
2026;6191;1217
2039;6222;1216
2047;6238;1215
2068;6316;1214
2071;6316;1213
2077;6332;1211
2089;6363;1210
2094;6378;1209
2111;6441;1207
2122;6472;1205
2135;6503;1204
2140;6519;1203
2141;6519;1201
2153;6566;1200
2160;6581;1198
2163;6597;1197
2164;6597;1196
2169;6613;1195
2174;6628;1193
2177;6628;1192
2184;6660;1191
2193;6691;1190
2205;6722;1189
2216;6753;1188
2223;6769;1187
2226;6785;1186
2235;6800;1185
2257;6863;1184
2259;6878;1182
2263;6878;1181
2276;6925;1180
2281;6941;1179
2297;6988;1178
2335;7097;1176
2338;7113;1175
2343;7128;1174
2349;7144;1172
2350;7144;1171
2355;7159;1168
2356;7159;1167
2362;7175;1165
2368;7206;1164
2423;7363;1163
2438;7409;1162
2440;7409;1161
2448;7441;1159
2457;7456;1158
2499;7597;1156
2504;7597;1155
2512;7628;1154
2516;7644;1153
2525;7675;1152
2540;7722;1151
2559;7769;1150
2564;7784;1149
2572;7816;1148
2574;7816;1147
2585;7847;1146
2586;7847;1145
2598;7878;1144
2601;7894;1143
2613;7925;1142
2621;7956;1141
2625;7956;1140
2638;8003;1139
2640;8003;1138
2645;8019;1137
2651;8034;1135
2653;8050;1134
2660;8066;1132
2661;8066;1131
2669;8097;1130
2682;8128;1128
2689;8144;1127
2695;8175;1126
2699;8175;1124
2707;8206;1123
2716;8237;1122
2731;8284;1121
2752;8331;1120
2781;8425;1119
2783;8425;1118
2791;8456;1117
2813;8519;1116
2819;8534;1115
2824;8550;1113
2832;8581;1112
2836;8597;1110
2852;8644;1109
2853;8644;1108
2875;8706;1107
2885;8737;1106
2905;8784;1104
2929;8862;1102
2978;9003;1101
2990;9034;1100
2991;9034;1098
2993;9050;1097
3002;9065;1096
3005;9081;1095
3008;9097;1094
3027;9143;1092
3031;9159;1091
3038;9175;1089
3044;9190;1088
3060;9237;1087
3070;9268;1086
3085;9315;1085
3088;9331;1084
3099;9362;1083
3108;9378;1082
3125;9425;1081
3138;9471;1080
3168;9565;1079
3173;9581;1078
3184;9612;1077
3199;9659;1076
3211;9690;1074
3227;9737;1073
3243;9784;1072
3254;9815;1071
3284;9909;1070
3290;9924;1068
3303;9956;1067
3306;9971;1066
3325;10018;1065
3328;10034;1064
3329;10034;1063
3331;10034;1062
3332;10049;1061
3343;10081;1060
3345;10081;1059
3405;10253;1058
3411;10268;1057
3416;10284;1056
3419;10299;1055
3424;10315;1054
3432;10331;1053
3447;10378;1052
3460;10424;1051
3467;10440;1049
3470;10440;1048
3480;10471;1047
3481;10487;1046
3487;10502;1045
3495;10518;1043
3500;10534;1041
3512;10565;1040
3521;10596;1039
3523;10596;1038
3525;10612;1035
3579;10768;1034
3580;10768;1033
3604;10847;1032
3605;10847;1031
3607;10863;1030
3635;10941;1029
3666;11034;1028
3682;11081;1027
3725;11206;1026
3744;11269;1025
3762;11316;1024
3764;11331;1023
3777;11362;1022
3805;11456;1021
3831;11519;1020
3835;11534;1019
3847;11565;1018
3850;11581;1017
3863;11612;1016
3886;11690;1015
3897;11722;1014
3903;11737;1012
3911;11769;1010
3928;11815;1009
3941;11847;1007
3967;11925;1006
3968;11925;1005
3988;11987;1004
3994;12003;1002
4000;12018;1001
4020;12081;1000
4022;12081;999
4058;12190;998
4098;12315;997
4099;12315;996
4118;12362;995
4129;12393;994
4138;12425;993
4149;12456;991
4156;12472;990
4163;12503;989
4166;12503;988
4189;12581;987
