fes;time;f
1;62;2147485045
8;125;2147485044
11;125;2147485041
16;156;2147485039
17;156;2147485038
22;172;2147485036
25;187;2147485035
44;250;2147485034
47;265;2147485030
52;281;2147485028
61;312;2147485027
63;312;2147485026
70;344;2147485025
71;344;2147485024
73;344;2147485023
105;453;2147485022
109;469;2147485020
114;484;2147485018
126;531;2147485016
128;531;2147485015
131;531;2147485011
136;547;2147485010
146;594;2147485008
158;625;2147485007
159;625;2147485006
166;640;2147485005
171;656;2147485004
181;687;2147485002
183;703;2147485000
192;719;2147484998
195;734;2147484997
196;734;2147484995
204;765;2147484994
206;765;2147484992
207;765;2147484991
211;781;2147484989
217;797;2147484987
228;843;2147484986
229;843;2147484985
235;859;2147484984
238;875;2147484983
242;875;2147484982
246;890;2147484980
247;890;2147484979
262;937;2147484978
268;953;2147484977
281;1000;2147484976
289;1015;2147484975
297;1047;2147484973
298;1047;2147484970
303;1062;2147484969
317;1109;2147484967
328;1140;2147484965
335;1156;2147484962
342;1187;2147484961
349;1203;2147484960
358;1234;2147484957
360;1234;2147484956
363;1250;2147484955
369;1265;2147484954
379;1296;2147484953
389;1328;2147484952
391;1328;2147484951
411;1406;2147484949
426;1453;2147484948
430;1468;2147484947
431;1468;2147484946
439;1484;2147484945
450;1515;2147484943
460;1546;2147484941
465;1562;2147484940
479;1609;2147484939
489;1640;2147484937
497;1671;2147484936
501;1671;2147484935
517;1734;2147484934
518;1734;2147484933
519;1734;2147484928
529;1765;2147484927
533;1781;2147484926
534;1781;2147484925
535;1781;2147484924
536;1781;2147484923
545;1812;2147484921
548;1828;2147484920
558;1859;2147484919
560;1859;2147484916
569;1890;2147484915
572;1890;2147484913
578;1906;2147484912
581;1921;2147484911
586;1937;2147484910
592;1953;2147484909
602;1984;2147484908
614;2015;2147484907
617;2031;2147484906
628;2062;2147484905
632;2078;2147484904
645;2124;2147484900
655;2156;2147484899
686;2249;2147484898
691;2265;2147484897
692;2265;2147484895
698;2281;2147484894
699;2281;2147484892
700;2281;2147484891
706;2296;2147484890
709;2312;2147484889
720;2343;2147484888
734;2390;2147484887
735;2390;2147484884
736;2390;2147484881
741;2406;2147484880
750;2437;2147484879
757;2468;2147484878
768;2499;2147484877
770;2499;2147484876
772;2499;2147484873
774;2515;2147484872
776;2515;2147484870
781;2531;2147484868
791;2562;2147484867
792;2562;2147484866
799;2593;2147484865
800;2593;2147484864
809;2624;2147484863
812;2624;2147484862
813;2640;2147484860
820;2656;2147484859
822;2656;2147484858
832;2687;2147484857
840;2718;2147484856
843;2718;2147484855
851;2749;2147484854
856;2765;2147484853
860;2765;2147484852
867;2796;2147484850
877;2827;2147484849
878;2827;2147484847
879;2827;2147484845
882;2843;2147484844
887;2859;2147484843
893;2874;2147484841
904;2905;2147484840
