fes;time;f
1;63;2147485255
6;110;2147485253
19;156;2147485252
22;172;2147485251
25;188;2147485250
28;203;2147485249
35;234;2147485247
37;234;2147485244
39;234;2147485243
44;250;2147485241
51;281;2147485240
63;313;2147485238
68;328;2147485237
78;360;2147485232
80;375;2147485231
84;391;2147485230
85;391;2147485229
94;422;2147485227
95;422;2147485226
96;422;2147485225
218;797;2147485224
224;813;2147485222
228;828;2147485221
237;859;2147485220
238;859;2147485219
239;859;2147485218
242;875;2147485216
243;875;2147485215
245;875;2147485214
254;906;2147485212
256;906;2147485210
266;937;2147485208
274;969;2147485207
276;969;2147485206
281;984;2147485205
290;1016;2147485204
291;1016;2147485203
292;1016;2147485202
303;1047;2147485201
304;1047;2147485200
313;1078;2147485198
314;1078;2147485195
320;1094;2147485193
323;1109;2147485191
325;1109;2147485190
333;1141;2147485188
335;1141;2147485187
337;1141;2147485186
340;1156;2147485185
346;1172;2147485184
347;1172;2147485183
353;1187;2147485181
356;1203;2147485180
361;1219;2147485179
363;1219;2147485178
365;1219;2147485177
366;1234;2147485176
372;1250;2147485175
373;1250;2147485173
375;1250;2147485171
376;1266;2147485168
387;1297;2147485167
395;1312;2147485164
398;1328;2147485163
735;2312;2147485162
736;2312;2147485161
751;2359;2147485160
759;2375;2147485159
767;2406;2147485158
769;2406;2147485157
775;2422;2147485152
787;2453;2147485151
789;2468;2147485150
794;2484;2147485149
795;2484;2147485148
799;2500;2147485147
2391;7139;2147485146
2392;7155;2147485145
2393;7155;2147485143
2396;7155;2147485142
2852;8514;2147485141
2853;8514;2147485140
2858;8530;2147485139
2862;8530;2147485137
2871;8561;2147485136
2891;8623;2147485134
2893;8623;2147485133
2899;8639;2147485132
2902;8655;2147485131
2916;8701;2147485129
2917;8701;2147485127
2922;8717;2147485124
2947;8795;2147485123
2956;8811;2147485122
2957;8811;2147485120
2959;8826;2147485119
2963;8842;2147485117
2967;8842;2147485116
2976;8873;2147485114
2984;8889;2147485113
2990;8904;2147485111
2995;8920;2147485110
3006;8951;2147485108
3015;8983;2147485106
3019;8998;2147485105
3023;9014;2147485103
3032;9029;2147485101
3040;9061;2147485100
3063;9123;2147485099
3070;9139;2147485098
3073;9154;2147485097
3078;9170;2147485096
3081;9170;2147485095
3089;9201;2147485094
3090;9201;2147485093
3091;9201;2147485092
3092;9201;2147485090
3096;9217;2147485089
3115;9279;2147485088
3134;9326;2147485087
3140;9342;2147485086
3142;9358;2147485085
3143;9358;2147485083
3146;9358;2147485082
3162;9404;2147485081
3164;9420;2147485079
3173;9451;2147485077
3183;9482;2147485076
3196;9514;2147485074
6363;18804;2147485073
6366;18820;2147485072
6369;18820;2147485070
6370;18820;2147485069
6378;18851;2147485068
6385;18866;2147485067
6388;18882;2147485066
7079;20913;2147485065
7081;20913;2147485063
7085;20928;2147485062
7087;20928;2147485061
7098;20975;2147485060
7099;20975;2147485059
7109;21007;2147485058
7122;21053;2147485057
7132;21069;2147485054
7155;21147;2147485053
7162;21163;2147485051
7173;21194;2147485049
7178;21210;2147485048
7179;21210;2147485047
7183;21225;2147485046
7184;21225;2147485044
7198;21272;2147485043
7199;21272;2147485041
7207;21288;2147485040
7215;21319;2147485037
7216;21319;2147485036
7217;21319;2147485035
7221;21335;2147485034
7233;21366;2147485033
7241;21397;2147485030
7252;21428;2147485029
7262;21460;2147485028
7273;21491;2147485027
7279;21506;2147485026
7281;21506;2147485025
7297;21553;2147485021
7310;21600;2147485020
7317;21616;2147485019
7324;21631;2147485018
7325;21631;2147485017
7334;21663;2147485016
7335;21663;2147485015
7342;21694;2147485014
7345;21694;2147485012
7347;21710;2147485011
7357;21741;2147485010
7360;21741;2147485009
7363;21756;2147485008
7364;21756;2147485007
7375;21788;2147485006
7385;21819;2147485004
7386;21819;2147485003
7389;21819;2147485002
7402;21866;2147484999
7420;21913;2147484998
7421;21913;2147484997
7438;21975;2147484996
7456;22022;2147484995
7459;22038;2147484994
7473;22084;2147484993
7474;22084;2147484992
7481;22100;2147484990
7485;22116;2147484989
7488;22116;2147484988
7491;22131;2147484987
7492;22131;2147484985
7512;22194;2147484984
7517;22209;2147484983
7528;22241;2147484982
7537;22256;2147484981
7541;22272;2147484980
7544;22288;2147484979
7549;22303;2147484978
7552;22303;2147484977
7553;22319;2147484975
7554;22319;2147484973
7563;22334;2147484972
7566;22350;2147484971
7572;22366;2147484970
7574;22381;2147484968
7587;22413;2147484967
7589;22428;2147484966
7597;22444;2147484965
7598;22444;2147484964
7599;22459;2147484963
7600;22459;2147484962
7601;22459;2147484961
7624;22522;2147484959
7657;22616;2147484957
7662;22631;2147484956
7688;22709;2147484953
7692;22725;2147484952
7707;22772;2147484950
7709;22772;2147484949
7712;22787;2147484948
7722;22819;2147484947
7727;22819;2147484946
7731;22834;2147484945
7742;22866;2147484944
7751;22897;2147484942
7753;22897;2147484941
7764;22928;2147484939
7766;22944;2147484937
7772;22959;2147484935
7788;23006;2147484934
7789;23006;2147484933
7791;23006;2147484932
7793;23022;2147484931
7796;23022;2147484929
7804;23053;2147484928
7825;23100;2147484927
7835;23131;2147484926
7836;23131;2147484925
7844;23162;2147484924
7850;23178;2147484923
7858;23209;2147484922
7867;23225;2147484919
7869;23240;2147484918
7872;23240;2147484917
7873;23240;2147484916
7888;23287;2147484914
7896;23319;2147484913
7907;23350;2147484912
7910;23350;2147484911
7937;23428;2147484910
7939;23444;2147484908
7955;23490;2147484907
7960;23506;2147484906
7969;23522;2147484905
7976;23553;2147484903
7983;23568;2147484901
15931;46806;2147484900
15941;46822;2147484898
15947;46853;2147484897
15954;46868;2147484896
15962;46900;2147484894
15971;46915;2147484892
15979;46947;2147484890
15988;46978;2147484888
15992;46978;2147484887
15996;46993;2147484885
18041;52918;2147484883
18055;52949;2147484882
18057;52965;2147484881
18062;52981;2147484880
18068;52996;2147484879
18069;52996;2147484878
18086;53043;2147484877
18110;53121;2147484876
18123;53153;2147484875
18130;53168;2147484874
18134;53184;2147484873
18157;53246;2147484872
18161;53262;2147484871
18162;53262;2147484870
18180;53309;2147484869
18188;53340;2147484867
18196;53356;2147484865
18201;53371;2147484864
18202;53371;2147484863
18207;53387;2147484862
18216;53418;2147484861
18220;53434;2147484860
18222;53434;2147484859
18224;53434;2147484858
18241;53496;2147484857
18246;53512;2147484855
18249;53512;2147484854
18251;53527;2147484853
18263;53559;2147484850
18267;53574;2147484849
18281;53606;2147484847
18291;53637;2147484846
18312;53699;2147484845
18322;53731;2147484844
18324;53746;2147484843
18330;53762;2147484842
18341;53793;2147484841
18350;53824;2147484840
18368;53871;2147484839
18404;53981;2147484837
18405;53981;2147484836
18431;54059;2147484834
18445;54105;2147484832
18455;54137;2147484829
18471;54184;2147484828
18477;54199;2147484827
18478;54199;2147484826
18501;54262;2147484825
18514;54293;2147484824
18526;54340;2147484823
18530;54355;2147484822
18533;54355;2147484821
18549;54402;2147484819
18560;54434;2147484818
18564;54449;2147484817
18572;54465;2147484815
18584;54496;2147484814
18620;54621;2147484813
18622;54621;2147484812
18627;54637;2147484811
18652;54699;2147484810
18654;54715;2147484809
18662;54730;2147484808
18669;54746;2147484807
18673;54762;2147484806
18677;54777;2147484805
18681;54793;2147484804
18690;54808;2147484803
18693;54824;2147484802
18698;54840;2147484800
18699;54840;2147484799
18710;54871;2147484798
18720;54902;2147484797
18724;54918;2147484795
18747;54980;2147484794
18827;55215;2147484792
18842;55261;2147484791
18845;55261;2147484790
18847;55277;2147484789
18858;55308;2147484788
18875;55355;2147484787
18880;55371;2147484786
18881;55371;2147484785
18891;55402;2147484784
18894;55418;2147484783
18902;55433;2147484781
18904;55433;2147484780
18912;55465;2147484778
18921;55496;2147484777
18928;55511;2147484776
18952;55589;2147484775
18981;55668;2147484774
18994;55699;2147484773
18997;55714;2147484772
18999;55714;2147484771
19004;55730;2147484770
19018;55777;2147484769
19021;55777;2147484768
19030;55808;2147484767
19038;55839;2147484766
19059;55902;2147484765
19061;55902;2147484764
19092;55996;2147484763
19099;56011;2147484762
19104;56027;2147484760
19129;56105;2147484759
19188;56277;2147484758
37845;110848;2147484757
37882;110958;2147484756
37885;110973;2147484755
37897;111005;2147484754
37912;111051;2147484753
37915;111051;2147484751
37923;111083;2147484750
37929;111098;2147484749
37936;111114;2147484748
37971;111223;2147484747
37976;111239;2147484746
37991;111286;2147484745
37995;111286;2147484744
38000;111301;2147484743
38003;111317;2147484741
38022;111379;2147484740
38048;111442;2147484739
38059;111473;2147484738
38064;111489;2147484737
38068;111504;2147484736
38069;111504;2147484735
38085;111551;2147484734
38132;111692;2147484733
38138;111720;2147484732
38139;111720;2147484731
38142;111720;2147484730
38158;111767;2147484729
38185;111845;2147484728
38192;111860;2147484727
38204;111907;2147484726
38213;111923;2147484725
38218;111939;2147484724
38221;111954;2147484723
38231;111985;2147484722
38232;111985;2147484721
38241;112017;2147484720
38249;112032;2147484719
38270;112095;2147484718
38272;112095;2147484717
38273;112110;2147484715
38274;112110;2147484714
38283;112126;2147484713
38302;112188;2147484712
38303;112188;2147484711
38308;112204;2147484710
38324;112251;2147484709
38366;112376;2147484708
38368;112392;2147484707
41308;120983;2147484706
41310;120983;2147484704
