fes;time;f
1;78;2147485045
2;94;2147485042
3;94;2147485040
9;125;2147485038
20;172;2147485036
22;172;2147485033
24;187;2147485031
27;187;2147485030
34;219;2147485029
40;234;2147485027
46;250;2147485024
48;266;2147485022
54;281;2147485020
55;281;2147485019
61;297;2147485017
65;312;2147485016
66;328;2147485015
76;359;2147485014
78;359;2147485013
80;375;2147485012
81;375;2147485010
99;437;2147485009
100;437;2147485008
102;437;2147485006
110;469;2147485005
113;484;2147485004
116;484;2147485002
125;516;2147485000
126;516;2147484999
133;547;2147484994
134;547;2147484993
142;578;2147484992
149;594;2147484989
151;594;2147484988
156;609;2147484987
174;672;2147484984
180;687;2147484982
186;703;2147484980
200;750;2147484977
202;766;2147484976
205;766;2147484975
206;766;2147484974
220;812;2147484973
228;844;2147484972
232;844;2147484971
233;844;2147484970
246;890;2147484969
255;922;2147484968
266;953;2147484967
270;969;2147484965
272;969;2147484964
290;1031;2147484962
292;1031;2147484961
297;1047;2147484958
299;1047;2147484956
304;1062;2147484955
313;1094;2147484954
334;1156;2147484953
348;1203;2147484951
357;1234;2147484950
359;1234;2147484947
360;1234;2147484946
361;1234;2147484944
369;1265;2147484943
372;1265;2147484941
374;1281;2147484940
385;1312;2147484939
398;1359;2147484937
401;1359;2147484936
404;1375;2147484934
409;1390;2147484933
412;1390;2147484932
415;1406;2147484931
417;1406;2147484930
421;1422;2147484929
429;1453;2147484928
432;1453;2147484927
445;1500;2147484926
457;1531;2147484925
458;1531;2147484924
465;1562;2147484923
481;1609;2147484922
483;1609;2147484921
489;1640;2147484919
492;1640;2147484918
494;1656;2147484917
502;1672;2147484916
510;1703;2147484915
512;1703;2147484914
527;1750;2147484910
547;1812;2147484909
553;1828;2147484908
557;1843;2147484906
558;1843;2147484905
564;1875;2147484904
576;1906;2147484903
588;1937;2147484902
591;1953;2147484899
593;1953;2147484898
594;1953;2147484897
598;1968;2147484895
603;1984;2147484889
604;1984;2147484887
608;2000;2147484885
612;2015;2147484883
616;2031;2147484882
637;2093;2147484881
638;2109;2147484879
646;2125;2147484878
648;2140;2147484877
656;2156;2147484876
658;2156;2147484875
662;2171;2147484873
668;2187;2147484872
674;2218;2147484871
682;2234;2147484870
686;2250;2147484869
699;2296;2147484867
705;2312;2147484866
711;2328;2147484865
714;2328;2147484863
721;2359;2147484862
731;2390;2147484861
734;2390;2147484860
735;2390;2147484859
738;2406;2147484858
741;2421;2147484857
747;2437;2147484856
749;2437;2147484855
754;2453;2147484854
774;2515;2147484853
783;2546;2147484852
799;2593;2147484851
818;2656;2147484849
819;2656;2147484847
821;2656;2147484845
825;2671;2147484844
826;2671;2147484841
843;2718;2147484840
848;2734;2147484837
849;2749;2147484836
853;2749;2147484835
866;2796;2147484834
868;2796;2147484833
871;2812;2147484832
873;2812;2147484831
881;2843;2147484830
885;2843;2147484829
899;2890;2147484825
922;2952;2147484824
927;2968;2147484823
932;2984;2147484822
936;2999;2147484821
961;3077;2147484820
986;3140;2147484819
1005;3202;2147484816
1008;3218;2147484814
1012;3218;2147484813
1019;3249;2147484812
1020;3249;2147484811
1023;3265;2147484810
1038;3312;2147484809
1042;3312;2147484807
1066;3390;2147484806
1073;3406;2147484803
1088;3452;2147484800
1103;3499;2147484799
1105;3515;2147484798
1107;3515;2147484797
1115;3546;2147484795
1117;3546;2147484792
1118;3546;2147484790
1120;3562;2147484789
1133;3609;2147484788
1159;3687;2147484785
1161;3687;2147484779
1164;3702;2147484777
1171;3718;2147484775
1182;3749;2147484774
1190;3780;2147484773
1203;3812;2147484770
1213;3843;2147484769
1215;3859;2147484768
1217;3859;2147484767
1219;3859;2147484766
1221;3874;2147484763
1222;3874;2147484762
1223;3874;2147484761
1236;3921;2147484760
1239;3921;2147484759
1245;3937;2147484758
1267;4015;2147484757
1269;4015;2147484756
1278;4046;2147484755
1281;4046;2147484752
1285;4062;2147484751
1290;4077;2147484750
1292;4077;2147484749
1293;4093;2147484747
1297;4093;2147484746
1301;4108;2147484745
1311;4140;2147484744
1315;4155;2147484743
1318;4171;2147484742
1320;4171;2147484741
1330;4202;2147484739
1332;4202;2147484738
1338;4233;2147484737
1340;4233;2147484736
1350;4265;2147484734
1360;4296;2147484732
1362;4296;2147484731
1367;4312;2147484728
1374;4343;2147484727
1388;4374;2147484725
1391;4390;2147484724
1398;4405;2147484722
1402;4421;2147484721
1415;4468;2147484717
1417;4468;2147484716
1421;4483;2147484715
1429;4499;2147484714
1432;4515;2147484713
1446;4561;2147484712
1447;4561;2147484711
1450;4561;2147484710
1451;4577;2147484708
1455;4577;2147484707
1463;4608;2147484706
1481;4671;2147484704
1483;4671;2147484703
1485;4671;2147484702
1501;4718;2147484701
1519;4780;2147484700
1537;4843;2147484699
1548;4874;2147484698
1554;4890;2147484697
1556;4890;2147484696
1558;4905;2147484694
1568;4936;2147484693
1569;4936;2147484692
