fes;time;f
1;63;2147484713
5;94;2147484710
7;109;2147484706
9;109;2147484705
12;125;2147484704
13;125;2147484701
17;141;2147484700
21;141;2147484696
28;156;2147484694
31;156;2147484693
34;156;2147484691
35;172;2147484690
39;172;2147484685
42;172;2147484684
43;172;2147484683
45;188;2147484681
52;188;2147484679
58;203;2147484676
60;203;2147484674
61;203;2147484670
63;203;2147484669
64;219;2147484668
65;219;2147484667
72;219;2147484666
74;219;2147484664
77;234;2147484662
84;234;2147484661
90;250;2147484660
92;250;2147484659
114;281;2147484658
115;281;2147484657
130;297;2147484656
131;297;2147484653
135;313;2147484651
139;313;2147484650
140;313;2147484649
155;328;2147484648
166;344;2147484646
169;344;2147484645
178;359;2147484644
184;359;2147484643
185;359;2147484642
186;359;2147484641
203;391;2147484640
205;391;2147484637
206;391;2147484636
207;391;2147484635
213;391;2147484634
234;422;2147484630
236;422;2147484628
239;422;2147484627
242;422;2147484624
246;422;2147484622
251;438;2147484620
258;453;2147484619
264;453;2147484618
267;453;2147484616
268;469;2147484615
273;469;2147484614
277;469;2147484613
280;469;2147484612
296;500;2147484611
307;500;2147484610
318;516;2147484607
320;516;2147484606
321;516;2147484604
333;531;2147484603
336;531;2147484600
340;547;2147484599
344;547;2147484595
346;547;2147484594
348;547;2147484593
351;547;2147484592
361;562;2147484587
367;562;2147484584
372;578;2147484583
384;578;2147484581
385;594;2147484580
386;594;2147484579
387;594;2147484577
398;594;2147484574
402;609;2147484572
409;609;2147484571
413;609;2147484570
423;625;2147484568
424;625;2147484566
426;625;2147484564
428;625;2147484563
436;641;2147484562
453;656;2147484561
455;656;2147484558
456;656;2147484556
467;672;2147484555
474;672;2147484554
479;687;2147484553
481;687;2147484552
482;687;2147484551
486;687;2147484549
493;703;2147484548
495;703;2147484547
516;719;2147484545
519;719;2147484544
520;719;2147484543
521;719;2147484541
524;734;2147484540
527;734;2147484536
530;734;2147484535
532;734;2147484534
544;750;2147484533
557;766;2147484532
583;797;2147484531
585;797;2147484527
587;797;2147484526
601;812;2147484524
622;828;2147484523
623;828;2147484521
628;844;2147484520
630;844;2147484519
633;844;2147484518
678;891;2147484517
679;891;2147484516
698;906;2147484515
716;922;2147484514
730;937;2147484512
734;953;2147484509
736;953;2147484508
737;953;2147484505
746;953;2147484504
757;969;2147484503
768;984;2147484501
787;1000;2147484500
789;1000;2147484498
790;1000;2147484497
793;1016;2147484495
798;1016;2147484493
807;1031;2147484492
813;1031;2147484489
817;1031;2147484488
818;1031;2147484487
827;1047;2147484486
830;1047;2147484482
833;1047;2147484480
837;1047;2147484479
838;1062;2147484477
846;1062;2147484476
851;1062;2147484475
858;1078;2147484471
861;1078;2147484466
863;1078;2147484465
869;1094;2147484464
872;1094;2147484463
887;1109;2147484461
888;1109;2147484460
891;1109;2147484459
892;1109;2147484458
894;1109;2147484457
898;1109;2147484455
901;1125;2147484454
918;1141;2147484452
922;1141;2147484448
927;1141;2147484445
928;1156;2147484444
959;1187;2147484443
963;1187;2147484441
974;1203;2147484440
981;1203;2147484439
988;1203;2147484438
992;1219;2147484437
994;1219;2147484434
995;1219;2147484432
997;1219;2147484430
1032;1250;2147484429
1036;1265;2147484428
1048;1265;2147484426
1050;1281;2147484425
1052;1281;2147484424
1053;1281;2147484422
1054;1281;2147484421
1064;1281;2147484420
1065;1281;2147484419
1067;1297;2147484418
1079;1297;2147484417
1085;1312;2147484415
1087;1312;2147484414
1091;1312;2147484412
1093;1312;2147484411
1104;1328;2147484410
1105;1328;2147484409
1118;1344;2147484407
1120;1344;2147484405
1125;1344;2147484404
1126;1344;2147484401
1134;1359;2147484400
1151;1375;2147484399
1171;1406;2147484398
1176;1406;2147484396
1178;1406;2147484395
1192;1422;2147484393
1198;1422;2147484390
1214;1437;2147484388
1231;1453;2147484387
1240;1469;2147484386
1243;1469;2147484380
1245;1469;2147484377
1250;1469;2147484376
1251;1484;2147484375
1284;1515;2147484374
1286;1515;2147484373
1302;1531;2147484372
1313;1531;2147484371
1316;1547;2147484370
1329;1562;2147484369
1330;1562;2147484367
1332;1562;2147484366
1339;1562;2147484365
1348;1578;2147484364
1355;1578;2147484363
1358;1578;2147484360
1371;1594;2147484358
1378;1609;2147484356
1390;1625;2147484354
1394;1625;2147484352
1417;1640;2147484350
1426;1656;2147484349
1441;1672;2147484348
1445;1672;2147484347
1453;1687;2147484345
1455;1687;2147484344
1461;1687;2147484340
1466;1687;2147484339
1481;1703;2147484338
1494;1719;2147484334
1496;1719;2147484333
1502;1734;2147484332
1505;1734;2147484330
1514;1750;2147484327
1522;1750;2147484326
1531;1765;2147484325
1536;1765;2147484323
1550;1781;2147484322
1567;1797;2147484320
1579;1812;2147484313
1589;1812;2147484311
1592;1828;2147484309
1601;1828;2147484307
1616;1843;2147484306
1618;1843;2147484305
1620;1843;2147484304
1622;1843;2147484303
1630;1859;2147484301
1639;1875;2147484297
1649;1875;2147484296
1653;1875;2147484295
1655;1890;2147484294
1678;1906;2147484293
1686;1922;2147484292
1688;1922;2147484291
1703;1937;2147484290
1706;1937;2147484289
1732;1968;2147484288
1741;1984;2147484287
1745;1984;2147484286
1776;2015;2147484284
1777;2015;2147484283
