fes;time;f
1;94;2147484715
2;94;2147484713
11;125;2147484709
12;125;2147484704
14;141;2147484702
15;141;2147484701
21;141;2147484700
28;157;2147484699
35;172;2147484698
42;188;2147484696
43;188;2147484695
45;188;2147484694
53;204;2147484692
54;204;2147484691
58;219;2147484690
59;219;2147484687
62;219;2147484686
63;219;2147484682
64;219;2147484678
69;235;2147484677
71;235;2147484676
74;235;2147484673
76;235;2147484671
85;250;2147484669
90;250;2147484667
92;266;2147484665
97;266;2147484662
99;266;2147484661
104;282;2147484658
105;282;2147484657
119;297;2147484656
121;297;2147484655
135;313;2147484652
148;329;2147484649
155;344;2147484648
170;360;2147484647
171;360;2147484646
174;360;2147484645
176;375;2147484640
177;375;2147484638
179;375;2147484637
181;375;2147484636
184;375;2147484632
193;391;2147484630
199;391;2147484629
200;391;2147484628
204;391;2147484627
209;407;2147484626
214;407;2147484624
216;407;2147484623
220;422;2147484621
225;422;2147484620
242;454;2147484618
247;454;2147484617
251;454;2147484616
269;485;2147484614
273;485;2147484613
276;485;2147484612
279;485;2147484611
310;516;2147484609
314;532;2147484607
325;532;2147484606
335;547;2147484604
342;563;2147484600
346;563;2147484599
357;578;2147484598
358;578;2147484596
360;578;2147484595
361;578;2147484594
363;578;2147484593
376;594;2147484592
377;594;2147484590
385;610;2147484589
387;610;2147484588
396;610;2147484584
400;610;2147484580
403;625;2147484578
404;625;2147484576
410;625;2147484575
411;625;2147484573
427;641;2147484570
429;641;2147484568
430;641;2147484566
432;657;2147484565
438;657;2147484564
439;657;2147484563
450;672;2147484562
451;672;2147484561
452;672;2147484558
453;672;2147484557
462;672;2147484555
467;688;2147484553
468;688;2147484552
471;688;2147484550
482;703;2147484548
490;703;2147484547
496;719;2147484546
498;719;2147484544
507;719;2147484543
515;735;2147484541
517;735;2147484539
538;750;2147484538
540;766;2147484536
542;766;2147484533
548;766;2147484532
549;766;2147484530
554;782;2147484529
555;782;2147484528
558;782;2147484527
560;782;2147484525
562;782;2147484522
563;782;2147484521
567;782;2147484520
572;797;2147484519
577;797;2147484518
580;797;2147484517
584;797;2147484516
593;813;2147484515
594;813;2147484512
596;813;2147484509
597;813;2147484508
599;813;2147484506
601;828;2147484505
605;828;2147484502
610;828;2147484501
611;828;2147484500
613;828;2147484498
616;828;2147484495
625;844;2147484493
635;860;2147484492
645;860;2147484491
647;875;2147484490
649;875;2147484489
651;875;2147484483
655;875;2147484482
665;891;2147484480
669;891;2147484478
676;907;2147484477
680;907;2147484473
703;922;2147484472
714;938;2147484471
716;938;2147484470
717;938;2147484468
731;953;2147484467
732;953;2147484466
734;953;2147484465
737;969;2147484464
741;969;2147484461
755;985;2147484459
768;1000;2147484457
772;1000;2147484456
780;1000;2147484455
781;1000;2147484454
785;1016;2147484453
795;1016;2147484451
816;1047;2147484450
829;1063;2147484449
837;1063;2147484448
846;1078;2147484446
850;1078;2147484445
858;1078;2147484444
864;1094;2147484442
876;1110;2147484441
895;1125;2147484440
901;1125;2147484439
905;1125;2147484438
915;1141;2147484437
916;1141;2147484436
954;1188;2147484435
957;1188;2147484434
961;1188;2147484433
973;1203;2147484430
989;1219;2147484429
990;1219;2147484424
1000;1235;2147484423
1001;1235;2147484422
1002;1235;2147484421
1012;1250;2147484419
1015;1250;2147484418
1034;1266;2147484415
1045;1281;2147484414
1048;1281;2147484412
1060;1297;2147484411
1072;1297;2147484409
1080;1313;2147484408
1081;1313;2147484407
1098;1328;2147484406
1099;1328;2147484405
1100;1328;2147484404
1109;1344;2147484403
1122;1360;2147484402
1123;1360;2147484400
1133;1360;2147484399
1134;1360;2147484398
1142;1375;2147484397
1144;1375;2147484394
1149;1391;2147484393
1161;1391;2147484392
1165;1406;2147484390
1184;1422;2147484389
1206;1438;2147484388
1220;1453;2147484387
1223;1453;2147484385
1235;1469;2147484384
1239;1469;2147484383
1250;1485;2147484382
1261;1500;2147484381
1262;1500;2147484380
1267;1500;2147484379
1268;1500;2147484378
1271;1500;2147484377
1293;1531;2147484376
1298;1531;2147484375
1310;1547;2147484374
1317;1547;2147484373
1321;1547;2147484372
1329;1563;2147484371
1337;1563;2147484369
1344;1578;2147484368
1367;1594;2147484367
1368;1594;2147484366
1380;1610;2147484365
1391;1625;2147484364
1398;1625;2147484363
1400;1625;2147484362
1404;1641;2147484361
1427;1656;2147484360
1432;1672;2147484357
1443;1672;2147484356
1452;1688;2147484355
1455;1688;2147484354
1459;1688;2147484352
1460;1688;2147484351
1466;1703;2147484350
1484;1719;2147484349
1486;1719;2147484348
1487;1719;2147484347
1489;1719;2147484346
1493;1734;2147484345
1494;1734;2147484344
1513;1750;2147484343
1519;1750;2147484342
1535;1766;2147484341
1540;1781;2147484340
1551;1781;2147484339
1568;1797;2147484337
1575;1813;2147484336
1584;1813;2147484335
1591;1828;2147484333
1594;1828;2147484330
1612;1844;2147484328
1619;1859;2147484327
1634;1875;2147484325
1639;1875;2147484324
1641;1875;2147484322
1642;1875;2147484320
1644;1875;2147484319
1645;1875;2147484317
1648;1875;2147484314
1650;1891;2147484313
1668;1906;2147484312
1669;1906;2147484311
1703;1938;2147484310
1710;1938;2147484306
1723;1953;2147484305
1726;1953;2147484304
1745;1984;2147484303
1775;2016;2147484301
1795;2031;2147484298
1891;2125;2147484297
1897;2125;2147484296
1908;2141;2147484294
1914;2141;2147484292
1951;2187;2147484290
1954;2187;2147484288
1978;2219;2147484287
1993;2234;2147484286
1996;2234;2147484285
2009;2250;2147484284
2018;2250;2147484283
2025;2266;2147484280
2030;2266;2147484279
2031;2266;2147484277
2033;2266;2147484276
2040;2281;2147484274
2045;2281;2147484273
2047;2281;2147484272
2063;2297;2147484271
2075;2312;2147484270
2099;2344;2147484269
2110;2344;2147484268
2112;2359;2147484266
2116;2359;2147484265
2117;2359;2147484264
2123;2359;2147484263
2124;2359;2147484262
2138;2375;2147484261
2149;2391;2147484259
2155;2391;2147484258
2161;2406;2147484257
2183;2422;2147484255
2199;2437;2147484254
2205;2453;2147484253
2207;2453;2147484252
2251;2484;2147484251
2252;2500;2147484250
2254;2500;2147484249
2260;2500;2147484248
2261;2500;2147484246
2263;2500;2147484245
2268;2516;2147484244
2277;2516;2147484243
2280;2516;2147484242
2288;2531;2147484240
2306;2547;2147484239
2309;2547;2147484238
2319;2562;2147484237
2330;2562;2147484236
2413;2656;2147484235
2415;2656;2147484234
2462;2703;2147484233
2476;2719;2147484232
2480;2719;2147484231
2481;2719;2147484230
2486;2719;2147484229
2487;2719;2147484227
2495;2734;2147484226
2523;2766;2147484225
2547;2781;2147484224
2548;2781;2147484223
2594;2828;2147484222
2611;2844;2147484221
2615;2844;2147484220
2637;2875;2147484219
2638;2875;2147484216
2643;2875;2147484215
2689;2922;2147484214
2695;2922;2147484213
2703;2937;2147484211
2706;2937;2147484210
2731;2969;2147484209
2748;2984;2147484207
2809;3047;2147484206
2828;3062;2147484204
2829;3062;2147484202
2838;3062;2147484201
2900;3125;2147484200
2905;3140;2147484199
2942;3172;2147484198
2962;3187;2147484197
2975;3203;2147484196
3025;3260;2147484195
3038;3260;2147484194
3040;3260;2147484192
3083;3307;2147484191
3093;3323;2147484190
3144;3369;2147484189
3173;3401;2147484188
3180;3401;2147484186
3195;3416;2147484185
3205;3432;2147484184
3223;3447;2147484183
3231;3463;2147484182
3237;3463;2147484181
3266;3494;2147484180
3277;3494;2147484179
3306;3526;2147484178
3347;3572;2147484177
3357;3588;2147484176
3360;3588;2147484175
3377;3604;2147484173
3381;3604;2147484171
3398;3619;2147484170
3399;3619;2147484169
3402;3619;2147484167
3405;3635;2147484166
3410;3635;2147484165
3414;3635;2147484164
3428;3651;2147484163
3452;3682;2147484162
3467;3682;2147484161
3566;3791;2147484160
3570;3791;2147484159
3601;3822;2147484158
3655;3869;2147484157
3676;3900;2147484156
3681;3900;2147484155
3695;3916;2147484153
3715;3947;2147484150
3753;3979;2147484149
3760;3979;2147484148
3761;3979;2147484147
3762;3979;2147484146
3832;4057;2147484144
