fes;time;f
1;63;2147484740
2;63;2147484738
4;78;2147484733
6;78;2147484731
7;94;2147484730
17;109;2147484728
18;125;2147484726
25;125;2147484724
31;141;2147484720
39;156;2147484717
44;156;2147484716
46;172;2147484714
53;172;2147484711
55;172;2147484709
57;188;2147484707
61;188;2147484706
65;188;2147484703
67;188;2147484700
70;203;2147484699
71;203;2147484697
72;203;2147484695
75;203;2147484694
79;203;2147484692
84;219;2147484691
88;219;2147484690
89;219;2147484688
94;234;2147484687
98;234;2147484686
102;234;2147484685
107;250;2147484684
113;266;2147484680
115;266;2147484679
116;266;2147484678
123;266;2147484676
128;281;2147484674
130;281;2147484671
135;281;2147484666
137;281;2147484664
139;297;2147484663
151;297;2147484662
152;297;2147484661
154;297;2147484660
163;313;2147484658
164;313;2147484657
167;313;2147484656
178;328;2147484652
183;328;2147484650
187;328;2147484647
194;344;2147484645
197;344;2147484644
198;344;2147484642
200;344;2147484640
201;344;2147484639
202;344;2147484638
204;344;2147484637
207;344;2147484635
210;344;2147484633
211;359;2147484632
214;359;2147484630
215;359;2147484629
216;359;2147484628
223;359;2147484627
227;375;2147484625
230;375;2147484624
231;375;2147484623
233;375;2147484622
236;375;2147484621
239;375;2147484620
241;375;2147484618
250;391;2147484617
256;391;2147484616
259;406;2147484615
260;406;2147484613
262;406;2147484611
269;406;2147484609
270;406;2147484608
280;422;2147484606
283;422;2147484603
285;422;2147484602
290;422;2147484601
294;437;2147484600
295;437;2147484598
298;437;2147484596
302;437;2147484595
309;437;2147484593
345;469;2147484591
349;484;2147484589
351;484;2147484585
358;484;2147484584
359;484;2147484583
367;500;2147484580
374;500;2147484579
379;500;2147484578
380;500;2147484577
385;516;2147484574
390;516;2147484572
391;516;2147484570
396;516;2147484569
397;516;2147484567
414;531;2147484564
415;531;2147484563
417;531;2147484562
428;547;2147484561
433;547;2147484560
434;547;2147484559
441;562;2147484558
442;562;2147484557
444;562;2147484556
447;562;2147484555
459;578;2147484553
472;578;2147484551
481;594;2147484550
484;594;2147484549
488;594;2147484546
489;594;2147484545
496;609;2147484544
499;609;2147484543
503;609;2147484541
507;609;2147484539
508;609;2147484538
514;609;2147484535
515;609;2147484533
519;625;2147484532
527;625;2147484531
531;625;2147484529
532;625;2147484525
535;625;2147484524
540;641;2147484523
552;641;2147484522
561;656;2147484521
562;656;2147484520
565;656;2147484518
566;656;2147484516
569;656;2147484515
571;656;2147484514
575;672;2147484512
591;672;2147484511
593;687;2147484508
599;687;2147484506
613;703;2147484504
615;703;2147484503
619;703;2147484502
624;703;2147484500
628;703;2147484499
634;719;2147484498
635;719;2147484495
639;719;2147484494
644;719;2147484493
646;719;2147484492
647;719;2147484491
650;719;2147484489
651;719;2147484487
653;734;2147484486
656;734;2147484485
669;734;2147484482
691;766;2147484481
701;766;2147484480
711;781;2147484478
715;781;2147484477
717;781;2147484476
734;797;2147484474
744;797;2147484473
750;812;2147484472
756;812;2147484471
761;812;2147484470
763;812;2147484469
766;828;2147484468
767;828;2147484467
773;828;2147484466
791;844;2147484465
795;844;2147484464
813;859;2147484463
827;875;2147484461
828;875;2147484460
834;875;2147484458
844;890;2147484457
847;890;2147484455
863;906;2147484454
879;906;2147484449
890;922;2147484448
892;922;2147484447
895;922;2147484444
902;922;2147484442
908;937;2147484441
912;937;2147484440
914;937;2147484438
919;937;2147484436
921;953;2147484435
926;953;2147484433
928;953;2147484432
934;953;2147484431
943;969;2147484430
958;969;2147484428
959;969;2147484427
967;984;2147484426
971;984;2147484424
972;984;2147484420
976;984;2147484419
982;1000;2147484418
987;1000;2147484417
991;1000;2147484416
1000;1015;2147484415
1006;1015;2147484413
1009;1015;2147484412
1012;1015;2147484409
1016;1031;2147484408
1019;1031;2147484407
1020;1031;2147484405
1032;1031;2147484404
1051;1047;2147484403
1055;1062;2147484402
1057;1062;2147484401
1061;1062;2147484400
1070;1062;2147484399
1071;1062;2147484397
1074;1078;2147484395
1075;1078;2147484394
1081;1078;2147484391
1103;1094;2147484390
1107;1094;2147484389
1122;1109;2147484388
1132;1125;2147484387
1133;1125;2147484386
1136;1125;2147484383
1139;1125;2147484382
1154;1140;2147484380
1159;1140;2147484378
1168;1140;2147484377
1174;1156;2147484376
1175;1156;2147484375
1182;1156;2147484374
1184;1156;2147484372
1202;1172;2147484369
1209;1187;2147484368
1215;1187;2147484367
1228;1203;2147484364
1231;1203;2147484363
1232;1203;2147484362
1236;1203;2147484360
1246;1203;2147484359
1270;1234;2147484358
1278;1234;2147484357
1288;1250;2147484356
1295;1250;2147484355
1303;1250;2147484354
1315;1265;2147484352
1318;1265;2147484351
1320;1265;2147484350
1325;1265;2147484349
1326;1265;2147484347
1338;1281;2147484346
1341;1281;2147484344
1352;1297;2147484343
1367;1312;2147484342
1382;1312;2147484341
1394;1328;2147484339
1401;1328;2147484337
1413;1344;2147484336
1414;1344;2147484335
1423;1344;2147484334
1471;1390;2147484333
1472;1390;2147484332
1488;1406;2147484331
1491;1406;2147484330
1494;1406;2147484329
