fes;time;f
1;63;2147484836
2;63;2147484835
5;78;2147484831
21;125;2147484830
25;141;2147484828
27;141;2147484827
29;141;2147484825
34;156;2147484822
35;156;2147484821
37;156;2147484820
45;172;2147484819
55;188;2147484817
56;188;2147484815
59;188;2147484813
68;203;2147484810
72;203;2147484806
75;219;2147484803
78;219;2147484800
80;219;2147484799
82;219;2147484798
83;219;2147484795
84;219;2147484793
85;219;2147484791
91;235;2147484790
92;235;2147484788
101;235;2147484787
102;250;2147484786
105;250;2147484784
112;250;2147484782
116;250;2147484781
122;266;2147484776
123;266;2147484774
127;266;2147484773
130;266;2147484772
131;266;2147484770
133;281;2147484768
137;281;2147484766
138;281;2147484765
140;281;2147484764
151;297;2147484763
153;297;2147484760
158;297;2147484759
159;313;2147484758
162;313;2147484754
164;313;2147484749
166;313;2147484747
169;313;2147484745
171;313;2147484743
172;313;2147484742
173;313;2147484741
174;313;2147484740
178;328;2147484739
183;328;2147484738
189;328;2147484737
197;344;2147484736
204;344;2147484733
209;344;2147484731
211;344;2147484730
217;360;2147484726
226;360;2147484725
228;360;2147484724
229;360;2147484722
230;360;2147484721
233;375;2147484720
234;375;2147484718
235;375;2147484717
240;375;2147484715
242;375;2147484714
244;375;2147484713
245;375;2147484708
249;375;2147484706
251;391;2147484705
253;391;2147484703
264;391;2147484701
265;391;2147484698
266;391;2147484697
270;406;2147484696
272;406;2147484694
279;406;2147484691
282;406;2147484690
287;422;2147484688
291;422;2147484686
293;422;2147484683
295;422;2147484677
308;438;2147484676
309;438;2147484675
317;438;2147484674
324;453;2147484673
340;453;2147484672
341;469;2147484669
346;469;2147484666
348;469;2147484665
354;469;2147484661
355;469;2147484660
356;469;2147484658
358;469;2147484657
360;485;2147484656
361;485;2147484651
362;485;2147484650
366;485;2147484649
367;485;2147484648
368;485;2147484645
372;485;2147484643
379;485;2147484641
380;500;2147484640
381;500;2147484639
382;500;2147484638
386;500;2147484637
387;500;2147484636
388;500;2147484635
390;500;2147484634
395;500;2147484632
396;500;2147484631
400;500;2147484629
401;516;2147484626
405;516;2147484623
410;516;2147484621
412;516;2147484619
420;516;2147484617
422;531;2147484616
423;531;2147484615
426;531;2147484614
428;531;2147484613
439;531;2147484611
442;531;2147484610
443;547;2147484609
445;547;2147484608
474;563;2147484607
477;563;2147484606
478;563;2147484605
485;578;2147484602
496;578;2147484601
497;578;2147484600
505;596;2147484599
507;596;2147484598
510;596;2147484596
513;596;2147484594
514;596;2147484589
523;596;2147484588
534;612;2147484585
539;612;2147484584
553;627;2147484582
554;627;2147484581
564;643;2147484580
570;643;2147484579
571;643;2147484577
578;643;2147484575
579;643;2147484572
586;659;2147484571
587;659;2147484570
589;659;2147484569
590;659;2147484567
594;659;2147484566
599;659;2147484563
603;659;2147484562
604;674;2147484561
