fes;time;f
1;62;1180
2;62;1179
10;109;1177
13;109;1175
21;125;1174
23;125;1171
26;141;1170
33;141;1169
34;141;1168
39;156;1164
42;156;1160
47;172;1159
59;172;1156
61;187;1155
65;187;1154
68;187;1150
69;187;1148
71;187;1147
72;203;1145
88;219;1144
90;219;1135
91;219;1134
92;219;1131
93;219;1130
94;219;1126
96;219;1124
97;219;1121
98;219;1119
100;219;1118
106;234;1117
107;234;1113
112;234;1111
114;234;1108
115;234;1105
123;250;1103
129;250;1102
131;250;1101
132;250;1099
134;250;1097
136;266;1096
137;266;1094
141;266;1090
146;266;1089
154;281;1088
168;281;1082
169;281;1080
170;281;1077
180;297;1071
181;297;1069
182;297;1067
184;297;1066
185;297;1065
189;297;1061
195;312;1057
198;312;1054
207;312;1052
210;328;1051
215;328;1047
218;328;1046
219;328;1044
224;328;1042
225;328;1041
226;328;1038
230;344;1037
233;344;1035
236;344;1033
237;344;1032
241;344;1031
243;344;1029
269;375;1028
272;375;1025
277;375;1023
286;390;1022
287;390;1017
289;390;1015
290;390;1014
291;390;1012
298;390;1011
299;390;1010
304;406;1007
309;406;1006
312;406;1004
319;422;1002
323;422;1000
341;437;999
345;437;998
346;437;997
347;437;996
359;453;994
363;453;993
367;453;992
371;453;990
375;469;986
376;469;985
384;469;984
389;469;980
395;484;978
397;484;977
415;500;975
424;500;974
425;500;973
433;515;970
450;531;969
455;531;968
456;531;967
457;531;965
471;547;964
474;547;962
476;547;961
479;547;959
494;562;958
495;562;957
500;562;955
503;562;953
513;578;952
520;578;949
527;594;946
531;594;944
532;594;943
536;594;942
539;594;941
542;609;939
549;609;938
561;625;937
568;625;936
569;625;934
572;625;933
573;625;932
578;625;931
580;640;930
583;640;928
584;640;927
586;640;924
606;656;922
607;656;921
608;656;920
616;656;919
617;656;916
623;672;915
637;672;914
643;687;912
651;687;911
657;687;910
658;687;909
663;703;908
664;703;907
666;703;906
667;703;905
673;703;904
684;719;902
685;719;901
692;719;900
696;719;899
697;719;895
699;719;894
700;734;893
706;734;892
712;734;891
713;734;890
716;734;888
724;750;887
729;750;886
733;750;882
738;750;880
739;750;879
742;765;878
760;781;876
761;781;875
765;781;874
771;781;873
792;797;871
793;797;869
794;797;863
795;797;861
804;812;859
808;812;854
812;812;853
823;828;852
824;828;851
826;828;850
834;828;849
836;828;848
851;844;847
866;859;846
868;859;845
871;859;844
878;859;842
887;875;841
888;875;840
895;875;839
900;890;838
919;906;835
922;906;832
933;906;831
938;922;829
939;922;828
964;937;827
968;937;826
972;937;825
977;937;824
979;953;823
984;953;821
987;953;820
993;953;818
1007;968;815
1012;968;814
1017;968;813
1020;984;812
1029;984;811
1036;984;810
1039;1000;809
1040;1000;808
1054;1000;807
1061;1015;805
1070;1015;804
1077;1031;803
1088;1031;802
1091;1031;801
1099;1047;800
1103;1047;799
1114;1047;798
1117;1062;797
1160;1093;795
1164;1093;793
1168;1093;792
1172;1109;791
1173;1109;787
1175;1109;784
1177;1109;783
1178;1109;782
1182;1109;781
1186;1109;780
1190;1109;779
1195;1125;778
1212;1140;777
1218;1140;775
1223;1140;773
1236;1156;772
1242;1156;771
1247;1156;770
1255;1172;768
1264;1172;767
1280;1187;766
1287;1187;764
1288;1187;762
1292;1203;761
1293;1203;760
1294;1203;758
1295;1203;757
1304;1203;756
1309;1203;755
1313;1218;754
1315;1218;750
1344;1234;749
1347;1234;747
1365;1250;746
1370;1265;745
1378;1265;743
1381;1265;742
1382;1265;741
1386;1265;739
1397;1281;738
1399;1281;737
1424;1297;736
1426;1297;734
1428;1297;733
1432;1312;732
1434;1312;731
1435;1312;730
1450;1328;729
1453;1328;728
1465;1328;727
1477;1343;726
1488;1359;725
1502;1359;724
1505;1359;722
1508;1375;721
1510;1375;720
1516;1375;719
1519;1375;718
1538;1390;716
1556;1406;715
1561;1406;712
1569;1422;711
1572;1422;710
1574;1422;709
1578;1422;708
1579;1422;707
1586;1437;706
1596;1437;705
1598;1437;704
1624;1468;703
1632;1468;701
1638;1468;700
1640;1468;698
1650;1484;696
1661;1500;693
1668;1500;692
1674;1500;691
1707;1531;689
1717;1546;688
1718;1546;687
1732;1546;686
1747;1562;685
1755;1578;684
1761;1578;683
1770;1578;682
1773;1578;681
1782;1593;680
1790;1593;678
1791;1593;677
1794;1609;674
1813;1625;671
1814;1625;670
1834;1640;669
1837;1640;666
1858;1656;665
1863;1656;663
1884;1671;661
1897;1687;660
1918;1703;658
1944;1718;657
1965;1750;656
1970;1750;654
1971;1750;653
1978;1750;652
1988;1765;650
1989;1765;649
1992;1765;648
1993;1765;647
2004;1765;646
2035;1796;644
2043;1796;643
2052;1812;641
2058;1812;640
2100;1843;639
2103;1859;637
2109;1859;636
2131;1875;635
