fes;time;f
1;63;2147484813
2;63;2147484812
8;94;2147484809
11;110;2147484806
13;110;2147484803
18;125;2147484794
20;125;2147484791
26;125;2147484787
31;141;2147484786
32;141;2147484783
34;141;2147484782
36;157;2147484781
40;157;2147484780
43;157;2147484778
55;172;2147484776
56;188;2147484772
58;188;2147484771
65;188;2147484770
67;204;2147484769
68;204;2147484766
74;204;2147484762
75;204;2147484761
76;204;2147484757
79;219;2147484756
83;219;2147484755
84;219;2147484753
93;235;2147484752
102;235;2147484750
104;250;2147484749
107;250;2147484747
109;250;2147484746
110;250;2147484745
111;250;2147484744
116;266;2147484743
120;266;2147484738
135;282;2147484737
141;297;2147484736
145;297;2147484734
150;297;2147484733
155;313;2147484732
156;313;2147484731
161;313;2147484726
162;313;2147484724
164;313;2147484723
165;313;2147484722
167;329;2147484718
168;329;2147484716
172;329;2147484715
174;329;2147484713
179;329;2147484712
180;329;2147484709
181;329;2147484708
182;344;2147484706
183;344;2147484700
184;344;2147484698
190;344;2147484697
192;344;2147484696
194;344;2147484695
206;360;2147484692
207;360;2147484691
212;375;2147484690
213;375;2147484689
217;375;2147484688
225;391;2147484687
228;391;2147484683
233;407;2147484678
234;407;2147484676
235;407;2147484674
236;407;2147484673
244;407;2147484671
247;422;2147484667
252;422;2147484666
253;422;2147484665
262;438;2147484662
263;438;2147484660
265;438;2147484658
266;438;2147484656
268;438;2147484654
269;438;2147484653
278;454;2147484652
285;469;2147484650
295;469;2147484649
298;485;2147484648
306;485;2147484647
307;485;2147484646
316;500;2147484645
319;500;2147484643
328;516;2147484642
331;516;2147484641
333;516;2147484640
337;532;2147484638
343;532;2147484635
344;532;2147484632
347;532;2147484631
349;547;2147484629
354;547;2147484627
358;547;2147484626
365;563;2147484622
367;563;2147484621
375;578;2147484619
381;578;2147484617
382;578;2147484616
383;578;2147484615
385;578;2147484613
394;594;2147484611
400;594;2147484610
411;610;2147484609
416;610;2147484608
420;610;2147484607
421;610;2147484605
429;625;2147484602
431;625;2147484601
432;625;2147484600
435;625;2147484599
439;625;2147484596
441;641;2147484594
449;641;2147484593
452;641;2147484590
458;657;2147484589
459;657;2147484588
464;657;2147484585
466;657;2147484584
474;672;2147484580
477;672;2147484577
479;672;2147484576
485;688;2147484575
488;688;2147484573
491;688;2147484572
495;688;2147484570
497;688;2147484569
501;703;2147484568
505;703;2147484566
510;703;2147484565
515;719;2147484563
517;719;2147484562
522;719;2147484559
524;719;2147484557
525;719;2147484556
526;719;2147484554
541;750;2147484553
545;750;2147484552
550;750;2147484548
557;766;2147484546
564;766;2147484544
567;766;2147484543
571;782;2147484539
572;782;2147484537
575;782;2147484535
576;782;2147484534
577;782;2147484532
589;797;2147484531
590;797;2147484528
594;797;2147484527
609;813;2147484526
621;828;2147484525
640;844;2147484524
649;860;2147484523
652;860;2147484522
653;860;2147484518
654;860;2147484516
659;875;2147484515
662;875;2147484511
663;875;2147484510
675;891;2147484508
678;891;2147484504
682;891;2147484501
683;891;2147484498
696;907;2147484496
699;907;2147484493
700;907;2147484492
707;922;2147484491
708;922;2147484490
715;922;2147484488
716;922;2147484487
719;938;2147484485
723;938;2147484484
730;938;2147484483
747;953;2147484482
753;969;2147484481
757;969;2147484480
758;969;2147484479
761;969;2147484478
762;969;2147484476
770;985;2147484475
772;985;2147484473
776;985;2147484471
778;985;2147484470
782;985;2147484468
786;1000;2147484467
790;1000;2147484465
813;1016;2147484463
816;1016;2147484462
817;1016;2147484461
819;1032;2147484460
822;1032;2147484459
823;1032;2147484458
824;1032;2147484457
828;1032;2147484456
832;1032;2147484453
835;1047;2147484452
877;1078;2147484451
880;1078;2147484450
896;1094;2147484449
897;1094;2147484447
900;1094;2147484445
905;1110;2147484443
910;1110;2147484441
928;1125;2147484440
930;1125;2147484439
937;1141;2147484438
943;1141;2147484437
947;1141;2147484435
955;1156;2147484434
960;1156;2147484428
973;1172;2147484426
988;1188;2147484424
992;1188;2147484422
994;1188;2147484421
1008;1203;2147484420
1010;1203;2147484418
1011;1203;2147484417
1015;1203;2147484416
1021;1219;2147484415
1027;1219;2147484414
1038;1235;2147484411
1039;1235;2147484410
1043;1235;2147484409
1057;1250;2147484405
1059;1250;2147484404
1060;1250;2147484403
1061;1250;2147484402
1066;1250;2147484401
1067;1266;2147484400
1069;1266;2147484398
1080;1266;2147484396
1093;1281;2147484395
1100;1297;2147484394
1105;1297;2147484392
1117;1313;2147484390
1128;1328;2147484388
1130;1328;2147484387
1134;1328;2147484386
1144;1328;2147484385
1146;1344;2147484384
1151;1344;2147484383
1158;1344;2147484382
1159;1344;2147484381
1163;1360;2147484379
1181;1375;2147484378
1185;1375;2147484376
1205;1391;2147484375
1206;1391;2147484373
1217;1406;2147484372
1219;1406;2147484371
1224;1406;2147484369
1230;1422;2147484367
1245;1438;2147484366
1246;1438;2147484365
1256;1453;2147484364
1268;1453;2147484363
1270;1453;2147484362
1279;1469;2147484360
1280;1469;2147484358
1282;1469;2147484357
1283;1469;2147484356
1286;1485;2147484355
1293;1485;2147484353
1297;1485;2147484352
1302;1500;2147484348
1304;1500;2147484347
1307;1500;2147484346
1329;1516;2147484345
1331;1516;2147484343
1350;1547;2147484342
1360;1547;2147484341
1368;1563;2147484340
1375;1563;2147484339
1436;1625;2147484338
1442;1641;2147484337
1446;1641;2147484335
1453;1641;2147484334
1470;1656;2147484333
1477;1672;2147484332
1480;1672;2147484331
1485;1688;2147484330
1497;1688;2147484329
1510;1703;2147484328
1520;1719;2147484327
1533;1734;2147484326
1543;1734;2147484325
1547;1750;2147484324
1550;1750;2147484322
1555;1750;2147484320
1574;1766;2147484319
1581;1781;2147484318
1592;1781;2147484317
1626;1828;2147484316
1632;1828;2147484315
1650;1844;2147484314
1656;1859;2147484311
1657;1859;2147484310
1658;1859;2147484309
1659;1859;2147484307
1670;1859;2147484306
1684;1875;2147484304
1687;1875;2147484303
1695;1891;2147484301
1721;1922;2147484300
1734;1938;2147484298
1735;1938;2147484297
1741;1938;2147484296
1747;1938;2147484295
1763;1969;2147484294
1770;1969;2147484293
1774;1969;2147484292
1775;1969;2147484291
1781;1984;2147484290
1782;1984;2147484288
1805;2000;2147484287
1821;2016;2147484284
1827;2016;2147484283
1830;2031;2147484282
1844;2047;2147484281
1846;2047;2147484280
1850;2047;2147484279
1879;2078;2147484278
1884;2078;2147484277
1890;2078;2147484276
1891;2094;2147484275
1942;2141;2147484274
1952;2141;2147484273
1957;2156;2147484272
1962;2156;2147484271
1963;2156;2147484270
1966;2156;2147484269
1975;2172;2147484268
1984;2188;2147484267
1993;2188;2147484266
2003;2203;2147484265
2013;2219;2147484264
2027;2234;2147484262
2037;2234;2147484261
2043;2250;2147484260
2045;2250;2147484259
2049;2250;2147484258
2059;2266;2147484257
2066;2266;2147484256
2080;2281;2147484255
2090;2297;2147484254
2092;2297;2147484253
2097;2297;2147484252
2109;2312;2147484251
2112;2312;2147484249
2139;2344;2147484247
2149;2359;2147484245
2152;2359;2147484244
2172;2375;2147484243
2175;2375;2147484242
2188;2391;2147484240
2195;2406;2147484239
2216;2422;2147484238
2217;2422;2147484237
2246;2453;2147484236
2247;2453;2147484235
2252;2453;2147484234
2264;2469;2147484232
2280;2484;2147484231
2290;2500;2147484229
2300;2500;2147484228
2311;2516;2147484227
2313;2516;2147484226
2325;2531;2147484225
2344;2547;2147484224
2356;2562;2147484223
2375;2578;2147484221
2388;2594;2147484220
2400;2609;2147484219
2414;2625;2147484218
2416;2625;2147484217
2470;2680;2147484216
2518;2726;2147484215
2519;2726;2147484214
2520;2726;2147484213
2526;2726;2147484212
2529;2726;2147484211
2535;2742;2147484210
2567;2773;2147484208
2594;2789;2147484207
2602;2805;2147484206
2617;2820;2147484205
2643;2836;2147484204
2647;2851;2147484202
2649;2851;2147484201
2661;2851;2147484200
2665;2867;2147484199
2672;2867;2147484197
2721;2914;2147484196
2737;2930;2147484195
2749;2945;2147484194
2762;2961;2147484193
2780;2976;2147484192
2783;2976;2147484191
2793;2992;2147484190
2799;2992;2147484189
2800;2992;2147484188
2815;3008;2147484187
