fes;time;f
1;62;1161
2;62;1160
9;93;1159
11;109;1156
13;109;1155
19;125;1154
24;125;1152
31;140;1150
35;156;1149
36;156;1148
37;156;1147
41;156;1146
48;172;1145
52;172;1144
54;172;1143
58;187;1142
61;187;1140
67;203;1138
68;203;1137
69;203;1134
70;203;1132
75;203;1131
80;218;1129
81;218;1126
84;218;1125
86;218;1124
97;234;1122
98;234;1121
99;234;1120
111;250;1119
114;250;1118
117;250;1116
118;265;1112
121;265;1111
125;265;1108
129;265;1107
130;281;1106
133;281;1101
138;281;1100
139;296;1099
144;296;1097
146;296;1096
151;296;1095
162;312;1093
173;328;1092
174;328;1091
175;328;1090
178;328;1088
189;343;1087
190;343;1086
194;343;1084
196;343;1081
197;359;1078
206;359;1077
208;359;1076
215;375;1075
217;375;1074
221;375;1072
222;375;1071
226;375;1069
229;390;1068
234;390;1067
236;390;1065
237;390;1063
240;390;1059
242;390;1058
246;406;1057
248;406;1055
251;406;1054
262;421;1052
268;421;1051
273;421;1050
274;437;1046
280;437;1044
281;437;1043
283;437;1040
288;437;1039
291;453;1038
294;453;1035
295;453;1033
297;453;1032
301;453;1030
303;453;1027
311;468;1026
317;468;1025
318;468;1023
320;468;1022
324;484;1021
338;500;1020
340;500;1018
341;500;1016
349;500;1015
359;515;1012
360;515;1011
361;515;1009
370;531;1008
373;531;1007
374;531;1006
376;531;1005
379;531;1002
384;546;1001
386;546;999
389;546;998
393;546;997
412;578;995
413;578;994
418;578;993
421;578;992
425;593;991
428;593;990
438;593;988
440;609;986
443;609;985
446;609;982
450;609;980
457;625;979
475;640;978
478;640;976
480;640;975
483;656;973
484;656;969
486;656;968
487;656;967
495;656;965
497;656;964
509;671;962
511;671;961
514;687;960
519;687;958
539;703;957
552;718;956
553;718;955
555;718;954
559;734;953
560;734;952
562;734;951
567;734;949
570;750;948
573;750;947
578;750;945
582;750;943
589;765;938
601;781;936
611;781;935
617;796;933
621;796;931
626;796;930
629;796;928
630;812;927
632;812;926
635;812;925
644;812;923
645;812;922
651;828;921
659;828;919
669;843;917
672;843;915
675;843;914
685;859;913
693;874;912
694;874;910
699;874;908
702;874;907
711;890;906
715;890;902
720;890;901
727;906;900
732;906;897
736;906;896
741;921;894
744;921;893
