fes;time;f
1;63;2147484725
6;94;2147484724
8;94;2147484722
9;94;2147484721
14;110;2147484719
17;110;2147484718
20;125;2147484713
21;125;2147484710
36;157;2147484706
42;157;2147484703
43;172;2147484702
46;172;2147484700
47;172;2147484698
51;172;2147484697
69;204;2147484694
71;204;2147484693
72;204;2147484691
74;219;2147484689
86;235;2147484687
88;235;2147484686
90;235;2147484683
92;235;2147484679
100;250;2147484677
102;250;2147484675
104;250;2147484674
105;250;2147484672
107;250;2147484671
115;266;2147484668
116;266;2147484667
128;282;2147484665
129;282;2147484664
139;297;2147484663
142;297;2147484662
148;313;2147484661
152;313;2147484659
157;329;2147484658
158;329;2147484656
161;329;2147484655
169;344;2147484653
171;344;2147484652
178;344;2147484651
180;344;2147484650
183;360;2147484648
185;360;2147484646
187;360;2147484645
190;360;2147484644
200;375;2147484643
212;391;2147484641
213;391;2147484640
215;391;2147484638
216;391;2147484636
218;391;2147484635
222;391;2147484634
227;391;2147484631
230;407;2147484629
233;407;2147484627
240;407;2147484625
242;407;2147484624
247;422;2147484623
249;422;2147484622
250;422;2147484621
252;422;2147484620
258;438;2147484619
259;438;2147484617
261;438;2147484611
273;454;2147484609
282;454;2147484608
284;469;2147484606
286;469;2147484604
287;469;2147484603
290;469;2147484602
297;485;2147484601
303;485;2147484597
308;485;2147484594
311;500;2147484593
315;500;2147484590
322;500;2147484589
325;500;2147484588
330;516;2147484587
336;516;2147484584
339;516;2147484583
341;516;2147484579
343;532;2147484578
347;532;2147484577
348;532;2147484576
349;532;2147484575
352;532;2147484574
355;532;2147484573
362;547;2147484571
372;563;2147484570
376;563;2147484569
384;563;2147484566
388;578;2147484564
399;578;2147484563
402;578;2147484562
409;594;2147484561
411;594;2147484560
420;610;2147484557
421;610;2147484553
431;610;2147484552
440;625;2147484551
444;625;2147484550
446;625;2147484549
448;625;2147484547
457;641;2147484546
459;641;2147484545
464;641;2147484544
465;657;2147484542
476;657;2147484539
490;672;2147484538
496;672;2147484537
498;688;2147484536
506;688;2147484535
511;688;2147484534
538;719;2147484533
540;719;2147484529
547;735;2147484528
550;735;2147484525
554;735;2147484524
565;750;2147484521
568;750;2147484520
570;750;2147484518
577;766;2147484516
581;766;2147484515
584;766;2147484514
593;782;2147484512
597;782;2147484511
598;782;2147484508
603;782;2147484507
604;782;2147484506
613;797;2147484505
615;797;2147484504
617;797;2147484503
620;797;2147484501
628;813;2147484500
632;813;2147484498
634;813;2147484496
636;813;2147484495
652;828;2147484494
654;828;2147484493
658;844;2147484491
659;844;2147484488
665;844;2147484487
667;844;2147484486
670;844;2147484485
672;860;2147484483
689;875;2147484481
702;875;2147484478
704;875;2147484477
709;891;2147484476
712;891;2147484475
729;907;2147484474
739;922;2147484471
741;922;2147484470
760;938;2147484469
761;938;2147484468
763;938;2147484467
767;938;2147484466
771;938;2147484465
774;953;2147484463
778;953;2147484462
781;953;2147484460
789;969;2147484459
790;969;2147484458
794;969;2147484457
801;969;2147484455
806;985;2147484452
814;985;2147484450
821;985;2147484448
825;1000;2147484446
829;1000;2147484443
840;1016;2147484442
846;1016;2147484441
854;1016;2147484439
856;1032;2147484438
857;1032;2147484437
858;1032;2147484436
866;1032;2147484435
886;1047;2147484432
889;1063;2147484431
893;1063;2147484429
894;1063;2147484428
904;1078;2147484426
910;1078;2147484425
945;1110;2147484424
948;1110;2147484423
960;1125;2147484422
964;1125;2147484421
967;1141;2147484420
974;1141;2147484419
982;1157;2147484418
986;1157;2147484417
987;1157;2147484416
991;1157;2147484414
999;1172;2147484413
1005;1172;2147484412
1017;1188;2147484410
1018;1188;2147484409
1021;1188;2147484408
1022;1188;2147484407
1032;1203;2147484406
1050;1219;2147484405
1054;1219;2147484403
1057;1219;2147484401
1060;1219;2147484400
1070;1235;2147484398
1093;1250;2147484397
1110;1266;2147484396
1116;1281;2147484394
1119;1281;2147484393
1125;1281;2147484392
1132;1297;2147484391
1134;1297;2147484390
1136;1297;2147484389
1138;1297;2147484388
1162;1328;2147484387
1168;1328;2147484385
1172;1328;2147484384
1175;1328;2147484383
1199;1360;2147484381
1237;1391;2147484380
1253;1406;2147484379
1259;1422;2147484378
1261;1422;2147484377
1268;1422;2147484375
1282;1438;2147484374
1288;1438;2147484373
1289;1453;2147484371
1301;1453;2147484370
1302;1453;2147484369
1305;1469;2147484368
1313;1469;2147484366
1347;1500;2147484365
1355;1516;2147484363
1368;1531;2147484362
1373;1531;2147484361
1397;1547;2147484360
1421;1578;2147484359
1426;1578;2147484358
1442;1594;2147484357
1455;1610;2147484356
1466;1625;2147484353
1479;1641;2147484352
1481;1641;2147484351
1492;1641;2147484350
1496;1656;2147484349
1503;1656;2147484348
1529;1688;2147484347
1530;1688;2147484346
1544;1703;2147484344
1547;1703;2147484343
1562;1719;2147484342
1576;1719;2147484340
1584;1734;2147484339
1588;1734;2147484337
1591;1734;2147484336
1593;1750;2147484335
1597;1750;2147484333
1602;1750;2147484332
1614;1766;2147484331
1616;1766;2147484330
1629;1781;2147484329
1643;1797;2147484328
1662;1813;2147484327
