fes;time;f
1;62;2147484751
6;94;2147484750
9;109;2147484748
12;109;2147484747
21;125;2147484746
23;140;2147484745
25;140;2147484744
27;140;2147484743
32;156;2147484738
34;156;2147484731
39;156;2147484730
44;172;2147484729
45;172;2147484728
50;187;2147484727
51;187;2147484721
53;187;2147484720
56;187;2147484718
62;203;2147484715
65;203;2147484710
68;203;2147484702
69;203;2147484700
80;219;2147484697
81;219;2147484696
82;219;2147484695
84;234;2147484694
87;234;2147484689
96;234;2147484688
104;250;2147484687
105;250;2147484685
106;250;2147484684
110;265;2147484681
118;265;2147484680
119;265;2147484679
125;281;2147484674
127;281;2147484670
132;281;2147484669
133;281;2147484667
134;281;2147484666
137;297;2147484664
138;297;2147484663
141;297;2147484661
147;312;2147484660
149;312;2147484659
154;312;2147484657
157;312;2147484654
163;328;2147484653
165;328;2147484652
168;328;2147484650
172;344;2147484647
175;344;2147484645
181;359;2147484642
182;359;2147484641
204;390;2147484640
206;390;2147484639
210;390;2147484637
216;406;2147484636
219;406;2147484635
221;406;2147484629
225;406;2147484624
227;406;2147484622
234;422;2147484621
237;422;2147484620
238;422;2147484618
240;422;2147484617
246;437;2147484616
248;437;2147484615
250;437;2147484613
254;437;2147484611
257;437;2147484610
259;437;2147484608
262;453;2147484606
271;453;2147484603
273;453;2147484602
274;453;2147484601
279;469;2147484599
291;469;2147484598
295;484;2147484595
296;484;2147484589
300;484;2147484586
304;484;2147484584
306;484;2147484583
310;500;2147484581
314;500;2147484580
315;500;2147484579
317;500;2147484578
319;500;2147484575
320;500;2147484574
325;515;2147484571
326;515;2147484570
331;515;2147484567
332;515;2147484566
334;515;2147484565
335;515;2147484563
340;531;2147484562
356;547;2147484560
361;547;2147484559
364;547;2147484558
377;562;2147484556
387;578;2147484555
391;578;2147484554
396;578;2147484553
397;578;2147484552
400;594;2147484550
407;594;2147484549
415;609;2147484548
417;609;2147484546
419;609;2147484543
425;609;2147484541
427;609;2147484539
435;625;2147484538
442;625;2147484535
449;640;2147484533
454;640;2147484532
475;672;2147484531
481;672;2147484530
486;672;2147484528
489;687;2147484526
497;687;2147484523
503;687;2147484522
511;703;2147484521
514;703;2147484519
515;703;2147484518
518;703;2147484517
525;719;2147484516
533;719;2147484515
544;734;2147484514
548;734;2147484513
551;734;2147484512
552;734;2147484511
558;750;2147484508
561;750;2147484507
564;750;2147484505
565;750;2147484503
566;750;2147484502
585;765;2147484499
589;781;2147484498
591;781;2147484497
599;781;2147484496
606;797;2147484495
612;797;2147484493
613;797;2147484492
626;812;2147484491
627;812;2147484490
628;812;2147484486
630;812;2147484485
637;828;2147484483
641;828;2147484482
650;843;2147484480
656;843;2147484478
659;843;2147484476
660;859;2147484474
668;859;2147484473
673;859;2147484472
680;875;2147484471
689;875;2147484470
695;890;2147484468
696;890;2147484467
705;890;2147484464
710;906;2147484463
711;906;2147484461
713;906;2147484458
718;906;2147484456
722;922;2147484455
732;922;2147484454
735;922;2147484451
742;937;2147484450
744;937;2147484449
750;937;2147484448
756;953;2147484447
767;953;2147484445
769;953;2147484444
779;968;2147484442
785;968;2147484440
790;984;2147484439
793;984;2147484437
799;984;2147484436
800;984;2147484435
804;1000;2147484434
805;1000;2147484433
809;1000;2147484432
815;1000;2147484431
819;1015;2147484430
823;1015;2147484427
837;1031;2147484426
838;1031;2147484425
844;1031;2147484423
849;1047;2147484422
850;1047;2147484421
857;1047;2147484420
866;1062;2147484419
875;1062;2147484417
876;1062;2147484416
878;1062;2147484415
892;1078;2147484414
901;1093;2147484413
910;1093;2147484412
911;1093;2147484411
933;1125;2147484410
934;1125;2147484408
935;1125;2147484406
943;1125;2147484405
952;1140;2147484404
959;1140;2147484403
972;1156;2147484402
983;1171;2147484401
984;1171;2147484400
987;1171;2147484398
989;1171;2147484396
990;1187;2147484395
991;1187;2147484394
992;1187;2147484392
997;1187;2147484391
1000;1187;2147484390
1016;1203;2147484387
1018;1203;2147484386
1026;1218;2147484385
1028;1218;2147484384
1054;1250;2147484380
1055;1250;2147484379
1062;1250;2147484378
1069;1265;2147484376
1075;1265;2147484375
1080;1265;2147484373
1083;1265;2147484371
1105;1296;2147484370
1112;1296;2147484369
1113;1296;2147484368
1115;1312;2147484365
1140;1328;2147484364
1151;1343;2147484363
1152;1343;2147484359
1153;1343;2147484358
1154;1343;2147484357
1164;1359;2147484356
1174;1359;2147484355
1178;1359;2147484353
1181;1375;2147484352
1183;1375;2147484351
1186;1375;2147484350
1195;1375;2147484349
1210;1390;2147484347
1216;1406;2147484346
1222;1406;2147484345
1225;1406;2147484344
1233;1421;2147484343
1257;1437;2147484342
1264;1453;2147484341
1275;1453;2147484339
1278;1468;2147484338
1295;1484;2147484337
1299;1484;2147484336
1333;1515;2147484335
1342;1531;2147484334
1366;1546;2147484331
1373;1562;2147484330
1381;1562;2147484329
1385;1562;2147484328
1399;1578;2147484324
1424;1609;2147484323
