fes;time;f
1;94;2147485961
3;125;2147485960
9;172;2147485957
12;203;2147485955
19;234;2147485953
25;281;2147485952
33;328;2147485950
34;328;2147485949
35;328;2147485947
37;344;2147485944
39;344;2147485942
41;359;2147485940
42;359;2147485937
44;375;2147485936
45;375;2147485935
46;375;2147485934
50;390;2147485932
51;406;2147485929
62;453;2147485927
68;469;2147485926
72;500;2147485925
73;500;2147485924
75;500;2147485920
77;515;2147485916
83;547;2147485915
85;547;2147485913
96;594;2147485912
99;609;2147485911
100;625;2147485907
103;625;2147485905
104;640;2147485904
107;656;2147485902
115;687;2147485901
121;703;2147485900
123;719;2147485899
126;719;2147485898
127;734;2147485897
128;734;2147485894
136;765;2147485890
140;781;2147485889
142;797;2147485888
149;828;2147485887
153;844;2147485884
158;859;2147485883
159;859;2147485882
160;875;2147485879
183;968;2147485878
184;968;2147485877
194;1015;2147485876
209;1078;2147485875
213;1093;2147485873
225;1140;2147485870
226;1140;2147485869
229;1156;2147485868
230;1156;2147485867
231;1156;2147485866
234;1172;2147485864
244;1218;2147485863
256;1265;2147485861
258;1281;2147485860
259;1281;2147485859
265;1297;2147485858
272;1328;2147485857
282;1375;2147485856
290;1406;2147485854
292;1422;2147485853
298;1437;2147485852
304;1468;2147485851
305;1468;2147485850
309;1484;2147485848
311;1500;2147485846
314;1515;2147485843
321;1531;2147485840
322;1546;2147485839
323;1546;2147485837
330;1578;2147485824
332;1578;2147485822
333;1578;2147485820
337;1609;2147485819
338;1609;2147485815
340;1609;2147485812
344;1625;2147485809
350;1656;2147485808
354;1671;2147485807
356;1671;2147485806
357;1687;2147485805
360;1687;2147485804
363;1703;2147485802
366;1718;2147485801
368;1718;2147485799
370;1734;2147485798
377;1765;2147485797
380;1781;2147485796
391;1828;2147485795
396;1843;2147485794
399;1859;2147485790
407;1890;2147485789
412;1906;2147485787
413;1906;2147485785
419;1937;2147485783
420;1937;2147485782
424;1953;2147485781
430;1984;2147485779
446;2046;2147485778
452;2078;2147485777
459;2109;2147485776
461;2109;2147485774
463;2124;2147485773
472;2156;2147485772
477;2187;2147485768
484;2203;2147485766
492;2234;2147485765
501;2281;2147485764
505;2296;2147485762
517;2343;2147485760
526;2374;2147485757
531;2406;2147485755
535;2421;2147485754
539;2437;2147485752
540;2437;2147485748
545;2468;2147485747
580;2609;2147485746
587;2624;2147485745
593;2656;2147485744
597;2671;2147485742
598;2671;2147485741
600;2687;2147485740
603;2702;2147485739
609;2718;2147485738
618;2765;2147485736
635;2827;2147485735
636;2827;2147485733
642;2859;2147485731
647;2874;2147485730
648;2874;2147485728
650;2890;2147485727
652;2890;2147485726
659;2921;2147485724
667;2952;2147485723
669;2968;2147485722
674;2984;2147485719
708;3124;2147485717
711;3140;2147485716
712;3140;2147485714
726;3202;2147485713
730;3218;2147485712
734;3234;2147485711
737;3249;2147485710
741;3265;2147485709
751;3296;2147485708
752;3312;2147485707
759;3327;2147485704
765;3359;2147485701
767;3374;2147485700
768;3374;2147485699
770;3374;2147485697
774;3405;2147485696
775;3405;2147485695
777;3405;2147485694
795;3484;2147485692
799;3515;2147485690
800;3515;2147485688
820;3593;2147485687
827;3624;2147485681
840;3671;2147485680
841;3671;2147485676
842;3687;2147485675
851;3718;2147485674
860;3765;2147485673
861;3765;2147485671
872;3815;2147485670
881;3846;2147485668
883;3846;2147485667
900;3924;2147485666
903;3924;2147485664
904;3940;2147485662
914;3971;2147485659
916;3986;2147485658
920;4002;2147485654
921;4002;2147485653
923;4018;2147485650
930;4049;2147485649
940;4080;2147485648
944;4096;2147485646
945;4096;2147485644
954;4143;2147485643
957;4143;2147485641
960;4158;2147485639
964;4174;2147485638
966;4189;2147485635
971;4205;2147485634
979;4236;2147485633
983;4252;2147485632
993;4299;2147485630
1010;4361;2147485625
1013;4377;2147485624
1017;4393;2147485623
1030;4439;2147485621
1035;4471;2147485620
1050;4533;2147485618
1051;4533;2147485616
1062;4580;2147485615
1065;4596;2147485611
1087;4674;2147485607
1088;4689;2147485606
1090;4689;2147485605
1110;4767;2147485604
1115;4799;2147485603
1117;4799;2147485598
1119;4814;2147485597
1121;4814;2147485596
1126;4846;2147485593
1136;4877;2147485592
1141;4892;2147485591
1144;4908;2147485589
1147;4924;2147485588
1162;4986;2147485587
1167;5002;2147485586
1173;5033;2147485585
1178;5049;2147485584
