fes;time;f
1;78;2147486057
2;94;2147486055
3;109;2147486053
5;125;2147486050
9;156;2147486049
20;219;2147486048
23;234;2147486046
25;234;2147486044
30;265;2147486043
31;265;2147486040
32;281;2147486039
40;312;2147486037
42;328;2147486035
45;328;2147486032
46;344;2147486030
69;437;2147486029
73;453;2147486028
74;469;2147486024
80;484;2147486023
81;500;2147486022
84;515;2147486020
93;547;2147486018
95;562;2147486016
101;593;2147485989
104;609;2147485987
106;609;2147485983
109;625;2147485980
112;640;2147485978
115;656;2147485976
123;687;2147485975
125;703;2147485974
126;703;2147485973
128;718;2147485972
132;734;2147485970
139;765;2147485969
140;765;2147485967
143;781;2147485966
145;797;2147485964
154;828;2147485957
155;843;2147485956
160;859;2147485955
170;906;2147485951
171;906;2147485949
172;922;2147485946
179;953;2147485942
184;968;2147485937
187;984;2147485936
189;984;2147485934
192;1000;2147485933
198;1031;2147485932
1007;4650;2147485930
1008;4650;2147485928
1014;4681;2147485927
1018;4697;2147485925
1021;4712;2147485924
1022;4712;2147485922
1023;4712;2147485921
1030;4744;2147485916
1038;4791;2147485915
1041;4806;2147485913
1046;4822;2147485912
1048;4822;2147485910
1053;4853;2147485909
1060;4884;2147485908
1063;4900;2147485907
1076;4947;2147485906
1088;5009;2147485904
1099;5056;2147485903
1100;5056;2147485902
1104;5087;2147485901
1108;5103;2147485900
1115;5134;2147485899
1117;5134;2147485896
1118;5150;2147485891
1124;5165;2147485889
1127;5181;2147485886
1131;5197;2147485885
1152;5290;2147485884
1153;5290;2147485883
1156;5306;2147485880
1164;5337;2147485878
1167;5353;2147485876
1175;5400;2147485874
1178;5415;2147485873
1180;5415;2147485871
1186;5447;2147485869
1191;5462;2147485868
1192;5462;2147485867
1200;5509;2147485865
2865;12882;2147485864
2867;12882;2147485860
2868;12898;2147485858
2871;12898;2147485857
2885;12961;2147485852
2890;12992;2147485851
2894;13007;2147485850
2898;13023;2147485847
2900;13039;2147485846
2904;13054;2147485844
2906;13054;2147485843
2907;13070;2147485842
2915;13101;2147485840
2921;13132;2147485837
2922;13132;2147485833
2923;13132;2147485831
2932;13179;2147485830
2933;13179;2147485829
2950;13257;2147485827
2951;13257;2147485826
2966;13335;2147485825
2975;13367;2147485823
2981;13398;2147485821
2989;13429;2147485819
2991;13445;2147485817
2998;13476;2147485816
2999;13476;2147485814
3001;13492;2147485813
3005;13507;2147485812
3010;13523;2147485809
3013;13539;2147485808
3018;13554;2147485806
3024;13585;2147485805
3056;13726;2147485804
3060;13742;2147485801
3064;13757;2147485799
3073;13804;2147485798
3074;13804;2147485795
3076;13820;2147485794
3084;13851;2147485791
3089;13882;2147485790
3094;13898;2147485787
3099;13913;2147485786
3101;13929;2147485785
3114;13992;2147485783
3118;14007;2147485782
3119;14007;2147485780
3129;14054;2147485779
3139;14101;2147485773
3141;14117;2147485771
3143;14117;2147485770
3145;14132;2147485769
3148;14148;2147485768
3151;14163;2147485766
3152;14163;2147485765
3166;14241;2147485764
3174;14288;2147485762
3176;14288;2147485761
3180;14320;2147485760
3189;14366;2147485759
3198;14413;2147485758
3200;14413;2147485756
7112;31067;2147485754
7117;31082;2147485753
7127;31129;2147485752
7128;31129;2147485751
7138;31176;2147485750
7140;31176;2147485747
7146;31207;2147485745
7148;31207;2147485743
7151;31223;2147485741
7154;31239;2147485740
7169;31301;2147485739
7170;31301;2147485737
7174;31317;2147485736
7183;31364;2147485735
7188;31379;2147485732
7190;31379;2147485730
7191;31395;2147485729
7194;31395;2147485726
7208;31457;2147485724
7213;31473;2147485723
7224;31520;2147485721
7236;31567;2147485719
7245;31614;2147485718
7250;31629;2147485713
7254;31645;2147485711
7255;31660;2147485709
7261;31676;2147485708
7271;31723;2147485707
7275;31739;2147485706
7282;31770;2147485704
7283;31770;2147485701
7289;31785;2147485700
7295;31817;2147485699
7303;31848;2147485698
7314;31895;2147485697
7319;31910;2147485694
7332;31957;2147485693
7333;31973;2147485690
7336;31973;2147485689
7337;31989;2147485688
7338;31989;2147485683
7343;32004;2147485682
7344;32004;2147485681
7347;32020;2147485680
7358;32067;2147485679
7360;32082;2147485678
7362;32082;2147485676
7364;32098;2147485675
7365;32098;2147485674
7367;32098;2147485673
7374;32129;2147485672
7385;32176;2147485671
7390;32192;2147485670
7395;32207;2147485669
7403;32254;2147485667
7422;32317;2147485666
7426;32332;2147485665
7427;32348;2147485664
7433;32363;2147485662
7437;32379;2147485659
7443;32410;2147485657
7452;32442;2147485654
7472;32520;2147485653
7474;32535;2147485652
7475;32535;2147485650
7478;32551;2147485648
7479;32551;2147485645
7487;32582;2147485644
7493;32613;2147485643
7495;32613;2147485640
7501;32645;2147485639
7508;32676;2147485637
7512;32691;2147485634
7513;32691;2147485630
7515;32691;2147485629
7521;32723;2147485627
7522;32723;2147485626
7526;32738;2147485623
7530;32754;2147485622
7551;32848;2147485621
7555;32863;2147485619
7558;32879;2147485616
7559;32879;2147485611
7564;32895;2147485610
7569;32926;2147485609
7571;32926;2147485608
7573;32941;2147485606
7581;32973;2147485605
