fes;time;f
1;78;2147485922
3;110;2147485921
5;125;2147485917
7;125;2147485916
9;141;2147485915
10;141;2147485912
12;157;2147485908
15;172;2147485907
23;219;2147485906
24;219;2147485905
25;219;2147485903
28;235;2147485901
32;250;2147485900
34;250;2147485899
41;282;2147485898
43;297;2147485897
44;297;2147485896
53;344;2147485894
56;360;2147485892
60;375;2147485891
82;453;2147485889
85;469;2147485886
91;500;2147485883
94;500;2147485882
98;531;2147485880
99;531;2147485879
107;563;2147485876
108;563;2147485874
111;578;2147485873
114;594;2147485871
115;594;2147485870
116;594;2147485869
118;610;2147485867
136;688;2147485866
137;688;2147485865
140;703;2147485864
144;719;2147485860
146;719;2147485859
148;735;2147485858
155;766;2147485856
165;813;2147485855
166;813;2147485853
167;813;2147485852
177;860;2147485851
183;891;2147485850
185;891;2147485849
187;906;2147485848
195;938;2147485847
196;938;2147485845
205;985;2147485844
208;1000;2147485842
214;1016;2147485841
221;1047;2147485840
222;1047;2147485839
224;1063;2147485838
235;1109;2147485836
238;1125;2147485821
240;1125;2147485819
241;1125;2147485816
244;1141;2147485815
247;1156;2147485814
252;1172;2147485812
260;1203;2147485809
262;1219;2147485808
266;1234;2147485806
268;1250;2147485804
279;1297;2147485803
280;1297;2147485798
282;1297;2147485796
284;1313;2147485794
286;1313;2147485793
298;1359;2147485791
305;1406;2147485790
318;1453;2147485789
320;1469;2147485788
321;1469;2147485786
323;1469;2147485782
327;1484;2147485780
332;1516;2147485779
333;1516;2147485778
338;1547;2147485777
340;1547;2147485773
341;1547;2147485771
346;1578;2147485770
353;1594;2147485768
360;1625;2147485766
361;1625;2147485765
365;1641;2147485764
371;1672;2147485762
375;1687;2147485761
379;1703;2147485760
394;1766;2147485759
401;1797;2147485758
408;1828;2147485757
414;1859;2147485756
415;1859;2147485754
430;1922;2147485753
435;1937;2147485751
439;1953;2147485749
442;1969;2147485747
446;1984;2147485743
447;1984;2147485742
456;2031;2147485741
478;2109;2147485739
483;2125;2147485737
487;2140;2147485736
490;2156;2147485735
492;2172;2147485734
495;2187;2147485731
499;2203;2147485727
522;2297;2147485726
538;2359;2147485724
541;2359;2147485723
542;2375;2147485722
547;2390;2147485719
549;2390;2147485718
551;2406;2147485717
552;2406;2147485716
555;2422;2147485715
563;2453;2147485714
569;2484;2147485712
570;2484;2147485711
574;2500;2147485710
583;2547;2147485708
587;2562;2147485707
588;2562;2147485706
592;2578;2147485705
606;2640;2147485704
608;2640;2147485702
615;2672;2147485701
629;2734;2147485699
636;2765;2147485698
655;2843;2147485697
662;2875;2147485696
668;2890;2147485693
669;2890;2147485692
672;2906;2147485691
675;2922;2147485690
679;2937;2147485689
682;2953;2147485688
692;3000;2147485685
703;3047;2147485684
704;3047;2147485683
710;3062;2147485681
712;3078;2147485679
713;3078;2147485678
718;3093;2147485677
722;3109;2147485676
723;3125;2147485674
724;3125;2147485673
725;3125;2147485671
726;3125;2147485670
734;3171;2147485669
738;3187;2147485668
740;3187;2147485667
749;3218;2147485665
753;3234;2147485664
761;3265;2147485663
762;3281;2147485660
767;3296;2147485652
775;3328;2147485650
782;3359;2147485648
783;3359;2147485646
793;3406;2147485644
801;3437;2147485643
802;3437;2147485642
804;3453;2147485640
821;3531;2147485638
826;3546;2147485637
827;3562;2147485636
832;3578;2147485634
835;3593;2147485633
837;3593;2147485632
839;3609;2147485631
844;3625;2147485630
849;3656;2147485629
850;3656;2147485628
854;3671;2147485627
855;3671;2147485625
865;3718;2147485624
876;3765;2147485623
884;3796;2147485622
889;3812;2147485618
919;3937;2147485616
920;3937;2147485615
921;3953;2147485613
923;3953;2147485612
930;3984;2147485610
932;3999;2147485609
940;4031;2147485607
942;4031;2147485606
945;4046;2147485603
946;4046;2147485602
948;4062;2147485601
949;4062;2147485599
950;4078;2147485598
952;4078;2147485597
956;4093;2147485596
961;4109;2147485595
962;4124;2147485592
970;4156;2147485591
982;4202;2147485589
987;4218;2147485586
991;4234;2147485584
995;4249;2147485583
1000;4281;2147485582
1011;4327;2147485580
1012;4327;2147485579
1013;4327;2147485575
1040;4437;2147485571
1043;4452;2147485569
1048;4468;2147485568
1051;4484;2147485567
