fes;time;f
1;93;2147485900
3;140;2147485896
6;156;2147485895
13;203;2147485894
14;218;2147485891
17;234;2147485890
19;234;2147485889
23;265;2147485888
31;296;2147485887
39;328;2147485885
43;343;2147485884
47;374;2147485882
49;374;2147485881
52;390;2147485878
54;406;2147485876
60;421;2147485874
61;437;2147485873
67;453;2147485872
72;484;2147485871
74;484;2147485870
76;499;2147485869
83;531;2147485868
85;531;2147485867
86;531;2147485863
87;546;2147485862
93;562;2147485860
94;578;2147485859
104;609;2147485857
106;624;2147485853
107;624;2147485852
119;671;2147485850
128;703;2147485849
135;734;2147485847
138;749;2147485846
140;765;2147485843
142;765;2147485842
144;781;2147485841
145;781;2147485840
148;796;2147485839
154;812;2147485838
156;827;2147485837
158;827;2147485835
166;859;2147485834
169;874;2147485832
174;890;2147485829
176;906;2147485828
187;952;2147485822
194;968;2147485817
201;999;2147485815
208;1031;2147485813
209;1031;2147485811
221;1077;2147485810
227;1109;2147485809
228;1109;2147485808
242;1171;2147485796
247;1187;2147485795
250;1202;2147485794
254;1218;2147485792
289;1359;2147485786
290;1359;2147485783
296;1390;2147485782
297;1390;2147485781
301;1405;2147485779
302;1405;2147485778
307;1437;2147485777
330;1530;2147485776
331;1530;2147485775
336;1546;2147485773
339;1562;2147485770
346;1596;2147485769
350;1612;2147485768
351;1612;2147485767
356;1643;2147485765
358;1643;2147485764
359;1659;2147485763
361;1659;2147485761
364;1674;2147485760
365;1674;2147485759
373;1705;2147485754
389;1784;2147485751
396;1815;2147485749
397;1815;2147485748
402;1830;2147485744
406;1846;2147485743
409;1862;2147485742
410;1862;2147485740
426;1940;2147485739
428;1940;2147485736
429;1940;2147485735
435;1971;2147485734
449;2018;2147485731
452;2033;2147485730
457;2049;2147485729
459;2065;2147485728
468;2096;2147485726
474;2127;2147485725
486;2174;2147485724
488;2190;2147485723
490;2190;2147485722
492;2205;2147485720
495;2221;2147485719
497;2221;2147485718
499;2237;2147485717
509;2283;2147485716
510;2283;2147485715
515;2299;2147485714
519;2315;2147485708
525;2346;2147485707
529;2362;2147485706
530;2362;2147485704
547;2440;2147485703
550;2455;2147485702
551;2455;2147485701
552;2455;2147485696
556;2471;2147485695
557;2471;2147485693
560;2487;2147485691
561;2487;2147485690
565;2502;2147485688
566;2518;2147485687
567;2518;2147485686
573;2533;2147485685
576;2549;2147485683
581;2580;2147485682
587;2596;2147485680
588;2596;2147485676
592;2611;2147485674
598;2643;2147485670
605;2674;2147485669
607;2674;2147485667
610;2690;2147485666
614;2705;2147485664
624;2752;2147485663
629;2768;2147485662
643;2830;2147485661
644;2830;2147485658
646;2846;2147485657
648;2846;2147485654
658;2893;2147485653
669;2940;2147485652
676;2971;2147485650
679;2971;2147485649
681;2986;2147485648
687;3018;2147485647
696;3049;2147485645
699;3065;2147485644
706;3096;2147485643
707;3096;2147485642
716;3127;2147485641
717;3143;2147485640
723;3158;2147485638
730;3189;2147485636
731;3189;2147485635
741;3236;2147485633
742;3236;2147485632
743;3236;2147485631
752;3283;2147485630
764;3330;2147485629
767;3330;2147485628
771;3346;2147485625
773;3361;2147485624
775;3361;2147485622
783;3393;2147485621
787;3408;2147485620
795;3455;2147485619
797;3455;2147485617
798;3455;2147485616
800;3471;2147485614
803;3486;2147485613
808;3502;2147485612
819;3549;2147485611
831;3596;2147485610
834;3611;2147485608
845;3643;2147485607
848;3658;2147485606
851;3674;2147485604
874;3767;2147485603
880;3783;2147485602
900;3877;2147485599
904;3892;2147485595
911;3908;2147485593
914;3924;2147485589
917;3939;2147485587
920;3955;2147485585
924;3971;2147485582
927;3986;2147485581
931;4002;2147485578
932;4002;2147485576
937;4017;2147485575
939;4033;2147485573
945;4049;2147485572
947;4064;2147485569
956;4096;2147485567
965;4142;2147485566
966;4142;2147485565
976;4189;2147485564
979;4189;2147485561
981;4205;2147485560
987;4220;2147485559
994;4252;2147485558
1006;4299;2147485557
1008;4314;2147485556
1012;4330;2147485554
1015;4345;2147485553
1019;4361;2147485552
1020;4361;2147485549
1022;4377;2147485547
1025;4377;2147485544
1026;4392;2147485543
1033;4408;2147485542
1043;4455;2147485541
1049;4486;2147485540
1060;4533;2147485539
1061;4533;2147485538
1064;4549;2147485537
1067;4549;2147485536
1088;4642;2147485533
1091;4658;2147485532
1104;4705;2147485531
1110;4736;2147485527
1114;4752;2147485523
1115;4752;2147485522
1118;4767;2147485520
1129;4814;2147485519
1134;4830;2147485518
1136;4845;2147485516
1138;4845;2147485515
1139;4861;2147485514
1151;4908;2147485513
1155;4923;2147485512
1162;4955;2147485510
1174;5002;2147485508
1180;5033;2147485506
1193;5080;2147485505
1194;5080;2147485504
1196;5095;2147485503
1219;5189;2147485501
1220;5189;2147485498
1227;5220;2147485497
1228;5220;2147485495
1231;5236;2147485493
1232;5236;2147485491
1234;5236;2147485488
1240;5267;2147485487
1247;5298;2147485486
1253;5314;2147485483
1264;5361;2147485482
1265;5361;2147485481
1270;5376;2147485480
1274;5392;2147485479
1279;5423;2147485476
1290;5455;2147485475
1292;5470;2147485474
1305;5517;2147485470
1314;5564;2147485467
1316;5564;2147485466
1319;5580;2147485464
1331;5626;2147485463
1332;5626;2147485459
1338;5658;2147485458
1341;5658;2147485456
1342;5673;2147485455
1359;5736;2147485454
1383;5829;2147485453
1388;5845;2147485452
1393;5876;2147485450
1396;5892;2147485449
1398;5892;2147485447
1404;5923;2147485446
1416;5970;2147485444
1420;5986;2147485442
1423;6001;2147485441
1431;6033;2147485440
1432;6033;2147485439
1448;6095;2147485438
1451;6111;2147485437
1453;6111;2147485436
1461;6158;2147485435
1466;6173;2147485434
1471;6189;2147485433
1477;6220;2147485431
1491;6267;2147485430
1494;6283;2147485429
1509;6345;2147485428
1513;6361;2147485427
1514;6361;2147485426
1521;6392;2147485425
1535;6454;2147485424
1541;6486;2147485423
1548;6517;2147485421
1553;6532;2147485420
1575;6614;2147485418
1577;6630;2147485417
1584;6661;2147485416
1586;6661;2147485415
1592;6692;2147485414
1600;6723;2147485413
1601;6723;2147485412
1614;6786;2147485410
1616;6786;2147485408
1623;6817;2147485407
1624;6817;2147485406
1632;6848;2147485405
1636;6864;2147485404
1640;6880;2147485402
1649;6927;2147485400
1657;6958;2147485399
1663;6973;2147485398
1665;6989;2147485397
1666;6989;2147485396
1682;7051;2147485393
1695;7114;2147485392
1696;7114;2147485391
1699;7130;2147485390
1710;7176;2147485388
1732;7255;2147485366
1734;7270;2147485364
1741;7301;2147485362
1756;7348;2147485360
1759;7364;2147485359
1762;7380;2147485358
1775;7426;2147485356
1781;7458;2147485355
1796;7520;2147485352
1809;7567;2147485350
1811;7567;2147485349
1814;7583;2147485347
1816;7598;2147485344
1820;7614;2147485343
1822;7614;2147485342
1826;7629;2147485340
1829;7645;2147485339
1847;7723;2147485338
1851;7739;2147485337
1870;7817;2147485336
1871;7817;2147485335
1876;7833;2147485334
1881;7864;2147485332
1885;7879;2147485331
1900;7926;2147485330
1901;7942;2147485328
1903;7942;2147485327
1915;7989;2147485325
1922;8036;2147485319
1940;8114;2147485318
1943;8114;2147485317
1949;8145;2147485316
1954;8161;2147485315
1957;8176;2147485314
1961;8192;2147485312
1962;8192;2147485311
1966;8207;2147485310
1967;8223;2147485309
1972;8239;2147485308
1989;8301;2147485307
1990;8301;2147485305
1991;8317;2147485304
2003;8364;2147485303
2008;8379;2147485302
2014;8411;2147485300
2021;8426;2147485299
2039;8504;2147485298
2057;8582;2147485297
2069;8629;2147485294
2076;8660;2147485293
2082;8676;2147485292
2086;8692;2147485289
2095;8723;2147485288
2110;8785;2147485287
2119;8817;2147485286
2124;8848;2147485284
2130;8864;2147485282
2137;8895;2147485281
2146;8926;2147485280
2153;8957;2147485279
2165;9004;2147485277
2182;9082;2147485276
2186;9098;2147485275
2193;9129;2147485274
2198;9145;2147485273
2203;9160;2147485272
2207;9176;2147485271
2223;9238;2147485269
2229;9270;2147485268
2230;9270;2147485267
2232;9285;2147485266
2238;9301;2147485264
2256;9379;2147485263
2271;9442;2147485261
2290;9504;2147485260
2298;9535;2147485258
2312;9598;2147485257
2324;9645;2147485256
2328;9660;2147485255
2335;9691;2147485254
2364;9801;2147485253
2365;9816;2147485251
2379;9863;2147485250
2382;9879;2147485248
2388;9910;2147485246
2413;10004;2147485244
2420;10035;2147485236
2426;10066;2147485235
2451;10160;2147485232
2453;10176;2147485231
2486;10301;2147485230
2488;10316;2147485228
2492;10332;2147485227
2494;10332;2147485226
2497;10348;2147485223
2524;10457;2147485222
2531;10488;2147485221
2536;10504;2147485220
2546;10551;2147485219
2553;10582;2147485218
2554;10582;2147485217
2560;10598;2147485216
2571;10644;2147485214
2572;10644;2147485213
2576;10660;2147485212
2578;10676;2147485211
2594;10738;2147485209
2596;10754;2147485208
2600;10769;2147485207
2602;10769;2147485206
2625;10863;2147485205
2629;10879;2147485204
2668;11035;2147485203
2680;11082;2147485202
2683;11097;2147485201
2693;11144;2147485200
2702;11175;2147485184
2704;11191;2147485182
2706;11191;2147485181
2707;11191;2147485179
2708;11207;2147485178
2718;11238;2147485177
2725;11269;2147485176
2744;11347;2147485175
2778;11488;2147485173
2785;11519;2147485172
2796;11550;2147485171
2814;11631;2147485170
2824;11663;2147485169
2825;11678;2147485168
2836;11725;2147485167
2838;11725;2147485166
2840;11741;2147485165
2846;11756;2147485163
2851;11788;2147485161
2853;11788;2147485160
2855;11803;2147485159
2903;11991;2147485158
2913;12038;2147485157
2925;12084;2147485156
2942;12147;2147485154
2956;12209;2147485153
2961;12225;2147485151
2962;12225;2147485150
2967;12256;2147485149
2976;12287;2147485148
2981;12303;2147485147
3002;12397;2147485146
3006;12412;2147485145
3045;12569;2147485144
3050;12584;2147485143
3053;12600;2147485142
3070;12662;2147485141
3074;12694;2147485139
3093;12756;2147485138
3097;12772;2147485137
3105;12819;2147485136
3118;12866;2147485135
3142;12959;2147485134
3146;12990;2147485133
3148;12990;2147485132
3153;13006;2147485122
3159;13037;2147485121
3196;13178;2147485120
3250;13397;2147485119
3252;13412;2147485117
3255;13428;2147485116
3258;13428;2147485115
3269;13475;2147485113
3281;13522;2147485112
3288;13553;2147485111
3303;13615;2147485106
3319;13678;2147485105
3326;13709;2147485104
3328;13709;2147485101
3344;13772;2147485100
3356;13818;2147485098
3363;13850;2147485097
3388;13959;2147485096
3392;13975;2147485095
3401;14006;2147485094
3419;14084;2147485093
3436;14146;2147485092
3441;14162;2147485091
3472;14303;2147485090
3479;14334;2147485089
3489;14365;2147485088
3498;14412;2147485087
3505;14428;2147485085
3511;14459;2147485084
3518;14490;2147485083
3541;14584;2147485082
3557;14646;2147485081
3559;14646;2147485080
3570;14693;2147485075
3574;14709;2147485074
3579;14724;2147485073
3599;14803;2147485072
3601;14818;2147485071
3605;14834;2147485070
3607;14849;2147485068
3633;14943;2147485066
3644;14990;2147485065
3653;15037;2147485063
3655;15037;2147485062
3678;15131;2147485061
3682;15146;2147485060
3684;15162;2147485059
3688;15177;2147485057
3695;15209;2147485056
3701;15224;2147485055
3712;15271;2147485054
3716;15287;2147485052
3742;15396;2147485051
3747;15412;2147485050
3749;15427;2147485049
3750;15427;2147485048
3771;15506;2147485047
3772;15521;2147485046
3774;15521;2147485045
3780;15552;2147485044
3786;15568;2147485043
3799;15615;2147485042
3803;15630;2147485041
3805;15646;2147485040
3821;15709;2147485039
3831;15755;2147485038
3870;15912;2147485037
3879;15943;2147485035
3885;15959;2147485032
3891;15990;2147485031
3901;16037;2147485030
3911;16068;2147485029
3912;16083;2147485027
3920;16115;2147485026
3924;16130;2147485025
3925;16130;2147485024
3939;16193;2147485023
3951;16240;2147485022
3965;16302;2147485021
3972;16333;2147485020
3978;16349;2147485019
3982;16365;2147485018
4002;16458;2147485014
4003;16458;2147485013
4017;16521;2147485012
4024;16537;2147485011
4029;16568;2147485010
4032;16583;2147485009
4033;16586;2147485007
4043;16617;2147485006
4045;16633;2147485005
4054;16664;2147485004
4056;16680;2147485002
4069;16726;2147485001
4087;16804;2147485000
4091;16820;2147484999
4095;16836;2147484998
4113;16898;2147484997
4116;16914;2147484996
4123;16945;2147484994
4141;17023;2147484991
4155;17070;2147484990
4179;17179;2147484988
4187;17211;2147484987
4205;17289;2147484986
4211;17304;2147484978
4218;17336;2147484976
4246;17445;2147484975
4249;17461;2147484974
4254;17476;2147484973
4262;17507;2147484971
4266;17523;2147484970
4272;17554;2147484969
4275;17570;2147484967
4306;17679;2147484966
4309;17695;2147484965
4316;17726;2147484963
4324;17757;2147484962
4329;17773;2147484960
4332;17789;2147484959
4337;17804;2147484958
4340;17820;2147484957
4341;17820;2147484956
4356;17898;2147484955
4364;17929;2147484954
4366;17945;2147484953
4370;17960;2147484952
4390;18039;2147484951
4392;18039;2147484950
4421;18148;2147484949
4427;18179;2147484948
4462;18320;2147484947
4502;18476;2147484946
4512;18523;2147484945
4519;18554;2147484943
4521;18554;2147484942
4565;18742;2147484941
4612;18929;2147484939
4683;19210;2147484938
4691;19241;2147484937
4693;19257;2147484936
4715;19335;2147484935
4724;19382;2147484934
4744;19460;2147484933
4746;19460;2147484932
4752;19491;2147484931
4754;19491;2147484930
4758;19507;2147484929
4781;19601;2147484928
4790;19632;2147484927
4792;19648;2147484926
4796;19663;2147484924
4814;19741;2147484923
4829;19804;2147484922
4859;19913;2147484921
4870;19960;2147484919
4913;20132;2147484918
4923;20179;2147484916
4926;20194;2147484915
4931;20210;2147484914
4935;20226;2147484913
4946;20272;2147484912
4953;20304;2147484911
4967;20351;2147484910
4988;20444;2147484909
4989;20444;2147484908
5000;20491;2147484907
5026;20600;2147484906
5055;20725;2147484905
5078;20819;2147484904
5101;20913;2147484903
5106;20928;2147484902
5108;20928;2147484901
5116;20960;2147484900
5117;20975;2147484899
5118;20975;2147484898
5145;21085;2147484896
5156;21132;2147484894
5170;21178;2147484893
5192;21272;2147484892
5194;21288;2147484891
5195;21288;2147484890
5209;21335;2147484889
5218;21382;2147484888
5250;21507;2147484887
5270;21588;2147484886
5273;21588;2147484885
5322;21791;2147484883
5329;21822;2147484881
5346;21885;2147484880
5373;21994;2147484878
5387;22057;2147484875
5396;22104;2147484874
5405;22135;2147484873
5410;22150;2147484872
5467;22385;2147484871
5514;22572;2147484870
5535;22666;2147484869
5538;22682;2147484867
5540;22682;2147484866
5548;22713;2147484865
5552;22729;2147484864
5553;22744;2147484863
5560;22760;2147484861
5579;22838;2147484860
5608;22963;2147484859
5612;22979;2147484858
5624;23026;2147484857
5632;23057;2147484856
5642;23088;2147484855
5660;23166;2147484854
5661;23166;2147484853
5669;23197;2147484851
5672;23213;2147484850
5679;23244;2147484849
5693;23291;2147484848
5694;23307;2147484847
5754;23541;2147484844
5764;23588;2147484843
5810;23775;2147484842
5812;23775;2147484841
5848;23932;2147484839
5850;23932;2147484838
5867;24010;2147484837
5900;24135;2147484835
5918;24213;2147484834
5955;24353;2147484833
5987;24494;2147484832
5997;24525;2147484831
6032;24666;2147484830
6037;24681;2147484829
6049;24728;2147484828
6074;24822;2147484827
6076;24838;2147484826
6108;24963;2147484825
6146;25119;2147484824
6164;25197;2147484823
6174;25244;2147484822
6185;25291;2147484821
6187;25291;2147484820
6201;25353;2147484815
6209;25384;2147484814
6228;25447;2147484813
6231;25462;2147484812
6242;25509;2147484811
6245;25525;2147484810
6259;25587;2147484809
6291;25712;2147484808
6314;25790;2147484807
6319;25822;2147484806
6340;25900;2147484804
6364;25994;2147484803
6400;26150;2147484801
6420;26228;2147484800
6426;26244;2147484799
6457;26369;2147484798
6459;26384;2147484797
6460;26384;2147484796
6494;26525;2147484795
6502;26556;2147484793
6507;26572;2147484792
6510;26590;2147484791
6524;26637;2147484790
6532;26668;2147484789
6630;27075;2147484787
6646;27137;2147484786
6648;27153;2147484785
6649;27153;2147484784
6654;27168;2147484783
6670;27231;2147484782
6706;27387;2147484781
6712;27403;2147484780
6718;27434;2147484779
6722;27449;2147484778
6811;27809;2147484777
6851;27965;2147484776
6878;28074;2147484775
6894;28137;2147484773
6916;28246;2147484772
6928;28293;2147484771
6930;28293;2147484770
6947;28371;2147484769
6952;28387;2147484768
6959;28418;2147484767
6983;28512;2147484766
6987;28527;2147484765
7004;28605;2147484760
7025;28684;2147484759
7037;28730;2147484758
7088;28933;2147484754
7102;28996;2147484753
7111;29027;2147484752
7120;29058;2147484751
7134;29121;2147484750
7157;29215;2147484749
7161;29230;2147484747
7180;29308;2147484746
7186;29340;2147484745
7204;29402;2147484744
7205;29418;2147484743
7264;29652;2147484742
7302;29808;2147484741
7354;30011;2147484740
7357;30027;2147484739
7368;30074;2147484737
7409;30230;2147484736
7413;30246;2147484735
7431;30308;2147484734
7443;30371;2147484733
7445;30371;2147484732
7448;30386;2147484730
7487;30542;2147484713
7490;30558;2147484712
7498;30589;2147484711
7501;30605;2147484710
7563;30855;2147484709
7577;30902;2147484708
7583;30933;2147484707
7584;30933;2147484704
7593;30964;2147484703
7619;31074;2147484701
7622;31089;2147484700
7636;31152;2147484699
7646;31183;2147484698
7667;31277;2147484697
7695;31386;2147484695
7715;31464;2147484694
7744;31593;2147484693
7766;31671;2147484692
7770;31686;2147484690
7773;31702;2147484689
7779;31733;2147484688
7793;31780;2147484687
7826;31921;2147484686
7831;31936;2147484685
7884;32139;2147484684
7930;32327;2147484683
7953;32421;2147484682
7968;32483;2147484681
8021;32686;2147484680
8066;32874;2147484679
8076;32905;2147484678
8081;32920;2147484677
8121;33092;2147484676
8168;33264;2147484675
8183;33327;2147484674
8208;33420;2147484673
8217;33467;2147484672
8248;33592;2147484671
8275;33701;2147484670
8296;33780;2147484669
8383;34139;2147484668
8396;34186;2147484667
8404;34217;2147484666
8431;34326;2147484665
8442;34373;2147484664
8448;34389;2147484663
8462;34451;2147484662
8475;34498;2147484661
8478;34514;2147484660
8491;34561;2147484659
8492;34576;2147484658
8524;34701;2147484657
8533;34732;2147484656
8546;34795;2147484654
8571;34889;2147484653
8572;34889;2147484652
8578;34920;2147484651
8594;34982;2147484650
8617;35076;2147484648
8634;35139;2147484647
8704;35420;2147484646
8742;35576;2147484645
8764;35654;2147484644
8786;35748;2147484643
8805;35826;2147484640
8876;36123;2147484639
8919;36295;2147484638
8925;36310;2147484637
