fes;time;f
1;94;2417
4;125;2414
5;125;2413
6;141;2411
8;156;2408
16;188;2405
19;203;2404
20;219;2403
26;234;2401
32;266;2400
40;297;2397
53;359;2396
66;406;2395
72;438;2393
76;453;2391
78;453;2386
92;516;2384
94;531;2382
101;547;2381
102;563;2379
104;563;2378
105;563;2374
111;594;2373
114;609;2372
116;609;2368
118;625;2366
129;672;2365
130;672;2363
132;687;2361
141;719;2360
145;734;2359
151;766;2358
158;797;2355
175;859;2348
183;891;2346
186;906;2343
187;906;2342
193;937;2338
194;937;2337
208;1000;2336
214;1031;2335
217;1031;2334
226;1078;2325
237;1125;2324
245;1156;2323
247;1156;2322
252;1187;2320
255;1187;2319
257;1203;2318
265;1234;2315
269;1250;2314
271;1265;2313
272;1265;2312
280;1297;2311
303;1390;2310
311;1422;2307
312;1437;2306
317;1453;2305
318;1453;2301
323;1484;2300
329;1500;2298
337;1531;2297
338;1547;2295
350;1594;2292
358;1625;2291
366;1656;2290
367;1656;2288
369;1672;2284
371;1672;2282
378;1703;2279
386;1734;2276
390;1750;2275
392;1765;2274
402;1812;2273
421;1890;2272
422;1890;2271
426;1906;2270
438;1953;2267
439;1953;2266
459;2047;2264
467;2078;2262
474;2109;2261
479;2125;2259
494;2187;2257
498;2203;2256
506;2234;2254
507;2234;2251
515;2281;2250
516;2281;2247
521;2296;2246
539;2375;2245
542;2390;2244
544;2390;2240
550;2421;2239
551;2421;2238
561;2468;2236
563;2468;2234
572;2515;2233
592;2593;2232
594;2593;2231
596;2609;2229
601;2625;2228
607;2661;2227
611;2677;2224
622;2724;2223
630;2755;2222
649;2833;2219
650;2833;2218
658;2864;2215
664;2896;2214
670;2912;2211
671;2928;2209
675;2944;2208
676;2944;2206
687;2991;2204
692;3006;2203
700;3037;2200
704;3053;2198
708;3069;2195
718;3116;2194
727;3147;2193
730;3162;2192
734;3178;2191
735;3178;2190
744;3225;2188
761;3287;2187
762;3287;2185
766;3303;2184
768;3319;2182
771;3334;2181
792;3412;2179
794;3428;2178
799;3444;2176
803;3459;2175
808;3475;2174
809;3475;2172
810;3490;2169
818;3522;2167
822;3537;2166
833;3584;2165
835;3600;2163
837;3600;2162
846;3631;2161
857;3678;2159
859;3694;2154
864;3709;2151
868;3725;2145
880;3772;2144
883;3787;2140
898;3850;2139
900;3865;2138
907;3881;2137
909;3897;2136
916;3928;2135
918;3928;2134
921;3943;2133
927;3975;2132
932;3990;2127
935;4006;2124
945;4037;2122
947;4053;2121
950;4068;2118
951;4068;2117
954;4084;2116
957;4084;2115
963;4115;2114
969;4147;2109
972;4147;2107
974;4162;2106
981;4193;2105
982;4193;2104
983;4193;2103
985;4209;2101
1003;4287;2100
1007;4303;2099
1008;4303;2098
1013;4318;2097
1015;4334;2094
1016;4334;2092
1017;4350;2091
1021;4365;2087
1022;4365;2086
1029;4396;2085
1031;4396;2083
1036;4412;2082
1037;4428;2081
1052;4490;2080
1070;4553;2077
1072;4568;2075
1076;4584;2074
1084;4615;2072
1093;4646;2071
1103;4693;2070
1116;4740;2069
1123;4771;2068
1132;4803;2067
1145;4865;2066
1149;4881;2064
1152;4896;2063
1158;4912;2062
1162;4928;2059
1164;4943;2054
1168;4959;2053
1170;4975;2052
1174;4990;2051
1178;5006;2050
1179;5006;2048
1181;5006;2047
1186;5037;2046
1193;5068;2045
1195;5068;2044
1201;5099;2043
1202;5099;2042
1219;5162;2041
1229;5209;2038
1232;5224;2037
1235;5240;2036
1236;5240;2035
1237;5240;2034
1244;5271;2033
1251;5303;2030
1252;5303;2029
1273;5396;2028
1274;5396;2027
1276;5412;2026
1290;5459;2025
1298;5506;2024
1299;5506;2023
1302;5521;2021
1303;5521;2020
1304;5521;2018
1316;5568;2016
1318;5584;2014
1328;5615;2013
1333;5631;2012
1338;5662;2011
1349;5709;2007
1350;5709;2006
1351;5709;2005
1360;5756;2004
1374;5802;1985
1378;5818;1984
1381;5834;1983
1382;5834;1982
1386;5849;1981
1387;5849;1980
1390;5865;1978
1405;5927;1975
1407;5943;1974
1410;5943;1973
1414;5959;1972
1421;5990;1971
1425;6006;1969
1429;6021;1966
1435;6052;1965
1437;6052;1964
1449;6115;1963
1458;6146;1961
1468;6177;1959
1474;6209;1958
1482;6240;1956
1487;6255;1955
1498;6302;1954
1512;6365;1953
1513;6365;1951
1518;6380;1949
1519;6396;1948
1522;6396;1947
1523;6412;1945
1525;6412;1938
1530;6427;1937
1538;6474;1936
1539;6474;1935
1542;6490;1934
1546;6505;1933
1547;6505;1932
1549;6505;1931
1550;6521;1930
1557;6537;1929
1564;6568;1928
1566;6584;1925
1572;6599;1922
1573;6599;1921
1588;6662;1920
1598;6708;1919
1614;6771;1918
1627;6818;1916
1636;6865;1915
1637;6865;1913
1671;7005;1912
1688;7068;1911
1699;7115;1910
1707;7146;1909
1710;7146;1908
1712;7162;1906
1716;7177;1903
1727;7224;1902
1729;7224;1901
1731;7240;1899
1736;7255;1898
1745;7286;1895
1746;7302;1893
1747;7302;1892
1754;7333;1891
1755;7333;1890
1759;7349;1889
1764;7380;1888
1779;7443;1887
1782;7443;1886
1784;7458;1885
1785;7458;1884
1787;7474;1883
1789;7474;1882
1794;7490;1881
1800;7521;1880
1801;7521;1878
1808;7552;1876
1815;7583;1875
1818;7599;1873
1825;7630;1872
1830;7646;1870
1831;7661;1869
1837;7677;1868
1847;7724;1867
1859;7771;1866
1864;7786;1864
1872;7818;1863
1881;7864;1862
1906;7958;1861
1914;7989;1860
1931;8068;1857
1941;8099;1856
1955;8161;1855
1958;8161;1854
1959;8177;1853
1961;8177;1852
1963;8193;1849
1970;8224;1845
1975;8239;1844
1991;8302;1843
2004;8364;1841
2005;8364;1838
2011;8380;1837
2020;8427;1833
2022;8427;1831
2024;8442;1827
2029;8458;1826
2033;8474;1825
2050;8536;1823
2054;8552;1822
2055;8567;1821
2060;8583;1819
2072;8630;1818
2083;8677;1817
2091;8708;1816
2093;8708;1815
2103;8755;1814
2112;8802;1813
2113;8802;1812
2114;8802;1811
2119;8817;1810
2120;8833;1808
2125;8849;1807
2129;8864;1806
2130;8864;1805
2134;8880;1801
2135;8896;1800
2141;8911;1799
2142;8927;1796
2154;8974;1794
2171;9036;1793
2174;9052;1792
2195;9130;1791
2214;9224;1790
2219;9239;1789
2229;9270;1788
2230;9286;1786
2236;9302;1784
2238;9317;1783
2241;9317;1782
2242;9333;1780
2246;9349;1776
2250;9364;1775
2267;9427;1774
2289;9520;1772
2299;9567;1771
2315;9630;1770
2328;9677;1769
2333;9692;1768
2345;9739;1766
2348;9755;1763
2351;9770;1761
2368;9833;1760
2373;9848;1759
2374;9864;1758
2379;9880;1757
2396;9942;1756
2398;9958;1755
2402;9973;1754
2405;9989;1751
2413;10020;1750
2414;10020;1749
2460;10208;1748
2461;10223;1747
2463;10223;1746
2481;10301;1743
2482;10301;1742
2487;10333;1740
2505;10395;1736
2506;10395;1735
2516;10442;1734
2517;10442;1733
2518;10442;1732
2531;10504;1730
2532;10504;1729
2537;10536;1727
2554;10598;1726
2563;10629;1725
2568;10661;1724
2572;10676;1723
2576;10692;1722
2578;10692;1721
2579;10708;1720
2584;10723;1718
2588;10739;1717
2597;10770;1715
2600;10786;1713
2615;10848;1712
2616;10848;1711
2624;10879;1710
2631;10911;1709
2636;10942;1708
2644;10973;1707
2657;11020;1706
2665;11051;1704
2670;11067;1703
2683;11129;1702
2707;11227;1701
2720;11274;1699
2722;11289;1698
2726;11305;1697
2733;11320;1695
2739;11352;1694
2746;11383;1693
2747;11383;1692
2755;11414;1691
2762;11445;1690
2781;11523;1689
2784;11539;1688
2793;11570;1686
2804;11617;1683
2819;11680;1682
2822;11695;1681
2824;11695;1680
2839;11758;1674
2848;11789;1673
2858;11836;1671
2865;11867;1670
2872;11883;1669
2892;11977;1668
2917;12070;1667
2924;12101;1666
2927;12117;1664
2949;12195;1663
2958;12242;1662
2978;12320;1661
2979;12320;1660
2982;12336;1659
2986;12351;1658
2996;12398;1657
3020;12492;1656
3024;12508;1655
3037;12554;1654
3060;12648;1653
3078;12726;1652
3090;12773;1650
3093;12789;1649
3097;12804;1648
3099;12820;1647
3104;12836;1646
3113;12867;1644
3142;12992;1638
3169;13101;1637
3177;13132;1636
3190;13195;1635
3204;13242;1634
3207;13257;1632
3209;13257;1630
3214;13289;1629
3221;13320;1628
3232;13367;1627
3233;13367;1626
3252;13445;1625
3255;13461;1624
3262;13476;1623
3265;13492;1622
3271;13523;1621
3276;13539;1620
3277;13539;1619
3282;13570;1618
3305;13664;1617
3319;13711;1616
3336;13789;1615
3345;13820;1614
3356;13867;1613
3380;13960;1610
3410;14085;1609
3416;14101;1608
3433;14179;1607
3457;14273;1606
3464;14304;1605
3466;14320;1603
3478;14367;1602
3498;14445;1601
3523;14554;1600
3544;14632;1599
3595;14851;1598
3611;14913;1597
3612;14913;1596
3617;14929;1595
3622;14960;1594
3624;14960;1593
3628;14976;1592
3660;15116;1591
3664;15132;1590
3674;15163;1589
3683;15210;1587
3692;15241;1586
3700;15273;1585
3716;15335;1584
3717;15335;1583
3718;15351;1582
3719;15351;1581
3730;15398;1580
3731;15398;1572
3744;15444;1571
3749;15476;1570
3754;15491;1569
