fes;time;f
1;94;2147485950
3;141;2147485948
10;203;2147485947
13;219;2147485942
14;234;2147485941
15;234;2147485939
23;281;2147485935
27;297;2147485933
30;313;2147485931
35;328;2147485929
38;344;2147485926
39;359;2147485923
42;375;2147485922
47;391;2147485921
55;437;2147485920
56;437;2147485917
61;469;2147485914
62;469;2147485912
66;484;2147485910
69;500;2147485909
71;516;2147485908
76;531;2147485904
84;562;2147485901
88;594;2147485900
90;594;2147485897
98;641;2147485895
105;672;2147485894
108;672;2147485893
115;703;2147485892
120;734;2147485891
122;750;2147485890
123;750;2147485886
125;750;2147485884
129;781;2147485883
133;797;2147485878
141;828;2147485877
142;844;2147485871
144;844;2147485869
151;875;2147485867
156;906;2147485865
157;906;2147485864
176;1000;2147485862
179;1016;2147485861
180;1016;2147485860
182;1031;2147485859
185;1031;2147485858
197;1094;2147485856
198;1094;2147485854
199;1109;2147485851
204;1125;2147485850
207;1140;2147485849
213;1172;2147485848
217;1187;2147485845
220;1203;2147485844
230;1250;2147485842
233;1265;2147485841
238;1281;2147485840
239;1297;2147485839
241;1297;2147485836
243;1312;2147485835
246;1328;2147485834
247;1328;2147485831
249;1344;2147485829
252;1359;2147485828
262;1390;2147485827
265;1406;2147485826
266;1422;2147485824
273;1453;2147485823
281;1484;2147485822
282;1500;2147485821
287;1515;2147485815
290;1531;2147485814
297;1562;2147485813
299;1562;2147485811
300;1578;2147485809
308;1609;2147485808
319;1656;2147485804
320;1672;2147485802
321;1672;2147485798
327;1703;2147485797
337;1750;2147485795
341;1765;2147485794
346;1781;2147485792
348;1797;2147485791
351;1812;2147485790
354;1828;2147485789
358;1843;2147485788
364;1875;2147485787
370;1890;2147485783
385;1953;2147485781
402;2047;2147485778
411;2078;2147485777
414;2093;2147485776
421;2125;2147485775
429;2172;2147485774
430;2172;2147485773
433;2187;2147485770
438;2203;2147485769
442;2218;2147485768
456;2296;2147485767
463;2328;2147485766
466;2328;2147485765
467;2343;2147485764
468;2343;2147485762
470;2359;2147485761
476;2375;2147485757
484;2421;2147485756
488;2437;2147485755
497;2484;2147485754
498;2484;2147485752
502;2500;2147485751
516;2562;2147485749
518;2578;2147485747
523;2593;2147485746
533;2640;2147485745
535;2640;2147485744
544;2687;2147485743
546;2703;2147485741
547;2703;2147485740
548;2703;2147485738
566;2781;2147485736
568;2796;2147485735
575;2828;2147485733
585;2874;2147485729
590;2890;2147485727
602;2953;2147485726
604;2953;2147485724
605;2953;2147485723
609;2984;2147485720
611;2984;2147485719
616;3015;2147485717
619;3015;2147485716
620;3031;2147485712
622;3031;2147485711
646;3156;2147485708
647;3156;2147485707
660;3218;2147485705
663;3234;2147485704
665;3234;2147485703
668;3249;2147485702
671;3265;2147485701
673;3281;2147485699
677;3296;2147485696
684;3327;2147485694
689;3359;2147485693
690;3359;2147485692
694;3374;2147485691
710;3452;2147485689
719;3499;2147485684
723;3515;2147485683
733;3562;2147485682
738;3593;2147485679
743;3609;2147485678
754;3656;2147485676
761;3687;2147485673
763;3702;2147485672
768;3718;2147485670
779;3780;2147485669
786;3812;2147485668
790;3827;2147485666
792;3827;2147485665
793;3843;2147485664
799;3874;2147485663
805;3890;2147485660
809;3905;2147485659
815;3937;2147485657
817;3952;2147485656
820;3968;2147485655
825;3984;2147485653
833;4015;2147485652
834;4030;2147485606
844;4077;2147485605
846;4077;2147485604
848;4093;2147485602
852;4109;2147485601
859;4140;2147485600
863;4155;2147485599
869;4187;2147485598
882;4234;2147485597
885;4249;2147485596
888;4265;2147485595
895;4296;2147485593
896;4312;2147485592
899;4327;2147485590
900;4327;2147485587
902;4327;2147485585
903;4343;2147485583
905;4343;2147485582
923;4437;2147485580
933;4468;2147485579
941;4515;2147485578
948;4546;2147485577
950;4546;2147485576
954;4562;2147485575
959;4593;2147485571
973;4655;2147485570
976;4671;2147485569
985;4702;2147485566
993;4733;2147485565
996;4749;2147485563
998;4765;2147485561
1009;4812;2147485560
1011;4827;2147485558
1015;4843;2147485555
1025;4890;2147485554
1033;4921;2147485553
1040;4952;2147485552
1041;4952;2147485551
1044;4968;2147485550
1046;4983;2147485548
1057;5030;2147485546
1058;5030;2147485544
1064;5061;2147485543
1074;5093;2147485542
1082;5140;2147485541
1084;5140;2147485540
1089;5171;2147485538
1116;5280;2147485535
1117;5296;2147485534
1119;5296;2147485533
1127;5327;2147485531
1128;5343;2147485530
1139;5390;2147485528
1143;5405;2147485524
1155;5468;2147485522
1176;5561;2147485520
1179;5577;2147485519
1180;5577;2147485518
1181;5577;2147485517
1185;5593;2147485515
1187;5608;2147485514
1189;5624;2147485513
1194;5639;2147485512
1202;5686;2147485509
1205;5686;2147485505
1210;5718;2147485503
1219;5764;2147485502
1223;5780;2147485501
1231;5811;2147485499
1239;5858;2147485497
1257;5936;2147485496
1290;6077;2147485494
1299;6124;2147485493
1307;6155;2147485492
1309;6171;2147485491
1311;6186;2147485488
1322;6233;2147485487
1329;6264;2147485484
1334;6296;2147485482
1341;6327;2147485481
1345;6342;2147485479
1348;6358;2147485477
1349;6358;2147485476
1351;6374;2147485475
1372;6467;2147485474
1375;6467;2147485472
1376;6483;2147485470
1378;6483;2147485469
1395;6561;2147485468
1402;6592;2147485467
1425;6702;2147485466
1441;6780;2147485465
1446;6795;2147485462
1456;6842;2147485461
1470;6905;2147485460
1487;6983;2147485458
1495;7030;2147485457
1500;7045;2147485454
1502;7061;2147485453
1504;7061;2147485451
1518;7124;2147485450
1520;7139;2147485448
1521;7139;2147485447
1544;7248;2147485445
1553;7280;2147485444
1557;7311;2147485443
1580;7405;2147485442
1589;7452;2147485441
1597;7483;2147485440
