fes;time;f
1;84;2147486167
2;102;2147486162
4;120;2147486160
6;139;2147486158
21;255;2147486154
23;271;2147486151
44;408;2147486149
49;446;2147486146
50;452;2147486145
55;482;2147486144
59;507;2147486143
60;513;2147486141
66;550;2147486139
73;595;2147486136
80;635;2147486132
81;641;2147486129
83;654;2147486128
89;689;2147486126
90;696;2147486124
103;778;2147486117
105;791;2147486116
108;811;2147486113
112;835;2147486112
126;922;2147486106
133;966;2147486104
140;1010;2147486103
148;1057;2147486102
150;1069;2147486101
154;1094;2147486099
157;1119;2147486098
165;1171;2147486096
172;1218;2147486095
174;1231;2147486093
175;1237;2147486092
180;1267;2147486089
184;1293;2147486087
185;1299;2147486083
190;1337;2147486082
191;1343;2147486081
192;1350;2147486080
195;1369;2147486078
200;1401;2147486075
208;1449;2147486073
209;1455;2147486072
213;1477;2147486071
218;1510;2147486068
222;1534;2147486066
229;1577;2147486065
232;1595;2147486064
234;1607;2147486063
236;1619;2147486060
237;1625;2147486059
238;1631;2147486057
265;1792;2147486056
267;1804;2147486054
268;1810;2147486053
272;1833;2147486052
277;1862;2147486050
280;1881;2147486049
283;1899;2147486048
285;1911;2147486020
288;1930;2147486019
289;1937;2147486017
290;1943;2147486016
294;1966;2147486014
298;1991;2147486013
317;2105;2147486010
319;2117;2147486006
320;2123;2147486005
321;2130;2147486003
334;2206;2147486002
336;2219;2147486000
337;2225;2147485999
345;2273;2147485998
352;2319;2147485997
353;2325;2147485995
358;2357;2147485992
363;2388;2147485991
367;2413;2147485990
370;2431;2147485989
374;2456;2147485985
380;2493;2147485983
381;2500;2147485982
388;2543;2147485981
391;2559;2147485980
392;2566;2147485979
396;2591;2147485978
407;2655;2147485976
408;2661;2147485975
423;2753;2147485974
424;2759;2147485972
429;2790;2147485971
444;2882;2147485969
447;2899;2147485968
451;2925;2147485966
454;2942;2147485965
459;2972;2147485962
468;3028;2147485961
470;3041;2147485960
474;3067;2147485958
475;3074;2147485957
476;3080;2147485956
494;3187;2147485955
506;3260;2147485954
511;3291;2147485950
515;3315;2147485948
516;3322;2147485946
521;3351;2147485944
522;3359;2147485940
528;3396;2147485939
536;3442;2147485936
537;3447;2147485934
538;3455;2147485933
552;3537;2147485930
553;3543;2147485929
571;3649;2147485928
576;3678;2147485926
580;3701;2147485925
585;3731;2147485923
587;3745;2147485921
603;3842;2147485916
606;3860;2147485915
608;3871;2147485912
614;3905;2147485911
626;3975;2147485909
629;3993;2147485908
630;3999;2147485904
636;4034;2147485903
646;4094;2147485902
657;4159;2147485901
666;4214;2147485899
673;4258;2147485897
697;4396;2147485896
701;4418;2147485893
704;4435;2147485891
705;4441;2147485889
708;4459;2147485887
712;4483;2147485886
715;4502;2147485885
723;4551;2147485884
728;4579;2147485852
738;4641;2147485849
739;4647;2147485847
741;4659;2147485845
742;4666;2147485844
747;4696;2147485843
751;4719;2147485842
754;4736;2147485841
765;4803;2147485840
766;4809;2147485836
773;4852;2147485835
788;4942;2147485834
800;5010;2147485833
813;5087;2147485830
819;5123;2147485829
830;5189;2147485825
833;5208;2147485823
835;5222;2147485822
837;5234;2147485821
841;5259;2147485819
847;5297;2147485818
850;5316;2147485817
859;5370;2147485816
865;5406;2147485814
867;5419;2147485812
886;5534;2147485811
888;5545;2147485810
898;5604;2147485806
908;5661;2147485805
910;5673;2147485804
912;5685;2147485803
926;5764;2147485802
957;5937;2147485801
961;5960;2147485800
965;5983;2147485799
966;5989;2147485797
971;6017;2147485796
973;6031;2147485795
978;6061;2147485794
987;6115;2147485793
995;6165;2147485791
1000;6195;2147485790
1002;6206;2147485787
1011;6264;2147485786
1019;6313;2147485785
1026;6356;2147485783
1030;6382;2147485779
1031;6389;2147485778
1037;6427;2147485776
1040;6444;2147485775
1051;6509;2147485774
1076;6657;2147485773
1086;6712;2147485772
1089;6730;2147485771
1091;6743;2147485769
1097;6777;2147485767
1098;6783;2147485766
1101;6801;2147485765
1107;6839;2147485762
1113;6873;2147485759
1115;6885;2147485758
1118;6904;2147485756
1119;6911;2147485755
1121;6923;2147485754
1130;6976;2147485750
1138;7021;2147485749
1145;7059;2147485748
1146;7065;2147485743
1151;7095;2147485742
1165;7181;2147485741
1167;7194;2147485740
1170;7213;2147485739
1183;7293;2147485738
1187;7319;2147485737
1199;7390;2147485735
1209;7451;2147485734
1210;7457;2147485733
1212;7471;2147485732
1214;7483;2147485731
1237;7620;2147485730
1271;7807;2147485728
1274;7824;2147485724
1279;7854;2147485723
1285;7891;2147485721
1289;7916;2147485720
1310;8037;2147485718
1312;8050;2147485717
1313;8056;2147485716
1319;8092;2147485714
1328;8147;2147485713
1333;8175;2147485712
1335;8187;2147485711
1344;8243;2147485710
1347;8262;2147485709
1353;8298;2147485661
1356;8316;2147485660
1357;8324;2147485657
1359;8336;2147485654
1363;8360;2147485652
1370;8402;2147485651
1373;8422;2147485650
1376;8441;2147485648
1379;8460;2147485644
1383;8485;2147485642
1388;8514;2147485640
1408;8633;2147485639
1419;8698;2147485638
1426;8740;2147485637
1432;8777;2147485633
1451;8890;2147485631
1476;9032;2147485629
1487;9093;2147485628
1490;9111;2147485625
1494;9136;2147485624
1496;9148;2147485623
1518;9275;2147485622
1526;9319;2147485621
1530;9342;2147485619
1543;9425;2147485618
1556;9498;2147485616
1560;9522;2147485614
1565;9553;2147485612
1577;9625;2147485611
1608;9799;2147485610
1610;9810;2147485609
1617;9849;2147485608
1621;9872;2147485606
1623;9883;2147485605
1640;9985;2147485603
1642;9998;2147485601
1643;10004;2147485599
1655;10073;2147485598
1665;10131;2147485597
1667;10143;2147485596
1672;10174;2147485593
1676;10197;2147485590
1689;10273;2147485587
1691;10285;2147485586
1693;10297;2147485585
1707;10379;2147485583
1710;10397;2147485582
1737;10546;2147485581
1751;10626;2147485578
1756;10656;2147485575
1767;10719;2147485574
1770;10736;2147485573
1772;10749;2147485571
1777;10778;2147485569
1782;10806;2147485568
1793;10874;2147485567
1798;10906;2147485566
1799;10913;2147485565
1800;10919;2147485563
1801;10925;2147485562
1803;10937;2147485561
1808;10968;2147485560
1812;10992;2147485557
1818;11029;2147485556
1819;11035;2147485554
1851;11219;2147485553
1869;11321;2147485552
1875;11354;2147485549
1883;11401;2147485548
1884;11409;2147485547
1896;11481;2147485546
1900;11507;2147485545
1915;11593;2147485543
1929;11676;2147485542
1931;11689;2147485540
1934;11707;2147485539
1936;11719;2147485538
1940;11742;2147485537
1976;11946;2147485536
1979;11964;2147485535
1985;12000;2147485534
1987;12012;2147485533
2036;12288;2147485530
2039;12305;2147485528
2045;12340;2147485526
2058;12416;2147485525
2087;12585;2147485523
2091;12607;2147485521
2100;12658;2147485519
2104;12681;2147485518
2105;12687;2147485517
2146;12917;2147485515
2165;13034;2147485513
2169;13058;2147485512
2172;13075;2147485511
2173;13081;2147485510
2176;13098;2147485509
2183;13140;2147485508
2190;13181;2147485507
2220;13349;2147485506
2228;13395;2147485504
2236;13442;2147485502
2258;13571;2147485501
2261;13588;2147485499
2266;13619;2147485498
2271;13648;2147485497
2279;13696;2147485496
2285;13731;2147485494
2311;13881;2147485491
2320;13932;2147485490
2324;13955;2147485489
2335;14022;2147485487
2336;14028;2147485485
2348;14099;2147485484
2354;14134;2147485483
2393;14354;2147485482
2410;14453;2147485481
2423;14526;2147485479
2425;14538;2147485478
2427;14550;2147485476
2430;14568;2147485475
2443;14641;2147485474
2445;14653;2147485472
2454;14708;2147485471
2457;14727;2147485470
2460;14744;2147485469
2465;14773;2147485468
2479;14856;2147485466
2480;14861;2147485465
2484;14886;2147485464
2490;14920;2147485463
2495;14948;2147485461
2503;14996;2147485458
2506;15014;2147485456
2507;15022;2147485455
2518;15087;2147485452
2526;15135;2147485451
2534;15183;2147485448
2539;15215;2147485446
2553;15299;2147485445
2557;15324;2147485444
2558;15330;2147485443
2559;15336;2147485442
2560;15343;2147485440
2583;15480;2147485439
2589;15514;2147485437
2603;15598;2147485436
2639;15796;2147485434
2640;15803;2147485433
2646;15838;2147485432
2656;15896;2147485431
2657;15902;2147485430
2669;15972;2147485429
2674;16003;2147485406
2691;16103;2147485404
2696;16133;2147485403
2707;16198;2147485402
2709;16211;2147485401
2720;16273;2147485400
2750;16440;2147485398
2753;16455;2147485396
2769;16548;2147485395
2772;16566;2147485393
2773;16572;2147485392
2774;16579;2147485390
2777;16597;2147485388
2795;16702;2147485387
2796;16709;2147485386
2799;16728;2147485385
2800;16734;2147485384
2805;16763;2147485383
2833;16929;2147485381
2835;16941;2147485379
2836;16946;2147485378
2842;16981;2147485376
2844;16992;2147485375
2863;17102;2147485374
2875;17171;2147485373
2892;17272;2147485372
2898;17306;2147485370
2924;17453;2147485369
2930;17488;2147485368
2945;17576;2147485367
2985;17800;2147485366
2987;17812;2147485365
2992;17840;2147485363
3005;17918;2147485335
3015;17977;2147485334
3023;18026;2147485333
3041;18132;2147485332
3044;18150;2147485330
3067;18286;2147485329
3076;18336;2147485328
3100;18475;2147485327
3101;18481;2147485324
3112;18543;2147485323
3124;18615;2147485322
3133;18667;2147485321
3135;18679;2147485319
3137;18693;2147485318
3139;18705;2147485316
3147;18754;2147485315
3161;18839;2147485314
3163;18851;2147485312
3175;18924;2147485311
3177;18936;2147485310
3183;18970;2147485309
3193;19030;2147485308
3194;19035;2147485307
3225;19215;2147485306
3238;19289;2147485305
3240;19301;2147485304
3246;19338;2147485303
3251;19368;2147485302
3262;19432;2147485301
3264;19444;2147485300
3279;19534;2147485299
3281;19546;2147485298
3307;19699;2147485297
3309;19710;2147485292
3310;19715;2147485291
3314;19738;2147485290
3322;19785;2147485289
3323;19792;2147485288
3340;19892;2147485287
3405;20252;2147485286
3415;20310;2147485284
3473;20631;2147485283
3477;20652;2147485281
3482;20681;2147485280
3493;20746;2147485279
3501;20794;2147485278
3509;20843;2147485275
3512;20860;2147485274
3513;20866;2147485273
3528;20952;2147485271
3533;20982;2147485270
3557;21121;2147485268
3580;21255;2147485267
3596;21344;2147485266
3608;21413;2147485264
3635;21566;2147485263
3651;21655;2147485262
3655;21679;2147485259
3672;21777;2147485258
3682;21831;2147485257
3686;21854;2147485256
3691;21884;2147485254
3692;21890;2147485253
3711;22002;2147485252
3713;22014;2147485250
3720;22053;2147485248
3724;22076;2147485247
3750;22231;2147485246
3756;22266;2147485245
3757;22272;2147485244
3771;22359;2147485243
3775;22382;2147485242
3800;22522;2147485241
3806;22557;2147485240
3814;22603;2147485239
3817;22620;2147485236
3846;22788;2147485235
3848;22800;2147485234
3851;22817;2147485233
3859;22863;2147485232
3865;22899;2147485231
3896;23072;2147485230
3900;23096;2147485229
3928;23258;2147485227
3937;23310;2147485226
3942;23338;2147485225
3944;23350;2147485224
3986;23581;2147485223
3991;23610;2147485221
3992;23615;2147485220
4012;23740;2147485219
4014;23753;2147485218
4022;23800;2147485217
4028;23836;2147485216
4049;23954;2147485214
4115;24313;2147485213
4120;24342;2147485212
4121;24348;2147485211
4123;24360;2147485210
4128;24388;2147485209
4139;24454;2147485208
4155;24546;2147485205
4159;24570;2147485204
4169;24627;2147485203
4177;24670;2147485202
4184;24710;2147485201
4194;24768;2147485200
4195;24774;2147485199
4199;24798;2147485198
4203;24822;2147485197
4224;24942;2147485196
4225;24948;2147485195
4242;25042;2147485194
4246;25065;2147485193
4248;25078;2147485190
4264;25164;2147485189
4277;25244;2147485188
4284;25285;2147485187
4310;25426;2147485186
4320;25482;2147485185
4329;25532;2147485184
4335;25569;2147485183
4364;25729;2147485182
4372;25776;2147485180
4373;25791;2147485179
4377;25807;2147485178
4380;25823;2147485177
4396;25916;2147485176
4407;25979;2147485175
4409;25979;2147485174
4413;26010;2147485173
4451;26213;2147485171
4454;26244;2147485170
4488;26416;2147485169
4490;26432;2147485168
4528;26617;2147485167
4537;26664;2147485166
4541;26695;2147485165
4567;26836;2147485164
4581;26914;2147485163
4620;27117;2147485162
4628;27164;2147485160
4661;27336;2147485159
4663;27352;2147485157
4697;27523;2147485154
4738;27726;2147485153
4769;27898;2147485152
4770;27898;2147485151
4772;27914;2147485149
4809;28101;2147485148
4836;28261;2147485147
4855;28354;2147485146
4884;28495;2147485145
4892;28542;2147485144
4916;28667;2147485143
4921;28698;2147485141
4923;28714;2147485140
4935;28776;2147485138
4939;28807;2147485137
4957;28901;2147485136
4969;28964;2147485135
4974;28995;2147485134
5011;29198;2147485133
5037;29323;2147485129
5047;29385;2147485128
5049;29385;2147485127
5067;29495;2147485126
5088;29604;2147485125
5115;29745;2147485124
5168;30010;2147485123
5173;30042;2147485122
5201;30182;2147485120
5227;30323;2147485119
5246;30432;2147485118
5293;30666;2147485117
5296;30682;2147485115
5307;30744;2147485114
5309;30760;2147485113
5317;30807;2147485112
5319;30807;2147485111
5347;30963;2147485110
5350;30979;2147485109
5362;31041;2147485108
5415;31322;2147485107
5429;31401;2147485106
5452;31526;2147485105
5457;31557;2147485104
5462;31572;2147485103
5467;31604;2147485102
5476;31650;2147485101
5482;31682;2147485100
5487;31713;2147485099
5496;31760;2147485098
5523;31900;2147485097
5528;31932;2147485096
5556;32072;2147485095
5578;32182;2147485093
5601;32307;2147485092
5631;32463;2147485091
5662;32619;2147485090
5688;32760;2147485089
5692;32775;2147485088
5723;32931;2147485087
5732;32978;2147485086
5734;32994;2147485085
5743;33041;2147485084
5782;33246;2147485082
5790;33293;2147485081
5803;33371;2147485080
5829;33512;2147485079
5833;33543;2147485077
5853;33637;2147485076
5871;33746;2147485075
5879;33777;2147485074
5885;33809;2147485073
5907;33934;2147485072
5912;33965;2147485071
5942;34121;2147485070
6001;34433;2147485069
6011;34496;2147485068
6012;34496;2147485067
6092;34902;2147485066
6093;34902;2147485065
6101;34949;2147485064
6107;34980;2147485063
6112;35011;2147485062
6161;35277;2147485061
6166;35308;2147485060
6174;35339;2147485059
6175;35355;2147485058
6185;35402;2147485057
6201;35496;2147485055
6204;35511;2147485054
6209;35527;2147485053
6217;35574;2147485052
6234;35667;2147485051
6243;35730;2147485050
6258;35808;2147485048
6269;35855;2147485046
6285;35949;2147485045
6333;36191;2147485044
6349;36284;2147485043
6354;36316;2147485042
6368;36409;2147485041
6380;36472;2147485040
6385;36503;2147485039
6404;36597;2147485034
6419;36675;2147485033
6427;36722;2147485032
6460;36894;2147485031
6463;36909;2147485030
6482;37018;2147485029
6487;37050;2147485028
6522;37222;2147485027
6547;37362;2147485026
6570;37472;2147485025
6596;37612;2147485023
6606;37659;2147485022
6619;37737;2147485021
6661;37956;2147485019
6674;38018;2147485018
6724;38287;2147485017
6731;38318;2147485016
6735;38350;2147485015
6756;38459;2147485014
6770;38521;2147485013
6771;38521;2147485012
6783;38599;2147485011
6878;39068;2147485009
6912;39256;2147485008
6940;39390;2147485007
7009;39749;2147485006
7049;39953;2147485005
7060;40015;2147485004
7061;40015;2147485003
7067;40062;2147485002
7110;40281;2147485001
7155;40515;2147484999
7162;40546;2147484998
7176;40624;2147484997
7191;40702;2147484996
7232;40921;2147484995
7261;41077;2147484994
7288;41233;2147484993
7312;41358;2147484992
7319;41390;2147484991
7343;41515;2147484990
7349;41546;2147484989
7367;41640;2147484988
7399;41811;2147484975
7408;41858;2147484974
7466;42155;2147484973
7491;42296;2147484972
7505;42374;2147484971
7507;42374;2147484970
7515;42421;2147484969
7586;42780;2147484968
7605;42889;2147484967
7632;43030;2147484966
7668;43217;2147484965
7701;43376;2147484964
7711;43438;2147484963
7718;43469;2147484961
7743;43610;2147484959
7799;43891;2147484958
7804;43923;2147484957
7882;44329;2147484956
7894;44391;2147484955
7900;44422;2147484954
7901;44438;2147484953
7903;44438;2147484952
7927;44563;2147484951
7940;44641;2147484950
7984;44875;2147484949
8010;45000;2147484948
8018;45047;2147484947
8019;45047;2147484946
8053;45235;2147484945
8061;45282;2147484944
8107;45516;2147484942
8118;45578;2147484941
8172;45860;2147484940
8200;46000;2147484939
8245;46234;2147484938
8249;46266;2147484937
8256;46297;2147484935
8270;46375;2147484934
8292;46500;2147484933
8297;46531;2147484931
8316;46625;2147484930
8371;46906;2147484929
8398;47047;2147484927
8406;47094;2147484926
8442;47281;2147484925
8448;47312;2147484923
8491;47547;2147484922
8519;47687;2147484921
8524;47719;2147484920
8529;47734;2147484918
8551;47859;2147484917
8565;47937;2147484916
8603;48137;2147484915
8609;48168;2147484913
8617;48200;2147484912
8657;48422;2147484908
8659;48422;2147484907
8660;48422;2147484906
8665;48453;2147484904
8692;48593;2147484903
8701;48656;2147484902
8774;49015;2147484900
8775;49031;2147484899
8798;49156;2147484898
8810;49218;2147484897
8829;49328;2147484896
8834;49359;2147484894
8868;49531;2147484893
8897;49687;2147484892
8902;49718;2147484891
8904;49734;2147484890
8914;49781;2147484889
8996;50203;2147484885
9009;50265;2147484884
9010;50281;2147484883
9039;50437;2147484882
9062;50562;2147484881
9104;50781;2147484880
9119;50859;2147484879
9170;51109;2147484878
9182;51171;2147484877
9224;51405;2147484876
9288;51718;2147484875
9303;51796;2147484874
9322;51890;2147484811
9334;51952;2147484810
9362;52108;2147484809
9425;52421;2147484807
9430;52452;2147484806
9455;52577;2147484804
9461;52624;2147484803
9484;52734;2147484802
9558;53124;2147484801
9608;53377;2147484799
9633;53518;2147484798
9638;53534;2147484797
9656;53627;2147484795
9658;53643;2147484794
9665;53690;2147484793
9689;53815;2147484792
9701;53877;2147484785
9811;54440;2147484784
9819;54471;2147484782
9831;54549;2147484781
9865;54721;2147484780
9889;54846;2147484778
9934;55080;2147484777
9960;55221;2147484776
9971;55283;2147484775
10004;55455;2147484774
10020;55533;2147484773
10038;55627;2147484771
10059;55736;2147484770
10074;55814;2147484769
10081;55861;2147484768
10085;55892;2147484767
10131;56142;2147484766
10143;56205;2147484765
10178;56377;2147484764
10182;56408;2147484763
10190;56455;2147484762
10195;56470;2147484761
10201;56502;2147484760
10259;56798;2147484759
10342;57251;2147484758
10348;57283;2147484757
10399;57548;2147484756
10401;57548;2147484755
10433;57720;2147484754
10443;57767;2147484753
10449;57814;2147484752
10450;57814;2147484751
10476;57954;2147484750
10511;58126;2147484749
10550;58332;2147484748
10654;58863;2147484747
10657;58879;2147484746
10678;58988;2147484745
10680;59004;2147484744
10688;59035;2147484743
10711;59176;2147484742
10725;59238;2147484741
10783;59535;2147484740
10861;59941;2147484739
10864;59957;2147484738
10901;60144;2147484737
10908;60191;2147484736
10974;60531;2147484735
10986;60594;2147484734
11040;60875;2147484733
11085;61109;2147484731
11096;61172;2147484730
11101;61187;2147484729
11116;61281;2147484728
11118;61297;2147484727
11135;61390;2147484724
11146;61453;2147484723
11154;61484;2147484722
11165;61546;2147484721
11174;61593;2147484720
11200;61750;2147484719
11240;61953;2147484718
11244;61968;2147484717
11261;62046;2147484715
11289;62203;2147484713
11308;62296;2147484712
11375;62640;2147484711
11387;62702;2147484710
11410;62812;2147484709
11438;62968;2147484707
11452;63031;2147484706
11464;63093;2147484705
11468;63124;2147484704
11530;63439;2147484703
11565;63626;2147484702
11664;64111;2147484701
11771;64673;2147484700
11901;65329;2147484699
11916;65407;2147484698
11935;65517;2147484697
11948;65579;2147484696
11955;65626;2147484695
11993;65829;2147484694
12003;65876;2147484693
12008;65907;2147484692
12019;65970;2147484691
12087;66329;2147484690
12131;66548;2147484689
12140;66594;2147484687
12198;66891;2147484686
12212;66969;2147484685
12300;67422;2147484684
12313;67485;2147484683
12360;67719;2147484682
12383;67844;2147484681
12424;68063;2147484680
12468;68281;2147484679
12477;68331;2147484678
12504;68471;2147484677
12541;68659;2147484676
12562;68768;2147484675
12663;69283;2147484674
12675;69346;2147484673
12683;69393;2147484672
12711;69549;2147484671
12715;69565;2147484670
12759;69799;2147484669
12785;69924;2147484668
12860;70314;2147484667
12862;70330;2147484666
12866;70346;2147484665
12941;70721;2147484664
13119;71627;2147484659
13172;71908;2147484658
13202;72064;2147484657
13246;72298;2147484655
13266;72408;2147484654
13294;72548;2147484653
13318;72673;2147484652
13350;72845;2147484650
13412;73158;2147484649
13464;73425;2147484648
13469;73457;2147484646
13501;73613;2147484645
13525;73753;2147484644
13564;73941;2147484643
13589;74066;2147484642
13607;74175;2147484641
13638;74331;2147484640
13666;74488;2147484639
13679;74566;2147484638
13739;74878;2147484632
13770;75034;2147484631
13812;75263;2147484630
13909;75747;2147484629
14038;76403;2147484628
14048;76466;2147484626
14119;76825;2147484625
14136;76919;2147484623
14289;77700;2147484622
14306;77778;2147484621
14333;77919;2147484620
14365;78075;2147484619
14400;78262;2147484618
14456;78546;2147484617
14477;78656;2147484616
14594;79249;2147484615
14596;79265;2147484614
14676;79687;2147484613
14688;79749;2147484612
14693;79780;2147484611
14791;80280;2147484610
14838;80530;2147484609
14858;80639;2147484608
14928;80999;2147484607
14972;81217;2147484606
14998;81358;2147484604
15022;81483;2147484603
15046;81592;2147484602
15064;81695;2147484601
15106;81914;2147484600
15116;81976;2147484599
15150;82148;2147484598
15178;82288;2147484597
15190;82351;2147484596
15196;82382;2147484595
15201;82413;2147484593
15222;82523;2147484592
15273;82788;2147484591
15283;82851;2147484590
15316;83023;2147484589
15359;83241;2147484588
15395;83417;2147484586
15461;83760;2147484585
15523;84073;2147484584
15541;84166;2147484583
15649;84713;2147484581
15668;84807;2147484580
15741;85182;2147484579
15843;85744;2147484578
16011;86588;2147484577
16041;86728;2147484576
16063;86853;2147484575
16117;87119;2147484574
16257;87837;2147484573
16262;87869;2147484572
16328;88197;2147484571
16374;88449;2147484570
16585;89527;2147484569
16739;90308;2147484568
16740;90308;2147484567
16849;90870;2147484566
16903;91136;2147484565
17109;92174;2147484564
17115;92221;2147484563
17193;92611;2147484562
17230;92799;2147484561
17251;92908;2147484560
17255;92924;2147484559
17291;93111;2147484558
17325;93299;2147484557
17335;93345;2147484555
17392;93642;2147484554
17406;93705;2147484553
17436;93861;2147484552
17582;94611;2147484551
17738;95376;2147484550
17775;95579;2147484549
17895;96188;2147484548
17994;96704;2147484547
18002;96735;2147484546
18025;96860;2147484545
18109;97298;2147484544
18134;97423;2147484542
18265;98079;2147484541
18476;99162;2147484540
18511;99350;2147484539
18553;99553;2147484538
18610;99850;2147484537
18718;100412;2147484536
18867;101146;2147484535
18906;101349;2147484534
18974;101709;2147484533
18983;101756;2147484532
19048;102084;2147484531
19069;102193;2147484530
19158;102630;2147484529
19240;103052;2147484528
19253;103130;2147484526
19299;103368;2147484525
19316;103446;2147484524
19344;103602;2147484523
19402;103899;2147484522
19502;104414;2147484520
19608;104961;2147484519
19661;105227;2147484518
19737;105602;2147484517
19749;105664;2147484516
19929;106570;2147484515
19937;106601;2147484514
19945;106648;2147484513
20138;107617;2147484512
20169;107773;2147484511
20205;107960;2147484510
20207;107976;2147484509
20307;108479;2147484508
20341;108651;2147484507
20357;108744;2147484506
20370;108807;2147484505
20389;108916;2147484504
20488;109432;2147484503
20572;109853;2147484502
20580;109900;2147484501
20848;111289;2147484500
20989;111976;2147484499
21018;112132;2147484498
21043;112273;2147484497
21070;112413;2147484496
21080;112460;2147484495
21085;112492;2147484494
21187;113007;2147484493
21196;113054;2147484492
21225;113210;2147484491
21251;113351;2147484488
21283;113510;2147484487
21321;113713;2147484486
21441;114323;2147484485
21493;114588;2147484483
21511;114682;2147484482
21552;114916;2147484481
21566;114979;2147484480
21694;115650;2147484479
21773;116041;2147484478
21904;116713;2147484477
22071;117541;2147484476
22202;118181;2147484475
22307;118709;2147484474
22459;119468;2147484473
22788;121140;2147484472
22849;121452;2147484471
22967;122046;2147484470
23121;122811;2147484469
23172;123077;2147484468
23387;124157;2147484467
23414;124297;2147484466
23681;125656;2147484465
23839;126437;2147484464
23861;126547;2147484463
24064;127578;2147484462
24130;127921;2147484461
24390;129236;2147484460
24503;129814;2147484459
24741;131018;2147484458
24814;131393;2147484457
24964;132127;2147484456
25177;133189;2147484455
25217;133411;2147484454
25218;133411;2147484453
25354;134083;2147484452
25356;134098;2147484450
25577;135223;2147484449
25729;136000;2147484448
25733;136015;2147484446
25824;136484;2147484445
25827;136499;2147484444
25831;136515;2147484443
25871;136734;2147484442
25899;136874;2147484440
26014;137468;2147484439
26161;138202;2147484437
26207;138439;2147484436
26362;139221;2147484435
26388;139361;2147484434
26409;139455;2147484433
26466;139752;2147484432
26545;140158;2147484431
26590;140377;2147484430
26627;140564;2147484429
26678;140830;2147484428
26787;141392;2147484427
27162;143266;2147484426
27239;143660;2147484425
27331;144129;2147484424
27515;145035;2147484423
27546;145207;2147484422
27797;146472;2147484421
27864;146800;2147484420
28035;147659;2147484419
28046;147722;2147484418
28090;147956;2147484417
28105;148034;2147484416
28171;148378;2147484415
28313;149084;2147484414
28345;149240;2147484413
28540;150209;2147484412
28606;150552;2147484411
28656;150802;2147484410
28847;151763;2147484409
28867;151872;2147484408
29149;153293;2147484407
29211;153623;2147484406
29309;154108;2147484405
29403;154592;2147484404
29595;155576;2147484403
29611;155654;2147484402
29640;155810;2147484401
29688;156060;2147484400
29740;156326;2147484399
29854;156904;2147484398
29962;157451;2147484397
30001;157654;2147484396
30022;157763;2147484395
30080;158060;2147484394
30119;158263;2147484393
30120;158263;2147484392
30125;158294;2147484391
30295;159171;2147484390
30403;159718;2147484389
30538;160374;2147484388
30567;160530;2147484387
30789;161655;2147484386
30873;162076;2147484385
30894;162186;2147484384
30901;162217;2147484383
31133;163453;2147484382
31174;163672;2147484381
31443;165039;2147484380
31455;165102;2147484379
31623;165945;2147484378
31682;166258;2147484377
31928;167492;2147484376
31956;167633;2147484375
31979;167758;2147484374
32161;168666;2147484373
32670;171212;2147484372
32739;171556;2147484371
32976;172736;2147484370
33006;172893;2147484369
33069;173221;2147484368
33131;173536;2147484367
33388;174817;2147484366
33432;175052;2147484365
33654;176161;2147484364
33718;176489;2147484363
