fes;time;f
1;79;2147486292
2;89;2147486291
14;179;2147486288
18;199;2147486287
29;260;2147486277
30;265;2147486276
35;291;2147486274
39;310;2147486273
42;326;2147486272
53;384;2147486271
54;389;2147486268
56;400;2147486267
59;416;2147486266
62;432;2147486265
65;448;2147486263
74;496;2147486262
75;501;2147486261
79;522;2147486259
82;538;2147486258
84;548;2147486256
94;603;2147486255
96;614;2147486253
100;636;2147486252
103;652;2147486251
104;657;2147486250
105;662;2147486248
109;683;2147486247
113;704;2147486246
118;729;2147486245
123;755;2147486243
124;760;2147486242
129;787;2147486239
132;803;2147486236
134;815;2147486234
137;832;2147486233
138;837;2147486229
141;854;2147486228
151;907;2147486227
157;938;2147486226
158;944;2147486223
159;949;2147486221
175;1041;2147486220
178;1057;2147486219
180;1068;2147486214
184;1087;2147486211
193;1133;2147486210
206;1199;2147486204
213;1235;2147486203
220;1271;2147486202
223;1288;2147486201
230;1325;2147486200
232;1336;2147486199
238;1368;2147486198
240;1378;2147486197
245;1408;2147486195
248;1424;2147486194
254;1456;2147486193
275;1570;2147486192
288;1639;2147486191
290;1650;2147486190
293;1666;2147486186
301;1708;2147486183
302;1714;2147486182
315;1785;2147486181
325;1838;2147486180
329;1858;2147486177
350;1970;2147486176
351;1976;2147486175
362;2037;2147486174
364;2048;2147486173
365;2054;2147486172
370;2082;2147486168
372;2093;2147486164
373;2099;2147486162
375;2110;2147486161
380;2135;2147486160
394;2206;2147486159
396;2216;2147486158
397;2221;2147486154
400;2237;2147486153
416;2321;2147486150
419;2337;2147486148
422;2353;2147486146
428;2385;2147486144
434;2417;2147486142
437;2432;2147486141
443;2464;2147486140
444;2469;2147486139
449;2496;2147486138
451;2506;2147486136
453;2517;2147486133
454;2522;2147486132
460;2553;2147486129
463;2569;2147486128
472;2623;2147486127
473;2628;2147486126
474;2633;2147486122
475;2639;2147486120
498;2760;2147486117
507;2810;2147486112
516;2857;2147486110
529;2925;2147486108
536;2962;2147486107
540;2982;2147486095
546;3017;2147486093
548;3028;2147486092
553;3056;2147486091
555;3066;2147486090
557;3076;2147486088
565;3117;2147486086
577;3180;2147486085
579;3190;2147486082
584;3219;2147486081
597;3287;2147486078
611;3361;2147486077
616;3387;2147486075
620;3408;2147486074
622;3419;2147486073
631;3468;2147486071
637;3500;2147486069
650;3568;2147486068
672;3684;2147486066
674;3696;2147486064
682;3737;2147486060
683;3743;2147486057
705;3858;2147486056
708;3874;2147486054
709;3880;2147486053
710;3885;2147486052
718;3930;2147486051
720;3940;2147486047
732;4006;2147486045
737;4034;2147486044
742;4061;2147486043
747;4087;2147486042
751;4107;2147486041
