fes;time;f
1;63;2576
10;141;2574
13;157;2572
14;157;2569
17;172;2568
34;266;2567
35;266;2562
36;266;2561
37;282;2560
38;282;2558
41;297;2555
42;297;2553
54;360;2551
57;375;2550
74;469;2549
80;500;2548
83;516;2547
84;516;2545
87;532;2543
94;563;2541
96;578;2540
99;594;2539
107;625;2538
110;641;2537
123;703;2534
126;719;2531
129;735;2530
131;750;2529
140;797;2526
142;797;2521
150;844;2520
157;875;2519
170;938;2515
171;953;2514
175;969;2513
178;985;2510
186;1032;2509
188;1032;2505
190;1047;2503
197;1078;2497
198;1094;2496
199;1094;2495
208;1141;2494
225;1222;2493
226;1222;2491
228;1237;2490
240;1300;2489
251;1347;2487
255;1378;2486
259;1394;2483
273;1456;2482
275;1472;2481
280;1487;2480
288;1534;2479
291;1550;2477
294;1565;2476
295;1565;2475
296;1581;2474
306;1628;2472
307;1628;2470
334;1753;2469
336;1768;2468
339;1784;2464
347;1815;2463
348;1831;2460
356;1862;2456
363;1893;2455
364;1909;2450
368;1925;2448
393;2050;2446
405;2112;2445
419;2175;2443
426;2221;2441
428;2221;2440
432;2237;2439
434;2253;2436
440;2284;2435
442;2284;2433
447;2315;2432
450;2331;2431
456;2362;2428
463;2393;2426
465;2409;2424
474;2456;2422
476;2456;2421
491;2534;2419
492;2534;2418
497;2565;2417
503;2596;2416
505;2612;2415
517;2659;2413
523;2690;2411
525;2706;2410
529;2721;2409
530;2721;2406
531;2737;2405
539;2768;2403
542;2784;2402
555;2846;2401
556;2846;2400
558;2862;2397
562;2878;2396
568;2914;2395
576;2961;2393
580;2976;2392
581;2976;2391
603;3086;2390
609;3117;2389
612;3133;2387
625;3210;2386
627;3214;2385
636;3261;2384
639;3276;2383
649;3323;2381
652;3339;2380
658;3370;2379
669;3433;2378
684;3495;2377
686;3511;2372
690;3526;2371
691;3526;2366
694;3542;2365
708;3604;2364
711;3620;2362
726;3698;2361
733;3729;2360
738;3761;2359
739;3761;2358
749;3807;2357
750;3823;2356
764;3886;2354
766;3901;2353
773;3932;2352
779;3964;2349
780;3964;2344
802;4073;2343
811;4120;2340
829;4198;2339
831;4214;2338
834;4229;2337
853;4323;2335
857;4339;2332
866;4385;2331
867;4385;2330
872;4417;2329
891;4510;2326
899;4557;2325
904;4573;2324
905;4589;2320
912;4620;2319
913;4620;2318
916;4635;2315
925;4682;2313
928;4698;2311
929;4698;2310
945;4776;2309
948;4792;2308
949;4792;2301
950;4807;2300
967;4885;2299
972;4901;2297
985;4963;2293
994;5010;2290
1003;5057;2287
1011;5104;2286
1012;5104;2282
1013;5122;2281
1014;5127;2277
1018;5143;2276
1027;5190;2275
1030;5190;2274
1043;5268;2273
1052;5315;2272
1062;5362;2270
1065;5377;2269
1066;5377;2268
1071;5409;2267
1072;5409;2266
1077;5440;2265
