fes;time;f
1;94;2147485875
3;141;2147485874
13;219;2147485873
17;250;2147485872
18;266;2147485867
26;297;2147485864
29;312;2147485861
37;359;2147485860
42;375;2147485859
51;422;2147485858
52;422;2147485855
55;437;2147485853
57;453;2147485852
63;484;2147485850
64;484;2147485849
73;531;2147485848
80;562;2147485847
81;562;2147485846
83;578;2147485844
93;625;2147485841
97;640;2147485838
112;719;2147485837
124;765;2147485836
128;781;2147485833
130;797;2147485832
135;812;2147485831
137;828;2147485830
150;890;2147485827
158;922;2147485826
159;922;2147485825
163;937;2147485824
173;984;2147485822
174;1000;2147485819
190;1062;2147485817
194;1093;2147485816
196;1093;2147485813
198;1109;2147485811
206;1140;2147485809
219;1203;2147485807
221;1203;2147485804
224;1218;2147485802
225;1234;2147485801
228;1234;2147485800
234;1265;2147485799
235;1281;2147485798
238;1297;2147485797
242;1312;2147485796
246;1328;2147485795
247;1328;2147485794
252;1359;2147485793
257;1375;2147485792
262;1406;2147485791
267;1422;2147485790
275;1453;2147485788
282;1484;2147485785
283;1500;2147485784
292;1531;2147485782
300;1578;2147485781
301;1578;2147485780
307;1609;2147485777
312;1625;2147485776
318;1656;2147485775
322;1671;2147485772
323;1671;2147485771
328;1703;2147485768
336;1734;2147485767
337;1734;2147485766
339;1750;2147485764
344;1765;2147485763
349;1796;2147485761
363;1859;2147485760
367;1875;2147485756
370;1890;2147485755
387;1968;2147485754
391;1984;2147485753
396;2015;2147485748
398;2015;2147485746
400;2031;2147485745
401;2031;2147485742
404;2046;2147485741
407;2062;2147485737
415;2093;2147485734
416;2093;2147485733
418;2109;2147485732
441;2218;2147485731
455;2281;2147485729
461;2312;2147485726
462;2312;2147485724
470;2359;2147485717
477;2390;2147485714
479;2406;2147485713
481;2406;2147485710
508;2531;2147485709
513;2562;2147485708
514;2562;2147485707
515;2578;2147485706
520;2593;2147485705
524;2609;2147485702
533;2656;2147485695
538;2671;2147485692
541;2687;2147485691
549;2718;2147485690
551;2734;2147485685
559;2765;2147485684
572;2827;2147485682
575;2843;2147485681
585;2890;2147485680
589;2906;2147485678
591;2921;2147485677
599;2952;2147485676
615;3031;2147485672
620;3046;2147485671
621;3062;2147485670
623;3062;2147485669
634;3109;2147485668
650;3187;2147485666
651;3187;2147485665
658;3218;2147485664
672;3280;2147485663
675;3296;2147485662
680;3327;2147485660
685;3343;2147485658
686;3343;2147485657
704;3437;2147485656
709;3452;2147485654
712;3468;2147485653
722;3515;2147485652
726;3530;2147485651
732;3562;2147485648
734;3562;2147485645
752;3655;2147485644
753;3655;2147485641
754;3655;2147485640
773;3749;2147485638
775;3749;2147485637
777;3765;2147485635
783;3780;2147485634
787;3812;2147485632
798;3858;2147485629
799;3858;2147485627
814;3921;2147485626
818;3952;2147485624
823;3968;2147485622
830;3999;2147485619
831;3999;2147485617
848;4077;2147485616
850;4093;2147485615
864;4155;2147485614
868;4171;2147485612
889;4265;2147485611
890;4280;2147485610
891;4280;2147485607
901;4327;2147485606
910;4358;2147485604
920;4405;2147485599
925;4436;2147485598
930;4452;2147485596
931;4452;2147485595
942;4515;2147485592
949;4546;2147485591
955;4577;2147485589
987;4718;2147485588
990;4733;2147485587
999;4765;2147485586
1009;4811;2147485585
1010;4827;2147485579
1026;4889;2147485578
1034;4936;2147485577
1035;4936;2147485576
1049;4999;2147485574
1050;4999;2147485573
1057;5030;2147485572
1071;5093;2147485571
1076;5124;2147485570
1079;5139;2147485569
1082;5155;2147485566
1084;5155;2147485565
1086;5171;2147485564
1090;5186;2147485563
1092;5202;2147485562
1095;5202;2147485561
1099;5233;2147485559
1110;5280;2147485558
1119;5311;2147485557
1145;5436;2147485556
1153;5483;2147485555
1154;5483;2147485554
1155;5483;2147485552
1163;5530;2147485550
1174;5577;2147485547
1179;5592;2147485546
1183;5624;2147485544
1192;5655;2147485543
1196;5686;2147485542
1198;5686;2147485540
1209;5749;2147485539
1219;5796;2147485538
1224;5811;2147485537
1235;5858;2147485536
1240;5889;2147485534
1246;5905;2147485533
1258;5967;2147485532
1265;5999;2147485529
1268;6014;2147485527
1270;6014;2147485526
1274;6030;2147485524
1277;6045;2147485522
1290;6108;2147485521
1297;6139;2147485520
1299;6155;2147485519
1310;6202;2147485516
1314;6217;2147485514
1322;6249;2147485512
1326;6280;2147485511
1327;6280;2147485510
1334;6311;2147485509
1345;6358;2147485508
1348;6374;2147485507
1351;6389;2147485505
1361;6436;2147485503
1370;6467;2147485502
1371;6467;2147485501
1387;6545;2147485500
1389;6561;2147485498
1395;6577;2147485496
1402;6608;2147485492
1408;6639;2147485489
1410;6655;2147485488
1418;6686;2147485487
1426;6717;2147485481
1432;6748;2147485479
1436;6764;2147485477
1437;6780;2147485475
1441;6795;2147485474
1446;6811;2147485472
1456;6858;2147485471
1459;6873;2147485470
1466;6905;2147485468
1471;6920;2147485467
1479;6971;2147485464
1481;6975;2147485463
1486;6991;2147485461
1490;7006;2147485456
1493;7022;2147485455
1496;7038;2147485454
1499;7053;2147485453
1501;7069;2147485452
1505;7085;2147485449
1537;7225;2147485448
1547;7272;2147485445
1553;7303;2147485443
1554;7303;2147485442
1558;7319;2147485441
1559;7334;2147485439
