fes;time;f
1;63;2147484401
7;63;2147484400
8;63;2147484395
10;79;2147484388
11;79;2147484386
12;79;2147484385
13;79;2147484379
15;79;2147484378
16;79;2147484377
17;79;2147484376
25;94;2147484367
31;94;2147484365
36;94;2147484364
37;94;2147484357
38;94;2147484355
39;94;2147484354
40;110;2147484353
46;110;2147484351
48;110;2147484349
53;110;2147484348
57;125;2147484343
63;125;2147484342
65;125;2147484341
66;125;2147484339
72;125;2147484338
81;141;2147484336
83;141;2147484335
84;141;2147484333
88;141;2147484332
89;141;2147484331
90;141;2147484329
92;141;2147484328
93;141;2147484327
98;141;2147484321
101;141;2147484319
106;141;2147484318
108;141;2147484314
109;141;2147484310
115;157;2147484308
126;157;2147484307
129;157;2147484305
131;157;2147484304
134;157;2147484302
136;157;2147484301
137;157;2147484300
145;172;2147484299
153;172;2147484296
158;172;2147484295
160;172;2147484294
162;172;2147484290
165;172;2147484288
170;172;2147484283
173;172;2147484281
174;188;2147484280
177;188;2147484279
178;188;2147484278
184;188;2147484277
187;188;2147484275
191;188;2147484274
195;188;2147484272
202;188;2147484270
208;203;2147484269
211;203;2147484268
213;203;2147484263
216;203;2147484262
226;203;2147484261
231;203;2147484255
248;219;2147484254
253;219;2147484253
254;219;2147484252
263;219;2147484249
265;219;2147484247
268;219;2147484246
278;235;2147484245
281;235;2147484244
297;235;2147484243
298;235;2147484239
305;250;2147484238
306;250;2147484235
308;250;2147484234
310;250;2147484233
317;250;2147484230
318;250;2147484226
321;250;2147484225
323;250;2147484224
324;250;2147484223
328;250;2147484221
329;250;2147484219
342;266;2147484217
349;266;2147484213
351;266;2147484212
356;266;2147484210
363;266;2147484208
365;282;2147484207
366;282;2147484205
370;282;2147484204
373;282;2147484199
380;282;2147484193
384;282;2147484192
385;282;2147484189
386;282;2147484187
390;297;2147484186
412;297;2147484182
413;297;2147484180
414;297;2147484179
417;313;2147484177
422;313;2147484170
423;313;2147484169
425;313;2147484166
427;313;2147484165
429;313;2147484160
430;313;2147484159
441;313;2147484157
447;313;2147484156
458;328;2147484154
468;328;2147484153
470;328;2147484152
473;328;2147484149
474;328;2147484148
475;328;2147484147
476;328;2147484145
480;328;2147484141
481;328;2147484140
482;328;2147484139
493;344;2147484138
501;344;2147484136
503;344;2147484135
505;344;2147484130
506;344;2147484129
509;344;2147484127
519;344;2147484126
521;344;2147484125
530;360;2147484124
532;360;2147484123
534;360;2147484121
537;360;2147484119
540;360;2147484116
541;360;2147484115
545;360;2147484112
555;360;2147484110
556;360;2147484109
558;375;2147484108
568;375;2147484106
575;375;2147484104
576;375;2147484101
580;375;2147484098
591;375;2147484097
598;391;2147484096
600;391;2147484094
605;391;2147484093
611;391;2147484092
612;391;2147484091
633;391;2147484090
634;391;2147484089
651;407;2147484088
662;407;2147484085
666;407;2147484084
683;407;2147484083
687;422;2147484082
692;422;2147484081
694;422;2147484080
745;438;2147484079
746;438;2147484078
769;438;2147484077
780;453;2147484076
787;453;2147484074
792;453;2147484073
797;453;2147484070
817;469;2147484069
819;469;2147484068
834;469;2147484064
835;469;2147484063
836;469;2147484061
851;485;2147484060
856;485;2147484059
870;485;2147484058
878;485;2147484057
899;500;2147484056
901;500;2147484055
903;500;2147484054
905;500;2147484052
918;500;2147484051
921;500;2147484049
937;516;2147484048
952;516;2147484047
953;516;2147484046
957;516;2147484045
958;516;2147484044
987;532;2147484043
999;532;2147484042
1006;532;2147484040
1015;547;2147484039
1022;547;2147484037
1037;547;2147484036
1040;547;2147484035
1055;563;2147484034
1060;563;2147484033
1076;563;2147484031
1078;563;2147484030
1089;563;2147484029
1118;578;2147484028
1132;578;2147484027
1140;578;2147484026
1142;594;2147484025
1186;594;2147484024
1199;610;2147484023
1204;610;2147484022
1226;610;2147484021
1246;625;2147484020
1267;625;2147484019
1269;625;2147484017
1280;641;2147484016
1281;641;2147484014
1292;641;2147484013
1317;641;2147484012
1334;657;2147484011
1342;657;2147484010
1347;657;2147484009
1358;672;2147484008
1363;672;2147484007
1364;672;2147484006
1378;672;2147484005
1381;672;2147484004
1386;672;2147484003
1490;719;2147484001
1500;719;2147484000
1502;719;2147483999
1528;719;2147483998
1534;719;2147483996
1560;735;2147483995
1568;735;2147483994
1570;735;2147483993
1619;750;2147483992
1622;750;2147483991
1626;750;2147483990
1630;750;2147483989
1631;750;2147483988
1637;766;2147483987
1664;766;2147483986
1718;782;2147483982
1719;782;2147483981
1729;797;2147483980
1745;797;2147483979
1757;797;2147483978
1763;797;2147483977
1768;797;2147483975
1790;813;2147483974
1793;813;2147483973
1794;813;2147483972
1797;813;2147483970
1799;813;2147483969
1800;813;2147483968
1854;828;2147483967
1868;828;2147483965
1888;844;2147483964
1890;844;2147483963
1923;860;2147483962
1933;860;2147483961
1959;860;2147483960
1961;860;2147483959
1966;860;2147483958
1987;875;2147483957
2006;875;2147483956
2011;875;2147483955
2018;891;2147483954
2047;891;2147483952
2051;891;2147483951
2070;906;2147483950
2092;906;2147483949
2105;906;2147483945
2178;938;2147483944
2185;938;2147483943
2221;953;2147483942
2229;953;2147483941
2230;953;2147483940
2232;953;2147483939
2239;953;2147483938
2253;953;2147483937
2259;953;2147483936
2296;969;2147483935
2299;969;2147483934
2306;969;2147483933
2322;985;2147483932
2331;985;2147483931
2364;985;2147483930
2381;1000;2147483929
2395;1000;2147483928
2402;1000;2147483927
2430;1016;2147483926
2431;1016;2147483924
2442;1016;2147483923
2444;1016;2147483922
2466;1031;2147483921
2468;1031;2147483920
2480;1031;2147483919
2495;1031;2147483918
2501;1031;2147483917
2508;1031;2147483916
2509;1031;2147483915
2534;1047;2147483914
2575;1063;2147483913
2607;1078;2147483911
2644;1078;2147483910
2718;1110;2147483909
2719;1110;2147483908
2748;1125;2147483907
2765;1125;2147483906
2782;1125;2147483905
2788;1141;2147483904
2793;1141;2147483903
2801;1141;2147483902
2829;1141;2147483900
2842;1156;2147483899
2901;1172;2147483898
2939;1172;2147483897
3045;1219;2147483896
3063;1219;2147483895
3103;1235;2147483894
3142;1250;2147483892
3196;1266;2147483891
3246;1281;2147483890
3274;1281;2147483889
3296;1297;2147483888
3330;1313;2147483887
3400;1328;2147483886
3406;1328;2147483885
3430;1344;2147483883
3436;1344;2147483882
3458;1344;2147483881
3472;1359;2147483880
3508;1375;2147483879
3532;1375;2147483877
3583;1391;2147483876
3593;1391;2147483874
3617;1406;2147483873
3627;1406;2147483871
3637;1406;2147483870
3643;1422;2147483869
3697;1438;2147483868
3731;1453;2147483866
3762;1453;2147483865
3802;1469;2147483864
3807;1469;2147483863
3829;1484;2147483862
3881;1500;2147483861
3960;1516;2147483860
3977;1516;2147483859
3991;1531;2147483858
3998;1531;2147483857
4019;1531;2147483856
4023;1531;2147483855
4057;1547;2147483854
4064;1547;2147483853
4069;1547;2147483852
4072;1547;2147483851
4141;1578;2147483850
4142;1578;2147483849
4144;1578;2147483848
4159;1578;2147483847
4224;1594;2147483846
4261;1609;2147483845
4278;1609;2147483844
4317;1625;2147483843
4382;1641;2147483842
4392;1656;2147483841
4397;1656;2147483840
4423;1656;2147483838
4495;1688;2147483837
4640;1719;2147483836
4650;1734;2147483835
4795;1766;2147483834
4802;1781;2147483832
4886;1797;2147483831
4896;1797;2147483830
4919;1813;2147483829
5101;1859;2147483828
5139;1875;2147483827
5230;1906;2147483826
5271;1922;2147483825
5285;1922;2147483824
5345;1937;2147483823
5455;1969;2147483822
5468;1969;2147483821
5542;2000;2147483819
5551;2000;2147483818
5552;2000;2147483817
5557;2000;2147483815
5643;2031;2147483814
5789;2078;2147483813
5843;2094;2147483812
5905;2125;2147483811
5941;2125;2147483810
5943;2125;2147483809
6043;2156;2147483808
6147;2187;2147483807
6203;2203;2147483806
6264;2219;2147483805
6292;2234;2147483804
6513;2312;2147483803
6615;2328;2147483802
6780;2391;2147483800
6781;2391;2147483799
6808;2391;2147483798
6920;2422;2147483797
7012;2453;2147483795
7039;2469;2147483794
7072;2469;2147483793
7077;2469;2147483792
7163;2500;2147483791
7198;2515;2147483790
7516;2625;2147483789
