fes;time;f
1;63;2147484449
3;63;2147484448
4;63;2147484444
6;63;2147484442
10;63;2147484440
14;79;2147484437
16;79;2147484436
19;79;2147484435
22;79;2147484430
27;79;2147484421
28;79;2147484417
29;79;2147484412
32;94;2147484411
47;94;2147484410
49;94;2147484404
52;94;2147484403
56;94;2147484402
57;94;2147484401
60;110;2147484400
62;110;2147484397
63;110;2147484396
65;110;2147484395
66;110;2147484394
78;110;2147484393
80;110;2147484390
81;110;2147484389
87;110;2147484384
103;125;2147484383
109;125;2147484382
111;125;2147484380
119;125;2147484377
122;125;2147484376
127;125;2147484375
128;125;2147484374
143;141;2147484373
144;141;2147484372
146;141;2147484371
153;141;2147484370
154;141;2147484368
155;141;2147484366
162;141;2147484365
165;141;2147484364
166;141;2147484359
167;141;2147484358
170;157;2147484357
174;157;2147484355
177;157;2147484349
180;157;2147484347
181;157;2147484344
182;157;2147484343
184;157;2147484339
185;157;2147484338
187;157;2147484331
191;157;2147484330
202;157;2147484328
204;157;2147484327
207;157;2147484326
212;157;2147484324
214;157;2147484323
216;172;2147484322
217;172;2147484321
227;172;2147484320
229;172;2147484319
231;172;2147484318
238;172;2147484317
241;172;2147484315
243;172;2147484314
247;172;2147484310
254;188;2147484309
259;188;2147484305
261;188;2147484303
266;188;2147484302
267;188;2147484297
268;188;2147484296
269;188;2147484293
272;188;2147484290
286;188;2147484289
290;188;2147484288
293;188;2147484283
294;188;2147484282
298;204;2147484281
302;204;2147484280
306;204;2147484275
310;204;2147484274
312;204;2147484273
319;204;2147484271
322;204;2147484265
323;204;2147484258
332;204;2147484256
339;204;2147484253
346;219;2147484251
347;219;2147484250
348;219;2147484248
350;219;2147484247
351;219;2147484245
360;219;2147484243
361;219;2147484242
363;219;2147484236
373;219;2147484235
378;219;2147484234
380;219;2147484232
383;219;2147484231
390;235;2147484230
397;235;2147484229
398;235;2147484227
400;235;2147484226
404;235;2147484224
405;235;2147484223
423;235;2147484220
425;235;2147484205
427;235;2147484204
431;235;2147484202
438;250;2147484200
443;250;2147484196
444;250;2147484195
446;250;2147484194
447;250;2147484192
448;250;2147484188
453;250;2147484186
455;250;2147484185
459;250;2147484184
460;250;2147484183
465;250;2147484182
467;250;2147484180
469;250;2147484179
471;250;2147484178
482;250;2147484176
485;266;2147484172
489;266;2147484171
491;266;2147484170
504;266;2147484169
507;266;2147484168
510;266;2147484166
515;266;2147484164
528;266;2147484163
536;282;2147484162
538;282;2147484161
547;282;2147484160
550;282;2147484159
553;282;2147484157
556;282;2147484155
586;297;2147484152
590;297;2147484151
592;297;2147484150
593;297;2147484147
595;297;2147484146
596;297;2147484143
608;297;2147484141
609;297;2147484139
620;297;2147484138
624;297;2147484136
629;313;2147484135
633;313;2147484134
639;313;2147484133
640;313;2147484132
646;313;2147484130
662;313;2147484129
670;313;2147484127
671;313;2147484126
672;313;2147484125
689;329;2147484122
702;329;2147484121
709;329;2147484118
718;329;2147484117
719;329;2147484115
736;344;2147484114
742;344;2147484113
745;344;2147484111
757;344;2147484110
758;344;2147484109
760;344;2147484105
770;344;2147484102
775;344;2147484100
788;360;2147484099
798;360;2147484097
804;360;2147484093
806;360;2147484092
812;360;2147484091
816;360;2147484090
828;375;2147484089
833;375;2147484088
849;375;2147484084
868;375;2147484083
870;375;2147484080
871;375;2147484079
873;375;2147484078
875;375;2147484077
877;375;2147484076
904;391;2147484075
911;391;2147484073
944;407;2147484072
949;407;2147484071
959;407;2147484070
977;422;2147484069
1008;422;2147484068
1010;422;2147484067
1028;438;2147484065
1048;438;2147484064
1054;438;2147484062
1070;438;2147484061
1090;453;2147484060
1095;453;2147484058
1098;453;2147484056
1111;453;2147484055
1123;469;2147484054
1130;469;2147484053
1136;469;2147484052
1140;469;2147484051
1142;469;2147484049
1144;469;2147484048
1145;469;2147484047
1158;469;2147484046
1163;469;2147484045
1166;469;2147484043
1168;469;2147484042
1170;485;2147484041
1183;485;2147484040
1184;485;2147484039
1190;485;2147484036
1195;485;2147484035
1205;485;2147484034
1248;500;2147484033
1255;500;2147484032
1258;500;2147484031
1266;500;2147484030
1271;500;2147484028
1282;516;2147484027
1301;516;2147484026
1338;532;2147484025
1350;532;2147484024
1355;532;2147484023
1368;532;2147484022
1371;532;2147484021
1384;547;2147484020
1386;547;2147484019
1400;547;2147484018
1432;563;2147484017
1436;563;2147484016
1448;563;2147484015
