fes;time;f
1;62;2147484389
6;62;2147484386
10;78;2147484385
15;78;2147484384
16;78;2147484383
20;78;2147484381
31;94;2147484380
36;94;2147484376
37;94;2147484373
39;94;2147484370
41;94;2147484369
42;94;2147484368
49;109;2147484366
50;109;2147484364
60;109;2147484361
61;109;2147484357
64;109;2147484353
65;109;2147484351
66;109;2147484347
81;109;2147484345
82;125;2147484344
90;125;2147484343
96;125;2147484342
98;125;2147484340
99;125;2147484335
102;125;2147484334
105;125;2147484330
111;125;2147484328
120;125;2147484327
131;140;2147484326
137;140;2147484325
139;140;2147484324
141;140;2147484322
154;140;2147484317
157;140;2147484315
159;156;2147484313
162;156;2147484312
164;156;2147484307
170;156;2147484306
173;156;2147484305
183;156;2147484301
184;156;2147484298
189;156;2147484295
190;156;2147484291
192;156;2147484289
198;156;2147484288
201;172;2147484286
207;172;2147484284
221;172;2147484283
227;172;2147484282
233;172;2147484280
237;172;2147484279
238;172;2147484278
240;172;2147484277
243;172;2147484275
245;187;2147484270
247;187;2147484268
249;187;2147484266
251;187;2147484263
257;187;2147484260
258;187;2147484259
259;187;2147484257
260;187;2147484256
264;187;2147484255
265;187;2147484253
272;187;2147484252
279;187;2147484251
284;187;2147484249
287;187;2147484248
289;187;2147484247
292;187;2147484245
296;203;2147484244
297;203;2147484242
300;203;2147484241
313;203;2147484238
334;203;2147484237
338;203;2147484235
339;203;2147484234
343;203;2147484231
353;218;2147484229
356;218;2147484228
366;218;2147484224
381;218;2147484221
386;218;2147484220
389;218;2147484219
391;218;2147484217
397;234;2147484214
402;234;2147484213
408;234;2147484210
410;234;2147484209
416;234;2147484208
421;234;2147484203
422;234;2147484201
424;234;2147484200
428;234;2147484199
430;234;2147484198
434;234;2147484197
435;234;2147484194
442;234;2147484193
449;250;2147484192
450;250;2147484191
452;250;2147484190
453;250;2147484188
454;250;2147484186
464;250;2147484184
479;250;2147484180
481;250;2147484178
487;250;2147484177
490;250;2147484176
499;265;2147484175
500;265;2147484174
504;265;2147484171
507;265;2147484170
508;265;2147484168
513;265;2147484167
523;265;2147484166
524;265;2147484163
530;265;2147484162
537;265;2147484161
542;281;2147484156
549;281;2147484153
554;281;2147484150
568;281;2147484149
574;281;2147484146
599;297;2147484145
601;297;2147484144
604;297;2147484143
608;297;2147484139
610;297;2147484138
615;297;2147484137
617;297;2147484135
618;297;2147484134
619;297;2147484132
624;297;2147484131
632;312;2147484130
635;312;2147484129
639;312;2147484128
645;312;2147484127
